,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-03-31,642.00000,264.00000,266.00000,530.00000,105.00000,-10.00000,45.00000,113.00000,1285.00000,-363.00000,,-1508.00000,,-1508.00000,-1.00000,-1872.00000,-84.00000,-84.00000,1.00000,1.00000,345.00000,262.00000,-325.00000,274.00000
2013-12-31,523,274,242,516,-233,43,315,192,1231,-483,-131,-1905,0,-1905,-15,-2534,-100,-100,1484,1484,141,1525,223,273
2013-09-30,425,274,302,576,-83,-19,165,-51,950,-284,-16,1034,0,1034,0,734,-1591,-1591,10,10,-18,-1599,99,239
2013-06-30,333,230,314,544,-116,1,518,445,1322,-268,-122,-105,0,-105,-3,-498,-91,-91,2,2,-60,-149,676,224
2013-03-31,219.00000,233.00000,177.00000,410.00000,54.00000,1.00000,68.00000,90.00000,719.00000,-327.00000,-99.00000,94.00000,,94.00000,6.00000,-326.00000,-109.00000,-109.00000,8.00000,8.00000,-343.00000,-444.00000,-59.00000,170.00000
2012-12-31,64,224,440,664,-80,-19,-512,-47,681,-198,0,732,3,735,-2,535,1361,1361,8,8,-2683,-1314,-94,184
2012-09-30,-59,176,127,303,-50,28,59,6,250,-171,-336,117,0,117,1,-389,-88,-88,-1,-1,596,507,380,179
2012-06-30,-157,139,762,901,-105,-5,-11,-504,240,-413,-550,-5483,-2,-5485,-2,-6450,-72,-72,6765,6765,347,7040,816,1106
2012-03-31,205.00000,110.00000,80.00000,190.00000,65.00000,-3.00000,-18.00000,46.00000,441.00000,-453.00000,-25.00000,-240.00000,-1.00000,-241.00000,-1.00000,-720.00000,-71.00000,-71.00000,5.00000,5.00000,116.00000,50.00000,-230.00000,103.00000
2011-12-31,302,103,73,176,-102,-30,118,32,510,-185,-19,161,-1,160,1,-43,-53,-53,1,1,183,131,606,76
2011-09-30,227,97,55,152,-44,29,189,186,565,-136,-1,-665,-1,-666,8,-795,-46,-46,3,3,57,14,-225,70
2011-06-30,238,72,55,127,-55,10,-164,-236,129,-132,-3,-1892,-1,-1893,-4,-2032,-53,-53,15,15,293,255,-1645,64
2011-03-31,233.00000,51.00000,8.00000,59.00000,27.00000,-3.00000,23.00000,53.00000,345.00000,-153.00000,-1.00000,,,,1.00000,-153.00000,-279.00000,-279.00000,1007.00000,1007.00000,70.00000,798.00000,991.00000,7.00000
2010-12-31,0,0,46,185,-209,12,84,0,0,0,0,0,0,0,0,0,160,0,506,0,0,0,0,20
2010-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-31,0.00000,0.00000,,,,,,0.00000,0.00000,0.00000,0.00000,,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,0.00000,
2009-12-31,229,78,0,78,0,0,0,-179,155,-33,3,0,0,0,-32,-62,0,0,0,209,82,243,336,0
