,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,127.00000,81.00000,7.00000,88.00000,-133.00000,-1.00000,-32.00000,52.00000,-198.00000,17.00000,-45.00000,,,,,2.00000,-43.00000,-12.00000,,-12.00000,,,-80.00000,-15.00000,-107.00000,-176.00000,9.00000,-80.00000
2019-12-31,80.11,87.571,-23.038,64.533,82.878,22.14,94.332,-43.915,171.322,315.965,-68.158,0.07,0.065,0,0,-0.135,-68.158,-54.215,-1.011,-55.226,-0.2,-0.2,-80.523,-3.243,-139.192,119.468,7.574,-80.523
2019-09-30,129.807,80.615,-5.131,75.484,64.233,-12.595,-31.687,-35.508,-7.172,198.119,-31.433,-6.07,-0.001,0,0,25.9,-11.604,-53.368,0.003,-53.365,0,0,-77.899,-0.111,-131.375,49.234,8.126,-77.899
2019-06-30,138.869,73.039,-9.902,63.137,-31.176,-46.826,-16.633,23.295,-64.322,137.684,-40.77,0,-15.169,0,0,0,-55.939,-11.261,-2.887,-14.148,0,0,-77.799,-30.307,-122.254,-42.309,10.696,-77.799
2019-03-31,111.21400,81.77500,-8.92900,72.84600,-55.93500,-24.71900,8.98800,-16.87200,-136.82800,47.23200,-53.63900,,-33.89500,,,-2.76500,-90.29900,-36.15600,2.89500,-33.26100,0.20000,0.20000,-77.77900,-1.33900,-112.17900,-151.39300,7.60400,-77.77900
2018-12-31,15.5,77.798,2.037,79.835,43.24,-24.936,72.334,46.845,140.282,235.617,-60.458,-3.326,-4847.164,0,0,0,-4910.948,242.513,-113.41,129.103,-0.871,-0.871,-66.9,-11.724,49.608,-4625.937,7.36,-66.9
2018-09-30,95.717,31.026,41.683,72.709,6.765,-24.765,-10.059,2.659,-21.637,146.789,-34.657,0,0,0,0,1.837,-32.82,2637.604,2.224,2639.828,2268.965,2268.965,-54.494,-8.667,4845.632,4952.036,6.868,-54.494
2018-06-30,99.148,31.584,-0.821,30.763,-38.662,-37.755,1.296,-29.219,-63.347,66.564,-33.991,0,0,0,0,-0.237,-34.228,0,56.571,56.571,-4.858,-4.858,-54.404,-7.231,-9.922,17.147,7.553,-54.404
2018-03-31,129.41600,33.38400,8.59900,41.98300,-61.30100,-30.18500,-8.43500,-27.75000,-182.79400,-11.39500,-32.81200,,-0.02200,,,-2.40500,-35.23900,,53.68800,53.68800,-10.61700,-10.61700,-54.42000,-3.26600,-14.61500,-62.77000,7.62000,-54.42000
2017-12-31,-40.155,32.521,66.251,98.772,26.094,-25.122,49.674,52.511,132.65,191.267,-36.791,0,-1.024,0,0,1.065,-36.75,0,-40.497,-40.497,-4.858,-4.858,-54.44,-0.259,-100.054,52.044,6.418,-54.44
2017-09-30,110.261,29.641,-3.032,26.609,-17.365,10.439,2.919,-19.04,4.698,141.568,-30.363,0,0,0,0,-0.79,-31.153,-250,14.403,-235.597,0,0,-50.494,-0.024,-286.115,-175.384,7.256,-50.494
2017-06-30,109.795,29.003,-50.017,-21.014,-16.722,-4.119,-21.501,-22.669,-49.355,39.426,-19.637,0,-53.211,0,0,3.009,-69.839,498.25,-186.327,311.923,-15.27,-15.27,-50.507,-19.468,226.678,191.319,7.074,-50.507
2017-03-31,115.76400,26.80200,-35.44500,-8.64300,-60.85800,-0.10900,-1.97800,5.39000,-88.62600,18.49500,-26.04300,,-138.09300,,,1.94800,-162.18800,,207.92200,207.92200,-37.61200,-37.61200,-50.67700,-2.70000,116.93300,-23.92500,5.81900,-50.67700
2016-12-31,79.917,27.36,1.314,28.674,14.526,15.612,21.881,20.131,99.711,208.302,-53.041,0,-236.836,0,0,0.649,-289.228,0,-2.75,-2.75,-33.076,-33.076,-50.846,-1.046,-87.718,-174.738,5.116,-50.846
2016-09-30,89.777,25.366,-7.457,17.909,34.291,7.111,-0.356,-1.467,61.855,169.541,-26.909,0,0,0,0,0.921,-25.988,-125,9.818,-115.182,-22.334,-22.334,-44.588,0.016,-182.088,-41.262,5.697,-44.588
2016-06-30,116.734,23.046,-12.103,10.943,-9.706,-10.527,0.208,12.16,4.676,132.353,-18.46,0,0,0,0,-0.641,-19.101,0,-13.54,-13.54,-31.376,-31.376,-44.637,-6.019,-95.572,11.115,7.844,-44.637
2016-03-31,118.60300,26.69700,0.00000,26.69700,-60.65500,3.25600,-29.37500,-17.44100,-105.35700,39.94300,-21.14600,,,,,,-21.14600,555.55900,-124.60200,430.95700,-39.84400,-39.84400,-44.82600,-15.33600,330.95100,346.88900,5.93000,-44.82600
2015-12-31,79.167,24.498,-2.339,22.159,16.851,-5.973,34.791,34.704,71.294,172.62,-33.527,0,0.045,0,0,2.393,-31.089,0,-111.962,-111.962,-40.358,-40.358,-44.995,-34.596,-231.911,-90.288,4.805,-44.995
2015-09-30,106.448,24.058,-3.249,20.809,-16.234,-21.821,27.148,-8.663,1.12,128.377,-26.779,0,-304.634,0,0,0.32,-331.093,-86.162,280.281,194.119,-42.422,-42.422,-37.948,0.096,113.845,-104.978,5.495,-37.948
2015-06-30,105.374,21.056,7.967,29.023,-29.438,-23.006,22.716,14.969,0.445,134.842,-18.491,0,-188.835,0,0,10.283,-197.043,86.162,-30.548,55.614,-28.094,-28.094,-37.956,3.011,-7.425,-66.435,7.473,-37.956
2015-03-31,128.25800,19.98500,-34.69500,-14.71000,-62.89100,13.17200,4.61800,-21.88100,-82.07200,31.47600,-17.93100,,,,,,-17.93100,,0.26500,0.26500,-10.43300,-10.43300,-37.97100,8.59700,-39.54200,-34.88400,5.38700,-37.97100
2014-12-31,90.135,20.676,7.969,28.645,45.294,-18.433,21.862,48.854,82.107,200.887,-44.573,0,0,0,0,3.776,-40.797,-0.491,-0.594,-1.085,-35.247,-35.247,-38.126,0.25,-74.208,73.737,3.021,-38.126
2014-09-30,107.416,19.547,-22.602,-3.055,2.307,-23.459,28.372,30.999,59.112,163.473,-37.144,0,0,0,0,0,-37.144,4.1,6.82,10.92,-18.013,-18.013,-31.696,0.292,-38.497,77.983,5.593,-31.696
2014-06-30,110.285,26.301,6.067,32.368,-8.667,2.441,-18.842,7.618,-23.616,119.037,-26.376,0,-0.1,0,0,5.442,-21.034,0,0.797,0.797,-13.87,-13.87,-31.674,4.45,-40.297,58.269,9.339,-31.674
2014-03-31,106.70700,22.83000,6.81400,29.64400,-41.56900,-0.59100,-11.98900,13.97700,-101.35800,34.99300,-31.79400,,-102.40000,,,11.83600,-122.35800,,1.30900,1.30900,-19.20900,-19.20900,-31.74300,0.31500,-49.32800,-136.92100,4.69500,-31.74300
2013-12-31,61.479,22.143,-42.379,-20.236,18.895,-5.857,32.894,65.915,109.003,150.246,-37.179,0,0,0,0,0.02,-37.159,0,-0.31,-0.31,-19.254,-19.254,-31.822,0.529,-50.857,62.356,4.817,-31.822
2013-09-30,99.045,21.277,-6.107,15.17,-11.298,-4.015,-1.383,6.479,25.058,139.273,-25.444,0,0,0,0,0,-25.444,-100,1.146,-98.854,-12.702,-12.702,-27.792,0.397,-138.951,-22.748,4.869,-27.792
2013-06-30,102.323,20.402,-14.67,5.732,-26.305,-3.514,19.141,-38.84,-8.731,99.324,-14.565,0,0,0,0,0.096,-14.469,297.786,-283.709,14.077,-3.336,-3.336,-27.733,1.642,-15.35,65.851,9.527,-27.733
2013-03-31,90.69700,19.40500,15.67000,35.07500,-34.44800,18.20800,-29.33900,-11.53000,-107.05300,18.71900,-29.65700,,,,,1.32300,-28.33400,,-0.35200,-0.35200,-12.27200,-12.27200,,0.74400,-11.88000,-24.37600,4.52300,0.00000
2012-12-31,68.118,20.335,-0.787,19.548,33.308,8.322,32.912,4.197,98.552,186.218,-40.424,0,0,0,0,3.956,-36.468,0,130.38,130.38,1.547,1.547,-55.485,1.46,77.902,227.241,4.353,-55.485
2012-09-30,16.365,19.238,-29.812,-10.574,-8.329,1.892,-12.438,-0.184,-3.579,2.212,-30.244,0,0,-0.092,-0.092,5.327,-25.009,0,34.41,34.41,2.264,2.264,-25.252,0.407,11.829,-7.456,4.091,-25.252
2012-06-30,88.595,18.055,10.964,29.019,-16.815,-4.842,-10.561,-26.177,-34.884,82.73,-25.019,0,0,-0.399,-0.399,0,-25.418,0,-9.84,-9.84,4.296,4.296,-25.12,5.201,-25.463,28.111,8.282,-25.12
2012-03-31,81.05600,19.03900,-14.12900,4.91000,-41.22000,-0.80100,-10.65300,14.31300,-33.33000,52.63600,-28.69000,,,-0.63600,-0.63600,1.96000,-27.36600,,-16.19400,-16.19400,1.10400,1.10400,-25.08600,1.31200,-38.86400,-11.75300,2.99000,-25.08600
2011-12-31,24.394,19.082,2.746,21.828,36.231,-18.25,13.128,-15.455,26.242,72.464,-52.478,0,0,-0.203,-0.203,-0.255,-52.936,-23.708,9.37,-14.338,0.337,0.337,-25.076,0.71,-38.367,-19.004,3.88,-25.076
2011-09-30,82.241,18.889,1.25,20.139,1.244,7.149,20.741,-8.707,12.201,114.581,-28.974,0,0,-0.362,-0.362,-3.196,-32.532,-100,24.209,-75.791,1.164,1.164,-21.825,0.148,-96.304,-16.148,3.578,-21.825
2011-06-30,76.188,19.394,20.382,39.776,-17.608,-2.165,-20.456,-14.66,-78.875,37.089,-26.069,0,0,-1.154,-1.154,0.976,-26.247,0,7.511,7.511,9.676,9.676,-21.692,4.259,-0.246,11.461,8.272,-21.692
2011-03-31,84.04300,17.96200,21.92500,39.88700,-55.56400,-11.93300,-19.27200,1.72600,-158.87400,-34.94400,-19.23100,,,-0.21700,-0.21700,,-19.44800,,51.57200,51.57200,3.47900,3.47900,-21.65700,0.81600,34.21000,-19.36200,4.81700,-21.65700
2010-12-31,55.577,19.105,28.372,47.477,48.783,-33.095,-52.868,-35.907,3.757,106.811,-52.588,0,0,-0.266,-0.266,0.051,-52.803,0,-27.104,-27.104,9.119,9.119,-21.576,1.403,-38.158,16.447,1.674,-21.576
2010-09-30,77.039,19.916,-21.17,-1.254,-7.16,-22.771,34.261,0.57,4.9,80.685,-16.481,0,0,-1.148,-1.148,0,-17.629,0,-42.449,-42.449,2.431,2.431,-19.974,0,-59.992,4.333,5.928,-19.974
2010-06-30,67.152,20.189,-5.471,14.718,-24.474,-24.328,72.287,-10.107,13.378,95.248,-22.689,0,0,-2.444,-0.588,1.668,-21.609,0,-38.988,-38.988,7.302,7.302,-19.845,0,-51.531,20.734,5.319,-19.845
2010-03-31,63.78900,20.03200,-0.33100,19.70100,-29.29200,-6.05600,-13.70700,-2.04300,-51.09800,32.39200,-12.88600,,,,-1.85600,,-14.74200,,5.35100,5.35100,7.37200,7.37200,-19.78600,,-7.06300,9.68300,5.46100,-19.78600
2009-12-31,47.448,20.451,-17.349,3.102,28.9,-14.22,28.133,-14.694,41.015,91.565,-36.472,0,0,1.039,1.039,0,-35.433,-148.302,11.026,-137.276,4.907,4.907,-0.4,0,-132.769,-74.437,2.384,-0.4
2009-09-30,52.799,19.811,-0.694,19.117,5.401,14.042,43.108,-21.932,40.619,112.535,-10.853,0,0,-1.406,-1.406,0,-12.259,-52.8,-22.44,-75.24,0.596,0.596,-39.103,0,-113.747,-9.243,4.929,-39.103
2009-06-30,48.082,19.632,5.879,25.511,-25.459,34.465,30.113,-10.807,28.312,101.905,-10.741,0,0,-1.684,-1.684,-1.688,-14.113,0,-18.614,-18.614,1.16,1.16,0,0,-17.454,76.226,5.377,0
2009-03-31,47.19700,18.63100,9.93500,28.56600,-36.22200,12.80300,-57.57400,-9.13800,-90.13100,-14.36800,-6.96900,,,-0.19800,-0.19800,-11.91600,-19.08300,,-7.26400,-7.26400,-1.62000,-1.62000,-39.33800,,-48.22200,-90.87800,4.75900,-39.33800
