,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-06-30,126.6,129.2,33.5,162.7,-298.1,-90.2,33.3,221.1,-109.9,179.4,-76,-6.3,-33,-2.8,-2.8,0,-118.1,0,-122.2,-122.2,8,8,0,1.3,-112.9,-49.1,17.1,0
2014-03-31,116.60000,135.20000,82.80000,218.00000,49.10000,-88.00000,-32.70000,38.60000,-66.50000,268.10000,-72.30000,-129.00000,,0.10000,0.10000,,-201.20000,-60.00000,-71.10000,-131.10000,21.90000,21.90000,,-5.40000,-114.60000,-48.30000,15.40000,
2013-12-31,180.9,142.1,0.4,142.5,-250.8,20.2,7.9,309.9,94.5001,417.9,-70.8,-41.8,-1211,-3,-3,-179,-1505.6,1593.4,-94.7,1498.7,-480.5,-480.5,0,-9.3,1008.9,-73.6,11,0
2013-09-30,159.4,126.9,36.3,163.2,-195.1,-8.1,48,213.2,92.1,414.7,-112.8,-5.5,-13.8,-1.5,-1.5,1.6,-132,-340,122.2,-217.8,18,18,0,-8.5,-208.3,87.5,12.7,0
2013-06-30,178.7,118.1,42.7,160.8,-184.3,-50.3,75.4,71.7,-153.1,186.4,-72.6,-9.3,-5,-4.5,-4.5,2.5,-88.9,-44.6,-71.2,-115.8,10.6,10.6,0,-9.1,-114.3,-17,11.2,0
2013-03-31,107.50000,128.90000,27.60000,156.50000,76.70000,-118.90000,5.90000,-163.20000,-176.40000,87.60000,-53.10000,-4.30000,-32.10000,0.30000,0.30000,-53.10000,-142.30000,285.60000,185.10000,470.70000,-471.90000,-471.90000,,7.80000,6.60000,-55.60000,12.10000,
2012-12-31,162.272,128.778,54.241,183.019,-111.718,-50.55,106.034,57.358,-54.252,291.039,-145.421,-80.4,0,2.265,2.265,77.184,-146.372,383.977,-113.875,270.102,-408.629,-408.629,0,12.285,-126.242,17.64,10.501,0
2012-09-30,212.086,171.174,30.516,201.69,44.929,-11.811,-15.659,-7.08,48.592,462.368,-44.661,0,0,-2.676,-2.676,-4.608,-51.945,-433.828,5.067,-428.761,24.806,24.806,0,1.08,-402.875,17.985,9.664,0
2012-06-30,139.172,122.981,15.102,138.083,-132.926,-39.544,24.102,158.053,25.41,302.665,-63.173,0,0,-1.291,-1.291,6.799,-57.665,341.257,-27.945,313.312,-489.459,-489.459,0,1.837,-174.31,56.293,10.132,0
2012-03-31,129.47000,123.66700,66.74100,190.40800,-155.08500,-70.09500,-33.07700,-120.13100,-426.95000,-107.07200,-35.74500,,,-0.09800,-0.09800,-72.37500,-108.21800,-238.80600,311.05300,72.24700,17.18200,17.18200,,2.49800,91.92700,-117.01800,12.30300,
