,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-06-30,121,181,-7,174,-34,23,-11,284,13,-139,-49,-49,3,-172,-798,-798,89,89,-75,-4,-788,-682,4,-75
2013-03-31,60.00000,184.00000,-32.00000,152.00000,-21.00000,-15.00000,-36.00000,176.00000,151.00000,,-1.00000,-1.00000,-3.00000,147.00000,298.00000,298.00000,103.00000,103.00000,-65.00000,-2.00000,334.00000,658.00000,4.00000,-65.00000
2012-12-31,15,280,6,286,19,37,56,357,-330,205,-16,-16,77,-64,-87,-87,19,19,-58,-4,-130,163,2,-58
2012-09-30,-35,164,19,183,-19,-7,-26,122,103,-634,-11,-11,-11,-553,255,255,33,33,-51,-18,219,-211,6,-51
2012-06-30,83,164,11,175,-24,-5,-29,229,-181,-18,-1,-1,23,-177,-907,-907,49,49,-43,2,-899,-847,3,-43
2012-03-31,0.00000,159.00000,-55.00000,104.00000,-18.00000,-13.00000,-31.00000,73.00000,-54.00000,,-19.00000,-19.00000,-19.00000,-92.00000,371.00000,371.00000,173.00000,173.00000,-35.00000,-4.00000,505.00000,486.00000,5.00000,-35.00000
2011-12-31,16,222,10,232,-3,33,30,278,-320,153,-70,-70,3,-234,266,266,34,34,-28,-13,259,302,19,-28
2011-09-30,-36,162,3,165,30,-31,-1,128,63,-165,40,40,10,-52,-162,-162,1,1,-21,-4,-186,-110,0,-21
2011-06-30,64,152,7,159,-16,12,-4,219,-145,-46,-13,-13,52,-152,245,245,189,189,-14,-7,413,480,0,-14
2011-03-31,-60.00000,149.00000,-22.00000,127.00000,-11.00000,-19.00000,-30.00000,37.00000,-94.00000,-989.00000,-5.00000,-5.00000,-50.00000,-1138.00000,50.00000,50.00000,99.00000,99.00000,-7.00000,,142.00000,-959.00000,,-7.00000
2010-12-31,-6,184,30,214,16,-32,-16,192,-160,-88,-54,-54,94,-208,-566,-566,248,248,-6,615,291,275,40,-6
2010-09-30,-62,144,-2,142,0,29,29,109,-27,-292,0,0,-21,-340,399,399,103,103,-7,-597,-102,-333,0,-7
2010-06-30,20,148,10,158,-13,5,-8,170,-65,0,0,0,-54,-119,-3,-3,0,-101,-10,-11,-125,-74,0,-6
2010-03-31,-84.00000,149.00000,-12.00000,137.00000,-12.00000,8.00000,-4.00000,49.00000,-45.00000,,,,6.00000,-39.00000,-472.00000,-472.00000,55.00000,55.00000,-3.00000,13.00000,-407.00000,-397.00000,,-1.00000
2009-12-31,-71,286,-96,190,23,40,63,182,-110,0,-7,-7,36,-81,373,373,179,179,-19,-11,522,623,0,-17
2009-09-30,-58,149,-45,104,30,39,69,115,49,0,-39,-39,6,16,-568,-568,108,108,-3,5,-458,-327,0,0
2009-06-30,-69,148,95,243,-22,-17,-39,135,-85,0,0,0,-7,-92,182,182,480,480,-1,-11,650,693,0,1
2009-03-31,-60.00000,165.00000,-9.00000,156.00000,3.00000,21.00000,24.00000,120.00000,-1.00000,,39.00000,39.00000,3.00000,41.00000,14.00000,14.00000,,,-29.00000,-1.00000,-16.00000,145.00000,,-27.00000
