,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-09-30,160.627,12.386,7.742,20.128,43.885,28.959,-19.256,161.499,-15.521,0,0,0,0.232,-15.289,0,0,-1.286,-1.286,0,0,-1.286,133.32,12.155,0
2019-06-30,153.53,12.677,29.076,41.753,-28.187,-34.296,-39.576,155.707,-12.987,0,0,0,1.038,-11.949,0,0,-158.302,-158.302,-85.184,-6.674,-250.16,-106.779,23.824,-85.184
2019-03-31,140.11100,13.39300,13.79100,27.18400,230.47700,-2.99900,122.18800,289.48300,-9.43500,,,,0.25500,-9.18000,,,-17.14400,-17.14400,,,-17.14400,265.69400,13.38200,
2018-12-31,179.577,13.186,19.92,33.106,-58.65,0.274,-110.633,102.05,-9.832,0,0,0,-0.039,-9.871,0,0,-78.972,-78.972,-77.66,-1.271,-157.903,-66.877,12.976,-77.66
2018-09-30,163.067,13.335,-7.073,6.262,-210.092,2.563,-82.608,86.721,-11.733,0,0,0,1.109,-10.624,0,0,-100.022,-100.022,0,-1.246,-101.268,-30.242,13.902,0
2018-06-30,140.946,13.576,21.821,35.397,-46.876,-0.927,-27.787,148.556,-12.113,0,0,0,-1.564,-13.677,0,0,-140.209,-140.209,-79.18,-3.215,-222.604,-112.047,18.002,-79.18
2018-03-31,136.20000,13.92200,13.90300,27.82500,100.64700,-2.86000,71.45200,235.47700,-13.79600,,,,-0.43100,-14.22700,,,-145.96300,-145.96300,,,-145.96300,81.80200,11.26700,
2017-12-31,167.455,13.069,-17.888,-4.819,-60.981,0.782,-36.25,126.386,56.992,0,0,0,-0.182,56.81,0,0,-95.211,-95.211,-74.769,-0.904,-170.884,17.655,11.872,-74.769
2017-09-30,120.606,12.272,-15.526,-3.254,-126.102,-5.872,-31.992,85.36,-34.462,0,0,0,-0.261,-34.723,0,0,-136.861,-136.861,0,0,-136.861,-81.466,11.21,0
2017-06-30,108.755,12.042,24.805,36.847,-73.142,3.29,-64.388,81.214,-20.38,0,0,0,0.04,-20.34,0,0,-32.551,-32.551,-75.726,0,-108.277,-41.133,17.203,-75.726
2017-03-31,93.56700,11.92700,16.79600,28.72300,75.45400,-3.56500,73.38900,195.67900,-12.76100,,,,-0.67100,-13.43200,,,-8.54300,-8.54300,,,-8.54300,181.60800,10.62300,
2016-12-31,111.098,11.943,21.011,32.954,-108.384,4.077,-71.497,72.555,-19.114,-0.054,0.017,-0.037,0.456,-18.695,0,0,-31.893,-31.893,-72.123,-1.335,-105.351,-68.265,10.953,-72.123
2016-09-30,107.949,11.882,10.369,22.251,-58.279,-1.395,-14.407,115.793,-12.659,0,0,0,1.617,-11.042,0,0,-44.168,-44.168,0,0,-44.168,62.436,10.476,0
2016-06-30,116.439,11.642,7.398,19.04,-48.344,1.361,-30.295,105.184,-13.279,0,0,0,4.414,-8.865,0,0,-47.627,-47.627,-73,0,-120.627,-33.653,12.957,-73
2016-03-31,97.04700,11.32900,21.34100,32.67000,112.71000,-2.05500,106.23600,235.95300,-14.03500,,,,-0.55900,-14.59400,,,-28.65700,-28.65700,,,-28.65700,206.12100,10.83100,
2015-12-31,115.1,11.588,18.498,30.086,43.709,2.072,-27.422,117.764,-12.222,-0.018,8.236,8.218,-1.113,-5.117,0,0,-198.253,-198.253,-66.892,-3.111,-268.256,-160.887,10.926,-66.892
2015-09-30,118.736,11.475,3.444,14.919,2.466,-3.801,-0.979,132.676,-9.546,0,38.788,38.788,-2.666,26.576,0,0,-155.364,-155.364,0,0,-155.364,-17.044,10.919,0
2015-06-30,118.329,11.42,20.894,32.314,63.234,-1.187,31.085,181.728,-12.912,-46.986,0,-46.986,-0.014,-59.912,0,0,-103.09,-103.09,-68.781,0.366,-171.505,-47.417,11.663,-68.781
2015-03-31,107.33200,11.52900,20.72700,32.25600,-46.79000,3.56900,-5.19400,134.39400,-9.44500,-0.02200,40.29600,40.27400,0.19800,31.02700,,,-42.32000,-42.32000,,0.62300,-41.69700,106.03700,9.90700,
2014-12-31,100.74,11.752,-3.534,8.218,-75.513,2.582,-19.426,89.532,-10.822,-0.02,0,-0.02,-0.842,-11.684,0,0,-64.821,-64.821,-61.827,-0.334,-126.982,-63.373,10.313,-61.827
2014-09-30,102.797,12.741,8.62,21.361,-58.984,-3.646,-37.467,86.691,-8.255,-40.275,86.107,45.832,0.37,37.947,0,0,-88.592,-88.592,0,0.047,-88.545,19.919,10.049,0
2014-06-30,91.728,12.417,14.837,27.254,-84.618,-3.485,-74.096,44.886,-9.635,-15.301,15.643,0.342,-28.637,-37.93,0,0,-109.266,-109.266,-62.807,0.495,-171.578,-160.485,11.877,-62.807
2014-03-31,84.19500,12.38200,16.02200,28.40400,12.22800,1.27900,61.25800,173.85700,-8.76000,-81.13000,20.97600,-60.15400,1.67000,-67.24400,,,-218.83300,-218.83300,,0.40400,-218.42900,-116.60600,10.29400,
2013-12-31,84.009,12.49,9.154,21.644,-50.093,3.263,-43.7,61.953,-10.72,-16.226,89.715,73.489,1.68,64.449,0,0,-129.07,-129.07,-61.393,0.656,-189.807,-62.678,10.753,-61.393
2013-09-30,92.729,12.629,-20.487,-7.858,-5.115,-4.702,11.422,96.293,-15.482,-9.991,0.066,-9.925,0.306,-25.101,0,0,-52.31,-52.31,0,-1.161,-53.471,24.221,11.015,0
2013-06-30,92.663,11.674,16.615,28.289,-48.223,-0.091,-36.926,84.026,-17.141,-89.899,0.096,-89.803,1.264,-105.68,0,0,-14.052,-14.052,-61.899,0.584,-75.367,-108.578,11.04,-61.899
2013-03-31,80.61000,11.27800,18.17700,29.45500,38.85600,-0.48500,55.19900,165.26400,-10.06800,,0.03800,0.03800,-0.44400,-10.47400,,,-6.75200,-6.75200,,-6.63100,-13.38300,133.84500,11.00500,
2012-12-31,83.499,10.695,20.894,31.589,-16.044,3.566,-54.339,60.749,-10.554,-16.09,16.221,0.131,0.015,-10.408,0,0,-101.411,-101.411,-57.905,1.005,-158.311,-106.8,11.212,-57.905
2012-09-30,88.727,10.03,17.572,27.602,-23.52,-7.195,-47.163,69.166,-10.17,0.113,0,0.113,-0.104,-10.161,0,0,-62.628,-62.628,0,-1.118,-63.746,3.395,11.32,0
2012-06-30,84.021,9.67,4.199,13.869,-63.26,1.642,-5.076,92.814,-9.814,15.878,0,15.878,-0.091,5.973,0,0,-76.919,-76.919,-59.358,0.806,-135.471,-48.668,10.926,-59.358
2012-03-31,76.72200,9.54500,12.40500,21.95000,12.96800,1.92400,48.72500,147.39700,-17.08800,-15.78000,,-15.78000,0.47000,-32.39800,,,-8.94500,-8.94500,,3.42600,-5.51900,118.55900,10.60000,
2011-12-31,93.14,9.146,18.914,28.06,58.717,-3.448,-13.264,107.936,-19.37,0,0.029,0.029,0.423,-18.918,0,0,-1.444,-1.444,-52.997,0.099,-54.342,33.542,10.832,-52.997
2011-09-30,106.876,9.199,2.241,11.44,-4.312,-7.134,-25.011,93.305,-20.595,0.538,0,0.538,-1.17,-21.227,0,0,-12.332,-12.332,0,-0.285,-12.617,34.984,12.738,0
2011-06-30,95.02,9.257,9.468,18.725,-14.173,4.207,-35.688,78.057,-17.068,-0.449,0,-0.449,-0.064,-17.581,0,0,-29.869,-29.869,-53.014,2.285,-80.598,-12.641,10.236,-53.014
2011-03-31,91.20700,9.17400,8.11300,17.28700,6.68300,-1.10800,69.33900,177.83300,-21.08200,-0.08900,,-0.08900,-1.44200,-22.61300,,,-11.78000,-11.78000,,2.24600,-9.53400,154.00600,10.47200,
2010-12-31,96.448,9.31,8.451,17.761,77.947,0.252,20.622,134.831,-16.023,-0.107,0,-0.107,-0.084,-16.214,0,0,-68.036,-68.036,-42.475,12.186,-98.325,27.239,10.696,-42.475
2010-09-30,96.038,9.085,8.038,17.123,-34.203,-3.708,-0.143,113.018,-10.855,0.137,0,0.137,1.208,-9.51,0,0,-30.064,-30.064,0,2.507,-27.557,96.926,10.846,0
2010-06-30,90.409,9.11,16.983,26.093,-219.602,3.314,-95.956,20.546,-8.007,0.006,0,0.006,-0.707,-8.708,0,0,-42.629,-42.629,-42.397,4.107,-80.919,-81.348,11.003,-42.397
2010-03-31,61.31000,9.39500,1.60600,11.00100,-12.96500,-1.33300,54.81200,127.12300,-7.52300,-0.03600,,-0.03600,-0.18800,-7.74700,,,-5.79900,-5.79900,,4.01200,-1.78700,115.71900,11.19800,
2009-12-31,69.65,11.43,21.034,32.464,-121.395,1.193,-71.144,30.97,-9.213,-0.022,0,-0.022,3.445,-5.79,0,0,-3.02,-3.02,-40.279,-1.459,-44.758,-21.34,10.07,-40.279
2009-09-30,57.564,9.923,3.077,13,-94.025,-0.438,-28.102,42.462,-9.466,0.017,0,0.017,-1.46,-10.909,0,0,-8.996,-8.996,0,-0.763,-9.759,31.287,10.794,0
2009-06-30,53.814,10.244,-4.478,5.766,60.379,-0.943,25.506,85.086,-7.133,-0.013,0,-0.013,-7.453,-14.599,0,0,-14.892,-14.892,-40.276,2.073,-53.095,32.303,11.371,-40.276
2009-03-31,59.36900,9.95800,12.92900,22.88700,153.96400,0.34700,90.02600,172.28200,-8.61200,0.04400,,0.04400,-1.48200,-10.05000,,,-10.67600,-10.67600,,0.94000,-9.73600,142.65100,6.90000,
