,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-06-30,223.438,197.046,-105.2812,91.7649,168.862,0,197.484,-477.339,-196.909,99.291,-67.243,0,0,0,0,0,-6.951,-74.194,-101.835,0,-101.835,-0.379,-0.379,-11.84,-114.054,-74.443,36.309
2019-03-31,170.82600,109.99800,57.27090,167.26890,-168.86200,-3.35600,-33.98200,-510.40500,-727.94900,-392.57500,-56.97900,,-2.14200,,,,-14.81700,-73.93800,336.00000,,336.00000,-54.27400,-54.27400,18.30200,300.02800,-176.27600,29.27100
2018-12-31,394.503,118.71,-4.5971,114.1129,-773.361,-4.586,188.134,775.452,160.207,628.938,-75.91,0,-9.013,0,5.783,5.783,-27.445,-106.585,-136.9338,0,-136.9338,-162.724,-162.724,6.538,-293.12,236.006,31.136
2018-09-30,291.689,115.243,-94.5192,20.7238,197.768,0,76.105,-8.789,285.272,594.373,-44.411,0,-48.858,0,-0.526,-0.526,16.328,-77.467,-454.914,0,-454.914,-23.066,-23.066,-1.542,-479.522,24.592,35.36
2018-06-30,229.631,115.312,-16.1418,99.1702,-197.768,0,155.764,-83.232,-171.734,157.896,-60.758,0,-264.702,0,10.397,10.397,2.643,-312.42,93.839,0,93.839,-0.08,-0.08,-9.062,84.697,-118.467,32.105
2018-03-31,150.12500,137.89800,23.85400,161.75200,,,-146.22100,-413.06000,-554.61300,-249.95800,-46.72400,,,,-15.65400,-15.65400,-1.83400,-64.21200,193.00000,,193.00000,-4.55000,-4.55000,-7.10500,181.34500,-103.00600,29.57000
2017-12-31,161.51,112.512,-67.1533,45.3587,-534.19,-8.312,237.84,507.009,321.129,508.818,-76.436,0,-82.364,0,0.303,0.303,-6.322,-164.819,-543.195,0,-543.195,0,0,-17.059,-560.254,-215.58,24.112
2017-09-30,200.132,105.05,-61.0739,43.9761,-15.995,10.784,36.593,194.67,262.805,503.03,-41.743,0,-10.737,0,-1.333,-1.333,10.089,-43.724,-1.629,0,-1.629,-27.649,-27.649,-8.503,-37.781,429.998,20.692
2017-06-30,203.008,102.859,19.5698,122.4288,-125.742,0,80.329,-5.13,-111.12,203.961,-36.128,0,-12.465,0,-2.388,-2.388,0.201,-50.78,-125.584,0,-125.584,0,0,-13.55,-139.134,18.074,32.872
2017-03-31,138.92600,96.47600,-35.82290,60.65310,141.73700,,-195.61700,-479.28800,-519.97500,-321.39800,-23.73500,,-12.86100,,-0.06900,-0.06900,-6.61200,-43.27700,118.53200,,118.53200,-1.90000,-1.90000,-7.20500,109.42700,-239.08500,15.41100
2016-12-31,266.232,99.573,56.4393,156.0123,-382.631,-2.87,140.853,449.064,264.671,670.174,-56.848,0,11.466,1.853,-2.61,-0.757,-64.764,-110.903,-193.9358,0,-193.9358,0.37,0.37,-26.272,-219.838,312.302,20.138
2016-09-30,110.853,95.823,-139.0267,-43.2037,-25.377,2.87,-13.772,162.019,112.246,156.828,-55.299,0,5.926,0.07,44.326,44.396,4.874,-0.103,-106.197,0,-106.197,-22.684,-22.684,-13.446,-142.327,14.578,14.792
2016-06-30,123.445,92.824,-20.935,71.889,-74.31,0,36.617,2.598,-54.031,118.623,-45.59,-5.603,-13.271,-4.176,0,-4.176,27.816,-40.824,-131.8621,0,-131.8621,-0.86,-0.86,1.896,-130.826,-57.461,15.96
2016-03-31,84.64000,89.64200,-81.55500,8.08700,145.97600,,-148.31600,-384.16200,-420.66100,-328.64000,-33.46800,5.60300,-25.19800,2.25300,,2.25300,52.11600,1.30600,282.70000,,282.70000,-4.25200,-4.25200,-6.13400,272.31400,-51.17400,12.59400
2015-12-31,182.595,101.206,-119.4021,-18.1961,-227.285,11.542,173.077,374.117,379.12,509.487,-54.14,-21.434,-57.966,1.141,0,1.141,145.386,12.987,-399.4191,-15.862,-415.2811,-6.761,-6.761,1.42,-420.622,100.046,26.59
2015-09-30,149.991,77.486,-44.124,33.362,-116.791,-11.542,14.257,106.769,2.234,184.601,-34.936,8.819,-1429.828,0.034,3.584,3.618,-8.782,-1461.109,1399.8219,15.293,1415.1149,-15.863,-15.863,-8.613,1390.639,103.935,18.987
2015-06-30,133.153,72.922,-41.922,31,-41.805,0,37.028,5.494,-13.852,137.659,-31.76,7.674,-19.942,-2.866,0,-2.866,-17.11,-64.004,-109.4669,0.569,-108.8979,3.193,3.193,-14.329,-120.034,-42.606,13.191
2015-03-31,93.13800,74.79300,-44.04800,30.74500,155.57400,,-46.79500,-408.32000,-299.09700,-179.85000,-18.62800,4.94100,-75.03300,3.97600,,3.97600,-22.08900,-106.83300,-39.37900,,-39.37900,-5.09200,-5.09200,-15.96400,-60.43500,-361.85600,15.94100
2014-12-31,205.67,71.427,-141.634,-70.207,-169.042,47.276,76.069,456.635,467.616,593.302,-78.624,7.372,-14.516,5.956,-5.918,0.038,48.68,-37.05,-407.291,-4.545,-411.836,1.708,1.708,-4.098,-414.226,125.526,15.627
2014-09-30,109.692,74.686,-10.821,63.865,-14.979,-4.438,18.396,150.603,121.841,292.462,-39.013,5.349,-102.764,-1.217,9.196,7.979,15.941,-112.508,99.2631,-1.993,97.2701,-14.384,-14.384,-11.452,71.434,233.492,19.659
2014-06-30,130.199,65.124,-39.122,26.002,-202.127,5.959,7.84,91.068,-110.047,45.982,-39.952,3.504,-15.073,-4.749,63.039,58.29,-5.271,1.498,-82.9781,6.538,-76.4401,2.194,2.194,-23.359,-97.605,-46.371,13.3
2014-03-31,67.94200,67.01900,-21.12200,45.89700,78.16900,-1.52100,-70.77900,-325.50800,-378.98300,-269.96600,-13.65300,9.31600,-14.70400,-1.66100,,-1.66100,17.20600,-3.49600,207.89200,,207.89200,,,0.43600,208.32800,-63.67500,11.17100
2013-12-31,118.54,152.972,-32.458,120.514,-106.438,37.59,84.722,253.738,278.517,510.468,-77.615,5.79,-440.544,5.245,2.276,7.521,13.592,-491.256,20.9229,-4.724,16.1989,0.856,0.856,-43.692,-26.637,-10.709,10.887
2013-09-30,94.166,49.299,-46.182,3.117,17.276,-3.133,-29.624,42.822,61.795,149.969,-39.191,7.336,-27.817,-0.178,1.017,0.839,20.065,-38.768,-63.2106,-10.019,-73.2296,-15.69,-15.69,-10.735,-99.655,17.126,15.243
2013-06-30,74.234,63.33,11.656,74.986,-33.727,57.786,-38.732,38.191,14.803,164.557,-30.737,11.727,-29.061,14.435,73.425,87.86,11.69,51.479,-219.3752,14.743,-204.6322,3.986,3.986,-42.678,-243.324,-33.205,10.628
2013-03-31,61.85500,62.14600,-43.12300,19.02300,45.94300,75.89000,23.83400,-272.47500,-158.37500,-79.88600,-8.81500,7.16300,-6.72500,-14.92500,33.96400,19.03900,2.88900,13.55100,-442.72600,,-442.72600,,,-53.93900,-496.66500,-570.59700,11.67100
2012-12-31,156.537,48.393,-16.625,31.768,-140.441,7.878,91.465,216.526,229.225,411.017,-69.645,16.276,-34.983,-2.055,28.207,26.152,18.041,-44.159,-40.692,0,-40.692,3.923,3.923,-16.145,-52.914,313.037,13.845
2012-09-30,42.705,61.689,80.421,142.11,-19.355,0.741,-0.535,-67.47,-105.618,81.723,-41.882,10.44,-17.412,0.489,28.979,29.468,-0.579,-19.965,-23.433,-4.683,-28.116,13.264,13.264,-6.886,-21.738,45.058,15.261
2012-06-30,75.599,41.366,-71.768,-30.402,-35.3,-6.84,4.036,109.035,54.199,97.29,-30.619,7.481,-0.183,-1.068,-1.391,-2.459,-33.372,-59.152,-0.757,4.683,3.926,3.137,3.137,-10.615,-3.552,27.265,10.967
2012-03-31,29.94600,48.80100,-57.05800,-8.25700,52.31000,-2.53800,-51.49100,-273.62800,-321.14200,-298.94900,-8.08600,6.00900,,-1.97000,-1.17100,-3.14100,-69.17700,-74.39500,-25.67700,,-25.67700,,,3.19200,-22.48500,-389.24500,11.63900
2011-12-31,110.939,38.846,45.121,83.967,-87.859,59.229,-30.379,97.545,64.094,257.095,-52.582,10.077,-365.03,-3.802,108.145,104.343,369.478,66.286,152.9334,0,152.9334,0.077,0.077,-41.206,111.804,430.588,11.461
2011-09-30,60.033,33.208,-29.634,3.574,-39.941,-7.023,2.484,247.257,200.573,260.514,-48.25,5.542,-224.58,0,4.708,4.708,-331.67,-594.25,319.7578,0,319.7578,2.201,2.201,-62.081,259.878,-89.515,11.574
2011-06-30,74.867,27.109,-7.994,19.115,-84.871,28.161,-9.549,-72.844,-135.677,-42.508,-33.526,6.209,-40.831,0,38.092,38.092,12.444,-17.612,384.953,0,384.953,4.858,4.858,-11.004,378.807,324.464,10.673
2011-03-31,44.48600,25.22000,-32.09600,-6.87600,89.00200,4.36400,-25.40600,-187.87600,-151.58700,-113.88200,-13.62200,5.20700,-0.24400,,65.26000,65.26000,8.72000,65.32100,-24.06900,,-24.06900,,,-15.09500,-39.16400,-78.92900,10.61900
2010-12-31,71.795,49.953,4.313,54.266,-128.861,3.126,41.036,209.823,164.178,291.663,-50.579,6.422,-1.77,0,6.31,6.31,-2.031,-41.648,-484.3079,-2,-486.3079,1.823,1.823,-26.716,-511.201,-262.101,11.448
2010-09-30,55.715,28.618,-15.813,12.805,-56.229,34.199,27.846,159.382,154.991,223.917,-10.724,12.781,-5.9,0,1.606,1.606,-22.643,-24.88,-189.778,-0.001,-189.779,0.266,0.266,5.633,-183.88,25.112,13.335
2010-06-30,44.686,30.292,-10.018,20.274,-38.637,-6.756,-2.747,-25.29,27.997,93.916,-4.263,6.395,-58.955,0,54.421,54.421,11.275,8.873,-34.71,-11.545,-46.255,0.312,0.312,11.026,-34.917,63.268,11.231
2010-03-31,-16.18700,29.11200,19.56500,48.67700,43.59800,-4.11200,-20.99000,-54.66700,-24.35500,7.09100,-2.89800,3.34600,-3.76500,,-2.38400,-2.38400,0.85300,-4.84800,-60.15700,7.49800,-52.65900,,,-1.56500,-54.22400,-61.26200,10.78700
2009-12-31,51.13,28.004,31.14,59.144,-113.789,5.62,31.537,99.08,41.451,160.194,-15.553,5.32,-2.407,0,-3.704,-3.704,-5.113,-21.457,-19.362,-0.117,-19.479,294.52,294.52,-0.518,274.523,415.512,11.317
2009-09-30,-10.643,26.834,31.82,58.654,-6.227,6.702,17.944,68.312,88.174,136.17,-6.767,0.54,-11.682,0,-11.63,-11.63,-4.816,-34.355,-86.665,-2.781,-89.446,10.654,10.654,-8.371,-87.163,16.525,10.312
2009-06-30,-13.706,25.957,12.551,38.508,-13.951,-1.596,8.165,-144.592,-89.191,-71.245,-3.276,1.034,-7.866,0,-3.1,-3.1,-31.051,-44.259,-154.4,-0.431,-154.831,150.442,150.442,-9.232,-13.621,-113.943,8.175
2009-03-31,-54.41900,57.06200,23.20800,80.27000,120.58800,-7.78000,-68.95200,-69.25900,-36.35600,-11.47400,-2.60400,5.38900,-8.71500,,-4.81400,-4.81400,-8.54700,-19.29100,318.46500,-0.98100,317.48400,,,-14.45500,303.02900,264.64000,8.12100
