,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-08-31,760.168,164.079,280.825,444.904,-206.139,122.581,199.129,472.204,1649.212,-100.026,-64.847,0,0,0,-164.873,-0.191,0,-0.191,-586.838,-586.838,0,2.188,-584.841,872.446,151.312,0
2014-05-31,881.813,162.197,137.436,299.633,-222.822,23.992,-29.645,151.115,1363.26,-82.696,-65.631,0,0,0,-148.327,0.183,0,0.183,-246.167,-246.167,-624.682,4.686,-865.98,368.585,186.303,-624.682
2014-02-28,722.331,149.14,115.786,264.926,-2.455,-71.089,1.876,-717.38,292.38,-75.457,-472.202,0,0,0,-547.659,0.208,0,0.208,-626.651,-626.651,0,50.364,-576.079,-846.924,206.78,0
2013-11-30,811.64600,145.32700,45.14700,190.47400,-273.11600,-2.95800,-504.35600,-900.69900,181.23300,-58.16500,-137.38700,,,,-195.55200,0.34300,,0.34300,-541.28100,-541.28100,-630.23400,32.65600,-1138.51600,-1104.68700,126.90600,-630.23400
2013-08-31,727.327,153.707,62.742,216.449,43.998,-30.029,91.113,356.493,1275.51,-97.743,-434.843,0,0,0,-532.586,0.034,-0.015,0.019,-1039.096,-1039.096,0,15.441,-1023.636,-306.2,142.561,0
2013-05-31,874.063,142.131,48.756,190.887,52.382,55.338,-5.118,503.929,1502.209,-80.047,-71.182,0,0,0,-151.229,-0.028,0.069,0.041,-436.5,-436.5,-561.603,-0.845,-998.907,301.999,174.713,-561.603
2013-02-28,1187.098,157.266,-23.474,133.792,12.314,-20.834,154.4,-661.496,634.224,-88.652,-88.011,0,0,0,-176.663,-0.003,0,-0.003,-496.719,-496.719,0,31.298,-465.424,-42.806,184.434,0
2012-11-30,766.03100,139.92400,46.13800,186.06200,-418.38800,-9.54800,-641.46600,-1087.46400,-108.81500,-85.78500,-209.95200,,,,-295.73700,-0.00300,,-0.00300,-56.22500,-56.22500,-560.13500,38.70100,-577.66200,-961.63400,114.17000,-560.13500
2012-08-31,636.155,178.909,315.914,494.823,336.477,63.946,-231.463,511.472,1708.191,-111.916,-0.699,0,0,0,-112.615,-0.053,-5.213,-5.266,-639.019,-639.019,0,1.301,-642.984,1011.867,125.697,0
2012-05-31,762.831,135.001,80.039,215.04,-200.535,-35.131,146.815,410.194,1215.59,-89.733,-10.808,4.973,4.973,0,-95.568,-5.417,5.344,-0.073,-484.235,-484.235,-475.961,10.297,-949.972,59.913,150.872,-475.961
2012-02-29,714.19,147.01,128.426,275.436,200.331,-22.54,-22.68,-161.573,857.813,-84.43,-2.821,-0.04,-0.04,0,-87.291,-0.891,0,-0.891,-376.042,-376.042,0,-1.349,-378.282,476.84,160.959,0
2011-11-30,711.75700,132.62500,72.37900,205.00400,-464.73200,-74.35700,150.62200,-424.14500,475.25800,-79.91800,-160.05500,0.06200,0.06200,,-239.91100,-0.03800,,-0.03800,-145.15800,-145.15800,-474.89600,32.47500,-587.61700,-609.17200,100.55800,-474.89600
2011-08-31,682.865,141.34,33.844,175.184,57.873,80.765,-3.609,504.6421,1381.276,-133.606,-187.525,0.001,0.001,0,-321.13,-0.144,-0.069,-0.213,-641.801,-641.801,0,27.479,-614.535,444.394,106.419,0
2011-05-31,699.069,130.773,45.725,176.4979,-106.842,2.246,45.875,465.0388,1352.96,-111.225,-0.4,-0.207,-0.207,0,-111.832,-0.135,0,-0.135,-457.533,-457.533,-322.992,24.19,-756.47,579.14,125.53,-322.992
2011-02-28,565.75,121.084,113.405,234.489,-85.388,29.979,36.739,-230.7169,601.104,-77.365,-58.219,-0.001,-0.001,0,-135.585,0.075,0,0.075,-65.728,-65.728,0,18.761,-46.892,517.092,133.092,0
2010-11-30,605.55600,120.05900,62.28800,182.34700,-486.12400,-49.98500,-111.71900,-700.11000,106.39900,-74.76300,-60.04300,-0.03400,-0.03400,,-134.84000,-1.33500,,-1.33500,-449.44900,-449.44900,-320.65000,67.82700,-703.60700,-677.84000,85.09600,-320.65000
2010-08-31,510.263,124.958,182.269,307.227,25.948,138.299,-108.803,389.004,1251.605,-100.893,-12.545,3.518,3.518,0,-109.92,1.232,-0.388,0.844,-692.556,-692.556,0,-14.694,-706.406,526.181,99.193,0
2010-05-31,563.519,116.314,90.763,207.077,-116.05,16.639,-113.11,223.673,960.923,-56.853,-28.441,-1.337,-1.337,0,-86.631,-0.001,0.393,0.392,-298.139,-298.139,-272.706,22.422,-548.031,197.36,107.213,-272.706
2010-02-28,461.879,118.518,128.096,246.614,-48.606,36.592,185.163,-15.524,659.981,-42.64,-2.266,-2.948,-2.948,0,-47.854,-2.152,0,-2.152,-343.166,-343.166,0,2.442,-342.876,114.688,120.811,0
2009-11-30,524.79800,114.89800,92.96100,207.85900,-238.52500,-66.40400,-233.15700,-570.37300,219.11100,-34.03700,2.17700,2.50000,2.50000,,-29.36000,1.60300,,1.60300,-299.98900,-299.98900,-551.44200,18.11500,-831.71300,-541.59900,98.60500,-551.44200
2009-08-31,305.976,127.582,301.656,429.238,348.964,28.242,-125.719,307.91,1046.814,-73.925,-24.099,2.442,2.442,0,-95.582,-0.705,0.001,-0.704,-462.041,-462.041,0,-0.658,-463.403,539.203,109.988,0
2009-05-31,536.529,116.377,161.162,277.539,222.511,-65.302,-102.184,166.12,1014.619,-42.045,-2.582,8.039,8.039,0,-36.588,-0.032,-0.013,-0.045,-154.149,-154.149,0,-4.837,-159.031,1024.459,120.735,0
2009-02-28,1095.641,254.632,176.299,430.931,410.587,-269.106,-183.857,-472.612,1098.769,-122.82,-0.643,10.459,10.459,0,-113.004,-1.445,-4.775,-6.22,-834.484,-834.484,-378.446,-8.719,-1227.869,-624.76,222.1,-378.446
