,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2014-03-31,1066.00000,672.00000,-150.00000,522.00000,-871.00000,-798.00000,391.00000,265.00000,-1013.00000,575.00000,-647.00000,,-13.00000,-13.00000,6.00000,-654.00000,-253.00000,-48.00000,-301.00000,-723.00000,-723.00000,-477.00000,49.00000,-1452.00000,-1555.00000,-477.00000
2013-12-31,1028,689,-469,220,-135,556,-211,775,985,2233,-292,-66,126,126,3,-229,-748,-76,-824,-34,-34,-490,28,-1320,668,-490
2013-09-30,685,665,-593,72,532,-56,-69,238,645,1402,-559,66,-74,-74,39,-528,-175,29,-146,44,44,-469,21,-550,389,-469
2013-06-30,2443,659,-234,425,-420,499,50,744,873,3741,-482,0,5,5,0,-477,-1348,-35,-1383,-11,-11,-475,10,-1859,1369,-475
2013-03-31,660.00000,668.00000,173.00000,841.00000,-892.00000,-869.00000,-178.00000,885.00000,-1054.00000,447.00000,-309.00000,,74.00000,74.00000,,-235.00000,-1042.00000,45.00000,-997.00000,80.00000,80.00000,-100.00000,15.00000,-1002.00000,-804.00000,-100.00000
2012-12-31,-751,900,899,1799,-135,168,396,74,503,1551,-1006,-2,65,65,0,-943,613,-18,595,88,88,-911,55,-173,433,-911
2012-09-30,591,665,-472,193,-256,-249,113,711,319,1103,-610,0,-19,-19,0,-629,-269,-35,-304,17,17,-402,-59,-748,-243,-402
2012-06-30,740,674,-229,445,273,510,-433,-63,287,1472,-580,0,-73,-73,0,-653,104,-5,99,68,68,-389,1,-221,520,-389
2012-03-31,520.00000,679.00000,66.00000,745.00000,-2416.00000,-1300.00000,185.00000,2215.00000,-1316.00000,-51.00000,-341.00000,,-121.00000,-121.00000,,-462.00000,-1089.00000,-58.00000,-1147.00000,122.00000,122.00000,-420.00000,57.00000,-1388.00000,-1836.00000,-420.00000
2011-12-31,83,741,64,805,-219,827,359,166,1133,2021,-546,91,-76,-76,0,-531,2361,-359,2002,52,52,-381,146,1819,3238,-381
2011-09-30,903,714,-767,-53,756,122,-636,146,388,1238,-587,0,19,19,9,-559,-282,72,-210,13,13,-385,0,-582,-17,-385
2011-06-30,1077,697,-285,412,-781,-606,302,391,-694,795,-560,0,25,25,-17,-552,-889,-612,-1501,117,117,-260,5,-1639,-1339,-260
2011-03-31,721.00000,731.00000,320.00000,1051.00000,-1940.00000,-1045.00000,351.00000,687.00000,-1947.00000,-175.00000,-324.00000,-6.00000,-6.00000,-6.00000,-16.00000,-352.00000,-2903.00000,55.00000,-2848.00000,133.00000,133.00000,-274.00000,29.00000,-2960.00000,-3477.00000,-274.00000
2010-12-31,513,755,-610,145,330,196,634,17,1177,1835,-781,-1,136,136,0,-646,2579,40,2619,128,128,-255,105,2597,3816,-255
2010-09-30,597,716,-256,460,-203,-348,-534,1012,-73,984,-432,-2,53,53,225,-156,-68,-442,-510,13,13,-256,0,-753,155,-256
2010-06-30,659,734,187,921,200,7,52,-542,-283,1297,1150,0,-96,-96,-316,738,-874,-826,-1700,80,80,-258,2,-1876,145,-258
2010-03-31,552.00000,757.00000,-279.00000,478.00000,-1536.00000,-605.00000,343.00000,754.00000,-1044.00000,-14.00000,-190.00000,-5.00000,-88.00000,-88.00000,482.00000,199.00000,-477.00000,528.00000,51.00000,55.00000,55.00000,-253.00000,1.00000,-146.00000,77.00000,-253.00000
2009-12-31,178,811,-465,346,287,123,482,-12,880,1404,-842,1378,-88,-88,0,448,-1836,474,-1362,1,1,-251,10,-1602,265,-251
2009-09-30,795,752,-1143,-391,-328,-417,374,575,204,608,-253,0,1380,1380,-713,414,-1250,909,-341,1,-519,-252,0,-1112,-67,-252
2009-06-30,-332,763,-67,696,-926,237,62,403,-224,140,-93,5,-14813,-14813,-552,-15453,6872,-237,6635,1519,8519,-140,-103,14911,-308,-140
2009-03-31,35.00000,508.00000,383.00000,891.00000,-23.00000,120.00000,-614.00000,-486.00000,-1003.00000,-77.00000,-201.00000,-5.00000,30.00000,30.00000,,-176.00000,2707.00000,-1564.00000,1143.00000,-5.00000,-5.00000,-411.00000,-265.00000,462.00000,156.00000,-411.00000
