,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-03-31,62.40000,54.50000,14.40000,68.90000,-13.80000,-6.80000,3.40000,90.50000,16.30000,147.60000,-14.50000,,4.90000,,,,,-9.60000,-72.80000,-72.80000,-14.40000,-14.40000,-7.10000,-94.30000,44.20000,16.30000
2018-12-31,86.8,56.1,2.4,58.5,-35.2,-16,-11.2,-23.6,-53.6,101.9,-14.5,0,-22.1,0,0,0,-0.2,-36.8,-41.3,-41.3,-52.1,-52.1,-0.2,-93.6,-32.9,23.8
2018-09-30,73.7,58.8,15.9,74.7,-9.8,-7.2,-0.4,-6.8,-31.4,117,-17.1,0,-1208.5,0,0,0,-2.4,-1228,721.8999,721.8999,30.6,30.6,-7.1,745.4,-365.6,18.8
2018-06-30,64.1,51.3,28.6,79.9,23.4,-0.1,-1.5,-15.9,40.9,184.9,-17.8,0,-14.2,0,0,0,0.7,-31.3,162.7001,162.7001,-3.6,-3.6,-1.8,157.3,296.5,16.9
2018-03-31,58.70000,49.00000,-4.60000,44.40000,-29.40000,-21.70000,11.10000,61.40000,-20.20000,82.90000,-18.20000,,-518.70000,179.00000,,179.00000,4.40000,-353.50000,208.00000,208.00000,-27.70000,-27.70000,,180.30000,-84.00000,17.40000
2017-12-31,-35.8,47.9,8.5,56.4,-8.8,-19,-2,84.5,81,107.1,-17.3,0,-1.2,-24.9,0,-24.9,0.4,-43,217.9,217.9,-173,-173,-5.3,39.6,103.5,19.8
2017-09-30,57.2,48.7,18.4,67.1,-4,-16.3,5.8,-34.2,-55.1,69.2,-10.8,0,-154.1,-53.1,0,-53.1,0.2,-217.8,82.8,82.8,-67.9,-67.9,-2.7,12.2,-129.9,16.1
2017-06-30,47.3,44.6,9.1,53.7,4.1,0.4,18.4,-3.4,48.4,149.4,-9.9,0,-46.4,40.5,0,40.5,0.7,-15.1,-36,-36,4,4,-4.3,-36.3,104.1,15.2
2017-03-31,49.80000,42.20000,1.30000,43.50000,-34.00000,-2.40000,3.50000,58.40000,10.70000,104.00000,-5.70000,,-78.50000,-30.70000,,-30.70000,19.60000,-95.30000,25.90000,25.90000,25.40000,25.40000,-0.30000,51.00000,64.70000,13.70000
2016-12-31,37.7,42.7,25.2,67.9,16.4,0.5,8.1,-0.1,38.5,144.1,-6.3,0.3,-12.1,-48.8,-15,-63.8,13.6,-68.3,-50,-50,0.2,0.2,-15,-64.8,2.6,12.6
2016-09-30,39.2,46.4,15.8,62.2,7.1,14.5,-3.7,-13.1,-10,91.4,-7.5,-0.3,-2.3,-62.1,5.8,-56.3,0.4,-66,-55.3,-55.3,11.1,11.1,0,-44.2,-18.4,13.3
2016-06-30,35.6,49.3,17,66.3,-3.4,8.1,-5.5,-35.6,-20.7,81.2,-7.3,0,-1.6,0,4.6,4.6,0,-4.3,50,50,-67.2,-67.2,0,-17.2,57.2,13
2016-03-31,19.70000,49.40000,13.00000,62.40000,-16.30000,3.10000,11.90000,47.80000,32.30000,114.40000,-4.90000,,-7.70000,,4.60000,4.60000,-0.30000,-8.30000,-55.00000,-55.00000,3.90000,3.90000,,-51.10000,58.70000,13.70000
2015-12-31,23.9,49.9,22.1,72,-10,3.5,0.5,10.1,-15.3,80.6,-8.2,0.1,-54.6,0,-17.2,-17.2,20.9,-59,-27.1,-27.1,0.6,0.6,-1.4,-27.9,-7.6,12.8
2015-09-30,37,49.8,10.3,60.1,13.8,5.4,-13,-16.3,-24.7,72.4,-9.2,-0.1,-43.1,0,6.8,6.8,-0.1,-45.7,119,119,-148.3,-148.3,0.5,-28.8,-5.4,12.8
2015-06-30,25.8,50,6.5,56.5,29,-5.4,-5.1,-18.3,14.5,96.8,-15.9,0,-22.2,0,6.2,6.2,-0.4,-32.3,-24.1,-24.1,-59.1,-59.1,0.2,-83,-16.7,12
2015-03-31,34.00000,49.40000,14.50000,63.90000,-24.00000,-6.40000,11.20000,45.00000,9.30000,107.20000,-10.60000,,-24.30000,,-1.30000,-1.30000,0.80000,-35.40000,-68.00000,-68.00000,2.10000,2.10000,0.70000,-65.20000,-2.30000,12.50000
2014-12-31,55.9,49.7,14.3,64,4.2,-4.6,-0.4,-27.8,-23.3,96.6,-12.3,-0.6,-137,0,0,0,8.3,-141.6,87.4,87.4,-30.3,-30.3,0,57.1,8.5,11.3
2014-09-30,11.8,47.9,19.2,67.1,28.9,-5.9,-7.3,14.6,17,95.9,-6.6,-7,-145.8,0,-8.3,-8.3,-1,-168.7,-8.8,-8.8,-50.7,-50.7,0.6,-58.9,-139.4,11
2014-06-30,78.1,45.9,2,47.9,17.3,-7.9,-10,-12,5.2,131.2,-14.8,0,-14.1,0,-2.6,-2.6,12,-19.5,-8.7,-8.7,6.8,6.8,3.3,1.4,113.7,11
2014-03-31,68.10000,48.10000,-19.20000,28.90000,-63.60000,-13.40000,10.50000,64.00000,-13.60000,83.40000,-13.60000,,-11.00000,,,,10.40000,-14.20000,-93.80000,-93.80000,32.50000,32.50000,10.20000,-51.10000,18.00000,10.10000
2013-12-31,59.695,49.157,1.68,50.837,22.619,-14.045,6.667,-17.172,25.66,136.192,-13.254,-0.095,-58.399,0,-0.029,-0.029,3.385,-68.392,-50.735,-50.735,10.033,10.033,4.697,-36.005,31.914,10.342
2013-09-30,54.62,48.394,6.593,54.987,1.21,17.37,-3.531,-23.22,-3.242,106.365,-18.215,-0.105,-21.448,0,2.429,2.429,-3.941,-41.28,-95.698,-95.698,13.713,13.713,1.187,-80.798,-13.815,8.905
2013-06-30,54.953,46.424,-3.894,42.53,31.3,5.493,-12.855,8.956,37.172,134.655,-24.504,0,-113.761,0,0,0,-0.458,-138.723,-22.186,-22.186,9.517,9.517,2.832,-9.837,-14.48,8.435
2013-03-31,48.93200,45.52500,-11.27900,34.24600,-56.92900,-20.21800,-6.08100,49.03600,-45.79000,37.38800,-14.92700,,-65.19200,,,,3.71400,-76.40500,9.01900,9.01900,14.43700,14.43700,4.78400,28.24000,-14.21900,8.81800
2012-12-31,32.679,43.173,-14.669,28.504,18.087,-3.752,18.157,-19.773,35.623,96.806,-19.945,-1.17,-372.63,0,13.178,13.178,4.243,-376.324,264.3811,264.3811,22.045,22.045,8.672,295.098,15.931,9.032
2012-09-30,53.8,37.05,0.23,37.28,-2.265,-5.244,3.68,-1.879,-2.28,88.8,-12.818,0,-17.808,0,0,0,2.133,-28.493,-54.993,-54.993,9.98,9.98,1.419,-43.594,19.903,7.684
2012-06-30,53.165,34.816,-4.44,30.376,-1.013,-5.334,-0.057,7.22,3.895,87.436,-13.664,0.755,-236.284,0,0,0,-0.736,-249.929,73.837,73.837,0.48,0.48,7.674,81.991,-87.209,8.155
2012-03-31,50.07200,34.35900,-3.11600,31.24300,-44.21400,5.92800,4.20500,23.04700,-13.65700,67.65800,-7.64400,-0.75500,-101.39200,,,,0.25100,-109.54000,58.65000,58.65000,26.68200,26.68200,7.58000,92.91200,54.52500,7.78900
2011-12-31,28.663,34.981,-14.265,20.716,27.913,-18.795,-6.349,17.445,30.429,79.808,-7.276,1.666,-1.494,0,15.665,15.665,-10.28,-1.719,-72.747,-72.747,5.687,5.687,3.064,-63.996,16.366,7.418
2011-09-30,27.196,29.614,-1.293,28.321,-4.984,4.756,-6.737,-1.468,-4.412,51.105,-6.68,-1.1,-666.794,0,-3.267,-3.267,0.456,-677.385,509.889,509.889,9.519,9.519,0.748,520.156,-111.556,7.106
2011-06-30,54.178,21.148,2.349,23.497,10.186,-7.383,-7.601,5.171,5.114,82.789,-5.286,-0.316,-52.47,0,0,0,6.832,-51.24,-32.934,-32.934,2.878,2.878,2.593,-27.463,5.469,7.129
2011-03-31,38.87200,20.66800,-2.29000,18.37800,-34.84800,-8.71700,16.37700,8.14600,-29.32300,27.92700,-4.03600,-0.25000,-38.97900,,,,0.04400,-43.22100,-0.67200,-0.67200,27.78500,27.78500,8.35700,35.47000,23.55400,6.79800
2010-12-31,35.848,20.362,-15.072,5.29,11.981,-13,-2.219,-1.268,-4.14,36.998,-5.971,-1.438,-45.662,0,-2.5,-2.5,8.334,-47.237,-0.031,-0.031,12.663,12.663,7.668,20.3,9.732,6.96
2010-09-30,32.842,19.006,2.741,21.747,-9.088,-12.802,-1.519,0.669,-62.866,-8.277,-6.132,-0.328,-40.001,0,-2,-2,0.032,-48.429,-0.373,-0.373,0.675,0.675,0.559,0.861,-50.604,5.54
2010-06-30,6.771,18.201,-2.402,15.799,15.735,-10.306,-10.004,-1.686,17.236,39.806,-5.731,0,-29.185,0,-0.942,-0.942,5.066,-30.792,-0.04,-0.04,-51.292,-51.292,0.93,-50.402,-45.413,4.984
2010-03-31,28.15200,18.26800,3.96800,22.23600,-23.48600,-9.44100,27.31900,3.36500,5.11500,55.50300,-5.29900,-0.29700,-21.57100,,-2.75000,-2.75000,0.00100,-29.91600,-0.05400,-0.05400,8.64900,8.64900,0.48200,9.07700,33.22500,5.64100
2009-12-31,9.269,18.558,8.666,27.224,-9.32,11.992,3.699,12.188,19.017,55.51,-3.165,0,-1.194,7,-0.75,6.25,0.87,2.761,-0.015,-0.015,1.182,1.182,0.149,1.316,58.749,5.338
2009-09-30,15.847,18.49,-2.406,16.084,-0.458,8.856,-5.858,3.155,-1.484,30.447,-2.126,0,-11.795,-2,6.995,4.995,3.03,-5.896,-0.019,-0.019,7.898,7.898,1,8.879,36.94,4.541
2009-06-30,21.15,17.658,4.358,22.016,22.585,-0.229,-7.892,4.676,22.347,65.513,-4.154,-0.838,-21.735,1.999,-6.995,-4.996,-0.527,-32.25,-0.149,-0.149,1.173,1.173,0.283,1.307,38.331,4.554
2009-03-31,17.69700,16.76100,3.54500,20.30600,-13.22600,-7.32700,12.68200,4.83700,5.15800,43.16100,-3.26100,-26.00100,-17.29400,-1.99900,,-1.99900,0.01400,-48.54100,,,4.60200,4.60200,0.02100,4.62300,-2.70300,4.22600
