,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2011-06-30,-51.506,2.194,4.262,6.456,-2.39,0,3.746,9.799,-35.251,-1.281,0,0,48.58,48.58,-0.203,47.096,6.483,6.483,6.483,18.328,4.262
2011-03-31,-32.67400,1.70200,4.26800,5.97000,10.65800,,6.86300,17.13100,-9.57300,-0.30400,,,-121.28900,-121.28900,,-121.59300,171.50800,171.50800,171.50800,40.34200,4.26800
2010-12-31,-34.546,1.419,4.232,5.651,-4.017,0,12.151,6.937,-21.958,-0.415,0,0,18.854,18.854,-0.005,18.434,1.88,1.88,1.88,-1.644,4.232
2010-09-30,-34.856,1.534,3.736,5.27,-0.082,0,13.04,19.034,-10.552,-0.876,0,0,-16.923,-16.923,0.031,-17.768,1.598,1.598,1.598,-26.722,3.736
2010-06-30,-8.323,1.824,3.178,5.002,-1.365,0,-6.551,-1.936,-5.257,-1.204,0,0,34.763,34.763,0,33.559,2.859,2.859,2.859,31.161,3.178
2010-03-31,11.46000,2.21400,3.18400,5.39800,66.30700,,-34.01800,27.71700,44.57500,-1.05300,,,-44.71600,-44.71600,,-45.76900,1.04000,1.04000,1.04000,-0.15400,3.18400
2009-12-31,-12.117,1.617,3.36,4.977,-76.128,0,69.527,-9.051,-16.191,-0.706,0,0,-36.835,-36.835,-0.028,-37.569,0.186,0.186,0.186,-53.574,3.36
2009-09-30,-19.827,1.682,3.046,4.728,2.023,0,-4.367,0.443,-14.656,-0.677,0,0,-70.855,-70.855,0,-71.532,131.657,131.657,131.657,45.469,3.046
2009-06-30,-22.471,1.963,2.729,4.692,5.863,0,-2.009,5.425,-12.354,-1.32,0,0,-2.295,-2.295,0,-3.615,11.819,11.819,11.819,-4.15,2.729
2009-03-31,-27.26800,1.62000,2.71400,4.33400,-3.69400,,6.36500,4.38000,-18.55400,-1.88600,,,-32.84400,-32.84400,,-34.73000,53.22500,53.22500,53.22500,-0.05900,2.71400
