,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,250.12700,159.38900,11.81800,171.20700,,,,-380.60000,-380.60000,40.74900,-42.25300,,1.70200,-40.55100,-0.92100,288.86600,287.94500,-219.55300,-219.55300,-81.02800,-14.81300,-27.44900,-45.60000,14.61100,-81.02800
2017-12-31,853.031,214.893,-577.381,-362.488,-49.9,-90,166.7,200.218,201.918,625.168,-79.394,0.014,-57.327,-136.707,-896.655,470.242,-426.413,49.809,49.809,-79.984,-19.366,-475.954,-3.744,31.154,-79.984
2017-09-30,316.606,231.736,38.495,270.231,0,0,0,110.799,110.799,672.699,-59.771,-4.032,17.34,-46.463,-669.09,114.843,-554.247,14.634,14.634,-80.082,5.986,-613.709,-2.112,23.28,-80.082
2017-06-30,319.111,117.522,59.003,176.525,0,0,0,-203.716,-203.716,354.317,-42.156,-8806.282,14.119,-8834.319,7938.823,-229.111,7709.712,37.395,37.395,-79.484,-3.718,7663.905,-807.759,18.545,-79.484
2017-03-31,239.15200,51.74900,21.48300,73.23200,,,,-43.20100,-43.20100,231.81600,-41.47900,,11.56800,-29.91100,-0.07800,0.32600,0.24800,41.76200,41.76200,-79.45000,-22.70200,-60.14200,128.01500,17.32100,-79.45000
2016-12-31,203.03,79.24,-56.846,22.394,-113.855,-52.577,-118.893,342.329,114.134,342.038,-65.925,0,-1.15,-67.075,-3.647,-7.446,-11.093,20.494,20.494,-78.219,-2.829,-71.647,187.224,23.994,-78.219
2016-09-30,386.733,68.904,16.543,85.447,0,0,0,-25.02,-25.02,456.551,-59.02,0,-28.687,-87.707,-0.566,-8.771,-9.337,22.629,22.629,-78.142,0.001,-64.849,299.913,16.167,-78.142
2016-06-30,378.064,68.448,18.975,87.423,0,0,0,107.351,107.351,572.042,-62.082,0,-25.373,-87.455,-19.667,-70.452,-90.119,23.991,23.991,-77.987,-3.062,-147.177,332.108,16.183,-77.987
2016-03-31,164.87600,55.33300,34.00800,89.34100,,,,-316.12900,-316.12900,-62.05900,-51.99900,,-9.53800,-61.53700,-41.85000,85.77000,43.92000,19.71700,19.71700,-77.73400,-9.58300,-23.68000,-135.19600,15.76500,-77.73400
2015-12-31,198.017,52.104,35.237,87.341,-56.873,-40.733,160.111,227.114,300.327,544.959,-76.35,0,-50.506,-126.856,0.054,4.089,4.143,-253.234,-253.234,-62.405,2.533,-308.963,114.715,24.504,-62.405
2015-09-30,374.491,49.085,26.828,75.913,0,0,0,73.889,73.889,553.484,-70.448,0,-10.322,-80.77,797.46,-1118.951,-321.491,-70.038,-70.038,-61.991,6.326,-447.194,15.961,15.26,-61.991
2015-06-30,349.937,49.979,21.742,71.721,0,0,0,6.552,6.552,404.088,-44.639,0,-0.086,-44.725,0.096,-247.097,-247.001,-44.612,-44.612,-62.642,18.924,-335.331,11.055,14.499,-62.642
2015-03-31,131.40400,50.48800,16.83600,67.32400,,,,-250.01100,-250.01100,-55.06800,-42.90300,,6.62100,-36.28200,-0.09600,731.73300,731.63700,-577.41700,-577.41700,-62.60900,19.52400,111.13500,23.28100,18.07900,-62.60900
2014-12-31,132.743,53.797,22.417,76.214,-80.252,-101.112,78.603,98.81,2.148,200.218,-64.642,0,-79.865,-144.507,-498.897,627.37,128.473,-367.716,-367.716,-53.085,11.746,-280.582,-220.614,20.922,-53.085
2014-09-30,326.24,49.713,21.151,70.864,0,0,0,154.512,154.512,549.73,-69.033,0,-12.525,-81.558,0.462,-4.022,-3.56,-414.828,-414.828,-53.342,10.901,-460.829,-5.852,14.25,-53.342
2014-06-30,291.447,49.699,17.4,67.099,0,0,0,42.105,42.105,414.699,-37.506,0,-1.41,-38.916,-0.072,-22.993,-23.065,-398.316,-398.316,-53.746,3.769,-471.358,-99.267,13.705,-53.746
2014-03-31,115.45700,48.96000,16.22100,65.18100,,,,-252.80900,-252.80900,-83.11900,-29.36400,,-15.70500,-45.06900,-0.68000,-8.93200,-9.61200,-207.73400,-207.73400,-55.09000,18.13000,-254.30600,-378.42400,15.85800,-55.09000
2013-12-31,116.123,48.628,55.675,104.303,-41.473,25.031,34.685,146.218,133.454,305.855,-58.18,12.84,-39.12,-84.46,-9.319,-196.607,-205.926,-256.461,-256.461,-50.626,7.229,-505.784,-290.824,22.056,-50.626
2013-09-30,262.966,46.738,14.684,61.422,0,0,0,148.563,148.563,475.836,-36.374,-87.78,-2.306,-126.46,-0.191,245.648,245.457,-251.149,-251.149,-51.052,5.977,-50.767,294.629,11.971,-51.052
2013-06-30,257.287,45.872,14.848,60.72,0,0,0,78.947,78.947,393.206,-40.894,-5,-33.491,-79.385,-0.679,-18.075,-18.754,-131.196,-131.196,-51.555,12.153,-189.352,127.154,12.071,-51.555
2013-03-31,116.18500,46.55600,8.39300,54.94900,,,,-267.43000,-267.43000,-91.13100,-31.23200,,-16.77700,-48.00900,-0.27000,0.66800,0.39800,-60.70400,-60.70400,-51.74500,4.64600,-107.40500,-248.66000,11.90600,-51.74500
2012-12-31,68.052,49.853,3.786,53.639,-33.578,19.929,-51.124,248.811,224.504,318.621,-54.123,-52.349,-60.944,-167.416,996.532,-269.609,726.923,-66.003,-66.003,-40.345,35.629,656.204,807.409,21.304,-40.345
2012-09-30,234.953,44.965,16.704,61.669,0,0,0,74,74,367.153,-33.017,-2.9,-48.984,-84.901,-0.517,-275.423,-275.94,3.804,3.804,-40.156,38.604,-273.688,8.565,11.099,-40.156
2012-06-30,227.813,43.987,10.935,54.922,0,0,0,70.404,70.404,356.951,-37.189,-43.993,17.085,-64.097,-7.986,-68.634,-76.62,-160.532,-160.532,-40.075,5.494,-271.733,21.123,11.177,-40.075
2012-03-31,100.21600,44.48300,9.46800,53.95100,,,,-305.68800,-305.68800,-154.83900,-32.78300,,6.74200,-26.04100,-2.33200,328.82700,326.49500,-113.90900,-113.90900,-40.36300,3.57200,175.79500,-7.20300,10.76800,-40.36300
2011-12-31,14.552,44.834,17.934,62.768,-93.697,-19.222,64.053,254.034,209.493,289.849,-56.918,-14.589,-25.322,-96.829,-4.347,-171.672,-176.019,-10.597,-10.597,-37.861,18.763,-205.714,-13.33,16.401,-37.861
2011-09-30,179.877,48.136,6.457,54.593,0,0,0,96.726,96.726,337.797,-27.954,-27.235,-40.36,-95.549,-1.952,-40.139,-42.091,-192.688,-192.688,-37.802,1.669,-270.912,-25.537,10.342,-37.802
2011-06-30,179.115,44.208,8.408,52.616,0,0,0,32.05,32.05,261.332,-41.978,-2.612,-11.801,-56.391,-5.218,-111.99,-117.208,-27.18,-27.18,-38.845,3.306,-179.927,17.616,10.34,-38.845
2011-03-31,68.31600,43.72600,14.43000,58.15600,,,,-277.22800,-277.22800,-153.16600,-26.95100,,-2.04900,-29.00000,2.41300,280.45500,282.86800,-67.37100,-67.37100,-39.00400,4.85100,181.34400,-4.63800,11.09300,-39.00400
2010-12-31,72.918,57.348,23.101,80.449,-111.113,-82.06,155.116,37.831,71.633,228.98,-49.046,-33.821,-0.034,-82.901,-53.844,33.174,-20.67,-92.292,-92.292,-38.738,5.074,-146.626,-6.363,13.778,-38.738
2010-09-30,175.258,43.035,7.77,50.805,0,0,0,19.463,19.463,241.154,-28.663,-215.279,-8.656,-252.598,19.318,143.936,163.254,-68.159,-68.159,-38.903,-19.099,37.093,16.547,9.009,-38.903
2010-06-30,181.706,39.562,5.359,44.921,0,0,0,116.819,116.819,352.274,-22.03,-49.061,-40.821,-111.912,-110.98,-42.169,-153.149,-106.992,-106.992,-39.415,9.975,-289.581,-42.772,8.977,-39.415
2010-03-31,32.60300,39.85000,0.54800,40.39800,,,,-194.98900,-194.98900,-115.81800,-25.42300,,-17.11500,-42.53800,0.88200,222.89400,223.77600,-6.02500,-6.02500,-39.36800,-2.83700,175.54600,21.84400,10.51200,-39.36800
2009-12-31,65.338,56.618,7.066,63.684,108.19,145.867,-82.607,-55.774,103.666,243.545,-27.772,-1.347,4.915,-24.204,493.89,-388.212,105.678,-244.874,-244.874,-37.927,-5.783,-182.906,36.559,3.12,-37.927
2009-09-30,175.208,43.034,17.97,61.004,0,0,0,128.473,128.473,349.217,-22.66,-0.035,8.368,-14.327,-2.667,-89.097,-91.764,-211.863,-211.863,-41.444,4.04,-341.031,-16.489,8.904,-41.444
2009-06-30,158.023,43.285,12.748,56.033,0,0,0,164.463,164.463,378.692,-18.46,-1.04,-21.766,-41.266,-12.957,-267.267,-280.224,-21.627,-21.627,-41.547,1.456,-341.942,7.014,8.895,-41.547
2009-03-31,37.27900,42.11100,14.96200,57.07300,,,,-210.62200,-210.62200,-112.26800,-22.43600,-13.01800,-15.14800,-50.60200,-6.62400,249.58700,242.96300,-15.40300,-15.40300,-41.64300,-2.86800,183.04900,16.03300,2.35200,-41.64300
