,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-09-30,308,40,-164,-124,-59,-23,-5,-109,75,-31,15,590,0,590,574,-1,0,-1,-416,-416,-69,79,-407,264,29,-69
2013-06-30,262,24,-241,-217,-122,19,51,-114,-69,-18,-2,489,0,489,469,-1,0,-1,-491,-491,-71,146,-417,-13,17,-71
2013-03-31,192.00000,52.00000,26.00000,78.00000,200.00000,-5.00000,-79.00000,-301.00000,-31.00000,-46.00000,15.00000,-113.00000,,-113.00000,-144.00000,592.00000,,592.00000,-317.00000,-317.00000,-72.00000,9.00000,212.00000,2.00000,45.00000,-72.00000
2012-12-31,336,0,-289,-289,-108,49,5,123,170,1,2,-375,0,-375,-372,-1,0,-1,-272,-272,-73,231,-115,-311,7,-73
2012-09-30,206,45,148,193,-73,-43,-201,-217,182,-39,22,173,0,173,156,-1,0,-1,-292,-292,-63,0,-356,7,44,-63
2012-06-30,182,53,114,167,121,-17,-66,-96,253,-43,-37,114,0,114,34,337,0,337,-406,-406,-64,-62,-195,52,52,-64
2012-03-31,157.00000,53.00000,56.00000,109.00000,141.00000,9.00000,-98.00000,-197.00000,69.00000,-49.00000,38.00000,1163.00000,,1163.00000,1152.00000,-1.00000,,-1.00000,-1335.00000,-1335.00000,-70.00000,-5.00000,-1411.00000,-161.00000,43.00000,-70.00000
2011-12-31,178,93,70,163,-332,24,-28,-297,44,-83,54,1283,0,1283,1254,-602,0,-602,-322,-322,-72,-185,-1181,96,45,-72
2011-09-30,128,92,104,196,-6,-26,77,153,477,-41,-38,-41,0,-41,-120,-1,0,-1,-724,-724,0,-15,-740,-418,45,0
2011-06-30,349,90,-25,65,-87,-2,-114,-320,94,-30,1024,-969,0,-969,25,-616,0,-616,58,58,0,-128,-686,-561,39,0
2011-03-31,497.00000,91.00000,-237.00000,-146.00000,175.00000,-10.00000,-62.00000,-118.00000,233.00000,-26.00000,52.00000,1241.00000,,1241.00000,1267.00000,,,,70.00000,70.00000,,-2991.00000,-2921.00000,-1444.00000,39.00000,
2010-12-31,292,96,-111,-15,-3,-21,-72,55,332,-81,10,423,0,423,352,-527,0,-527,27,27,0,153,-347,360,36,0
2010-09-30,110,85,25,110,-48,-54,-135,89,309,-37,-2,295,0,295,256,-3,0,-3,84,84,0,113,194,955,39,0
2010-06-30,162,85,92,177,-227,-21,-41,-236,103,-37,218,-151,0,-151,30,-480,-1,-481,5,5,0,133,-343,-295,36,0
2010-03-31,69.00000,87.00000,39.00000,126.00000,195.00000,-15.00000,-119.00000,-136.00000,59.00000,-10.00000,15.00000,-120.00000,,-120.00000,-115.00000,-1.00000,-4.00000,-5.00000,63.00000,63.00000,,398.00000,456.00000,319.00000,33.00000,
2009-12-31,142,-99,639,540,-22,-944,-196,722,1404,1,64,-1022,0,-1022,-957,-2,-15,-17,6,6,0,-610,-621,-181,-62,0
2009-09-30,12,105,-191,-86,327,65,71,161,87,-5,71,-564,0,-564,-498,-1,-17,-18,54,54,0,543,579,169,49,0
2009-06-30,26,192,206,398,1,408,165,-274,150,-63,83,-675,0,-675,-655,0,-23,-23,0,0,0,6,-17,-384,74,0
2009-03-31,-231.00000,190.00000,-221.00000,-31.00000,-204.00000,582.00000,225.00000,-752.00000,-1014.00000,-68.00000,122.00000,1525.00000,,1525.00000,1579.00000,-129.00000,-31.00000,-160.00000,56.00000,56.00000,-114.00000,,-218.00000,201.00000,76.00000,-114.00000
