,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-03-31,-9.00000,205.00000,38.00000,243.00000,-9.00000,-15.00000,146.00000,122.00000,356.00000,-86.00000,,,,,,-86.00000,,,,,,-70.00000,-54.00000,-124.00000,147.00000,4.00000,-70.00000
2016-12-31,-288,203,235,438,-37,-3,-738,-124,26,-386,0,0,0,0,-18,-404,74,0,74,0,0,-71,-33,-30,-408,4,-71
2016-09-30,0,148,-94,54,31,-85,77,91,145,-434,0,0,0,0,1,-433,0,0,0,0,0,-69,-97,-166,-454,6,-69
2016-06-30,83,181,643,824,20,65,-181,-807,100,-703,-1,0,0,0,8,-696,0,0,0,0,0,-70,-12,-82,-681,5,-70
2016-03-31,47.00000,146.00000,57.00000,203.00000,4.00000,16.00000,105.00000,96.00000,346.00000,-674.00000,1.00000,,,,11.00000,-662.00000,,,,,,-70.00000,2787.00000,2717.00000,2403.00000,4.00000,-70.00000
2015-12-31,36,132,245,377,-20,1,-243,-331,133,-675,2,0,0,0,-4,-677,0,0,0,0,0,-70,-32,-102,-657,4,-70
2015-09-30,97,129,44,173,20,-64,383,305,575,-758,-554,0,0,0,14,-1298,1000,0,1000,-32,-32,-69,-40,859,133,5,-69
2015-06-30,365,104,18,122,-28,60,-475,-519,-32,-582,0,0,13,13,-2,-571,0,0,0,-286,-286,-71,-9,-366,-969,4,-71
2015-03-31,236.00000,115.00000,-20.00000,95.00000,24.00000,-68.00000,171.00000,200.00000,531.00000,-442.00000,,,,,12.00000,-430.00000,,,,-230.00000,-230.00000,-72.00000,-12.00000,-314.00000,-218.00000,4.00000,-72.00000
2014-12-31,251.3,94.5,91.7,186.2,-58.1,50.4,-152.9,-193.4,244.1,-535.5,18.4,0,0,0,51.2,-465.9,-0.2,0,-0.2,-337.8,-337.8,-74.6,-19.9,-432.5,-654.4,3.4,-74.6
2014-09-30,140.6,95.4,-1.8,93.6,109.2,-50.4,398,387.4,621.6,-583.4,0,5,0,5,500,-78.4,0,0,0,2.3,2.3,-74.2,-10.8,-82.7,457.1,3.6,-74.2
2014-06-30,324.7,97.8,26.2,124,-44.3,176.3,-420.3,-643.4,-194.7,-288,0,0,0,0,19.3,-268.7,0,0,0,-809.1,-809.1,-52,-13.5,-874.6,-1336.1,6.2,-52
2014-03-31,720.40000,105.30000,-720.10000,-614.80000,32.20000,-112.30000,377.20000,644.40000,750.00000,-391.10000,1353.60000,,,,-493.50000,469.00000,1494.20000,,1494.20000,-772.40000,-772.40000,-55.20000,-63.80000,602.80000,1819.40000,3.80000,-55.20000
2013-12-31,341.4,96.8,-122.2,-25.4,-44.2,6,-299.7,-278.5,37.5,-189.4,-72.5,6.9,0,6.9,-33.4,-288.4,0,0,0,-293.6,-293.6,-57.2,35.8,-315,-575.4,3.1,-57.2
2013-09-30,243.9,100.1,60.6,160.7,100.2,-42.4,408.3,456.4,861,-226.8,0,1,0,1,-39.2,-265,0,0,0,-194.8,-194.8,-23,-17.7,-235.5,352.1,3.3,-23
2013-06-30,518.1,106.6,44.8,151.4,-30.2,65.9,-670.3,-779.9,-110.4,-245.5,0,5.6,0,5.6,-29.3,-269.2,1498,0,1498,-414.9,-414.9,-23.7,-960.8,98.6,-276.2,3,-23.7
2013-03-31,429.40000,107.10000,-83.40000,23.70000,-25.40000,-109.80000,369.10000,225.60000,678.70000,-149.50000,,,,,-47.20000,-196.70000,,,,-495.50000,-495.50000,-25.20000,-7.70000,-528.40000,-64.60000,3.20000,-25.20000
2012-12-31,355.3,101.1,-145.9,-44.8,121,31.6,-262.1,110.8,421.3,-256.7,0,17.4,0,17.4,-53.2,-292.5,-40.5,0,-40.5,2,2,-25.3,-12.9,-76.7,53.6,3.1,-25.3
2012-09-30,458.1,99.7,-68.2,31.5,21.8,-73.2,499,416,905.6,-99.2,0,15,0,15,0,-84.2,40.5,0,40.5,7.2,7.2,-25.1,-4.9,17.7,838.3,3.2,-25.1
2012-06-30,678.3,115.9,-82.2,33.7,102.1,32.9,-285.5,-266.5,445.5,-90.2,0,16,0,16,0,-74.2,-13,0,-13,-498.1,-498.1,-26.1,-166.4,-703.6,-330.3,2.4,-26.1
2012-03-31,431.70000,103.10000,45.50000,148.60000,-191.70000,43.50000,159.60000,22.90000,603.20000,-60.40000,,,,,-2.20000,-62.60000,,,,3.50000,3.50000,-26.20000,-11.50000,-34.20000,506.30000,3.20000,-26.20000
2011-12-31,502.2,101.3,20.9,122.2,-1.8,36.6,-578.5,-500.6,123.8,-74.6,0,1,0,1,-50.4,-124,0,0,0,-197.3,-197.3,-26.1,3.2,-220.2,-219.1,2.6,-26.1
2011-09-30,382.4,101.6,38.4,140,145,-71.2,472.4,510.6,1033,-59.9,0,12.3,0,12.3,-0.1,-47.7,0,0,0,-796,-796,-28.3,-93.2,-917.5,70.5,2.9,-28.3
2011-06-30,543.8,94.8,-10.9,83.9,-160.4,119.5,-349.8,-376.8,250.9,-42.3,0,24.1,0,24.1,0,-18.2,0,0,0,5.7,5.7,-7.2,-9.7,-11.2,221.5,2.7,-7.2
2011-03-31,332.60000,118.50000,-45.30000,73.20000,-18.30000,-123.40000,321.70000,265.40000,671.20000,-15.70000,,0.50000,,0.50000,31.30000,16.10000,-346.00000,,-346.00000,2.90000,2.90000,-7.10000,-0.30000,-350.50000,336.40000,2.40000,-7.10000
2010-12-31,226.7,106.3,6.6,112.9,-7,3.5,101.6,220.8,560.4,-65.8,0,15.6,0,15.6,-54.8,-105,-300,0,-300,3.8,3.8,-7.1,-1.9,-305.2,149.3,2.5,-7.1
2010-09-30,71.2,110.4,55.9,166.3,122.5,-24.4,299.5,350.5,588,-81.1,0,0.8,0,0.8,0.8,-79.5,-350,0,-350,0.7,0.7,-7.1,-105.4,-461.8,47,2,-7.1
2010-06-30,136.6,149.8,-15.9,133.9,-18.5,179.5,-381.8,-272,-1.5,-71.7,-3177.8,31.6,0,31.6,30,-3187.9,1838.5,0,1838.5,1150.2,1150.2,-27.2,-181.3,2780.2,-409.1,2,-27.2
2010-03-31,6.20000,28.30000,-15.10000,13.20000,-26.40000,-78.80000,133.30000,28.10000,47.50000,-23.00000,,161.60000,167.10000,328.70000,-3.50000,302.20000,,,,0.30000,0.30000,-4.80000,-31.70000,-36.20000,313.40000,1.80000,-4.80000
2009-12-31,57.3,27.7,-16.2,11.5,-21.7,13,47.4,42.5,111.3,-53.9,0,27.1,120.4,147.5,0,93.6,0,0,0,0.3,0.3,-4.9,0.2,-4.4,199.6,1.9,-4.9
2009-09-30,60,27,-25.7,1.3,2.6,20.2,44.2,22,83.3,-50.9,0,-99,-247.2,-346.2,-2.5,-399.6,0,0,0,1.8,1.8,-4.9,3.5,0.4,-318.6,1.7,-4.9
2009-06-30,248.2,24.4,-19.5,4.9,54.2,273.1,-376.1,-58.2,194.9,-52.5,0,-20.6,0,-20.6,0,-73.1,0,0,0,0.9,0.9,-4.8,-111.5,-115.4,12.3,1.5,-4.8
2009-03-31,83.00000,21.90000,-45.50000,-23.60000,-13.80000,134.00000,99.10000,232.90000,292.30000,-69.10000,,-32.00000,,-32.00000,-7.50000,-108.60000,,,,0.20000,0.20000,-4.80000,0.10000,-4.50000,178.80000,1.50000,-4.80000
