,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-06-30,-2132,759,444,1203,313,239,-1295,517,-226,-1162,-421,-38,315,-45,-57,-102,-418,-663,-1939,-1507,-3446,0,0,-235,-399,-4079,-5866,-235
2020-03-31,6233.00000,779.00000,-5495.00000,-4716.00000,-503.00000,-1077.00000,-617.00000,-445.00000,-2642.00000,-233.00000,-476.00000,-60.00000,20499.00000,-1289.00000,-103.00000,-1392.00000,535.00000,19105.00000,-5742.00000,-1905.00000,-7647.00000,,,-89.00000,-183.00000,-7919.00000,10697.00000,-89.00000
2019-12-31,722,-648,870,222,-994,532,1420,4182,5140,6701,-458,-74,-68,-1600,-523,-2123,6648,3927,-2095,465,-1630,0,0,-238,-177,-2044,8665,-238
2019-09-30,-9383,1500,9069,10569,-1161,-162,431,-55,-947,1841,-345,-67,3103,0,146,146,-1166,1668,-7321,249,-7072,0,0,-87,-369,-7528,-4150,-87
2019-06-30,104,1327,-863,464,-1241,-786,613,529,-885,70,-707,-72,451,0,24,24,195,-108,-1891,11,-1880,0,0,-236,-709,-2826,-2941,-236
2019-03-31,3645.00000,1362.00000,-2860.00000,-1498.00000,545.00000,-1165.00000,215.00000,-1011.00000,-1416.00000,122.00000,-327.00000,-69.00000,3434.00000,,353.00000,353.00000,99.00000,3490.00000,-2815.00000,-445.00000,-3260.00000,,,-88.00000,-387.00000,-3735.00000,-45.00000,-88.00000
2018-12-31,861,1485,156,1641,993,874,-109,1661,3419,8567,-647,-71,2948,2534,515,3049,1363,6644,-1823,-2442,-4265,6,6,-1192,-1388,-6839,8185,-1192
2018-09-30,-22860,1308,18210,19518,-1355,68,496,-127,-918,-2914,-394,-69,3115,0,444,444,3103,6199,501,150,651,0,0,-1046,-3658,-4054,-925,-1046
2018-06-30,669,1915,-621,1294,-390,-496,338,-1240,-1788,-987,-327,-83,2349,0,534,534,3530,6003,-6820,-770,-7590,2,2,-1193,-234,-9014,-4491,-1193
2018-03-31,-1113.00000,1874.00000,1433.00000,3307.00000,752.00000,-1019.00000,-59.00000,-464.00000,-790.00000,312.00000,-1166.00000,-97.00000,41.00000,,303.00000,303.00000,354.00000,-566.00000,-9057.00000,-1281.00000,-10338.00000,-8.00000,-8.00000,-1043.00000,-510.00000,-11899.00000,-11945.00000,-1043.00000
2017-12-31,-10872,766,-1036,-270,-5250,2050,702,2676,178,3662,191,-36,3955,0,-379,-379,-1096,2635,-5260,1168,-4092,70,70,-2233,4093,-2161,3775,-2233
2017-09-30,1191,2027,758,2785,-820,-1084,234,-40,-1710,857,-176,-145,-296,0,131,131,921,435,-4212,-281,-4493,112,112,-2085,324,-6142,-4135,-2085
2017-06-30,1019,1669,-338,1331,0,173,-463,-713,-1003,2117,-469,-143,-1612,0,747,747,1075,-400,3471,35,3506,-1154,-1154,-2248,-7,97,2219,-2248
2017-03-31,-187.00000,1732.00000,-743.00000,989.00000,2168.00000,-815.00000,-304.00000,-1254.00000,-205.00000,-82.00000,-658.00000,-130.00000,-97.00000,,306.00000,306.00000,3289.00000,2709.00000,-8340.00000,777.00000,-7563.00000,-1578.00000,-1578.00000,-2084.00000,948.00000,-10278.00000,-7518.00000,-2084.00000
2016-12-31,2330,3429,-11940,-8511,697,1779,1277,-970,2783,3033,-1069,-749,5383,0,-93,-93,4159,7632,-7954,-114,-8068,-3460,-3460,-2195,-1847,-15571,-5883,-2195
2016-09-30,1951,1136,-117,1019,-1116,35,-181,-432,-1694,962,124,0,9316,0,1439,1439,-1144,9735,-4710,-1779,-6489,-3677,-3677,-2103,849,-11419,-867,-2103
2016-06-30,2823,1295,-2140,-845,866,-1138,-126,-122,-520,-3479,-590,0,11760,0,-1135,-1135,-10052,-15,-30690,-225,-30915,-7966,-7966,-2274,-200,-41355,-44905,-2274
2016-03-31,107.00000,1210.00000,-981.00000,229.00000,1013.00000,-1491.00000,258.00000,632.00000,412.00000,644.00000,-1240.00000,,36517.00000,,-11.00000,-11.00000,-3481.00000,31783.00000,-13922.00000,983.00000,-12939.00000,-6326.00000,-6326.00000,-2234.00000,-620.00000,-22119.00000,10340.00000,-2234.00000
2015-12-31,6403,1293,-5546,-4253,-961,1452,-917,269,-157,6745,-1888,-778,21849,0,296,296,-19763,-283,-9874,-7840,-17714,-1734,-1734,-2334,-4463,-26247,-19732,-2334
2015-09-30,2545,1265,-2331,-1066,-694,-617,-391,-189,-1891,761,-459,0,31995,0,310,310,11379,43224,-13111,-14547,-27658,136,136,-2326,-1250,-31097,12258,-2326
2015-06-30,-1135,1188,8134,9322,-998,-884,1038,-76,-920,6295,-813,0,16439,0,243,243,-3161,12708,-5676,-2261,-7937,260,260,-2316,-470,-10464,9479,-2316
2015-03-31,-13608.00000,1101.00000,15323.00000,16424.00000,2601.00000,-265.00000,-271.00000,-1000.00000,1065.00000,6090.00000,-1129.00000,,-412.00000,,194.00000,194.00000,5185.00000,3839.00000,-4426.00000,189.00000,-4237.00000,239.00000,239.00000,-2319.00000,-1929.00000,-8246.00000,-2143.00000,-2319.00000
2014-12-31,5339,1133,3047,4180,-1222,1896,-766,-2473,-2565,11464,-1664,0,22,0,2959,2959,-4431,-3115,-15732,-7273,-23005,-2701,-2701,-2209,22038,-5877,337,-2209
2014-09-30,3462,1425,1432,2857,-715,-440,-136,643,-648,6035,-340,0,34,0,-1960,-1960,465,-1801,-434,272,-162,2864,2864,-2211,796,1287,3965,-2211
2014-06-30,3592,206,2230,2436,-458,-883,496,665,-180,5249,-110,0,-83,0,-3227,-3227,1510,-1910,-4866,2747,-2119,-44,-44,-2209,507,-3865,-403,-2209
2014-03-31,2952.00000,2189.00000,-1882.00000,307.00000,482.00000,-1445.00000,971.00000,650.00000,658.00000,4961.00000,-2097.00000,,-1202.00000,,3488.00000,3488.00000,1603.00000,1792.00000,-2749.00000,-2155.00000,-4904.00000,-1337.00000,-1337.00000,-2223.00000,-37.00000,-8501.00000,-1675.00000,-2223.00000
2013-12-31,3364,-1950,8326,6376,-681,427,-529,-2282,-3065,11348,1972,0,-5164,0,-5173,-5173,5460,-2905,-1273,-1870,-3143,-2772,-1782,-1926,273,-6578,2109,-1926
2013-09-30,3181,2577,-271,2306,-27,-343,102,12,-256,5231,-1353,0,-7716,0,1745,1745,2401,-4923,2142,-497,1645,-906,-1896,-1940,12,-2179,-2198,-1940
2013-06-30,3299,2266,344,2610,-339,-475,119,2107,1412,7321,-1842,0,545,0,370,370,6387,5460,-10193,1405,-8788,-3867,-2877,-1972,-225,-13862,-1078,-1972
2013-03-31,3511.00000,2309.00000,-3600.00000,-1291.00000,562.00000,-977.00000,750.00000,2055.00000,2390.00000,4610.00000,-2815.00000,,6655.00000,,21908.00000,21908.00000,5737.00000,31485.00000,-5944.00000,-13086.00000,-19030.00000,-1733.00000,-1733.00000,-1983.00000,-210.00000,-22956.00000,12425.00000,-1983.00000
2012-12-31,4146,2493,4391,6884,-993,675,-658,1199,223,11253,-3271,0,2473,0,-2485,-2485,2050,-1233,-13986,-316,-14302,-1884,-1884,-1788,-194,-18168,-8113,-1788
2012-09-30,3508,2287,586,2873,-4,-304,-635,423,-520,5861,-1083,0,193,0,3540,3540,5247,7897,-4122,2156,-1966,-1775,-42,-1800,-367,-4175,11164,-1800
2012-06-30,3138,2192,2652,4844,-345,-212,0,326,-231,7751,-3114,0,-171,0,-538,-538,3142,-681,-14559,1834,-12725,-632,1595,-1802,-2200,-15132,-9362,-1802
2012-03-31,3072.00000,2220.00000,324.00000,2544.00000,463.00000,-1433.00000,856.00000,964.00000,850.00000,6466.00000,-1467.00000,,-106.00000,,6462.00000,6462.00000,430.00000,5319.00000,-8256.00000,-3455.00000,-11711.00000,127.00000,127.00000,-1799.00000,-216.00000,-13599.00000,-852.00000,-1799.00000
2011-12-31,3521,2042,2883,4925,-1010,1240,-110,570,690,9136,-2356,0,248,0,-2867,-2867,2440,-2535,-15742,9627,-6115,-155,-3455,-1662,-345,-11577,-6878,-1662
2011-09-30,3433,2350,2345,4695,297,-196,137,717,955,9083,-1381,0,1628,0,1695,1695,-299,1643,-8159,2060,-6099,-886,-886,-1668,-367,-9020,287,-1668
2011-06-30,3670,2302,2032,4334,-942,-924,-53,1359,-560,7444,-1637,0,388,0,5307,5307,-569,3489,-1861,662,-1199,-296,-296,-1564,-636,-3695,8890,-1564
2011-03-31,3527.00000,2292.00000,812.00000,3104.00000,985.00000,-1288.00000,1230.00000,138.00000,1065.00000,7696.00000,-1396.00000,,4361.00000,,10650.00000,10650.00000,3670.00000,17285.00000,-16097.00000,254.00000,-15843.00000,-4697.00000,-4697.00000,-1564.00000,-467.00000,-22571.00000,3238.00000,-1564.00000
2010-12-31,4535,2337,1966,4303,-749,460,-209,1309,811,9649,-1299,0,2149,0,-1130,-1130,-1826,-2106,-5837,1379,-4458,-1458,-1458,-1356,-588,-7860,575,-1356
2010-09-30,2055,2611,3712,6323,-203,-640,615,1798,1570,9948,-795,0,-448,0,8207,8207,-156,6808,-10275,2601,-7674,-2616,-2616,-1147,-1455,-12892,4544,-1147
2010-06-30,3109,2373,2135,4508,378,336,-189,1291,1816,9433,-810,0,835,0,4006,4006,4694,8725,-12207,1768,-10439,98,98,-1144,-1310,-12795,4214,-1144
2010-03-31,1945.00000,2465.00000,-126.00000,2339.00000,514.00000,186.00000,666.00000,1444.00000,2810.00000,7094.00000,312.00000,,1824.00000,,10675.00000,10675.00000,6198.00000,19009.00000,-23971.00000,-2373.00000,-26344.00000,80.00000,80.00000,-1143.00000,-632.00000,-28039.00000,-2692.00000,-1143.00000
2009-12-31,3013,2724,-240,2484,1092,751,891,2258,4992,10489,-38,0,-1612,0,-452,-452,9441,7339,-4197,-248,-4445,125,125,-1141,-2484,-7945,10886,-1141
2009-09-30,2494,2658,130,2788,-6,140,-371,3349,3112,8394,-265,0,689,0,11173,11173,-3760,7837,-5456,-236,-5692,14,14,-1140,-181,-6999,9058,-1140
2009-06-30,2604,2504,-3530,-1026,235,368,688,2866,4157,5735,-477,0,1166,0,7940,7940,2530,11159,5358,-12458,-7100,239,239,-3355,-1345,-11561,5670,-3355
2009-03-31,2914.00000,2731.00000,-7580.00000,-4849.00000,1952.00000,-158.00000,-1672.00000,1612.00000,1734.00000,-201.00000,-1377.00000,,1893.00000,,18004.00000,18004.00000,-2477.00000,16043.00000,3851.00000,-16956.00000,-13105.00000,245.00000,245.00000,-3350.00000,-798.00000,-17008.00000,-1537.00000,-3350.00000
