,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2016-09-30,283,761,272,1033,555,26,-371,-217,-145,1171,-406,0,247,-21,226,19,-161,-682,-502,-1184,-7,-7,-450,-8,-1649,-651,-450
2016-06-30,553,754,99,853,559,379,-3,-104,908,2314,-655,0,-178,-61,-239,9,-885,5,-95,-90,-2,-2,-450,1,-541,878,-450
2016-03-31,272.00000,740.00000,269.00000,1009.00000,14.00000,-74.00000,211.00000,-123.00000,-791.00000,490.00000,-567.00000,,43.00000,-25.00000,18.00000,-23.00000,-572.00000,-495.00000,486.00000,-9.00000,-45.00000,-45.00000,-448.00000,-1.00000,-503.00000,-574.00000,-448.00000
2015-12-31,-90,774,2,776,150,1434,-272,-304,1149,1835,-777,4,-397,-336,-733,-38,-1544,-470,1100,630,-1,-1,-448,-20,161,414,-448
2015-09-30,562,758,181,939,231,508,-567,-310,5,1506,-620,6,-123,-144,-267,-1,-882,-292,-50,-342,-1499,-1499,-463,2,-2302,-1775,-463
2015-06-30,803,761,230,991,377,421,-554,-70,294,2088,-445,1,-188,-38,-226,-37,-707,-1608,1022,-586,-124,-124,-422,1,-1131,258,-422
2015-03-31,1248.00000,753.00000,-88.00000,665.00000,6.00000,-89.00000,228.00000,204.00000,-643.00000,1270.00000,-659.00000,167.00000,162.00000,-16.00000,146.00000,-38.00000,-384.00000,-790.00000,950.00000,160.00000,-368.00000,-368.00000,-424.00000,10.00000,-622.00000,222.00000,-424.00000
2014-12-31,-480,795,1813,2608,-230,960,-296,-978,-257,1871,-774,3,-214,395,181,-34,-624,191,252,443,21,21,-423,22,63,1259,-423
2014-09-30,1021,798,87,885,142,-420,80,30,146,2052,-608,57,-109,26,-83,13,-621,603,-958,-355,-2476,-2476,-440,31,-3240,-1845,-440
2014-06-30,1002,789,125,914,288,-169,35,-248,321,2237,-538,126,-538,-471,-1009,-13,-1434,1237,805,2042,102,102,-374,62,1832,2582,-374
2014-03-31,925.00000,781.00000,115.00000,896.00000,-37.00000,-270.00000,403.00000,105.00000,76.00000,1897.00000,-555.00000,13.00000,-399.00000,5.00000,-394.00000,-12.00000,-948.00000,-630.00000,944.00000,314.00000,-1646.00000,-1646.00000,-383.00000,64.00000,-1651.00000,-736.00000,-383.00000
2013-12-31,1006,824,105,929,-157,747,-23,-262,645,2580,-1032,197,-196,60,-136,3,-968,229,-1805,-1576,51,51,-381,23,-1883,-276,-381
2013-09-30,950,779,141,920,761,547,-148,6,1148,3018,-731,68,-532,-122,-654,39,-1278,-654,519,-135,-979,-979,-388,6,-1496,247,-388
2013-06-30,965,761,138,899,22,1056,187,-114,1305,3169,-783,2,-477,-61,-538,-22,-1341,-1234,830,-404,-952,-952,-342,21,-1677,128,-342
2013-03-31,882.00000,723.00000,98.00000,821.00000,209.00000,308.00000,118.00000,-51.00000,-279.00000,1424.00000,-1056.00000,98.00000,-430.00000,-25.00000,-455.00000,-46.00000,-1459.00000,117.00000,387.00000,504.00000,8.00000,8.00000,,33.00000,545.00000,492.00000,0.00000
2012-12-31,700,1323,76,1399,-151,1969,-1534,-664,-133,1966,-1273,190,-724,-116,-840,85,-1838,63,300,363,11,11,-680,21,-285,-199,-680
2012-09-30,1702,720,-208,512,99,-179,-633,-317,-974,1240,-934,701,-600,-59,-659,44,-848,891,-387,504,16,16,-339,9,190,586,-339
2012-06-30,1709,689,-41,648,-113,-901,-218,174,-694,1663,-868,308,-943,-465,-1408,0,-1968,3725,-303,3422,18,18,-300,-430,2710,2239,-300
2012-03-31,1611.00000,661.00000,-18.00000,643.00000,150.00000,-2038.00000,517.00000,463.00000,-1939.00000,315.00000,-884.00000,,-616.00000,-74.00000,-690.00000,38.00000,-1536.00000,289.00000,856.00000,1145.00000,7.00000,7.00000,-298.00000,137.00000,991.00000,-193.00000,-298.00000
2011-12-31,1562,695,-101,594,-1155,-211,247,-60,-714,1442,-993,355,-438,-824,-1262,-77,-1977,-50,729,679,13,13,-297,12,407,-172,-297
2011-09-30,1154,658,221,879,-299,-866,252,560,188,2221,-694,0,-273,-7372,-7645,75,-8264,-240,-802,-1042,14,14,-297,9,-1316,-7486,-297
2011-06-30,1022,599,337,936,62,-665,692,128,571,2529,-425,0,-196,-63,-259,-68,-752,5674,-1424,4250,38,38,-284,34,4038,5846,-284
2011-03-31,1243.00000,575.00000,,575.00000,-17.00000,-1185.00000,364.00000,271.00000,-1053.00000,765.00000,-458.00000,21.00000,-13.00000,-14.00000,-27.00000,30.00000,-434.00000,-470.00000,1460.00000,990.00000,58.00000,58.00000,-281.00000,123.00000,890.00000,1277.00000,-281.00000
2010-12-31,988,615,124,739,-983,-581,604,985,335,2062,-553,0,189,-16,173,2,-378,-849,621,-228,103,103,-280,64,-341,1327,-280
2010-09-30,801,565,169,734,-241,-1066,647,-171,-499,1036,-295,0,167,-938,-771,124,-942,-1068,-194,-1262,109,109,-277,-56,-1486,-1332,-277
2010-06-30,733,562,82,644,-723,-376,621,23,-182,1195,-84,0,-52,-57,-109,-27,-220,-202,-467,-669,58,58,-265,26,-850,59,-265
2010-03-31,236.00000,554.00000,94.00000,648.00000,-373.00000,-644.00000,698.00000,102.00000,-168.00000,716.00000,-185.00000,,201.00000,-104.00000,97.00000,33.00000,-55.00000,-2018.00000,331.00000,-1687.00000,26.00000,26.00000,-262.00000,-13.00000,-1936.00000,-1329.00000,-262.00000
2009-12-31,206,703,75,778,50,516,474,476,997,1981,-531,0,124,12,136,-39,-434,-449,-198,-647,39,39,-263,3,-868,679,-263
2009-09-30,392,561,3,564,831,354,-171,-271,759,1715,-269,0,745,-8,737,-36,432,-1406,-321,-1727,19,19,-261,6,-1963,197,-261
2009-06-30,360,538,59,597,1511,867,-775,-437,951,1908,-193,0,724,-110,614,-76,345,-38,-1586,-1624,31,31,-252,-4,-1849,425,-252
2009-03-31,-131.00000,534.00000,,534.00000,1622.00000,764.00000,-1406.00000,-167.00000,492.00000,895.00000,-237.00000,,688.00000,29.00000,717.00000,23.00000,503.00000,1497.00000,-1779.00000,-282.00000,,,-253.00000,,-535.00000,830.00000,-253.00000
