,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-03-31,99.28,109.111,28.128,137.239,118.139,10.934,-40.723,-156.762,-68.412,168.301,-6.798,0,-129.919,-62.735,22.235,-40.5,0,-177.217,0,0,0,0,0,-14.537,-14.537,-19.385,26.458
2016-12-31,-29.842,80.606,22.088,102.694,51.937,46.679,230.067,193.358,218.251,290.411,-6.086,0,-0.75,-0.835,0,-0.835,0,-7.671,0,0,0,0,0,-5.757,-5.757,269.427,22.088
2016-09-30,36.432,37.197,18.233,55.43,-240.258,-65.251,-36.394,-57.569,-95.682,-3.561,-4.053,0,0,-1.124,-11.85,-12.974,0,-17.027,0,0,0,0,0,-5.199,-5.199,-26.325,18.233
2016-06-30,-38.56700,54.89100,15.10000,69.99100,28.22600,2.69600,36.39400,-142.81700,-75.50100,-47.24800,-4.23000,,,-1.04100,78.15600,77.11500,,72.88500,,,,,,-24.27900,-24.27900,-2.41400,15.10000
2016-03-31,46.399,65.143,12.899,78.042,95.575,4.183,-190.557,-131.337,-51.974,72.482,-8.701,0,0,-100.433,9.864,-90.569,-0.349,-99.619,0,0,0,0,0,-8.498,-8.498,-36.499,15.852
2015-12-31,-42.413,56.17,18.67,74.84,-23.559,3.381,133.396,21.693,134.911,168.809,-2.786,0,0,-1.767,-27.163,-28.93,0,-31.716,0,0,0,0,0,-12.14,-12.14,123.528,18.738
2015-09-30,54.735,30.821,16.388,47.209,-109.866,-12.096,57.161,-71.162,-188.331,-85.468,-7.024,0,0,-4.543,24.644,20.101,0,13.077,0,0,0,-26.552,-26.552,-2.382,-28.934,-104.071,16.32
2015-06-30,-67.02300,36.32200,19.08600,55.40800,87.19800,8.34100,,-30.99300,116.91400,105.48200,-18.76900,,,-0.44400,-187.04500,-187.48900,,-206.25800,,,,,,1.52500,1.52500,-95.33600,19.08600
2015-03-31,-242.791,55.683,14.41,70.093,217.849,4.566,0,-10.385,325.1801,152.288,-12.922,0,0,-20.439,-87.5,-107.939,0,-120.861,0,0,0,0,0,-9.424,-9.424,13.668,12.772
2014-12-31,40.093,91.494,30.17,121.664,-410.282,31.331,0,297.334,28.51,192.348,-13.525,0,0,-30.086,-5,-35.086,0,-48.611,0,0,0,0,0,5.509,5.509,143.042,28.628
2014-09-30,-41.369,14.05,-4.51,9.54,17.738,-32.801,0,-61.713,-12.524,-44.306,-14.662,0,0,-30.176,21.976,-8.2,0,-22.862,0,0,0,0,0,4.843,4.843,-67.59,13.867
2014-06-30,-35.40300,17.31600,9.97900,27.29500,9.97800,6.63300,,112.79100,-79.54200,-87.51600,-8.39200,,,-19.41500,,-19.41500,,-27.80700,,,,,,,,-113.40000,9.97900
2014-03-31,-30.787,22.74,5.67,28.41,136.376,15.255,-345.174,-29.045,-28.36,-30.531,-6.358,0,0,0,0,0,0,-6.358,0,0,0,0,0,0,0,-36.77,20.524
2013-12-31,578.426,177.465,36.964,214.429,821.872,38.998,61.856,-1118.33,-195.604,595.672,-8.003,0,0,0,0,0,-1,-9.003,0,0,0,-276.836,-276.836,0,-276.836,310.247,36.328
2013-09-30,-124.12,54.716,12.881,67.597,-976.189,-56.181,375.901,840.489,184.02,127.92,-7.458,0,0,0,0,0,0,-7.458,-100.283,0,-100.283,0,0,-0.772,-101.055,15.608,15.319
2013-06-30,-61.91400,52.27700,7.88800,60.16500,154.39400,2.36600,-92.58300,-55.96900,8.20800,7.20100,-7.99400,,,0.00000,,,,-7.99400,246.25000,,246.25000,,,-2.04300,244.20700,243.81300,5.94700
2013-03-31,22.473,49.948,10.547,60.495,-95.355,-0.531,36.662,-69.816,-129.04,-46.029,-4.503,0,0,0,0,0,0,-4.503,0,0,0,0,0,0,0,-46.221,12.987
2012-12-31,71.365,56.552,8.226,64.778,60.71,30.881,47.072,-55.324,-12.736,123.78,-4.296,0,0,0,0,0,0,-4.296,0,0,0,0,0,0,0,120.439,8.681
2012-09-30,-12.491,55.245,7.136,62.381,-83.244,-32.581,-29.484,-30.239,-79.473,-29.802,-4.731,0,0,0,0,0,0,-4.731,0,0,0,0,0,0,0,-38.772,7.091
2012-06-30,-110.83800,107.52000,7.07200,114.59200,-26.67200,-5.51000,29.48400,-54.15300,-56.85100,-52.51600,-3.29000,,,,,,,-3.29000,,,,,,,0.00000,-53.22300,7.00600
2012-03-31,-66.836,41.233,10.54,51.773,8.239,0.039,59.574,-39.728,-15.749,-30.359,-2.802,2.2,0,0,0,0,-4.101,-4.703,0,0,0,0.001,0.001,0,0.001,-33.037,10.031
2011-12-31,14.104,39.536,10.884,50.42,-33.702,22.561,-51.753,-50.815,-109.584,-44.373,-3.204,0,0,0,0,0,0,-3.204,250,0,250,0.043,0.043,-6.875,243.168,183.576,10.803
2011-09-30,-47.371,17.966,4.722,22.688,127.122,-19.136,-35.983,-29.487,42.516,18.174,-2.38,0,0,0,0,0,0,-2.38,0,0,0,0.033,0.033,0,0.033,20.981,4.612
2011-06-30,-8.71300,78.32600,8.14200,86.46800,-62.47700,-1.36300,28.16200,-70.23300,-105.91100,-28.40600,-2.40000,,-1.47500,,,,,-3.87500,,,,0.16200,0.16200,,0.16200,-31.60000,8.04800
2011-03-31,-22.054,27.571,2.187,29.758,-0.372,4.014,-0.846,-30.301,-27.505,-20.373,-1.407,0,0,0,0,0,0,-1.407,0,0,0,0.63,0.63,0,0.63,-16.759,5.135
2010-12-31,40.859,37.675,7.368,45.043,20.805,17.293,-36.188,1.604,3.514,89.924,-2.572,0,0,0,0,0,0,-2.572,0,0,0,0.017,0.017,0,0.017,92.299,5.916
2010-09-30,40.849,-18.482,-10.661,-29.143,-115.354,-26.511,106.194,-3.639,-39.31,-30.587,0.877,0,-39.762,0,0,0,-0.5,-39.385,0,0,0,0.034,0.034,0,0.034,-71.063,-5.903
2010-07-31,-37.51,65.084,21.853,86.937,188.01,5.055,-110.665,-73.949,8.451,58.701,-4.372,0,42.077,0,0,0,0,37.705,0,0,0,-0.034,-0.034,0,-0.034,93.339,12.396
2010-06-30,26.31400,59.51400,12.26900,71.78300,-103.17100,0.05000,82.72200,-41.69200,-62.09100,37.13300,-2.17900,,0.76000,,,,-0.50000,-1.91900,,,,0.08700,0.08700,,0.08700,36.70500,11.22100
2010-04-30,-17.11600,63.05900,16.00500,79.06400,141.77000,1.61100,-92.29100,-77.30600,-26.21600,40.98800,-3.74300,,40.01800,,,,,36.27500,,,,,,,,78.43300,13.56000
2010-03-31,-89.121,110.792,43.414,154.206,-139.334,29.556,57.83,-150.756,-202.704,-139.731,-8.113,0,39.762,0,0,0,-6.804,24.845,94.408,-70,24.408,26.36,26.36,-4.984,45.784,-62.201,20.066
2010-01-31,79.277,-60.529,-37.804,-98.333,163.42,-29.009,-89.061,138.495,183.845,166.92,7.758,0,0,0,0,0,5.813,13.571,-94.408,70,-24.408,-26.36,-26.36,4.984,-45.784,130.096,-14.494
2009-12-31,-113.151,85.584,44.209,129.793,-27.418,5.034,25.917,-183.835,-180.302,-162.891,-9.578,0,0,0,0,0,-5.813,-15.391,94.408,-70,24.408,26.36,26.36,-4.984,45.784,-126.195,20.931
2009-10-31,116.932,-76.692,-9.983,-86.675,-55.167,-22.984,99.536,92.012,113.397,146.76,7.788,0,0,0,0,0,0.5,8.288,-94.408,70,-24.408,-26.346,-26.346,4.833,-45.921,105.488,-16.114
2009-07-31,-56.464,20.194,2.418,22.612,-18.161,9.217,-0.963,-10.702,-20.609,-54.016,-2.221,0,0.5,0,0,0,-0.5,-2.221,94.408,-70,24.408,26.342,26.342,-4.833,45.917,-4.827,4.614
2009-04-30,-60.46800,56.49800,7.56500,64.06300,73.32800,13.76700,-98.57300,-81.31000,-92.78800,-92.74400,-5.56700,,-0.50000,,,,,-6.06700,,,,0.00400,0.00400,,0.00400,-100.66100,11.50000
2009-01-31,-50.388,25.264,2.545,27.809,78.891,13.961,-78.83,-44.411,-30.389,-56.809,-2.198,0,0,0,0,0,0,-2.198,0,0,0,0.004,0.004,0,0.004,-62.441,6.182
