,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,254.872,157.376,59.355,216.731,48.16,-2.531,8.187,20.784,179.519,651.122,-97.628,0,-10.16,-130.044,-6.976,-137.02,0.294,-244.514,1222.418,1222.418,-4.503,-4.503,-75.334,1142.581,1547.231,22.255
2020-03-31,287.89500,154.67900,119.62800,274.30700,-32.96600,1.83500,-24.04500,-17.60100,-201.82100,360.38100,-123.42400,,-34.10700,-4.41400,-1.12500,-5.53900,0.44500,-162.62500,466.18700,466.18700,-319.40100,-319.40100,-49.79400,96.99200,279.77000,19.87000
2019-12-31,302.962,158.467,17.911,176.378,102.727,0.639,22.123,-5.898,201.19,680.53,-205.59,0,-23.513,191.183,-102.058,89.125,1.293,-138.685,-29.449,-29.449,-542.745,-542.745,-120.493,-692.686,-148.423,20.039
2019-09-30,201.688,155.915,148.841,304.756,105.753,-2.023,-37.775,38.04,134.266,640.71,-161.027,0,-11.378,-95.348,-2.055,-97.403,1.141,-268.667,-804.934,-804.934,-1758.718,-1758.718,-129.557,-2693.211,-2325.269,18.766
2019-06-30,327.157,152.242,86.396,238.638,-156.145,8.218,-30.35,112.134,44.016,609.811,3662.438,0,-54.696,-2.253,-2.439,-4.692,0,3603.05,-1517.6853,-1517.6853,-72.488,-72.488,-45.331,-1635.504,3120.976,16.935
2019-03-31,189.48700,148.52800,95.90200,244.43000,-132.29200,3.32400,-38.53700,15.97300,-292.61300,141.30400,-184.97500,,-11.27400,0.01200,-4.27600,-4.26400,0.15500,-200.35800,357.19730,357.19730,1.51700,1.51700,-33.76300,324.95100,146.01400,12.11000
2018-12-31,-101.843,155.157,352.641,507.798,-6.554,-14.85,-23.159,29.444,-16.563,389.392,-266.542,0,-69.63,30.713,-38.931,-8.218,0.066,-344.324,-146.0312,-146.0312,4.774,4.774,-60.757,-202.015,-124.735,13.456
2018-09-30,-96.668,146,320.081,466.081,27.124,16.723,-48.028,78.641,88.26,457.673,-212.655,0,-24.061,-31.105,29.995,-1.11,0.571,-237.255,274.0527,274.0527,-350.661,-350.661,-40.822,-117.43,60.007,39.744
2018-06-30,306.322,147.079,9.119,156.198,-38.045,14.011,98.058,-54.46,99.516,562.036,-143.828,0,-72.883,-0.004,-7.765,-7.769,0.544,-223.936,467.1094,467.1094,-510.485,-510.485,-39.987,-83.362,32.53,10.176
2018-03-31,225.22900,142.79900,66.82500,209.62400,-63.70100,57.62100,-62.83000,28.37400,-72.31400,362.53900,-213.90800,,-16.58200,30.37300,-2.47600,27.89700,2.46500,-200.12800,104.67380,104.67380,-291.56200,-291.56200,-35.65800,-222.54700,-71.30200,9.68500
2017-12-31,340.679,183.958,59.315,243.273,-10.281,-32.897,8.281,-111.018,-238.936,345.016,-173.085,0,-169.87,85.548,-1.802,83.746,0.026,-259.183,263.3125,263.3125,-476.067,-476.067,-23.669,-236.425,-20.067,6.614
2017-09-30,-172.034,203.283,443.962,647.245,-32.816,45.339,74.492,88.171,77.882,553.093,-311.125,0,-14.17,-147.498,218.771,71.273,0.08,-253.942,-44.4316,-44.4316,-82.119,-82.119,-38.104,-164.654,85.78,10.974
2017-06-30,161.625,200.038,110.685,310.723,-129.376,-22.158,-29.683,-5.49,-322.462,149.886,-160.781,0,-542.603,322.414,-220.65,101.764,0,-601.62,-27.8916,-27.8916,-226.841,-226.841,-51.509,-306.241,-764.83,7.903
2017-03-31,500.28500,190.20600,79.94500,270.15100,16.16800,-8.90900,-26.21400,-81.97500,94.73500,865.17100,-167.92300,,-77.23600,-3.69300,-1.13500,-4.82800,,-249.98700,-36.14160,-36.14160,3.33000,3.33000,-26.12600,-58.93700,534.57400,9.60100
2016-12-31,188.27,188.777,39.596,228.3731,-66.58,35.965,57.404,60.665,74.221,490.864,-189.127,0.075,-85.516,345.6091,-15.467,330.1421,0,55.574,-25.7305,-25.7305,-471.896,-471.896,-46.381,-544.005,24.166,8.521
2016-09-30,612.15,181.739,-350.855,-169.116,18.345,-3.832,-68.316,163.635,92.589,535.623,-216.616,-0.075,-22.419,-257.059,-2.844,-259.903,0,-499.013,-37.4804,-37.4804,-336.922,-336.922,-30.019,-404.422,-369.92,6.1
2016-06-30,94.503,180.381,149.912,330.293,-25.908,-4.289,15.027,-25.337,91.841,516.637,-185.44,0,-55.424,-1.039,37.985,36.946,0,-203.918,-41.2337,-41.2337,6.298,6.298,-35.522,-70.457,241.989,10.62
2016-03-31,138.15900,169.35500,154.36100,323.71600,-78.09700,-4.92400,7.78200,-1.41000,-32.87300,429.00200,-173.18700,,-400.49700,25.22300,-5.85000,19.37300,,-554.31100,-20.18820,-20.18820,-271.75900,-271.75900,-41.15000,-333.09700,-457.68900,13.09700
2015-12-31,34.474,163.33,293.166,456.4961,-24.719,-12.457,19.525,25,-54.297,436.673,-226.07,0,-12.625,511.5109,-4.288,507.2229,0.072,268.6,-96.2891,-96.2891,-159.472,-159.472,2.914,-252.849,425.842,13.87
2015-09-30,261.307,162.062,15.641,177.7029,-35.198,-13.076,-39.35,33.471,239.986,678.996,-171.34,0,-42.2,16.5091,-6.073,10.436,0.057,-203.047,-28.6758,-28.6758,-284.875,-284.875,-47.664,-361.214,113.684,14.495
2015-06-30,207.777,158.843,-192.892,-34.049,8.793,-13.587,61.756,74.136,-142.286,31.442,-169.452,0,-3.559,-521.915,-0.124,-522.0389,0,-695.05,696.4287,696.4287,-15.018,-15.018,-95.449,585.961,-77.536,15.537
2015-03-31,-76.14800,153.78900,316.00800,469.79700,-151.74300,-9.19300,-10.93300,50.70100,16.44000,410.08900,-121.42100,,-38.08500,-85.35500,-7.42600,-92.78100,,-252.28700,-28.43650,-28.43650,-64.41500,-64.41500,-18.01700,-110.86800,46.03000,12.76200
2014-12-31,250.388,153.6,-171.04,-17.44,-57.286,-21.2,-5.288,-36.098,-302.939,-69.991,-189.032,-0.968,-57.597,-196.439,-2.899,-199.338,0.391,-446.544,-39.2891,-39.2891,4.976,4.976,-11.659,-45.97,-561.794,12.42
2014-09-30,219.784,148.865,28.114,176.979,81.689,-14.467,48.354,138.506,451.137,847.9,-164.914,-0.04,-116.27,-79.47,-27.733,-107.203,0.097,-388.33,-317.125,-317.125,7.25,7.25,-45.779,-355.657,106.062,14.624
2014-06-30,181.421,145.905,141.286,287.191,-10.514,1.549,-3.464,-100.115,-206.221,262.391,-152.031,0.001,-30.426,-60.047,-4.75,-64.797,0.191,-247.062,413.584,413.584,3.824,3.824,-118.637,298.773,312.904,14.625
2014-03-31,211.73700,142.56500,36.77700,179.34200,-54.56500,-12.28000,-42.55800,20.95600,28.02800,419.10700,-126.56200,-0.01100,-67.80100,-1.56500,,-1.56500,0.14600,-195.79300,-65.15040,-65.15040,3.45000,3.45000,-0.42500,-62.12500,161.82000,15.07400
2013-12-31,244.273,138.732,65.811,204.543,-80.496,-3.477,88.247,-71.105,-94.629,354.187,-155.812,-2.338,-137.874,-2.753,-1.305,-4.058,0.286,-299.796,-53.7188,-53.7188,3.991,3.991,-29.043,-78.768,-24.445,12.903
2013-09-30,169.836,133.005,179.266,312.271,38.685,-6.418,23.313,72.315,251.021,733.128,-141.131,-0.046,-84.771,-4.378,1.032,-3.346,0.095,-229.199,-132.9219,-132.9219,3.613,3.613,-21.164,-150.474,352.79,14.829
2013-06-30,283.358,130.626,-24.456,106.17,74.51,-1.238,-10.998,-31.911,-82.709,306.819,-141.672,0.13,-58.608,-0.694,-1.032,-1.726,0,-201.876,-186.9609,-186.9609,2.986,2.986,-2.381,-186.357,-81.767,16.245
2013-03-31,59.73400,125.75600,193.21900,318.97500,-92.33900,2.16200,-83.89600,84.96000,0.49800,379.20700,-116.72400,-0.13700,-29.14100,-0.12500,,-0.12500,0.11600,-146.01100,-63.68750,-63.68750,5.83300,5.83300,-9.53800,-67.39200,165.92300,16.02100
2012-12-31,183.8,109.54,78.208,187.748,3.676,2.094,59.078,-80.696,-171.313,200.235,-167.638,0.446,-3877.081,7.044,-8.47,-1.426,0.006,-4045.693,2792.039,2792.039,-1.748,-1.748,1207.55,3997.841,151.554,10.527
2012-09-30,172.55,80.586,47.324,127.91,1.945,0.245,-26.378,20.509,66.174,366.634,-128.441,-1.276,-72.245,-0.377,2.793,2.416,0,-199.546,1207.2086,1207.2086,3.55,3.55,-1269.248,-58.49,108.749,10.513
2012-06-30,120.004,77.807,12.707,90.514,18.412,-3.138,28.802,58.066,-8.413,202.105,-138.049,0,-212.877,-2.581,-0.014,-2.595,0,-353.521,-13.7012,-13.7012,3.182,3.182,-13.791,-24.31,-175.845,11.794
2012-03-31,164.88300,75.97500,11.61200,87.58700,-71.70600,4.85100,-20.62400,82.18800,79.40400,331.87400,-112.45900,0.00000,-131.87400,6.30200,4.33900,10.64100,0.00200,-233.69000,-23.39840,-23.39840,1.66300,1.66300,-20.92200,-42.65700,55.53800,12.55000
2011-12-31,176.132,72.987,33.343,106.33,-27.365,-1.497,27.748,-75.096,-131.803,150.659,-73.094,0,-201.941,43.842,-35.028,8.814,0,-266.221,-27.8769,-27.8769,1.43,1.43,-5.444,-31.892,-147.454,12.326
2011-09-30,161.846,67.821,33.508,101.329,21.592,2.398,15.216,85.535,232.019,495.194,-96.95,0,-727.259,-0.25,0.008,-0.242,0,-824.451,187.3184,187.3184,-30.279,-30.279,-16.403,140.638,-188.619,13.334
2011-06-30,120.665,64.47,55.818,120.288,-62.614,1.94,14.871,-32.127,-36.543,204.41,-87.399,0,-69.531,-1.57,-5.008,-6.578,0.34,-163.168,-14.2715,-14.2715,-286.593,-286.593,-16.562,-317.427,-276.185,13.342
2011-03-31,114.75200,62.03700,41.53500,103.57200,-20.46100,7.42900,26.56500,36.50600,111.45900,329.78300,-67.53000,,-78.71100,0.85100,0.00200,0.85300,,-145.38800,-17.50980,-17.50980,3.41000,3.41000,-24.40200,-38.50200,145.89300,9.71600
2010-12-31,92.445,60.071,106.646,166.717,33.699,-6.933,-91.122,-51.308,-138.611,120.551,-104.226,0,-46.603,-25.961,25.459,-0.502,0.011,-151.32,944.9913,944.9913,-455.483,-455.483,-133.187,356.321,325.552,12.059
2010-09-30,142.881,58.486,88.014,146.5,-12.044,1.036,33.095,-106.508,-128.015,161.366,-70.025,0,-45.152,23.293,-23.626,-0.333,0,-115.51,-21.5821,-21.5821,-43.318,-43.318,-21.108,-86.007,-40.151,11.093
2010-06-30,123.893,58.353,15.994,74.347,33.13,0.187,60.455,8.481,97.679,295.919,-56.766,0,-89.215,3.209,-3.468,-0.259,0,-146.24,-223.6123,-223.6123,-87.008,-87.008,-20.251,-330.872,-181.193,12.166
2010-03-31,125.00000,57.46800,11.38800,68.85600,0.59400,1.81800,1.80000,-1.18700,67.99100,261.84700,-42.58500,,15.19500,0.35900,3.11800,3.47700,0.35000,-23.56300,-25.04100,-25.04100,21.07300,21.07300,-17.86600,-21.83400,216.45000,10.23300
2009-12-31,125.583,56.865,29.48,86.345,35.922,-0.743,-45.884,-8.113,-59.337,152.591,-61.255,0,-29.872,-5.634,-2.169,-7.803,1.618,-97.312,-24.207,-24.207,-54.673,-54.673,-18.62,-97.5,-42.221,10.572
2009-09-30,126.27,56.813,32.02,88.833,-14.162,-3.186,-7.035,-26.58,-47.616,167.487,-67.448,0,-20.215,-1.554,0,-1.554,0.841,-88.376,-14.3936,-14.3936,-15.589,-15.589,-11.562,-41.544,37.567,11.438
2009-06-30,119.632,58.185,29.933,88.118,-40.316,5.989,13.451,-28.167,4.633,212.383,-65.002,0,-1.901,5.366,-0.26,5.106,0.088,-61.709,-11.4328,-11.4328,7.589,7.589,-8.4,-12.244,138.43,11.403
2009-03-31,108.27400,57.12300,35.89000,93.01300,-13.75700,13.05500,-65.41100,-19.86100,-67.03800,134.24900,-73.20300,,-35.62900,10.16900,,10.16900,,-98.66300,-11.19900,-11.19900,-22.91400,-22.91400,-6.67100,-40.78400,-5.19800,11.00900
