,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-06-30,288.8,95.3,99.3,194.6,32.4,19.4,29.1,121.1,604.5,-41.4,-37.1,0,0,-743,-743,5813.3,4991.8,-7094,2173,-4921,-154.3,-154.3,-231.1,12.4,-5294,312.6,30.2,-231.1
2014-03-31,521.5,88.5,-22.4,66.1,-97,3.2,31.4,156.3,743.9,-49.2,-35.1,24.4,0,-426.6,-426.6,2531.8,2045.3,-2142.2,0,-2142.2,-4.2,-4.2,-231.2,-3.7,-2381.3,403.9,30.3,-231.2
2013-12-31,377,90.4,37.8,128.2,-126.2,-4.7,-23,-113.5,391.7,-34.4,-40.5,0,0,-388.3,-388.3,-8264.7,-8727.9,11539,-2477,9062,-66.5,-66.5,-210.2,-330.7,8454.6,118.1,33.3,-210.2
2013-09-30,328.60000,86.80000,-26.70000,60.10000,20.10000,-8.30000,-283.70000,-307.40000,81.30000,-34.40000,-30.90000,,,202.50000,202.50000,2366.90000,2504.10000,-5295.60000,2477.00000,-2818.60000,-248.10000,-248.10000,-210.60000,139.80000,-3137.50000,-550.10000,23.30000,-210.60000
2013-06-30,227,36.3,113.6,149.9,163,5.7,39.9,198.6,575.5,-8,-23.5,-26.7,0,-287.8999,-287.8999,7687.1,7341,-7700.1,0,-7700.1,-228.9,-228.9,-210.8,277.1,-7862.7,51.4,3.9,-210.8
2013-03-31,482.7,100.7,42.9,143.6,-136,12.8,14.5,-8,618.3,-47,-22.4,-14.6,0,-652.9001,-652.9001,-6038.7,-6775.6,6685.9,0,6685.9,-35.3,-35.3,-210.4,-13.5,6426.7,256.8,27.6,-210.4
2012-12-31,390.8,96.5,-7,89.5,-137.3,2.3,2.3,-31.8,448.5,-34.8,-25.5,161.4,0,-160.2,-160.2,-2800.6,-2859.7,3363.8,0,3363.8,-63.1,-63.1,-192.2,-428.2,2680.3,273.5,29.5,-192.2
2012-09-30,305.30000,97.00000,44.30000,141.30000,-73.40000,-31.40000,-330.50000,-511.70000,-65.10000,-30.50000,-33.50000,-0.70000,,-163.00000,-163.00000,943.60000,715.90000,-1228.60000,,-1228.60000,-114.30000,-114.30000,-192.10000,441.70000,-1093.30000,-430.70000,21.00000,-192.10000
2012-06-30,258.4,98.9,61.8,160.7,-25.6,24.5,67,80,499.1,-30.1,-27,-65.9,0,-384.9001,-384.9001,8766.3,8258.4,-8388.3,0,-8388.3,-281.7,-281.7,-193.3,5.7,-8857.6,-117,28.3,-193.3
2012-03-31,452.4,96.1,48.4,144.5,-19.9,2.2,-16,66.3,663.2,-37.8,-31.3,-23.5,0,-564.9998,-564.9998,-5925.3,-6582.9,6465.9,0,6465.9,-29.9,-29.9,-192.5,0,6243.5,333.8,20.3,-192.5
2011-12-31,375,92.6,-38.4,54.2,-102.1,10.1,-5.2,2.4,431.6,32.8,-27.2,-174.4,0,49.3999,49.3999,-4194.6,-4314,4131.2,0,4131.2,20.6,20.6,-176.2,0,3975.6,82.4,27,-176.2
2011-09-30,302.70000,91.70000,39.20000,130.90000,105.90000,-26.50000,-117.50000,-117.30000,316.30000,-33.40000,-24.00000,-1.90000,,-250.80000,-250.80000,6192.20000,5882.10000,-5937.40000,,-5937.40000,-200.30000,-200.30000,-177.70000,,-6315.40000,-140.50000,18.50000,-177.70000
2011-06-30,241.8,88.2,89.8,178,-66.3,18.2,9.8,65.7,485.5,-59.8,-36.9,-1.3,0,-160.4,-160.4,7552.6,7294.2,-7393.1,0,-7393.1,-425.3,-425.3,-179.2,1,-7996.6,-211.5,31.8,-179.2
2011-03-31,423.8,94.7,61.1,155.8,-144.3,15.9,-12.5,-6.6,573,-41.4,-23.1,-185.9,0,-297.1,-297.1,-7949.2,-8496.7,8238.9,0,8238.9,144.2,144.2,-177.6,0,8205.5,295.2,21.8,-177.6
2010-12-31,310.1,96.8,59.7,156.5,45.9,-22.1,26.9,-41.6,425,-42,-16.4,-113.5,0,-749.9,-749.9,-1060.6,-1982.4,1804.6,0,1804.6,54.5,54.5,-167.6,0,1691.5,129,22.8,-167.6
2010-09-30,278.50000,88.50000,39.40000,127.90000,27.40000,-36.60000,-106.30000,-184.10000,222.30000,-25.60000,-19.40000,-475.30000,,-258.40000,-258.40000,-3377.00000,-4155.70000,3634.80000,,3634.80000,-28.00000,-28.00000,-168.00000,,3438.80000,-466.60000,13.90000,-168.00000
2010-06-30,207.9,90.1,75.3,165.4,-17.2,54.2,-125.1,22.2,395.5,-26.4,-36.3,-1.1,0,-347.3998,-347.3998,8113,7701.8,-7780.9,0,-7780.9,-447.4,-447.4,-175.3,0.2,-8403.4,-321.7,12.6,-175.3
2010-03-31,403.6,92.4,12.5,104.9,-61.3,-3.2,10.3,105.2,613.7,-22.2,-19.7,-73.5,0,-303.7002,-303.7002,-4820,-5239.1,5111.7,0,5111.7,-77.4,-77.4,-167.3,0,4867,223.9,18.3,-167.3
2009-12-31,315.8,92,72.7,164.7,-94.6,5.7,151.2,-51.3,429.2,-19.9,-51.2,-3.5,0,-299,-299,-4836.3,-5209.9,5128.3,0,5128.3,-31.3,-31.3,-165.2,0,4931.8,158.3,19.2,-165.2
2009-09-30,284.10000,92.00000,61.10000,153.10000,64.30000,-22.00000,-6.40000,-193.50000,243.70000,-31.30000,-16.60000,-0.30000,,510.30000,510.30000,-94.40000,367.70000,-441.60000,-730.00000,-1171.60000,30.80000,30.80000,-165.60000,,-1306.40000,-682.50000,17.50000,-165.60000
2009-06-30,352.6,94.1,31.9,126,-4.5,28.1,-42.2,-51.1,427.5,-39.6,-32.2,-40.7,-0.0001,588.1999,588.1998,4517.8,4993.5,-5128.1,729.9999,-4398.1,7.6,7.6,-165.5,1.5,-4554.5,901.9,10.5,-165.5
2009-03-31,980,271.9,92.6,364.5,-148.1,-37.8,-43.4,-209.4,1135.1,-92.5,-63.8,-26.4,-211.1,-4.3,-215.4,-5239.5,-5637.6,5991.4,12.5,6003.9,-505.3,-505.3,-463.9,-11.8,5022.9,445.9,85.5,-463.9
