,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-09-30,354.738,220.369,-154.046,66.323,-32.548,3.45,424.511,-882.113,0,-24.56,2.312,-22.248,-25.34,-929.701,445.7021,445.7021,361.035,361.035,-324.57,-13.707,468.46,-37.968,5.401,-324.57
2016-06-30,210.749,228.694,-16.717,211.977,-4.825,52.322,475.048,-221.307,0,3.736,107.603,111.339,-9.503,-119.471,41.148,41.148,65.599,65.599,-323.744,-19.169,-236.166,110.636,7.031,-323.744
2016-03-31,165.47400,230.04400,-3.19900,226.84500,1.81600,-11.71000,380.60900,-273.24600,,-0.39400,66.52300,66.12900,-34.84700,-241.96400,43.35300,43.35300,93.43300,93.43300,-322.12200,41.40900,-143.92700,-4.95900,8.18600,-322.12200
2015-12-31,149.415,225.088,-19.954,205.1339,43.453,-8.274,346.275,-851.901,0,-10.512,-89.273,-99.785,-44.747,-996.433,930.8809,930.8809,113.741,113.741,-308.515,-28.734,707.373,50.951,5.189,-308.515
2015-09-30,199.254,209.202,-22.893,186.309,-0.927,31.415,416.978,-297.176,0,-1.91,35.51,33.6,-19.624,-283.2,23.3101,23.3101,79.631,79.631,-307.001,149.288,-54.772,74.1,5.477,-307.001
2015-06-30,330.458,210.697,-186.841,23.856,-19.056,38.85,393.164,-399.25,0,14.082,-11.052,3.03,-16.454,-412.674,298.695,298.695,72.803,72.803,-305.696,-33.908,31.894,15.669,11.124,-305.696
2015-03-31,209.42200,190.26200,-103.02100,87.24100,-22.99200,-70.48100,226.18200,-1413.10900,,-1.66000,-295.71700,-297.37700,-99.28200,-1809.76800,130.01300,130.01300,1489.54700,1489.54700,-288.92100,-17.81600,1312.82300,-271.45300,9.05400,-288.92100
2014-12-31,206.475,196.974,-115.921,81.0531,26.095,-3.027,284.501,-854.461,0,39.274,-53.446,-14.172,-150.677,-1019.31,412.121,412.121,82.96,82.96,-277.089,-7.31,210.682,-524.952,5.967,-277.089
2014-09-30,152.771,203.67,-42.835,160.835,-30.279,-54.971,258.635,-278.599,0,-53.028,0.94,-52.088,22.213,-308.474,-26.362,-26.362,1158.939,1158.939,-262.724,-29.884,839.969,791.324,4.271,-262.724
2014-06-30,87.854,215.94,4.994,220.934,-2.88,28.085,336.873,-361.972,0,2.658,-14.873,-12.215,-72.844,-447.031,-652.441,-652.441,1038.214,1038.214,-248.102,-4.747,132.924,21.426,14.17,-248.102
2014-03-31,65.20000,235.25600,2.31200,237.56800,-18.57500,-44.10700,258.66100,-135.16400,,5.02400,-19.06300,-14.03900,-202.18800,-351.39100,313.15000,313.15000,63.75500,63.75500,-247.15400,-10.15400,119.59700,27.14800,7.66700,-247.15400
2013-12-31,25.692,244.963,15.874,260.837,18.15,76.061,362.59,-530.101,0,11.161,-90.104,-78.943,280.005,-329.039,159.608,159.608,62.085,62.085,-237.478,-9.857,-25.642,-6.058,3.527,-237.478
2013-09-30,33.608,243.167,-12.379,230.788,-29.365,-45.226,219.17,-690.337,0,151.088,69.257,220.345,-29.993,-499.985,128.422,128.422,62.317,62.317,-235.779,-35.515,-80.555,-347.634,3.956,-235.779
2013-06-30,7.181,202.899,19.002,221.901,-29.384,-22.153,206.929,-722.915,0,12.548,-35.48,-22.932,11.981,-733.866,-693.289,-693.289,1684.858,1684.858,-216.87,-5.248,769.451,242.63,2.186,-216.87
2013-03-31,71.79900,191.48800,-74.78300,116.70500,-6.97200,11.30400,199.80800,-1555.97100,,-94.84000,35.35100,-59.48900,-353.24300,-1968.70300,1188.93100,1188.93100,45.37700,45.37700,-216.14800,-13.74400,1004.41600,-763.92200,10.50800,-216.14800
2012-12-31,107.004,143.223,-18.393,124.83,1.033,22.829,254.663,-917.421,0,34.043,-608.54,-574.497,-3.447,-1495.365,1061.279,1061.279,45.06,45.06,-208.987,-5.138,892.214,-348.488,2.292,-208.987
