,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,89.30000,20.20000,8.70000,28.90000,-96.60000,-96.60000,21.60000,-20.90000,,98.70000,,98.70000,,77.80000,63.00000,63.00000,-47.20000,-47.20000,-37.10000,,-21.30000,78.10000,8.70000,-37.10000
2018-12-31,126.3,18.7,0.4,19.1,14.3,14.3,159.7,-26.7,0,-0.4,0,-0.4,0,-27.1,28.1,28.1,-96.6,-96.6,-37.6,0.2,-105.9,26.7,0.4,-37.6
2018-09-30,104.6,17.8,1.8,19.6,-8.2,-8.2,116,-19,0,-0.7,0,-0.7,0,-19.7,-217.1,-54.8,-36.2,-36.2,-30.7,-1.6,-123.3,-27,1.8,-30.7
2018-06-30,114.5,17.5,1.4,18.9,-3.4,-3.4,130,-22.2,0,21.4,0,21.4,0,-0.8,117.3,-45,-35.3,-35.3,-30.8,0,-111.1,18.1,1.4,-30.8
2018-03-31,98.80000,17.90000,6.50000,24.40000,-80.00000,-80.00000,43.20000,-17.30000,,52.20000,,52.20000,,34.90000,-117.30000,-117.30000,-34.50000,-34.50000,-31.00000,,-182.80000,-104.70000,6.50000,-31.00000
2017-12-31,22.7,18.2,83.2,101.4,52.1,52.1,176.2,-27.8,0,-18.8,0,-18.8,0,-46.6,-39.3,-39.3,-35.8,-35.8,-24.1,-5.7,-104.9,24.7,1.4,-24.1
2017-09-30,93.7,17.6,1.3,18.9,-35.6,-35.6,77,-30.1,-43.1,-2.1,0,-2.1,0,-75.3,74.5,74.5,-37.1,-37.1,-24.2,0.4,13.6,15.3,1.3,-24.2
2017-06-30,92.4,17.4,1.3,18.7,-26.4,-26.4,84.7,-19.5,0,1.2,0,1.2,0,-18.3,5.6,5.6,-36.1,-36.1,-24.2,1.5,-53.2,13.2,1.3,-24.2
2017-03-31,87.70000,16.90000,5.90000,22.80000,-122.00000,-122.00000,-11.50000,-16.80000,,-1.10000,,-1.10000,,-17.90000,45.70000,45.70000,-30.10000,-30.10000,-24.40000,1.20000,-7.60000,-37.00000,5.90000,-24.40000
2016-12-31,82.7,16.4,1.3,17.7,82.6,82.6,183,-22,-0.3,-31.4,0,-31.4,0,-53.7,-12.4,-12.4,-40.5,-40.5,-21,5.7,-68.2,61.1,1.3,-21
2016-09-30,83.2,16.6,1.2,17.8,7.5,7.5,108.5,-21,-90.5,-31.4,0,-31.4,0,-142.9,54.4,54.4,-17.1,-17.1,-21,0,16.3,-18.1,1.2,-21
2016-06-30,87.1,15.9,1.8,17.7,23.8,23.8,128.6,-18.3,0,-54.8,0,-54.8,0,-73.1,-5.3,-5.3,-47.3,-47.3,-21,0,-73.6,-18.1,1.8,-21
2016-03-31,73.50000,16.20000,5.10000,21.30000,-68.30000,-68.30000,26.50000,-19.40000,,-11.10000,,-11.10000,,-30.50000,37.40000,37.40000,-30.30000,-30.30000,-21.20000,,-14.10000,-18.10000,5.10000,-21.20000
2015-12-31,79.8,15.7,2,17.7,17.1,17.1,114.6,-19.6,0,-5,0,-5,0,-24.6,-11.2,-11.2,-27.6,-27.6,-16.9,6.4,-49.3,40.7,1,-16.9
2015-09-30,73.6,15.7,0.5,16.2,86.1,86.1,175.9,-22.1,0,-26.8,0,-26.8,0,-48.9,-17.9,-17.9,-57.4,-57.4,-16.9,0,-92.2,34.8,1,-16.9
2015-06-30,71.1,16,0.8,16.8,-26.3,-26.3,61.6,-16.1,0,-13.7,0,-13.7,0,-29.8,-24.7,-24.7,-22.4,-22.4,-16.9,-3.8,-67.8,-36,1.1,-16.9
2015-03-31,58.40000,15.60000,5.60000,21.20000,-80.00000,-80.00000,-0.40000,-14.90000,,-67.90000,,-67.90000,,-82.80000,81.90000,81.90000,-20.70000,-20.70000,-17.10000,3.80000,47.90000,-35.30000,5.70000,-17.10000
2014-12-31,53.2,15.4,19.1,34.5,12.5,12.5,100.2,-20.1,0,-100.5,0,-100.5,0,-120.6,-30.1,-30.1,-17.2,-17.2,-13.4,0,-60.7,-81.1,10.8,-13.4
2014-09-30,50.6,14.8,6,20.8,2.6,2.6,74,-15.2,0,-19.5,0,-19.5,0,-34.7,5.8,5.8,-24.7,-24.7,-13.6,0,-32.5,6.8,0,-13.6
2014-06-30,57.3,14.8,6,20.8,-0.1,-0.1,78,-25.5,0,0.2,0,0.2,0,-25.3,22.3,22.3,-37.5,-37.5,-13.6,0,-28.8,23.9,0,-13.6
2014-03-31,46.70000,14.80000,6.50000,21.30000,-56.20000,-56.20000,11.80000,-25.30000,,-0.10000,,-0.10000,,-25.40000,36.20000,36.20000,-19.70000,-19.70000,-13.80000,,2.70000,-10.90000,,-13.80000
2013-12-31,42.4,17.5,16.7,34.2,15,15,91.6,-32,0,157.3,-158.4,-1.1,0,-33.1,-35,-35,-5.9,-5.9,-11,0,-51.9,6.6,10.5,-11
2013-09-30,46.2,14.2,6.5,20.7,16.1,16.1,83,-27.5,0,-162.2,158.4,-3.8,0,-31.3,17.9,17.9,-50.5,-50.5,-11.1,0,-43.7,8,0,-11.1
2013-06-30,42.1,13.9,6.7,20.6,9,9,71.7,-19.8,-0.4,130.1,-83,47.1,0,26.9,-18.9,-18.9,-9.4,-9.4,-11.1,0,-39.4,59.2,0,-11.1
2013-03-31,39.00000,14.10000,6.10000,20.20000,-25.90000,-25.90000,33.30000,-18.40000,-3.60000,-31.70000,83.00000,51.30000,,29.30000,-15.50000,-15.50000,2.30000,2.30000,-9.40000,,-22.60000,40.00000,,-9.40000
2012-12-31,39.3,14.2,7,21.2,9.6,9.6,70.1,-25.4,-13.5,6.6,0,6.6,0,-32.3,-35.7,-35.7,-5.6,-5.6,-9.2,0,-50.5,-12.7,0,-9.2
2012-09-30,36.9,13.9,3,16.9,16.3,16.3,70.1,-14.2,0,-22.5,0,-22.5,0,-36.7,-6,-6,1.8,1.8,-9.2,0,-13.4,20,0,-9.2
2012-06-30,35,13.1,-4,9.1,-37,-37,7.1,-17.2,0,-49.5,0,-49.5,0,-66.7,-34,-34,2.3,2.3,-7.5,-8.8,-48,-107.6,0,-7.5
2012-03-31,47.50000,13.40000,-42.40000,-29.00000,-22.00000,-22.00000,-3.50000,-13.10000,,62.00000,,62.00000,,48.90000,-143.10000,-143.10000,,,-7.30000,8.80000,-141.60000,-96.20000,,-7.30000
2011-12-31,32.1,13.8,1.9,15.7,80.3,80.3,128.1,-16.8,-3,0,0,0,-127.6,-147.4,65.9,65.9,-16.4,-16.4,-7.4,0,42.1,22.8,0,-7.4
2011-09-30,182.3,11.4,-194.2,-182.8,18.3,18.3,17.8,-12.4,-418.1,0,0,0,729.5,299,21.7,21.7,1.3,1.3,-7.4,0,15.6,332.4,0,-7.4
2011-06-30,50.3,11,-3.9,7.1,-92.4,-92.4,-35,-11.9,0,0,0,0,1.4,-10.5,35.4,35.4,0.6,0.6,-6.5,0,29.5,-16,0,-6.5
2011-03-31,41.00000,10.80000,-16.70000,-5.90000,-87.30000,-87.30000,-52.20000,-12.40000,,0.00000,,,-3.10000,-15.50000,77.20000,77.20000,2.20000,2.20000,-6.40000,,73.00000,5.30000,,-6.40000
2010-12-31,32.1,11.5,15,26.5,-2.7,-2.7,55.9,-16.3,-6.2,0,0,0,0.5,-22,-17.2,-17.2,-4.5,-4.5,-6.4,4,-24.1,9.8,0,-6.4
2010-09-30,32,10,7.9,17.9,-31.7,-31.7,18.2,-21.1,0.2,0,0,0,-6.3,-27.2,22.2,30.1,0.4,0.4,-6.4,0,24.1,15.1,0,-6.4
2010-06-30,16.6,9.2,13.9,23.1,25.4,25.4,65.1,-8.4,-5.8,4.6,0,4.6,2.6,-7,0,-39.4,1.5,1.5,-6,0,-43.9,14.2,0,-6
2010-03-31,30.80000,10.10000,-18.00000,-7.90000,-37.30000,-37.30000,-14.40000,-7.70000,,,,,-2.60000,-10.30000,,31.50000,2.60000,2.60000,-5.90000,,28.20000,3.50000,,-5.90000
2009-12-31,22.7,-12.4,115.1,102.7,-46.8,-46.8,78.6,-4.8,-71,-8.9,8.9,0,-14.3,-90.1,20.4,20.4,4.1,4.1,-5.9,0,18.6,7.1,0,-5.9
2009-09-30,34.6,17.2,-3.8,13.4,45.2,45.2,93.2,-16.3,0,0,0,0,7.1,-9.2,-65.9,-65.9,3.5,3.5,-5.9,0,-68.3,15.7,0,-5.9
2009-06-30,23.7,17.1,-0.4,16.7,47.5,47.5,87.9,-9.1,-0.5,1.4,0,1.4,0.5,-7.7,-65.7,-65.7,0,0,-5.7,0,-71.4,8.8,0,-5.7
2009-03-31,8.60000,16.40000,0.90000,17.30000,-22.70000,-22.70000,3.20000,-12.50000,-7.00000,7.50000,,7.50000,2.00000,-10.00000,20.10000,20.10000,,,-3.90000,,16.20000,9.40000,,-3.90000
