,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,350.00000,60.00000,-108.00000,-48.00000,60.00000,-33.00000,-46.00000,-57.00000,87.00000,389.00000,-45.00000,,,,,,-45.00000,,,,-190.00000,-190.00000,-62.00000,-10.00000,-262.00000,90.00000,11.00000,-62.00000
2017-12-31,80,63,160,223,8,54,46,185,305,608,-47,0,0,0,0,-7,-54,-750,0,-750,-125,-125,-51,-41,-967,-417,11,-51
2017-09-30,296,58,15,73,-17,11,10,14,70,439,-48,0,-79,0,0,-1,-128,1131,0,1131,-125,-125,-52,2,956,1276,11,-52
2017-06-30,247,59,22,81,-19,6,-29,-93,-148,180,-50,0,0,0,0,10,-40,100,0,100,-125,-125,-51,12,-64,76,11,-51
2017-03-31,239.00000,62.00000,55.00000,117.00000,-22.00000,-52.00000,-37.00000,-160.00000,-237.00000,119.00000,-42.00000,,-3.00000,,,-3.00000,-48.00000,,,,-125.00000,-125.00000,-52.00000,1.00000,-176.00000,-98.00000,11.00000,-52.00000
2016-12-31,154,63,72,135,-29,32,28,4,-3,286,-59,0,0,0,0,0,-59,0,0,0,-75,-75,-47,-6,-128,76,9,-47
2016-09-30,237,60,-19,41,-9,-46,15,-18,-39,239,-56,0,-68,0,0,0,-124,0,-4,-4,-74,-74,-47,1,-124,-7,9,-47
2016-06-30,224,60,64,124,32,-84,13,-97,-211,137,-41,0,-8,0,0,0,-49,0,0,0,-75,-75,-47,14,-108,-17,10,-47
2016-03-31,204.00000,57.00000,-29.00000,28.00000,21.00000,-3.00000,-84.00000,-229.00000,-181.00000,51.00000,30.00000,,-12.00000,,,,18.00000,-400.00000,-1.00000,-401.00000,-76.00000,-76.00000,-47.00000,-19.00000,-543.00000,-479.00000,9.00000,-47.00000
2015-12-31,20,55,57,112,92,-61,-13,162,146,278,-81,0,-654,0,0,-2,-737,1117,-4,1113,-53,-53,-41,7,1026,562,12,-41
2015-09-30,190,46,19,65,-79,-30,32,-11,-51,204,-52,0,0,0,0,-8,-60,0,4,4,-50,-50,-42,2,-86,48,10,-42
2015-06-30,-36,50,228,278,-67,-94,24,-3,-120,122,-45,0,1,0,0,0,-44,0,3,3,-52,-52,-43,1,-91,-15,11,-43
2015-03-31,165.00000,48.00000,30.00000,78.00000,-4.00000,-77.00000,-26.00000,-87.00000,-183.00000,60.00000,-44.00000,,-230.00000,,,,-274.00000,,-5.00000,-5.00000,-48.00000,-48.00000,-42.00000,1.00000,-94.00000,-323.00000,10.00000,-42.00000
2014-12-31,126,53,120,173,30,-3,27,89,88,387,-50,0,0,0,0,0,-50,0,-3,-3,0,0,-37,-2,-42,284,10,-37
2014-09-30,167,50,-34,16,15,-67,-61,25,-80,103,-41,0,0,0,0,-1,-42,0,-3,-3,0,0,-36,1,-38,20,9,-36
2014-06-30,139,51,-12,39,24,-40,-176,135,-19,159,-35,-15,0,0,0,0,-50,0,-3,-3,0,0,-37,1,-39,72,8,-37
2014-03-31,155.00000,50.00000,10.00000,60.00000,,,,-238.00000,-238.00000,-23.00000,-45.00000,,,,,,-45.00000,,1.00000,1.00000,,,-36.00000,,-35.00000,-104.00000,5.00000,-36.00000
2013-12-31,104,58,99,157,-99,-178,-82,387,37,298,-47,0,0,0,0,-4,-51,0,5,5,0,0,-33,0,-28,221,6,-33
2013-09-30,131,49,-19,30,0,0,0,-47,-47,114,-54,0,0,0,0,0,-54,1,-1,0,0,0,-32,0,-32,20,6,-32
2013-06-30,128,51,-8,43,0,0,0,-183,-183,-12,-52,0,0,0,0,0,-52,0,6,6,0,0,-33,-5,-32,-99,20,-33
2013-03-31,140.00000,51.00000,22.00000,73.00000,,,,68.00000,68.00000,281.00000,-22.00000,,,,,,-22.00000,2624.00000,6.00000,2630.00000,,,,-2738.00000,-108.00000,151.00000,11.00000,
2012-12-31,-10,44,23,100,-65,-318,96,459,253,310,-42,0,0,0,0,-4,-46,0,0,0,0,0,0,-78,-78,184,10,0
2012-09-30,161,54,-45,9,0,0,0,-96,-96,74,-26,0,1,0,0,-5,-30,0,0,0,0,0,-1,-17,-18,27,6,-1
2012-06-30,173,54,-10,44,0,0,0,-143,-143,74,-24,0,-1,0,0,-1,-26,0,0,0,0,0,-10,-43,-53,-7,6,-10
2012-03-31,112.00000,48.00000,-1.00000,47.00000,,,,-163.00000,-163.00000,-4.00000,-31.00000,,,,,-2.00000,-33.00000,,,,,,-52.00000,123.00000,71.00000,34.00000,6.00000,-52.00000
2011-12-31,137,20,0,20,0,0,0,0,-217,243,-11,0,-264,0,0,-165,-440,0,0,-143,0,3,-209,596,247,52,0,0
2010-12-31,111,185,0,185,0,0,0,0,100,254,-124,0,-81,0,0,196,-9,0,0,0,0,-3,-207,-67,-277,-36,0,0
