,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-07-31,191,55,29,84,-41,-10,8,32,-33,242,-47,-1,0,-21,-21,18,-51,0,0,0,-530,-530,-51,-1,-582,-390,17,-51
2019-04-30,182,53,27,80,5,-9,8,-72,-10,252,-39,0,0,3,3,-20,-56,0,0,0,-39,-39,-52,-1,-92,97,16,-52
2019-01-31,504.00000,54.00000,-250.00000,-196.00000,-22.00000,-12.00000,-16.00000,26.00000,-95.00000,213.00000,-39.00000,,-248.00000,-3.00000,-3.00000,,-290.00000,,,,-53.00000,-53.00000,-52.00000,-17.00000,-122.00000,-190.00000,24.00000,-52.00000
2018-10-31,195,56,46,102,-56,-17,49,44,75,372,-35,0,-79,-2,-2,2,-114,-210,210,0,-83,-83,-47,-1,-131,115,14,-47
2018-07-31,236,53,-5,48,12,-32,5,-55,-87,197,-33,0,-430,-11,-11,1,-473,251,-566,-315,-226,-226,-48,0,-589,-879,13,-48
2018-04-30,205,50,18,68,-16,0,-11,2,30,303,-48,0,-1,1,1,-3,-51,-251,221,-30,-35,-35,-48,-1,-114,122,12,-48
2018-01-31,-320.00000,51.00000,31.00000,82.00000,-5.00000,-34.00000,-3.00000,557.00000,453.00000,215.00000,-60.00000,,-6.00000,-1.00000,-1.00000,,-67.00000,,135.00000,135.00000,-22.00000,-22.00000,-48.00000,-28.00000,37.00000,210.00000,31.00000,-48.00000
2017-10-31,177,52,38,90,-52,-15,-9,48,21,288,-58,0,0,-2,-2,1,-59,110,-180,-70,8,8,-43,-1,-106,117,12,-43
2017-07-31,175,51,83,134,19,-17,5,-70,-81,228,-43,0,-57,0,0,-1,-101,87,-48,39,32,32,-42,0,29,174,13,-42
2017-04-30,164,54,27,81,-17,-3,-3,-15,12,257,-43,0,0,0,0,0,-43,-87,139,52,-75,-75,-43,-1,-67,148,15,-43
2017-01-31,168.00000,55.00000,45.00000,100.00000,-31.00000,-26.00000,9.00000,-61.00000,-152.00000,116.00000,-32.00000,,-69.00000,,,,-101.00000,,89.00000,89.00000,-93.00000,-93.00000,-42.00000,-12.00000,-58.00000,-48.00000,20.00000,-42.00000
2016-10-31,126,56,12,68,-52,4,12,47,40,234,-52,0,-26,0,0,0,-78,262,-235,27,-43,-43,-38,-2,-56,90,11,-38
2016-07-31,124,60,22,82,0,2,26,-39,-12,194,-24,0,0,0,0,0,-24,0,0,0,-67,-67,-37,-1,-105,60,11,-37
2016-04-30,91,64,58,122,34,0,-35,8,41,254,-25,0,0,-83,-83,0,-108,0,155,155,-86,-86,-37,0,32,208,13,-37
2016-01-31,121.00000,66.00000,33.00000,99.00000,-15.00000,-13.00000,-18.00000,-16.00000,-109.00000,111.00000,-38.00000,,-235.00000,,,245.00000,-28.00000,,80.00000,80.00000,-176.00000,-176.00000,-38.00000,-5.00000,-139.00000,-72.00000,23.00000,-38.00000
2015-10-31,140,60,113,173,-25,-6,21,-97,-72,241,-26,0,-8,0,0,-241,-275,0,0,0,1,1,-33,-1,-33,-72,11,-33
2015-07-31,111,62,5,67,-15,0,-12,-23,-70,108,-19,0,-66,-2,-2,0,-87,0,0,0,-82,-82,-33,-12,-127,-122,10,-33
2015-04-30,87,63,20,83,31,-13,4,-36,13,183,-9,0,3,-1,-1,0,-7,0,0,0,-130,-130,-33,62,-101,79,11,-33
2015-01-31,63.00000,68.00000,35.00000,103.00000,-15.00000,-5.00000,-39.00000,-93.00000,-186.00000,-20.00000,-32.00000,,,,,1.00000,-31.00000,,,,2.00000,2.00000,-34.00000,-796.00000,-828.00000,-100.00000,22.00000,-34.00000
2014-10-31,68,79,-120,-41,-119,-26,79,182,157,184,-43,0,-10,0,0,-5,-58,599,-35,564,52,52,-44,-31,541,637,19,-44
2014-07-31,147,90,31,121,3,-17,-73,-117,-240,28,-52,0,1,-20,-20,1,-70,-500,35,-465,-9,-9,-44,0,-518,-559,19,-44
2014-04-30,139,97,49,146,-43,-23,45,-5,40,325,-51,0,0,-4,-4,0,-55,0,0,0,-28,-28,-44,0,-72,208,22,-44
2014-01-31,195.00000,96.00000,45.00000,141.00000,40.00000,-33.00000,-1.00000,-86.00000,-142.00000,194.00000,-45.00000,,-2.00000,,,,-47.00000,,,,-27.00000,-27.00000,-44.00000,3.00000,-68.00000,67.00000,36.00000,-44.00000
2013-10-31,221,95,26,121,-17,-19,20,-2,35,377,-32,0,-10,-9,-9,0,-51,0,0,0,45,45,-39,0,6,345,19,-39
2013-07-31,168,91,39,130,34,-28,-40,-13,-83,215,-53,0,-1,0,0,0,-54,347,0,347,-633,-633,-41,-5,-332,-189,17,-41
2013-04-30,166,92,31,123,-56,-19,0,32,26,315,-50,0,0,-21,-21,0,-71,0,0,0,-124,-124,-41,0,-165,69,18,-41
2013-01-31,179.00000,94.00000,39.00000,133.00000,53.00000,-34.00000,-7.00000,-9.00000,-67.00000,245.00000,-58.00000,,-10.00000,-4.00000,-4.00000,,-72.00000,,,,-27.00000,-27.00000,-35.00000,-1.00000,-63.00000,99.00000,31.00000,-35.00000
2012-10-31,425,94,-133,-39,41,22,-30,15,99,485,-62,0,-30,0,0,0,-92,148,1,149,-84,-84,-34,-3,28,428,15,-34
2012-07-31,243,84,29,113,41,-10,5,-70,-116,240,-49,0,-2151,0,0,0,-2200,0,-1,-1,29,29,-35,0,-7,-1973,16,-35
2012-04-30,255,61,10,71,-98,-18,36,28,27,353,-37,0,-21,2,2,0,-56,0,0,0,-25,-25,-35,-1,-61,234,16,-35
2012-01-31,230.00000,62.00000,44.00000,106.00000,35.00000,-46.00000,-42.00000,-31.00000,-186.00000,150.00000,-46.00000,,-55.00000,83.00000,83.00000,,-18.00000,,,,8.00000,8.00000,,-5.00000,3.00000,135.00000,27.00000,
2011-10-31,289,63,37,100,42,-16,1,14,121,510,-49,0,-1,2,2,0,-48,0,0,0,-30,-30,0,0,-30,426,14,0
2011-07-31,330,63,17,80,-5,-53,-17,-13,-158,252,-32,0,0,0,0,0,-32,0,0,0,-97,-97,0,0,-97,126,14,0
2011-04-30,200,64,60,124,-39,-54,37,15,54,378,-51,0,-96,14,9,12,-126,0,0,0,68,68,0,0,68,337,16,0
2011-01-31,193.00000,63.00000,40.00000,103.00000,13.00000,-85.00000,-56.00000,33.00000,-176.00000,120.00000,-38.00000,,,,5.00000,1533.00000,1500.00000,-1500.00000,,-1500.00000,-134.00000,-134.00000,,,-1634.00000,-11.00000,28.00000,
2010-10-31,292,67,-57,10,-57,-29,28,58,71,373,-34,0,-14,0,0,5,-43,0,0,0,-17,-17,0,0,-17,332,15,0
2010-07-31,205,60,-179,-119,-16,-5,30,67,4,90,-27,0,-1102,30,30,1,-1098,733,0,733,-54,-54,0,-5,674,-329,13,0
2010-04-30,108,36,-14,22,-51,-16,47,36,95,225,-28,0,20,4,4,2,-2,-15,0,-15,-44,-44,0,0,-59,165,13,0
2010-01-31,79.00000,39.00000,134.00000,173.00000,-42.00000,-1.00000,8.00000,-126.00000,-222.00000,30.00000,-25.00000,,-12.00000,4.00000,4.00000,2.00000,-31.00000,,,,3.00000,3.00000,,,3.00000,2.00000,25.00000,
2009-10-31,25,40,3,43,-50,10,56,75,145,213,-29,0,44,13,13,-8,20,748,0,748,18,18,0,-5,761,1000,15,0
2009-07-31,-19,41,15,56,40,24,-5,-23,4,41,-30,0,1,19,19,4,-6,0,0,0,26,26,0,0,26,79,17,0
2009-04-30,-101,40,80,120,63,35,-5,-9,118,137,-34,0,-1,12,12,6,-17,0,-50,-50,-31,-31,0,0,-81,38,18,0
2009-01-31,64.00000,41.00000,74.00000,115.00000,140.00000,-22.00000,-53.00000,-85.00000,-162.00000,17.00000,-34.00000,,-1.00000,20.00000,20.00000,4.00000,-11.00000,,50.00000,50.00000,-99.00000,-99.00000,,,-49.00000,-43.00000,21.00000,
