,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,92.65000,14.89100,-2.43900,12.45200,0.09400,,-8.19800,-8.10400,96.99800,-12.22200,,,,,0.26200,-11.96000,-48.96800,-48.96800,-3.60700,-3.60700,-0.09000,-2.46700,-55.13200,30.03000,4.60800,-0.09000
2018-12-31,111.642,19.347,3.909,23.256,-17.273,-12.455,16.828,-2.89,131.652,-54.66,0,0,-20,-20,51.766,-22.894,55.979,55.979,-161.157,-161.157,-45.446,-0.113,-150.737,-42.282,7.132,-45.446
2018-09-30,84.095,13.572,-8.64,4.932,0,0,18.535,18.535,107.807,-19.894,0,0,-15,-15,13.315,-21.579,-8.934,-8.934,-105.362,-105.362,-23.182,-4.531,-142.009,-55.884,4.217,-23.182
2018-06-30,77.408,16.533,-0.456,16.077,0,0,-22.617,-22.617,71.036,-23.32,0,0,-35.152,-35.152,24.827,-33.645,326.945,326.945,-217.495,-217.495,-23.459,-8.226,77.765,114.976,5.38,-23.459
2018-03-31,88.82700,12.24600,-1.41600,10.83000,,,-15.92400,-15.92400,83.67600,-13.64700,,,,,3.50800,-10.13900,-8.07800,-8.07800,-97.36600,-97.36600,-0.07900,-2.29900,-107.82200,-34.23700,6.06300,-0.07900
2017-12-31,93.327,15.867,-3.671,12.196,-22.926,1.527,7.005,7.873,113.162,-44.31,0,0,0,0,-0.858,-45.168,-8.1,-8.1,-49.447,-49.447,-39.668,-0.063,-97.278,-29.567,6.442,-39.668
2017-09-30,56.368,16.991,3.516,20.507,0,0,38.424,38.424,115.329,-13.662,0,0,0,0,-0.197,-13.859,989.673,989.673,-999.87,-999.87,-22.35,-21.526,-54.073,47.71,4.638,-22.35
2017-06-30,65.741,11.589,-8.483,3.106,0,0,-32.961,-32.961,36.142,-13.539,0,0,0,0,-0.051,-13.59,-0.048,-0.048,2.451,2.451,-22.027,-0.015,-19.639,2.917,4.413,-22.027
2017-03-31,62.46900,10.89800,5.13600,16.03400,,,-1.82300,-1.82300,76.62800,-11.66500,,,,,0.54400,-11.12100,-9.71800,-9.71800,-11.28800,-11.28800,-0.25300,-4.89600,-26.15500,39.38400,5.22000,-0.25300
2016-12-31,72.733,14.536,-5.756,8.78,-18.948,-2.947,-9.11,47.924,129.843,-15.365,0,0,0,0,-62.021,-77.386,-44.742,-44.742,-13.482,-13.482,-36.377,6.609,-87.992,-36.423,6.22,-36.377
2016-09-30,47.233,10.133,-1.792,8.341,0,0,38.012,38.012,93.164,-13.209,0,0,0,0,-15.006,-28.215,15.286,15.286,-58.243,-58.243,-18.449,4.058,-57.348,7.676,3.727,-18.449
2016-06-30,49.261,10.008,-1.698,8.31,0,0,-5.147,-5.147,52.305,-16.301,0,0,0,0,49.136,32.835,-2.419,-2.419,-222.473,-222.473,-18.935,2.956,-240.871,-155.947,3.719,-18.935
2016-03-31,45.45100,9.88100,-22.51500,-12.63400,,,-15.80400,-15.80400,17.14800,-8.74400,,,,,26.23000,17.48600,-27.45900,-27.45900,9.18200,9.18200,-0.16400,28.86000,10.41900,44.80300,4.89800,-0.16400
2015-12-31,62.759,18.307,5.548,23.855,-14.762,-2.262,-15.36,36.648,124.478,-27.188,0,0,0,0,-89.971,-117.159,740.795,740.795,-599.652,-599.652,-32.188,-15.764,93.191,100.943,6.435,-32.188
2015-09-30,37.832,8.942,-1.655,7.287,0,0,19.086,19.086,63.714,-11.917,0,0,0,0,5.651,-6.266,-0.057,-0.057,-38.524,-38.524,-17.102,4.484,-51.199,6.615,3.412,-17.102
2015-06-30,45.909,8.957,-2.153,6.804,0,0,-33.065,-33.065,18.849,-10.642,0,0,0,0,24.609,13.967,-0.038,-0.038,-67.251,-67.251,-17.074,2.774,-81.589,-49.1,3.31,-17.074
2015-03-31,46.28900,8.62100,0.13700,8.75800,,,29.62400,29.62400,84.74500,-0.81100,,,,,0.97700,0.16600,-0.10300,-0.10300,-28.31600,-28.31600,-13.96500,1.04500,-41.33900,44.13600,4.46600,-13.96500
2014-12-31,48.033,17.464,-11.86,5.604,-13.28,-11.827,21.26,18.929,73.454,-35.752,0,0,0,0,-47.006,-82.758,-0.18,-0.18,5.934,5.934,-13.635,16.646,8.765,-0.081,5.69,-13.635
2014-09-30,35.618,8.222,4.738,12.96,0,0,9.782,9.782,58.095,-11.2,0,0,0,0,0.802,-10.398,-0.13,-0.13,-16.955,-16.955,-14.078,-0.946,-32.109,15.632,3.817,-14.078
2014-06-30,38.462,8.037,0.122,8.159,0,0,-21.367,-21.367,24.586,-11.326,0,0,0,0,33.146,21.82,-5.99,-5.99,-49.685,-49.685,-14.077,0.43,-69.322,-23.072,3.625,-14.077
2014-03-31,40.47400,7.81100,-4.23500,3.57600,,,-7.89100,-7.89100,36.20400,-2.65500,,,,,16.54800,13.89300,-6.03200,-6.03200,-12.67300,-12.67300,-11.05300,3.52600,-26.23200,23.99300,4.45500,-11.05300
2013-12-31,44.663,10.133,0.11,10.243,-12.258,-0.242,23.858,33.225,89.414,-23.285,0,0,4.518,4.518,-62.13,-80.897,-6.081,-6.081,-16.593,-16.593,-11.018,7.33,-26.362,-17.696,7.121,-11.018
2013-09-30,30.632,7.484,2.332,9.816,0,0,-2.52,-2.52,37.735,-7.592,0,0,0,0,-3.303,-10.895,-6.049,-6.049,-18.769,-18.769,-11.769,0.939,-35.648,-8.759,4.626,-11.769
2013-06-30,33.27,7.198,-1.053,6.145,0,0,-20.093,-20.093,19.191,-5.652,0,0,0,0,2.047,-3.605,-6.049,-6.049,-35.828,-35.828,-11.127,3.28,-49.724,-34.243,4.624,-11.127
2013-03-31,34.42000,7.06200,7.52200,14.58400,,,-0.39600,-0.39600,47.64900,-3.85800,,,,,-0.47800,-4.33600,-6.17000,-6.17000,-16.49100,-16.49100,-0.32700,-0.08200,-23.07000,20.26800,5.61600,-0.32700
2012-12-31,37.578,9.973,-2.321,7.652,-6.455,-0.703,12.529,30.285,75.068,-14.24,0,0,0,0,0.778,-13.462,-6.187,-6.187,-39.637,-39.637,-0.009,5.688,-40.145,20.263,5.438,-0.009
2012-09-30,25.977,6.864,3.54,10.404,0,0,7.077,7.077,43.142,-5.186,0,0,0,0,-1.289,-6.475,-6.14,-6.14,-4.877,-4.877,-0.617,-1.507,-13.141,23.8,3.895,-0.617
2012-06-30,28.095,5.89,2.378,8.268,0,0,1.101,1.101,37.893,-3.727,0,0,0,0,-11.44,-15.167,-6.055,-6.055,-35.981,-35.981,-184.858,0.179,-226.715,-203.98,3.998,-184.858
2012-03-31,20.74200,15.04000,2.53700,17.57700,,,-17.90500,-17.90500,20.21700,-3.12600,,,,,45.57800,42.45200,127.87300,127.87300,1.20200,1.20200,,-26.52300,102.55200,164.43800,4.29000,0.00000
2011-12-31,30.911,10.611,-4.731,5.88,-6.285,-4.904,23.293,33.523,67.967,-10.385,0,0,0,0,-10.938,-21.323,-0.291,-0.291,-14.561,-14.561,0,-13.519,-28.371,18.212,4.723,0
2011-09-30,22.091,6.857,7.331,14.188,0,0,3.503,3.503,40.694,-3.199,0,0,0,0,-3.199,-6.398,-0.182,-0.182,-76.601,-76.601,0,-3.978,-80.761,-46.559,3.347,0
2011-06-30,25.248,5.734,-2.295,3.439,0,0,-12.963,-12.963,16.603,-4.113,0,0,0,0,4.599,0.486,-0.191,-0.191,-35.592,-35.592,0,4.78,-31.003,-13.945,2.876,0
2011-03-31,27.11100,7.03000,3.79300,10.82300,,,-10.68100,-10.68100,27.80900,-0.62100,,,,,0.91500,0.29400,-0.22600,-0.22600,11.42300,11.42300,,5.45300,16.65000,44.63900,3.00800,
2010-12-31,24.173,11.8,5.046,16.846,-3.331,-2.357,11.788,6.618,46.059,-8.531,0,0,0,0,-7.897,-16.428,-24.583,-24.583,2.389,2.389,0,1.439,-20.755,8.75,4.393,0
2010-09-30,16.6,6.481,2.292,8.773,0,0,6.494,6.494,32.626,-4.874,0,0,0,0,0.342,-4.532,-19.209,-19.209,1.879,1.879,0,-0.558,-17.888,10.215,3.076,0
2010-06-30,22.625,5.561,4.444,10.005,0,0,-16.744,-16.744,17.261,-5.21,0,0,0,0,6.33,1.12,-18.944,-18.944,1.548,1.548,0,-0.02,-17.416,0.99,2.557,0
2010-03-31,24.51900,8.04700,-1.89100,6.15600,,,2.26000,2.26000,32.37900,-4.06900,,,,,5.52900,1.46000,-51.16300,-51.16300,2.79800,2.79800,,0.15700,-48.20800,-14.40200,3.34400,
2009-12-31,23.618,10.863,0.451,11.314,-5.693,-1.05,4.094,14.02,46.462,-8.911,0,0,0,0,-4.575,-13.486,-40.194,-40.194,1.206,1.206,0,-0.142,-39.13,-6.337,4.091,0
2009-09-30,17.829,7.303,-5.343,1.96,0,0,4.979,4.979,25.674,-3.051,0,0,0,0,-13.846,-16.897,-22.557,-22.557,1.185,1.185,0,-0.408,-21.78,-12.966,3.325,0
2009-06-30,14.527,6.948,-2.313,4.635,0,0,-3.489,-3.489,16.867,-4.171,0,0,0,0,-8.142,-12.313,-12.117,-12.117,1.62,1.62,0,0.135,-10.362,-6.156,7.193,0
2009-03-31,23.77000,8.57100,-10.88000,-2.30900,,,-9.58000,-9.58000,12.27100,-3.00700,,,,,12.81200,9.80500,-0.81600,-0.81600,1.12300,1.12300,,0.16900,0.47600,22.47900,2.64500,
