,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-06-30,28.9,136.9,30,166.9,0,0,0,-11.6,-11.6,184.2,-371.5,2.1,2.1,-30.3,-399.7,-3.4,255.4,252,5.2,5.2,-49.7,0,207.5,-8,0,-49.7
2016-03-31,186.60000,132.80000,104.80000,237.60000,,,,-121.30000,-121.30000,302.90000,-301.00000,,,-14.30000,-315.30000,-204.30000,277.90000,73.60000,-3.10000,-3.10000,-49.60000,-0.30000,20.60000,8.20000,,-49.60000
2015-12-31,59.4,135.3,96.1,231.4,-158.1,27.1,97,-86.7,-27.9,262.9,-441.6,3.5,3.5,-18.4,-456.5,-233.1,460.2,227.1,4.5,4.5,-49.4,0,182.2,-11.4,12.1,-49.4
2015-09-30,-4.9,134.5,30.1,164.6,48.6,-128.5,-32.6,75,-81.3,78.4,-365.9,0,0,-462.4,-398.3,-2.8,38.5,35.7,5.4,5.4,-49.3,-136.8,-145,-329.3,9,-49.3
2015-06-30,-27.7,135.8,169.9,305.7,477.7,-148.2,-188.8,119.4,233.1,511.1,-311.2,0,0,3434.5,2693.3,-1848.3,-172.2,-2020.5,6.3,6.3,-82.5,-653.3,-2750,326.1,12.3,-82.5
2015-03-31,275.30000,127.50000,178.60000,306.10000,-106.00000,296.50000,-66.10000,-21.40000,23.00000,604.40000,-242.00000,,,353.20000,111.20000,-8.00000,-1262.90000,-1270.90000,-14.10000,-14.10000,-82.20000,668.40000,-698.80000,10.00000,17.30000,-82.20000
2014-12-31,154.2,126.3,84.4,210.7,-403.1,54.6,258.6,29.6,68.2,433.1,-369.8,0,0,-234.6,-604.4,-3.9,265.8,261.9,7.9,7.9,-82.1,-8.7,179,7.6,15.8,-82.1
2014-09-30,31.4,67.7,240.7,308.4,183.9,-198.7,-58.4,-0.1,-104.3,235.5,-66,-6.8,-6.8,-541.8,-614.6,244.6,209.9,454.5,6.3,6.3,-82,0,378.8,-0.4,22.3,-82
2014-06-30,78.2,151.8,39.8,191.6001,441.5,-245.8,-296.8,101.6,-12.8,257,-465.7,37.8,37.8,-61.8,-489.7,-4.2,288.6,284.4,7,7,-78.7,0,212.7,-20,14,-78.7
2014-03-31,266.20000,151.10000,142.70000,293.79990,-265.10000,274.00000,126.50000,-230.40000,-166.00000,394.00000,-381.00000,-31.00000,-31.00000,4.10000,-407.90000,-9.10000,113.80000,104.70000,-1.10000,-1.10000,-78.50000,,25.10000,11.20000,13.90000,-78.50000
2013-12-31,151.8,41.4,135.8,177.2,-415.7,90.6,240,-43.8,29.2,358.2,77,70.7,70.7,-787.8,-640.1,486.6,-122,364.6,7.5,7.5,-78.3,0,293.8,12.3,8.8,-78.3
2013-09-30,48.1,146.9,29.8,176.7,123.9,-176.9,-58.5,148.5,-40.7,184.1,-478.4,-38,-38,-16.8,-533.2,-54.2,443.1,388.9,11.9,11.9,-78.1,-3.2,319.5,-29.6,16.7,-78.1
2013-06-30,71.7,145.6,58.6,204.2,355.9,-181.5,-144.6,90.4,169.5,445.4,-432.2,-32.7,-32.7,-7.1,-472,791.4,-753.5,37.9,6.6,6.6,-74.8,0,-30.3,-56.9,12.4,-74.8
2013-03-31,260.50000,145.90000,91.10000,237.00000,-161.40000,254.70000,25.40000,-153.50000,-48.40000,449.10000,-368.80000,,,122.70000,-246.10000,-427.10000,354.30000,-72.80000,9.60000,9.60000,-74.70000,,-137.90000,65.10000,10.60000,-74.70000
2012-12-31,134,146.3,160.7,307.0001,-385.3,42.8,208.3,-76.9,-107.3,333.7,-474.6,-16.9,-16.9,17.6,-473.9,-320,551.5,231.4999,7.1,7.1,-74.4,0,164.2,24,12,-74.4
2012-09-30,19.3,127.9,-3.7,124.1999,29.5,-114,-3.5,208.1,26.5,170,-382.9,10.6,10.6,-10.1,-382.4,-3.8,-102.3,-106.0999,346.4,346.4,-68.4,0,171.9,-40.5,13.3,-68.4
2012-06-30,69.4,149.7,41,190.7,176.9,-77.5,-106.2,82,31.7,291.8,-326,-2.3,-2.3,54.1,-274.2,989.5,-936.6,52.9,12.5,12.5,-65.3,-3.4,-3.3,14.3,10.8,-65.3
2012-03-31,193.40000,147.70000,106.20000,253.90000,127.50000,211.10000,-41.30000,-185.40000,32.70000,480.00000,-289.70000,-5.30000,-5.30000,0.30000,-294.70000,-5.90000,-94.80000,-100.70000,7.50000,7.50000,-65.10000,,-158.30000,27.00000,8.90000,-65.10000
2011-12-31,14.7,134.3,164.5,298.8,-341.9,29.7,170.3,-253.9,-237.4,76.1,-348.5,-6.2,-6.2,7.3,-347.4,244.3,125.4,369.7,9.3,9.3,-64.5,-53.9,260.6,-10.7,11.8,-64.5
2011-09-30,34.7,137.3,35.2,172.5,126.8,-185.1,-74.7,59.6,-149.1,58.1,-329.2,-0.1,-0.1,-49.2,-378.5,-23.5,363.7,340.2,7.1,7.1,-64.6,0,282.7,-37.7,10.2,-64.6
2011-06-30,40.2,136.6,17.2,153.8,418.6,-194.8,-130.5,12,119.9,313.9,-231.7,-0.1,-0.1,-16.5,-248.3,385.1,-392.7,-7.6,3.9,3.9,-64.5,0,-68.2,-2.6,9.4,-64.5
2011-03-31,209.50000,136.40000,93.70000,230.10000,16.00000,208.50000,-119.90000,-137.80000,-17.50000,422.10000,-203.90000,,,28.80000,-175.10000,-2.80000,-119.50000,-122.30000,1.00000,1.00000,-64.20000,-8.20000,-193.70000,53.30000,7.80000,-64.20000
2010-12-31,24,142.5,173.1,315.6,-542.8,136.1,304.5,34.3,53.3,392.9,-247.4,113,113,-47.8,-182.2,-716.8,657.9,-58.9,3.7,3.7,-64.2,-93,-212.4,-1.7,7.7,-64.2
2010-09-30,33.2,155.8,90.2,246.0001,54.1,-180.4,-31.4,-51.8,-349.2,-70,-216.8,-84.4,-84.4,-66,-367.2,-11.1,511.8,500.7,3.8,3.8,-63.8,0,440.7,3.5,17.2,-63.8
2010-06-30,28.1,154.3,5.4,159.7,383.5,-185.1,-132.4,122.0001,131.4,319.2,-198,-0.3,-0.3,-1.2,-199.5,-4.3,-157.9,-162.2,3.2,3.2,-63.9,0,-222.9,-103.2,3.8,-63.9
2010-03-31,197.30000,152.50000,-26.30000,126.20000,-138.40000,332.70000,-103.00000,-393.90010,-240.20000,83.30000,-138.60000,0.50000,0.50000,-56.30000,-194.40000,-0.90000,267.70000,266.80000,2.20000,2.20000,-63.70000,,205.30000,94.20000,2.20000,-63.70000
2009-12-31,88.8,152.3,-30.1,122.2002,-339.1,151.6,256,-179.7,334.3,545.3,-187.9,1.4,1.4,34.6,-151.9,-309,-97.1,-406.0999,8.3,8.3,-63.7,0,-461.5,-68.1,1.3,-63.7
2009-09-30,-15.4,152.5,195.6,348.0998,103.6,-242.2,-16,44.3,-451.6,-118.9,-199.9,0.5,0.5,16.4,-183,0.6,200.1,200.6999,0.2,0.2,-63.4,0,137.5,-164.4,3.4,-63.4
2009-06-30,-4.8,152.3,28.8,181.1,322.4,-268.4,-270.4,225.6,5.6,181.9,-178.9,-6.9,-6.9,62.3,-123.5,118.3,0,118.3,0.1,0.1,-63.1,0,55.3,113.7,3.3,-63.1
2009-03-31,148.40000,145.80000,-40.60000,105.20000,172.00000,487.70000,-161.00000,316.40000,804.30000,1057.90000,-204.80000,41.30000,41.30000,-32.90000,-196.40000,480.30000,-1163.50000,-683.20000,-0.60000,-0.60000,-63.10000,,-746.90000,114.60000,1.60000,-63.10000
