,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,47,55,28,83,91,-51,3,5,110,240,-39,0,-95,-107,-79,-186,0,-320,0,0,0,-140,-140,-3,-143,-221,16
2020-03-31,173.00000,54.00000,100.00000,154.00000,99.00000,-24.00000,-16.00000,-2.00000,-46.00000,281.00000,-40.00000,,,,37.00000,37.00000,-132.00000,-135.00000,,,,-156.00000,-156.00000,-35.00000,-191.00000,-51.00000,39.00000
2019-12-31,239,55,77,132,-29,58,11,-22,55,443,-57,0,0,-5,-39,-44,-3,-104,0,0,0,-63,-63,-52,-115,227,49
2019-09-30,234,56,79,135,-75,3,-3,-23,-92,267,-49,0,0,-2,-167,-169,0,-218,-550,0,-550,-169,-169,546,-173,-128,46
2019-06-30,293,62,-165,-103,-10,-10,4,-17,-50,143,-47,0,0,-10,180,170,-44,79,1,0,1,3,3,-553,-549,-327,48
2019-03-31,224.00000,61.00000,23.00000,84.00000,56.00000,-26.00000,-47.00000,-20.00000,-107.00000,198.00000,-56.00000,,,-3.00000,1032.00000,1029.00000,15.00000,988.00000,-1.00000,,-1.00000,-36.00000,-36.00000,-23.00000,-60.00000,1126.00000,51.00000
2018-12-31,197,65,40,105,-81,-13,32,-2,-6,300,-65,0,0,-3,-280,-283,0,-348,-1,0,-1,-97,-97,-56,-154,-202,47
2018-09-30,188,55,38,93,-36,-12,12,13,5,292,-64,0,0,-3,-873,-876,0,-940,734,0,734,-80,-80,-3,651,2,48
2018-06-30,200,53,39,92,1,-11,-1,-21,3,295,-77,0,-100,-6,-354,-360,0,-537,0,0,0,1,1,29,30,-216,50
2018-03-31,197.00000,47.00000,37.00000,84.00000,11.00000,-17.00000,2.00000,2.00000,-20.00000,255.00000,-90.00000,,,-3.00000,105.00000,102.00000,,12.00000,-2.00000,,-2.00000,21.00000,21.00000,48.00000,67.00000,335.00000,48.00000
2017-12-31,57,46,69,115,-27,-6,-2,129,119,294,-76,0,-278,-4,-287,-291,330,-315,-6,0,-6,-67,-67,-36,-109,-129,41
2017-09-30,153,49,21,70,-13,-18,12,13,9,235,-82,-2,0,0,-13,-13,0,-97,-3,0,-3,-43,-43,41,-5,135,34
2017-06-30,120,46,19,65,-2,-10,3,16,-4,178,-69,0,0,-18,122,104,0,35,5,0,5,9,9,10,24,238,39
2017-03-31,348.00000,45.00000,-294.00000,-249.00000,16.00000,1.00000,-3.00000,5.00000,71.00000,168.00000,-83.00000,,278.00000,-7.00000,27.00000,20.00000,-52.00000,163.00000,,,,-79.00000,-79.00000,-7.00000,-86.00000,246.00000,50.00000
2016-12-31,107,46,63,109,-2,12,5,-4,44,262,-82,0,0,-5,-87,-92,0,-174,0,0,0,-135,-135,-10,-145,-60,27
2016-09-30,117,43,65,108,-8,-1,-15,4,-46,176,-57,-11,0,-3,-270,-273,0,-341,3,0,3,8,8,-2,9,-157,35
2016-06-30,116,41,67,108,26,-24,5,9,15,242,-68,0,0,-3,115,112,0,44,2,0,2,-91,-91,0,-89,197,32
2016-03-31,88.00000,41.00000,28.00000,69.00000,-13.00000,-17.00000,3.00000,-1.00000,-58.00000,99.00000,-53.00000,,-18.00000,-3.00000,30.00000,27.00000,,-44.00000,,,,23.00000,23.00000,-94.00000,-71.00000,-14.00000,35.00000
2015-12-31,103.474,42.514,160.851,203.365,25.309,-37.402,-3.532,2.63,62.121,366.782,-35.639,0.275,-1.774,-1.9,267.582,265.682,0,228.544,216.207,0,216.207,-195.412,-195.412,-400.174,-379.379,217.625,35.896
2015-09-30,115.621,42.308,17.995,60.303,-46.12,-11.072,18.814,-7.447,2.496,180.994,-29.459,0,-35.226,-5.026,30.784,25.758,0,-38.927,-207.543,0,-207.543,-14.348,-14.348,40.994,-180.897,-39.528,32.229
2015-06-30,102.247,40.907,32.698,73.605,-15.715,-18.482,1.851,-1.017,-6.756,171.445,-41.351,-0.275,0,-12.141,-88.703,-100.844,0,-142.47,-8.55,0,-8.55,12.786,12.786,23.574,27.81,57.52,32.957
2015-03-31,136.65800,40.27100,-13.54400,26.72700,-59.47400,-14.04400,28.86700,-2.16600,-97.86100,66.77900,-36.55100,,,13.06700,-130.66300,-117.59600,,-154.14700,-0.11400,,-0.11400,-5.02600,-5.02600,-7.39400,-12.53400,-102.61700,31.91800
2014-12-31,153.28,40.032,77.285,117.317,-12.648,8.151,-16.854,-6.17,-139.297,140.549,-34.832,-29.5,0,-5,-263.451,-268.451,0,-332.783,1214.7299,-1244.721,-29.991,-23.157,-23.157,53.35,0.202,-193.741,38.462
2014-09-30,93.489,36.681,15.055,51.736,-20.544,-21.506,0.864,-5.845,-3.809,145.605,-28.828,-6.095,-3.285,4.927,-10.95,-6.023,0,-44.231,-1244.7209,1244.721,0,30.581,30.581,24.914,55.495,154.674,44.669
2014-06-30,46.605,36.531,37.659,74.19,34.967,-13.196,3.824,-7.999,54.419,178.03,-23.324,0,0,-7.082,145.183,138.101,0,114.777,1132.378,-1244.721,-112.3429,-50.307,-50.307,26.129,-136.521,156.708,35.996
2014-03-31,59.97700,37.39900,17.49600,54.89500,-52.15600,-9.99100,10.06000,-7.76200,-77.14900,37.08700,-19.01200,-0.62500,,-4.60000,-120.15000,-124.75000,,-144.38700,,,,-97.97200,-97.97200,12.04800,-85.92400,-193.12400,33.42400
2013-12-31,80.661,36.309,-41.422,-5.113,-3.424,6.615,13.265,-7.984,41.011,126.839,-27.31,-8.499,-86.023,89.609,-118.587,-28.9781,0,-150.81,-0.131,0,-0.131,14.234,14.234,29.453,43.556,19.801,29.746
2013-09-30,31.357,35.941,5.789,41.73,-24.458,7.961,-8.878,-0.57,9.66,83.136,-18.93,-0.002,-92.317,0.399,9.555,9.9539,0,-101.295,-1.581,0,-1.581,39.147,39.147,-112.619,-75.053,-91.775,27.409
2013-06-30,35.877,32.372,18.389,50.761,5.825,-0.093,-10.457,-3.026,3.933,88.606,-11.534,-2.342,-0.05,-4.426,265.829,261.4031,0,247.477,-9.082,0,-9.082,2.832,2.832,12.034,5.784,340.529,24.452
2013-03-31,-22.58700,29.54000,-22.01900,7.52100,6.12900,-8.26600,8.45900,0.82200,98.79900,87.84000,-21.44100,-0.50100,-345.11100,9.99800,292.03400,302.03200,,-65.02100,-0.05800,,-0.05800,-11.77300,-11.77300,-1.17500,-13.00600,9.10100,24.21900
2012-12-31,71.903,27.523,-9.912,17.611,2.604,-10.247,-3.322,5.901,-8.007,78.876,-17.101,-0.899,0,40.881,-4.27,36.611,0,18.611,0,0,0,-14.362,-14.362,8.32,-6.042,90.892,24.176
2012-09-30,29.748,25.091,32.591,57.682,-23.832,-8.65,5.4,-9.69,-35.736,51.228,-17.65,-11.329,-83.156,15.03,80,95.03,0,-17.105,0,0,0,-9.323,-9.323,1.258,-8.065,26.677,23.072
2012-06-30,23.401,23.683,22.469,46.152,15.945,-4.969,2.775,0.946,26.769,96.329,-20.946,0,0,-7.53,18.828,11.298,0,-9.648,0,0,0,-28.601,-28.601,-1.663,-30.264,56.218,24.047
2012-03-31,26.20200,24.02600,12.87000,36.89600,-29.15800,0.15900,10.25900,3.51800,-0.99900,65.44000,-13.08400,,,-7.50000,-121.28600,-128.78600,,-141.87000,,,,24.12200,24.12200,9.49400,33.61600,-42.78400,23.02900
2011-12-31,11.72,27.888,43.471,71.359,-4.467,12.837,-6.2,15.551,15.272,108.3,-27.114,-0.65,0,-2.385,-12.8111,-15.1961,0,-42.96,0,0,0,1.881,1.881,5.967,7.848,73.132,21.816
2011-09-30,20.151,25.99,21.306,47.296,18.207,4.791,-4.928,-3.36,22.595,90.042,-22.183,0.002,0,-11.384,100.666,89.282,0,67.101,340.909,-349.874,-8.965,-185.932,-185.932,7.067,-187.83,-31.238,24.571
2011-06-30,30.62,25.159,10.643,35.802,-9.639,8.474,-9.339,-0.524,4.798,71.22,-16.203,-0.988,0,0,-255.073,-255.073,0,-272.264,-223.417,253.135,29.718,-1.521,-1.521,23.32,51.517,-149.257,23.666
2011-03-31,24.13700,22.32800,49.75100,72.07900,-11.11200,-3.95000,-0.63000,-9.62900,-7.63800,88.57800,-12.30000,-0.11400,-58.30200,,-82.16000,-82.16000,,-152.87600,786.00000,-253.13500,532.86500,-317.38400,-317.38400,10.00000,225.48100,161.39400,22.03900
2010-12-31,38.44,17.391,27.565,44.956,4.908,-12.12,5.651,-1.094,-1.915,81.481,-12.384,-0.15,-0.001,-27.677,-29.845,-57.522,0,-70.057,0,0,0,-1.35,-1.35,27.894,26.544,38.18,19.841
2010-09-30,35.447,16.502,24.831,41.333,-18.914,-8.697,1.116,-4.347,-21.952,54.828,-13.112,-4.5,-23.141,0,-53.119,-53.119,0,-93.872,0,0,0,5.857,5.857,6.551,12.408,-26.42,17.96
2010-06-30,29.796,15.309,15.666,30.975,6.95,-19.585,9.089,2.637,16.428,77.199,-13.142,-2,-65.069,0,-16.249,-16.249,0,-96.46,0,0,0,39.716,39.716,3.5,43.216,23.962,16.845
2010-03-31,21.20800,14.21400,18.57800,32.79200,-0.78800,-8.18100,7.29400,1.67900,5.06500,59.06500,-11.18000,0.00000,-10.00000,,-3.48400,-3.48400,,-24.66400,,,,29.80600,29.80600,4.50000,34.30600,68.59200,16.99900
2009-12-31,11.705,13.409,33.659,47.068,6.452,-14.102,-0.211,-2.89,2.516,61.289,-6.385,-3.4,0,0,25.338,25.338,0,15.553,10,-10,0,-171.391,-171.391,0.242,-171.149,-93.895,16.477
2009-09-30,17.077,13.222,7.702,20.924,-6.971,-9.462,0.854,-4.039,-17.216,20.785,-19.697,0,-1.325,0,-137.972,-137.972,0,-158.994,0,0,0,11.964,11.964,13.377,25.341,-113.569,14.573
2009-06-30,24.688,12.69,-0.176,12.514,-13.366,-0.844,4.632,-1.377,2.167,39.369,-14.022,0,0,0,-59.288,-59.288,0,-73.31,0,0,0,13.433,13.433,25.7,39.133,0.951,14.901
2009-03-31,18.81100,12.14900,23.05700,35.20600,-4.69300,3.85100,6.50300,-0.13600,-3.26900,50.74800,-12.56900,,,,-27.24900,-27.24900,,-39.81800,-10.00000,,-10.00000,17.81300,17.81300,,7.81300,24.12200,14.86000
