,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-06-30,4.795,11.51,-0.131,11.379,-3.16,0.199,1.217,11.666,11.486,27.66,-10.368,0,0,0,0,0,-0.554,-10.922,-0.024,-0.024,0,0,0,0,-0.024,16.714,0.231,0
2015-03-31,-6.16400,11.94600,1.87300,13.81900,1.43800,0.08500,-2.65500,-14.30500,-16.15400,-8.49900,-7.49300,,,,,,0.30400,-7.18900,-0.00300,-0.00300,,,,,-0.00300,-15.69100,0.59000,
2014-12-31,-10.834,12.352,1.012,13.364,0.921,0.123,0.771,9.445,8.664,11.194,-5.996,0,-5.443,0,0,0,2.77,-8.669,-11.033,-11.033,5.13,5.13,0.001,-0.148,-6.05,-3.525,0,0.001
2014-09-30,-4.064,5.329,0.337,5.666,0.367,0.018,1.675,8.728,12.001,13.603,-2.651,0,53.553,0,0,0,-0.044,50.858,-0.058,-0.058,-4.885,-4.885,0,0,-4.943,59.518,0,0
2014-06-30,2.909,4.299,-1.784,2.515,-0.897,-0.059,-0.735,-3.288,-4.959,0.465,-1.412,0,0,0,0,0,0.121,-1.291,-1.591,-1.591,0,0,-0.576,0,-2.167,-2.993,0,-0.576
2014-03-31,-2.33300,4.40200,0.36700,4.76900,-0.03300,-0.09400,0.10000,3.40800,3.90800,6.34400,-0.50200,,,,,,0.01700,-0.48500,-1.06800,-1.06800,,,,,-1.06800,4.79100,,
2013-12-31,7.078,4.245,1.559,5.804,0.875,0.374,-0.881,-2.968,-3.468,-3.222,-1.996,0,0,0,0.083,0,0.172,-1.824,4.063,-1.306,0,0,0,0,-1.306,-6.352,0,6.097
2013-09-30,9.732,9.086,-2.337,6.749,-1.05,0.036,1.242,-0.612,-1.571,14.91,-3.474,0,0,0,-0.083,-0.083,0.175,-3.382,-2.708,-2.708,0,0,-6.078,0,-8.786,2.742,0,-6.078
2013-03-31,2.08700,4.55400,0.77800,5.33200,0.17500,-0.41000,-0.36100,3.58000,4.51200,11.93100,-1.92400,,,,,,-0.51300,-2.43700,-1.35500,-1.35500,,,-0.01900,,-1.37400,8.12000,,-0.01900
2012-12-31,28.03,-1.73,0,-1.73,0,0,0,0,5.59,7.19,-1.38,0,0,0,0,-7.55,-5.18,-14.12,0,15.13,0,0,0,4.93,20.05,13.14,0,0
2011-12-31,-29.02,20.38,0,20.38,0,0,0,0,-5.98,21.17,-7.79,0,0,0,0,-0.01,0.09,-7.71,0,-22.48,0,0,0,-8.95,-31.43,-17.98,0,0
