,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2015-03-31,123.40000,16.00000,6.60000,22.60000,-36.50000,-18.90000,15.20000,-72.70000,73.30000,-20.80000,,,-93.10000,-66.70000,-159.80000,0.30000,-180.30000,-0.80000,-0.80000,-77.50000,-77.50000,6.40000,-71.90000,-196.80000,13.60000
2014-12-31,109.2,18.3,-63.9,-45.6,-16.1,-11.5,20.5,29.6,93.2,-31.4,-10.8,-15,339.6,-168.8,170.8,-1.6,112,-14,-14,41.8,41.8,18.1,45.9,249.7,12.2
2014-09-30,94.6,18,1.2,19.2,-10.5,-7.5,0.4,-101.6,12.2,-18.1,0,0,-136.7,-0.3,-137,0.3,-154.8,0.1,0.1,38.3,38.3,10.3,48.7,-94.5,12.2
2014-06-30,547,16.1,1.1,17.2,-22.9,-11,-4.2,213.8,778,-16,0,0,-457.1,2,-455.1,0.7,-470.4,-128.8,-128.8,18.1,18.1,6.9,-103.8,202.9,11.9
2014-03-31,60.30000,16.20000,3.30000,19.50000,22.70000,-0.50000,0.50000,59.10000,138.90000,-14.30000,,,-105.40000,-0.70000,-106.10000,0.60000,-119.80000,130.00000,130.00000,-285.80000,-285.80000,12.00000,-143.80000,-124.70000,12.00000
2013-12-31,75.1,17.1,-6.9,10.2,-0.7,-3.1,-17.7,26,111.3,-17.8,-1.1,0,-226.5,-1.2,-227.7,-0.3,-246.9,64.3,64.3,-14.1,-14.1,30.3,80.5,-50.6,11.5
2013-09-30,76.8,17,8.9,25.9,17.9,-9.6,-0.2,29.5,132.2,-22.6,0,0,-80.4,0.1,-80.3,-3.6,-106.5,305.1,305.1,-218.1,-218.1,-18.4,68.6,98.3,11.9
2013-06-30,93.3,14.7,16.3,31,-14.1,-13,-3.1,3.8,128.1,-29.5,0,0,-43.7,-0.1,-43.8,0.3,-73,34.7,34.7,-125.3,-125.3,1.3,-89.3,-28.8,12.8
2013-03-31,143.90000,14.10000,-50.10000,-36.00000,5.40000,-18.70000,28.60000,-6.80000,101.10000,-36.80000,,,52.40000,-1.50000,50.90000,-0.40000,13.70000,5.50000,5.50000,-93.90000,-93.90000,63.50000,-24.90000,90.60000,11.20000
2012-12-31,89.4,11.5,-38.4,-26.9,-22.5,2.2,-3.4,52.2,114.7,-43.7,0,-36.6,107.3,0.4,107.7,0,27.4,13.2,13.2,-167.1,-167.1,7,-146.9,5.1,10.8
