,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-03-31,51.76500,28.09400,-8.38400,19.71000,-4.63500,-12.92900,-0.17400,17.45800,92.36200,-33.63800,-29.19400,12.50000,-0.97500,11.52500,-0.83700,-52.14400,-15.84400,-15.84400,-88.05300,-88.05300,-21.42900,11.42900,-113.89700,-76.22000,12.66300,-21.42900
2012-12-31,41.938,32.704,25.01,57.714,-14.548,-14.384,-21.953,-75.54,30.92,-18.838,-23.131,110.098,-24.191,85.907,2.341,46.279,500,500,-315.018,-315.018,-24.468,11.882,172.396,248.198,20.367,-24.468
2012-09-30,40.561,18.362,25.855,44.217,2.939,0,0.084,26.882,118.08,-12.01,-356.712,16.705,-3.57,13.135,0.339,-355.248,0,0,-61.308,-61.308,-21.998,12.17,-71.136,-305.417,23.351,-21.998
2012-06-30,43.46,18.03,27.428,45.458,-8.845,34.991,-9.93,53.179,146.477,-10.72,-10.144,6.415,-1.305,5.11,-4.35,-20.104,0,0,66.097,66.097,-11.124,5.012,59.985,183.1,20.441,-11.124
2012-03-31,34.83700,19.15600,26.81200,45.96800,-10.53700,-34.99100,10.67200,-24.01300,59.05000,-9.63300,-10.26700,8.33100,7.58800,15.91900,-8.25300,-12.23400,,,-123.65100,-123.65100,-10.57300,6.49900,-127.72500,-80.05700,21.46600,-10.57300
2011-12-31,46.164,26.208,14.24,40.448,-30.82,0,14.564,12.239,102.82,-12.608,0,7.513,-4.611,2.902,-1.261,-10.967,0,0,-51.302,-51.302,-10.668,-1.921,-63.891,24.842,22.535,-10.668
2011-09-30,64.051,22.022,-17.116,4.906,-17.284,0,24.032,42.922,112.406,-7.997,-198.501,106.377,-80.624,25.753,356.276,175.531,0,0,-224.323,-224.323,0,1.294,-223.029,56.445,22.885,0
2011-06-30,43.142,14.65,41.279,55.929,3.501,0,-1.614,1.307,103.268,-11.055,-31.699,174.623,2.979,177.602,-367.752,-232.904,0,0,-102.117,-102.117,0,8.185,-93.932,-225.729,23.007,0
2011-03-31,18.22000,15.89600,29.51600,45.41200,-13.71100,,13.25500,-14.36500,53.89200,-8.29400,-48.26900,92.45200,7.22500,99.67700,0.04000,43.15400,,,-1.08100,-1.08100,,9.70000,8.61900,106.49600,20.16100,
2010-12-31,83.196,62.153,-93.064,-30.911,-13.934,0,2.434,80.676,132.631,-8.502,0.001,-80.963,-0.654,-81.617,-0.374,-90.492,0,0,10.902,10.902,0,-210.148,-199.246,-160.115,24.629,0
2010-09-30,17.645,16.9,34.325,51.225,-10.136,0,-3.013,3.668,76.501,-7.814,-0.653,66.877,-0.834,66.043,2.555,60.131,0,0,-151.645,-151.645,0,1.6,-150.045,-12.955,17.058,0
2010-06-30,12.835,21.381,15.008,36.389,3.298,0,8.007,21.436,75.027,-12.023,-6.922,28.525,-0.583,27.942,11.044,20.041,0,0,-129.233,-129.233,0,0.197,-129.036,-37.103,21.048,0
2010-03-31,-19.32400,18.96700,51.71200,70.67900,-12.12900,,3.58900,3.27300,56.54800,-11.49000,-9.75900,-89.26800,5.11200,-84.15600,-2.37100,-107.77600,,,-243.68300,-243.68300,,4.80000,-238.88300,-293.72500,21.54500,
2009-12-31,-1012.963,1067.907,8.61,1076.517,-16.076,1.077,13.633,140.288,202.239,-5.084,0,-139.375,2.423,-136.952,10.661,-131.375,0,0,-207.051,-207.051,0,0.28,-206.771,-159.773,21.394,0
2009-09-30,21.298,30.538,-10.266,20.272,-2.768,-1.077,1.315,-2.727,42.881,-10.238,-73.873,-88.247,50.362,-37.885,1.204,-120.792,0,0,-110.497,-110.497,0,-14.477,-124.974,-202.652,16.515,0
2009-06-30,40.397,25.123,23.599,48.722,-1.055,0,-2.636,-38.954,54.728,-10.036,-0.124,-37.422,5.99,-31.432,-7.504,-49.096,0,0,-195.61,-195.61,0,0.816,-194.794,-184.373,13.592,0
2009-03-31,-28.64400,27.59000,15.25200,42.84200,1.77800,,8.38400,31.80200,48.69900,-8.58000,-11.53700,-91.64700,-1.21100,-92.85800,-8.40200,-121.37700,,,119.60200,119.60200,,1.14000,120.74200,47.80100,18.58000,
