,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,845,363,-54,309,1229,-641,-10,-113,718,1872,-418,-31,0,-2693,-2693,-14,-3156,-11,1,-10,-108,-108,-733,-152,-1003,-2283,296,-733
2020-03-31,468,340,336,676,-345,-280,359,10,-61,1083,-345,-53,0,-1175,-1175,7,-1566,0,0,0,-1404,-1404,-705,-100,-2209,-2706,309,-705
2019-12-31,925.00000,351.00000,130.00000,481.00000,-262.00000,-17.00000,396.00000,-234.00000,-288.00000,1118.00000,-296.00000,-75.00000,,119.00000,119.00000,49.00000,-203.00000,,,,-762.00000,-762.00000,-710.00000,-187.00000,-1659.00000,-730.00000,294.00000,-710.00000
2019-09-30,506,350,52,402,-78,368,-176,47,319,1227,-119,-67,0,-106,-106,-45,-337,0,-498,-498,-555,-555,-711,-1176,-2940,-2084,339,-711
2019-06-30,2149,353,3104,3457,1251,-46,-94,-1,-697,4909,-248,-67,0,78,78,29,-208,0,1,1,18,18,-755,-179,-915,3788,246,-755
2019-03-31,663,398,-215,183,-215,-31,230,113,-52,794,-170,-62,0,61,61,62,-109,0,0,0,149,149,-752,-41,-644,69,222,-752
2018-12-31,1068.00000,503.00000,-421.00000,82.00000,415.00000,-18.00000,-403.00000,-210.00000,-794.00000,356.00000,-152.00000,-56.00000,,35.00000,35.00000,21.00000,-152.00000,,-6.00000,-6.00000,-991.00000,-991.00000,-750.00000,-140.00000,-1887.00000,-1711.00000,230.00000,-750.00000
2018-09-30,-513,573,-244,329,264,92,202,-104,-239,-423,9029,-134,0,-8984,-8984,-145,-234,-3942,-2183,-6125,-20939,-20939,-866,-64,-27994,-28673,224,-866
2018-06-30,1202,510,-458,52,376,2,215,-39,799,2053,-214,-22,0,1210,1210,160,1134,-1571,954,-617,-948,-948,-911,-156,-2632,504,189,-911
2018-03-31,330,388,65,453,-487,81,-263,70,-267,516,-185,-48,0,4973,4973,2,4742,-2116,2382,266,1,1,-845,-131,-709,4584,222,-845
2017-12-31,-5983.00000,363.00000,5903.00000,6266.00000,581.00000,162.00000,-248.00000,-137.00000,1479.00000,1762.00000,-226.00000,-122.00000,,-2913.00000,-2913.00000,,-3261.00000,2116.00000,-1149.00000,967.00000,-91.00000,-91.00000,-844.00000,-197.00000,-165.00000,-1667.00000,248.00000,-844.00000
2017-09-30,148,473,0,473,-83,-18,498,-57,1803,2424,-262,-143,0,19225,19225,1985,20805,0,-1,-1,-149,-149,-841,-138,-1129,22120,202,-841
2017-06-30,865,393,-175,218,670,63,134,-65,-912,171,-177,-19,0,-904,-904,-2,-1102,10953,-999,9954,-259,-259,-844,-169,8682,7785,227,-844
2017-03-31,750,310,180,490,-1822,109,-469,127,-420,820,-122,-1325,0,1577,1577,-51,79,0,249,249,-124,-124,-783,-13,-671,239,246,-783
2016-12-31,681.00000,361.00000,118.00000,479.00000,131.00000,-354.00000,-208.00000,-100.00000,426.00000,1586.00000,-129.00000,-57.00000,,2774.00000,2774.00000,-1907.00000,681.00000,,,,-313.00000,-313.00000,-784.00000,-214.00000,-1311.00000,939.00000,239.00000,-784.00000
2016-09-30,1599,443,123,566,-271,-218,278,56,151,2316,-150,-149,0,-972,-972,244,-1259,0,1,1,21,21,-782,-229,-989,61,213,-782
2016-06-30,1443,356,151,507,-215,90,126,-287,-110,1840,-136,-40,0,-665,-665,-185,-794,0,-200,-200,51,51,-781,-13,-943,110,236,-781
2016-03-31,1164,370,287,657,-392,-212,87,141,-1084,737,-125,-173,0,-488,-488,67,-719,0,949,949,-1376,-1376,-710,-20,-1157,-1138,247,-710
2015-12-31,1496.00000,366.00000,-237.00000,129.00000,646.00000,291.00000,50.00000,29.00000,1114.00000,2739.00000,-128.00000,-450.00000,,-452.00000,-452.00000,314.00000,-716.00000,,-1.00000,-1.00000,-1951.00000,-1951.00000,-717.00000,4.00000,-2665.00000,-647.00000,247.00000,-717.00000
2015-09-30,1061,326,80,406,112,215,-139,-49,217,1684,-74,-2694,0,1425,1425,-9,-1352,0,1,1,-2014,-2014,-738,2,-2749,-2427,233,-738
2015-06-30,1184,297,437,734,100,281,-261,79,198,2116,-205,-134,0,-1135,-1135,-56,-1530,9937,-95,9842,-5251,-5251,-757,70,3904,4495,271,-757
2015-03-31,1052,229,368,597,165,-100,-776,-1171,-2307,-658,-196,-80,0,1282,1282,40,1046,0,1094,1094,-1646,-1646,-688,27,-1213,-833,249,-688
2014-12-31,1971.00000,362.00000,86.00000,448.00000,173.00000,-303.00000,268.00000,-213.00000,-55.00000,2364.00000,-253.00000,-111.00000,,-1394.00000,-1394.00000,22.00000,-1736.00000,,,,-1548.00000,-1548.00000,-697.00000,42.00000,-2203.00000,-1582.00000,273.00000,-697.00000
2014-09-30,1894,297,123,420,-324,-271,298,-118,-695,1619,-230,-448,0,575,575,16,-87,0,0,0,-903,-903,-702,42,-1563,-37,253,-702
2014-06-30,2237,292,72,364,139,-37,286,-81,72,2673,-121,-100,0,1124,1124,3,906,0,0,0,-1156,-1156,-705,-115,-1976,1607,274,-705
2014-03-31,1959,289,66,355,-884,-84,183,45,-500,1814,-587,-32,0,-2265,-2265,-19,-2903,0,0,0,-490,-490,-589,211,-868,-1955,250,-589
2013-12-31,1874.00000,272.00000,130.00000,402.00000,788.00000,237.00000,-148.00000,-30.00000,505.00000,2781.00000,-210.00000,473.00000,,101.00000,101.00000,81.00000,445.00000,,,,-561.00000,-561.00000,-590.00000,78.00000,-1073.00000,2150.00000,282.00000,-590.00000
2013-09-30,1501,273,216,489,-235,399,-291,-53,520,2510,-236,-13,0,4666,4666,-8,4409,53,0,53,-2760,-2760,-592,-13,-3312,3609,274,-592
2013-06-30,1578,255,369,624,-21,-245,221,71,-125,2077,-314,-47,0,-1953,-1953,-2,-2316,42,0,42,-822,-822,-604,112,-1272,-1560,281,-604
2013-03-31,1863,248,117,365,-239,-207,1,-157,-12,2216,-289,-93,0,-2106,-2106,44,-2444,0,0,0,407,407,-431,38,14,-200,267,-431
2012-12-31,1903.00000,241.00000,329.00000,570.00000,-185.00000,-247.00000,376.00000,-55.00000,-498.00000,1975.00000,-205.00000,-39.00000,,-1009.00000,-1009.00000,26.00000,-1227.00000,,,,90.00000,90.00000,-428.00000,63.00000,-275.00000,486.00000,283.00000,-428.00000
2012-09-30,1262,257,302,559,-207,-199,174,-251,-412,1409,-250,-156,0,411,411,1918,-2,0,0,0,-485,-485,-425,-107,-1017,395,283,-425
2012-06-30,1203,221,-89,132,-54,-32,-90,-86,-413,922,-399,-348,0,-2532,-2532,-1948,-3302,38,0,38,-150,-150,-429,354,-187,-2586,264,-429
2012-03-31,2199,211,-754,-543,-157,-71,261,417,232,1888,-276,-29,0,-3068,-3068,1868,-1505,81,0,81,907,907,-367,17,638,1034,241,-367
2011-12-31,1395.00000,208.00000,248.00000,456.00000,-38.00000,50.00000,26.00000,-67.00000,-72.00000,1779.00000,-359.00000,-300.00000,,-1413.00000,-1413.00000,4.00000,-2068.00000,,,,129.00000,129.00000,-362.00000,42.00000,-191.00000,-498.00000,247.00000,-362.00000
2011-09-30,1048,255,192,447,-161,-19,165,-22,325,1820,-193,-3624,0,1854,1854,37,-1926,0,0,0,51,51,-361,156,-154,-284,256,-361
2011-06-30,1030,185,184,369,-2,38,-46,-66,-135,1264,-219,89,0,-1763,-1763,-45,-1938,0,0,0,430,430,-360,-17,53,-621,193,-360
2011-03-31,994,548,145,693,-53,-36,89,-167,81,1768,-79,-89,0,-1027,-1027,16,-1179,0,0,0,1233,1233,-316,141,1058,1656,201,-316
2010-12-31,1170.00000,201.00000,-1494.00000,-1293.00000,76.00000,-45.00000,-234.00000,353.00000,171.00000,48.00000,-102.00000,,,649.00000,649.00000,7.00000,554.00000,,,,791.00000,791.00000,-309.00000,79.00000,561.00000,1164.00000,174.00000,-309.00000
2010-09-30,865,171,51,222,73,-87,125,-37,6,1093,-113,-94,0,357,357,7,157,0,0,0,47,47,-305,3,-255,1006,159,-305
2010-06-30,767,166,72,238,-126,-45,104,-65,-54,951,-117,0,0,527,527,-979,-569,1064,0,1064,-1143,-1143,-309,2,-386,-12,149,-309
2010-03-31,774,167,-6,161,-52,-49,145,-71,-142,793,-108,0,0,-176,-176,29,-255,0,0,0,-1383,-1383,-279,18,-1644,-1107,153,-279
2009-12-31,841.00000,162.00000,92.00000,254.00000,87.00000,101.00000,-226.00000,306.00000,144.00000,1239.00000,-88.00000,,,-91.00000,-91.00000,7.00000,-172.00000,,,,152.00000,152.00000,-284.00000,12.00000,-120.00000,943.00000,151.00000,-284.00000
2009-09-30,802,175,-204,-29,392,-74,65,-82,548,1321,-144,0,0,-2285,-2285,-1,-2430,0,173,173,366,366,-283,-151,105,-1004,148,-283
2009-06-30,738,154,180,334,-133,30,95,-4,15,1087,-149,0,0,-1063,-1063,32,-1180,0,0,0,175,175,-282,25,-82,-171,151,-282
2009-03-31,52,306,976,1282,2824,113,-103,-114,3430,4764,-468,0,173,-1875,-1702,323,-1847,0,-173,-173,-184,-184,-528,29,-856,2052,285,-528
