,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,1592,975,144,1119,0,0,0,-446,-446,1918,-567,0,-321,48,48,58,-782,4444,-1616,2828,14,14,-1577,-128,1137,3687,105,-1577
2020-03-31,3219.00000,821.00000,190.00000,1011.00000,,,,-3666.00000,-3666.00000,707.00000,-986.00000,,-2545.00000,1767.00000,1767.00000,136.00000,-1628.00000,-1951.00000,3583.00000,1632.00000,-1255.00000,-1255.00000,-1551.00000,-316.00000,-1490.00000,-2474.00000,108.00000,-1551.00000
2019-12-31,-1808,594,-75,519,92,-473,443,2806,1392,238,-1033,0,-25,341,341,54,-663,0,182,182,-1033,-1033,-1405,245,-2011,2063,82,-1405
2019-09-30,1908,845,1459,2304,0,0,0,-91,-91,4226,-959,0,-1039,1954,1954,235,191,0,-360,-360,-1365,-1365,-1394,-33,-3152,1211,102,-1394
2019-06-30,2644,973,-84,889,0,0,0,-443,-443,3084,-782,0,-3890,2200,2200,47,-2425,0,603,603,-1104,-1104,-1468,-115,-2084,-1417,111,-1468
2019-03-31,2862.00000,898.00000,391.00000,1289.00000,,,,-2935.00000,-2935.00000,1336.00000,-595.00000,,,925.00000,925.00000,38.00000,368.00000,4958.00000,-4135.00000,823.00000,-917.00000,-917.00000,-1428.00000,-92.00000,-1614.00000,110.00000,93.00000,-1428.00000
2018-12-31,1778,998,-155,843,-418,-911,230,1094,481,3592,-929,0,-59,2914,2914,252,2178,-1280,2830,1550,-5803,-5803,-1277,-36,-5566,139,87,-1277
2018-09-30,1958,1094,378,1472,0,0,0,-760,-760,2793,-653,0,0,2189,2189,124,1660,1,225,226,-834,-834,-1285,-12,-1905,2516,91,-1285
2018-06-30,1716,1290,-138,1152,0,0,0,199,199,3382,-583,0,-372,1633,1633,-5,673,-2005,2070,65,-1527,-1527,-1311,-194,-2967,826,90,-1311
2018-03-31,741.00000,1137.00000,700.00000,1837.00000,,,,-1473.00000,-1473.00000,1155.00000,-450.00000,,,522.00000,522.00000,-269.00000,-197.00000,-1003.00000,-1.00000,-1004.00000,-336.00000,-336.00000,-1299.00000,-83.00000,-2722.00000,-1610.00000,80.00000,-1299.00000
2017-12-31,-1038,1167,3427,4594,297,-145,254,4049,242,4019,-715,0,-49,789,789,-83,-58,-802,-1988,-2790,-1684,-1684,-1283,-28,-5785,-1805,80,-1283
2017-09-30,-51,1154,742,1896,0,0,0,-2922,-2922,-1171,-441,0,0,1053,1053,59,671,0,1986,1986,-86,-86,-1283,-81,536,115,76,-1283
2017-06-30,1951,1162,-85,1077,0,0,0,198,198,3317,-393,0,-41,-807,-807,114,-1127,-1,-3808,-3809,-1039,-1039,-1307,-63,-6218,-3922,82,-1307
2017-03-31,1556.00000,1193.00000,100.00000,1293.00000,,,,-2535.00000,-2535.00000,286.00000,-339.00000,,-306.00000,3890.00000,3890.00000,-52.00000,3193.00000,-300.00000,3784.00000,3484.00000,-706.00000,-706.00000,-1294.00000,-23.00000,1461.00000,5193.00000,74.00000,-1294.00000
2016-12-31,-587,1185,2620,3805,-619,206,278,2430,401,3632,-551,0,-2,-2514,-2514,504,-2563,1079,-909,170,-867,-867,-1271,-9,-1977,-1392,75,-1271
2016-09-30,2189,1175,137,1312,0,0,0,-564,-564,2971,-409,0,-621,183,183,-43,-890,-35,918,883,-436,-436,-1274,-8,-835,1299,77,-1274
2016-06-30,1209,1550,320,1870,0,0,0,-1563,-1563,1600,-375,0,-10,-1220,-1220,107,-1498,-1500,-9,-1509,-481,-481,-1300,-76,-3366,-3108,80,-1300
2016-03-31,1130.00000,1561.00000,275.00000,1836.00000,,,,-875.00000,-875.00000,2173.00000,-279.00000,,-147.00000,2253.00000,2253.00000,-86.00000,1741.00000,-851.00000,,-851.00000,-711.00000,-711.00000,-1279.00000,-25.00000,-2866.00000,1192.00000,68.00000,-1279.00000
2015-12-31,982,1560,1126,2686,-480,805,-37,505,519,4246,-493,0,129,-374,-374,121,-617,-1,-14,-15,-1130,-1130,-1263,2,-2406,976,78,-1263
2015-09-30,1831,1570,-439,1131,0,0,0,223,223,3311,-316,0,16,99,99,140,-61,-2,3,1,-1224,-1224,-1272,-44,-2539,626,75,-1272
2015-06-30,688,1608,655,2263,0,0,0,-392,-392,2697,-271,0,25,2759,2759,12,2525,-4,-3706,-3710,-574,-574,-1302,-11,-5597,-1058,83,-1302
2015-03-31,958.00000,1637.00000,-244.00000,1393.00000,,,,-618.00000,-618.00000,2284.00000,-203.00000,,-7598.00000,1248.00000,1248.00000,-52.00000,-6605.00000,5039.00000,2177.00000,7216.00000,-773.00000,-773.00000,-1280.00000,-8.00000,5155.00000,539.00000,63.00000,-1280.00000
2014-12-31,7327,1573,-11289,-9716,-554,79,593,-858,874,-1035,-490,-1000,13891,-5406,-5406,209,7204,-3465,-3537,-7002,-1441,-1441,-1336,7,-9772,-3929,69,-1336
2014-09-30,843,1611,80,1691,0,0,0,2068,2068,4348,-320,0,-3210,-146,-146,-46,-3722,-2,4963,4961,-2423,-2423,-1282,23,1279,1627,75,-1282
2014-06-30,2033,1753,-979,774,0,0,0,-415,-415,2315,-302,0,25,-85,-85,313,-49,-1,-5035,-5036,-2043,-2043,-1339,49,-8369,-6085,78,-1339
2014-03-31,1731.00000,1754.00000,-306.00000,1448.00000,,,,-703.00000,-703.00000,2361.00000,-205.00000,,533.00000,-4193.00000,-4193.00000,58.00000,-3807.00000,-3.00000,3149.00000,3146.00000,-236.00000,-236.00000,-1290.00000,,1620.00000,207.00000,56.00000,-1290.00000
2013-12-31,815,1954,585,2539,436,-365,522,925,-300,3026,-429,0,-200,1561,1561,245,1177,-1260,-310,-1570,205,205,-1380,121,-2624,1531,66,-1380
2013-09-30,1151,1705,-137,1568,0,0,0,1315,1315,3949,-355,0,0,-1631,-1631,-51,-2037,0,-1551,-1551,-47,-47,-1259,-58,-2915,-1000,68,-1259
2013-06-30,935,1655,338,1993,0,0,0,-636,-636,2338,-413,0,0,-774,-774,52,-1135,6458,822,7280,-4976,-4976,-1332,-2,970,2066,75,-1332
2013-03-31,1616.00000,1674.00000,-102.00000,1572.00000,,,,-1173.00000,-1173.00000,2341.00000,-351.00000,,,-849.00000,-849.00000,47.00000,-1153.00000,-506.00000,880.00000,374.00000,-488.00000,-488.00000,-1306.00000,-1.00000,-1421.00000,-427.00000,67.00000,-1306.00000
2012-12-31,949,1661,932,2593,349,-482,-302,-609,-1795,1809,-778,0,0,-3774,-3774,154,-4398,40,904,944,-902,-902,-1400,140,-1218,-3909,78,-1400
2012-09-30,1763,1723,112,1835,0,0,0,-282,-282,3139,-414,0,0,-1457,-1457,32,-1839,2502,-1917,585,5,5,-1277,-51,-738,608,88,-1277
2012-06-30,1820,1804,-191,1613,0,0,0,-585,-585,2920,-431,0,0,101,101,32,-298,0,1003,1003,-307,-307,-1280,-2,-586,2096,93,-1280
2012-03-31,1767.00000,1790.00000,,1790.00000,,,,-1474.00000,-1474.00000,2154.00000,-331.00000,,,72.00000,72.00000,-11.00000,-270.00000,-2.00000,634.00000,632.00000,-77.00000,-77.00000,-1279.00000,-1.00000,-725.00000,1125.00000,76.00000,-1279.00000
2011-12-31,1543,1861,-599,1262,-1168,-678,182,395,-102,3233,-603,0,0,-1230,-1230,149,-1684,-270,-280,-550,-435,-435,-1285,39,-2231,-722,82,-1285
2011-09-30,1724,1903,-120,1783,0,0,0,821,821,4577,-431,0,0,230,230,-62,-263,-12,-40,-52,-1013,-1013,-1175,-4,-2244,1911,87,-1175
2011-06-30,2054,1832,-382,1450,0,0,0,-418,-418,2852,-365,0,-356,-318,-318,-9,-1048,-1265,1593,328,-189,-189,-1176,-220,-1257,647,107,-1176
2011-03-31,1071.00000,1831.00000,108.00000,1939.00000,,,,-1067.00000,-1067.00000,1721.00000,-324.00000,,306.00000,142.00000,142.00000,-19.00000,105.00000,,-197.00000,-197.00000,37.00000,37.00000,-1175.00000,163.00000,-1172.00000,795.00000,93.00000,-1175.00000
2010-12-31,-500,1866,1875,3741,-1089,1990,124,-1040,148,3539,-660,0,-104,-536,-536,293,-1007,1347,-1483,-136,50,50,-1294,85,-1295,1026,109,-1294
2010-09-30,372,1880,-264,1616,0,0,0,787,787,2592,-338,0,-11,435,435,108,194,-63,-85,-148,-220,-220,-1181,-76,-1625,1208,126,-1181
2010-06-30,780,1948,-709,1239,0,0,0,1057,1057,3325,-337,0,-10,125,125,686,464,-4,-962,-966,-1255,-1255,-1189,-53,-3463,430,142,-1189
2010-03-31,330.00000,1687.00000,250.00000,1937.00000,,,,-1062.00000,-1062.00000,1366.00000,-343.00000,,-131.00000,-2660.00000,-2660.00000,-14.00000,-3148.00000,-622.00000,2620.00000,1998.00000,195.00000,195.00000,-1189.00000,-62.00000,942.00000,-1075.00000,132.00000,-1189.00000
2009-12-31,6522.6,1249.7,-8013.7001,-6764,165,1211,-45,5524.6,2487.6,2242.5,-557.4,0,-12843,277,277,258.9,-12864.5,-0.3,-1018.2,-1018.5,178.2,178.2,-1068.2,59.4,-1849.1,-12505.6,133.2,-1068.2
2009-09-30,3455.3,393.7,-1588.0999,-1194.4,0,0,0,-2272.7,-2272.7,-312.1,-303.3,0,0,4409.5,4409.5,7905.4,12011.6,-17.2,-1618.1,-1635.3,4.8,4.8,-803.9,62,-2372.4,9359.3,84.7,-803.9
2009-06-30,1588.3,489.3,496.1,985.4,0,0,0,-1503.2,-1503.2,749,-365.2,0,0,2110.4,2110.4,873.6,2618.8,4228,-297.4,3930.6,2.6,2.6,-803.4,-154.4,2975.4,6440.5,83.8,-803.4
2009-03-31,1455.80000,443.30000,137.70000,581.00000,,,,-1414.70000,-1414.70000,712.60000,-235.10000,,-130.00000,1074.10000,1074.10000,681.10000,1390.10000,-7.50000,511.70000,504.20000,0.40000,0.40000,-803.50000,-93.00000,-391.90000,1648.80000,113.30000,-803.50000
