,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-07-31,790.2,244,-70.8,173.2,-486.8,-12.3,-291.3,-434.1,391.9,-131,10.2,-202.4,-202.4,-763.4998,-1086.7,1838.2,-62.2,1776,-470.8,-470.8,-183.3,-22.3,1099.6,377.7,18.4,-183.3
2012-04-30,1058.1,255.4,-70.8,184.6,-1775.7,-570.8,-49.6,-1560,-300.5,-47.5,13.3,-219.9,-219.9,-1038.1003,-1292.2,926,815.8,1741.8,-348.4,-348.4,-165.2,-13.8,1214.4,-368.5,18.2,-165.2
2012-01-31,534.40000,243.30000,-8.80000,234.50000,221.60000,-1449.10000,95.70000,-1826.20000,-1226.80000,-46.80000,6.90000,-334.60000,-334.60000,338.10010,-36.40000,1095.20000,481.80000,1577.00000,-369.00000,-369.00000,-167.80000,-0.10000,1040.10000,-258.90000,19.50000,-167.80000
2011-10-31,672,237,180.7,417.7,169.9,44.1,-155.9,508.1,1690.2,-214.5,16.7,-322.9,-322.9,-1033.1,-1553.8,1714.2999,-1070.4,643.9,-569.7001,-569.7001,-170.9,-8.9,-105.6,28.9,18.2,-170.9
2011-07-31,714.7,229.2,4.3,233.5,249.6,-151,130.9,543.9,1301.4,-101.1,-13.3,-216.4,-216.4,-746.5998,-1077.4,61.4001,41.1,102.5,-486.7999,-486.7999,-147.2,-9.3,-540.8,-331.5,17.7,-147.2
2011-04-30,906.8,229.7,-105.8,123.9,-1118.4,-527.5,126,-679.3,235,-39.2,1.9,-3.9,-3.9,-931.1002,-972.3,783.6,783.7,1567.3,-227.2,-227.2,-147.8,18.7,1211,511.8,18.1,-147.8
2011-01-31,514.30000,219.00000,-153.60000,65.40000,-110.00000,-1096.10000,94.20000,-1428.70000,-900.30000,-18.40000,845.00000,-11.30000,-11.30000,167.50000,982.80000,-125.10000,19.50000,-105.60000,-213.30000,-213.30000,-127.20000,21.10000,-425.00000,-352.60000,15.00000,-127.20000
2010-10-31,459.4,249.1,98.5,347.6,74.2,15.2,-370.8,49.6,1194.1,-145.8,7.5,6.5,6.5,-961.2996,-1093.1,-291.8999,516.1,224.2001,-194.9,-194.9,-127.3,10.9,-87.1,36.9,9.7,-127.3
2010-07-31,619.5,229.5,27.3,256.8001,51.2,-313,-34.1,-204.8,671.5,-13.7,17.7,5,5,-574.9004,-565.9,-93.3001,317.2,223.9,-74.5,-74.5,-118.6,-2.6,28.2,138.8,9.8,-118.6
2010-04-30,549.8,222,110.6,332.5999,-1014.8,-406.7,204.2,-147.4999,734.9,23.5,-22.8,-21.5,-21.5,-801.8,-822.6,-542.9,-648.9,-1191.8,19,19,-119.1,-4.7,-1296.6,-1428.4,11.6,-119.1
2010-01-31,245.60000,241.40000,114.00000,355.40000,-205.60000,-348.20000,46.60000,-919.30010,-318.30000,-3.80000,-13.00000,-15.00000,-15.00000,404.30000,372.50000,-126.50000,571.60000,445.10000,20.70000,20.70000,-118.50000,-1.50000,345.80000,391.60000,40.10000,-118.50000
2009-10-31,-222.9,509.3,355.4,864.7,743.7,540.6,-10.4,859.9999,1501.8,-122.2,-2.4,-7.8,-7.8,-408.1994,-540.6,490.5,-992.1,-501.6,7,7,-118.5,-16.8,-629.9,336.9,6.6,-118.5
2009-07-31,419.6,222.5,48.1,270.6,862.7,538.4,-81.2,973.7,1663.9,-84.6,-3.1,5.3,5.3,-578.3006,-660.7,-304.9,-1197,-1501.9,5.4,5.4,-0.4,-7.6,-1504.5,-482.4,7.6,-0.4
2009-04-30,472.2,213.8,-34.3,179.5,-841.6,247.5,124.1,-217.1,434.6,-78.4,-3.4,41.6,41.6,-87.3001,-127.5,77.8,-352.8,-275,1,1,-236.3,-17.4,-527.7,-206.9,10.6,-236.3
2009-01-31,204.00000,216.90000,111.70000,328.60000,-283.00000,-874.00000,-95.80000,-2148.10000,-1615.50000,-144.20000,-40.90000,756.50000,756.50000,700.40010,1271.80000,2189.10000,1157.10000,3346.20000,-0.10000,-0.10000,-118.20000,-95.50000,3132.40000,2792.70000,45.70000,-118.20000
