,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,77.728,128.581,-8.838,119.743,0,31.542,31.542,229.013,-107.105,0,-0.741,-0.741,0,-107.846,-1.743,-10,-11.743,0,0,-115.27,-7.607,-134.62,-13.453,2.862,-114.348
2020-03-31,37.95200,127.81400,33.33100,161.14500,,-38.49500,-38.49500,160.60200,-89.08900,,-0.90000,-0.90000,,-89.98900,-1.74000,30.00000,28.26000,,,-115.19200,-5.17500,-92.10700,-21.49400,5.28800,-114.27000
2019-12-31,155.06,126.652,-82.86,43.792,0,-51.353,-51.353,159.882,-6.843,0,-0.749,-0.749,0,-7.592,110.3019,-130,-19.6981,0,0,-110.426,5.693,-124.431,27.859,2.104,-109.504
2019-09-30,81.459,126.182,-13.209,112.973,0,58.639,58.639,253.071,-88.236,0,-1.619,-1.619,0,-89.855,104.605,-167,-62.395,0,0,-110.403,-5.42,-178.218,-15.002,3.313,-109.481
2019-06-30,64.141,125.905,-1.439,124.466,0,25.182,25.182,213.789,-85.426,0,-2.516,-2.516,0,-87.942,-301.825,292,-9.825,0,0,-110.356,-7.369,-127.55,-1.703,3.452,-109.434
2019-03-31,65.95800,124.82900,-3.64100,121.18800,,-32.46800,-32.46800,154.67800,-52.88400,,,,,-52.88400,488.58800,-465.00000,23.58800,,,-110.24600,-7.42200,-94.08000,7.71400,4.78500,-109.32400
2018-12-31,63.517,121.1,4.499,125.599,0,-55.88,-55.88,133.236,-77.962,0,-0.63,-0.63,0,-78.592,-60.353,90,29.647,0,0,-105.937,-6.081,-82.371,-27.727,2.567,-105.015
2018-09-30,54.704,123.353,1.954,125.307,0,57.04,57.04,237.051,-65.646,0,-0.75,-0.75,0,-66.396,-302.617,260,-42.617,0,0,-105.913,-3.528,-152.058,18.597,2.89,-104.991
2018-06-30,61.981,121.76,0.2,121.96,0,27.36,27.36,211.301,-174.697,0,0,0,0,-174.697,395.032,-340,55.032,0,0,-105.889,-7.054,-57.911,-21.307,2.963,-104.967
2018-03-31,50.82000,119.79200,3.87400,123.66600,,-21.78200,-21.78200,152.70400,-45.91500,,-0.75000,-0.75000,,-46.66500,-41.04200,40.00000,-1.04200,,,-105.79800,-5.95600,-112.79600,-6.75700,4.02400,-104.87600
2017-12-31,128.007,117.818,-66.181,51.637,0,-76.3,-76.3,103.344,-50.37,0,-0.75,-0.75,0,-51.12,-68.504,80,11.496,3.343,3.343,-99.775,-6.525,-91.461,-39.237,2.139,-98.853
2017-09-30,118.958,116.063,-56.025,60.038,0,57.237,57.237,236.233,5.298,0,-0.75,-0.75,0,4.548,-166.889,90,-76.889,0.224,0.224,-99.761,-3.769,-180.195,60.586,2.813,-98.839
2017-06-30,50.155,123.914,2.278,126.192,0,12.103,12.103,188.45,-98.483,0,0,0,0,-98.483,438.187,-410,28.187,1.1,1.1,-99.733,-10.502,-80.948,9.019,2.6,-98.811
2017-03-31,43.41600,126.93500,3.09100,130.02600,,-40.66900,-40.66900,132.77300,-149.15500,,,,,-149.15500,-18.87100,80.00000,61.12900,-4.66700,-4.66700,-99.71300,-3.66800,-46.91900,-63.30100,3.01800,-98.79100
2016-12-31,42.058,92.936,-23.951,68.985,-3.158,23.08,-15.261,95.782,-8.825,-424.156,-0.045,-0.045,0,-433.026,268.727,205,473.727,0.299,0.299,-62.872,-6.009,405.145,67.901,5.509,-61.948
2016-09-30,88.906,74.509,-46.133,28.376,1.616,-10.642,33.724,151.006,-30.752,0,0.03,0.03,0,-30.722,-77.492,25,-52.492,-0.913,-0.913,-61.93,-3.411,-118.746,1.538,2.019,-61.93
2016-06-30,47.63,73.526,-0.799,72.727,-0.758,2.603,13.774,134.131,-119.841,0,0.375,0.375,0,-119.466,-1.767,50,48.233,0.526,0.526,-61.917,-3.412,-16.57,-1.905,2.073,-61.917
2016-03-31,45.80800,72.49200,-0.19900,72.29300,2.30000,3.18000,-14.01600,104.08500,-67.33500,,1.41800,1.41800,,-65.91700,-35.49400,55.00000,19.50600,-1.64000,-1.64000,-61.85700,-3.55200,-47.54300,-9.37500,1.88500,-61.85700
2015-12-31,45.367,71.196,1.251,72.447,1.211,12.037,-15.629,102.185,-119.941,0,-0.003,-0.003,59.615,-60.329,209.094,-189.785,19.309,-0.327,0.295,-48.367,-20.41,-49.173,-7.317,1.709,-48.367
2015-09-30,96.828,68.938,-53.435,15.503,-1.555,-5.851,22.675,135.006,-14.074,0,0.001,0.001,-32.662,-46.735,-37.012,25,-12.012,0.13,0.13,-67.986,6.443,-73.425,14.846,1.675,-67.986
2015-06-30,143.873,70.411,-105.336,-34.925,0.775,1.094,14.723,123.671,23.569,0,-0.03,-0.03,-20.514,3.025,-37.727,-20,-57.727,0.588,0.588,-57.886,-3.226,-118.251,8.445,1.474,-57.886
2015-03-31,64.67700,68.83700,-26.46300,42.37400,-0.43100,10.29700,-4.19200,102.85900,-25.75100,,0.00600,0.00600,-6.43100,-32.17600,-17.47200,3.88500,-13.58700,-0.92900,-0.92900,-57.84000,-3.39500,-75.75100,-5.06800,1.28900,-57.84000
2014-12-31,36.458,67.271,0.515,67.786,-1.683,10.143,-16.206,88.038,-179.103,0,0,0,30.473,-148.63,-1.919,59,57.081,0.634,0.634,-54.86,-3.899,-1.044,-61.636,1.046,-54.86
2014-09-30,70.719,65.74,-35.133,30.607,-1.894,-22.067,7.654,108.98,55.759,0,4.423,4.423,11.153,71.335,-26.801,-35.001,-61.802,2.405,2.405,-54.884,-3.83,-118.111,62.204,1.135,-54.884
2014-06-30,33.386,63.384,-8.439,54.945,0.123,-0.214,3.968,92.299,-136.335,0,2.676,2.676,-21.137,-154.796,182.87,-163.247,19.623,8.066,8.066,-54.753,-6.322,-33.386,-95.883,1.097,-54.753
2014-03-31,15.71400,84.06700,-7.05200,77.01500,0.10600,6.69100,3.33200,96.06100,15.06700,,8.86500,8.86500,4.39500,28.32700,-17.64200,-17.93600,-35.57800,1.71700,1.71700,-54.66100,-3.23100,-91.75300,32.63500,0.94800,-54.66100
2013-12-31,-9.81,82.593,5.818,88.411,-51.051,55.114,11.002,89.603,-86.745,63.454,1.372,1.372,32.496,10.577,345.351,-485,-139.649,6.834,6.834,-58.433,-0.704,-191.952,-91.772,0.539,-58.433
2013-09-30,46.056,33.479,-27.579,5.9,-3.15,-4.601,7.439,59.395,22.228,0,0.114,0.114,-45.478,-23.136,-5.896,175,169.104,0.061,0.061,-29.699,-3.412,136.054,172.313,0.558,-29.699
2013-06-30,61.028,33.719,-42.637,-8.918,4.441,-0.032,15.155,67.265,-11.152,0,3.066,3.066,-11.902,-19.988,-1.429,-17,-18.429,2.91,2.91,-29.697,-1.493,-46.709,0.568,0.541,-29.697
2013-03-31,22.00500,34.01200,1.14500,35.15700,1.08600,-3.14600,-15.04500,42.11700,-56.18900,,4.94800,4.94800,,-51.24100,-1.37000,19.00000,17.63000,21.38500,21.38500,-29.41800,-1.32400,8.27300,-0.85100,0.63000,-29.41800
2012-12-31,23.207,34.278,-1.614,32.664,-1.077,3.579,-2.925,52.946,-18.511,0,0.27,0.27,0,-18.241,52.816,-85,-32.184,22.238,22.238,-27.894,-1.212,-39.052,-4.347,0.503,-27.894
2012-09-30,32.078,33.125,-14.873,18.252,0.074,-4.405,6.827,57.157,-198.713,0,0.97,0.97,0,-197.743,110.997,-3,107.997,53.589,53.589,-27.123,-2.796,131.667,-8.919,0.499,-27.123
2012-06-30,29.472,32.566,-12.159,20.407,1.588,-2.39,13.074,62.953,-111.009,0,10.298,10.298,21.585,-79.126,99.05,-73.262,25.788,-0.212,-0.212,-27.009,-1.879,-3.312,-19.485,0.417,-27.009
2012-03-31,25.06800,31.45900,-8.26600,23.19300,1.91000,2.73400,-10.35000,37.91100,-12.93600,,0.40800,0.40800,-21.58500,-34.11300,49.19300,-158.80200,-109.60900,118.72000,118.72000,-25.72300,-2.67700,-19.28900,-15.49100,0.81400,-25.72300
2011-12-31,19.945,31.764,-6.847,24.917,-0.997,2.623,-1.785,43.077,-121.096,0,0.121,0.121,0,-120.975,88.489,-26.533,61.956,65.149,65.149,-23.697,7.553,110.961,33.063,1.074,-23.697
2011-09-30,14.451,30.067,-1.423,28.644,0.25,-5.978,2.565,45.66,-94.931,0,0.316,0.316,0,-94.615,134.228,-82.183,52.045,44.567,44.567,-23.267,-12.974,60.371,11.416,2.759,-23.267
2011-06-30,7.68,28.772,1.697,30.469,0.223,3.241,14.1,52.249,-179.745,0,0.462,0.462,0,-179.283,27.059,57.183,84.242,33.973,33.973,-22.988,-2.577,92.65,-34.384,0.842,-22.988
2011-03-31,9.15500,28.36600,1.38700,29.75300,0.78900,-1.47300,-7.60600,31.30200,-46.28000,,-1.00700,-1.00700,,-47.28700,21.67900,-70.00000,-48.32100,89.50400,89.50400,-22.07600,-1.84200,17.26500,1.28000,0.84400,-22.07600
2010-12-31,7.165,28.195,1.295,29.49,-0.29,-0.815,-9.529,27.126,-63.744,0,-2.263,-2.263,0,-66.007,-0.92,-50,-50.92,58.138,58.138,-20.963,-1.523,-15.268,-54.149,1.098,-20.963
2010-09-30,6.973,27.051,1.228,28.279,0.633,-8.344,4.5,39.752,-133.035,0,-3.607,-3.607,0,-136.642,118.098,70,188.098,85.027,7.515,-21.129,-2.748,171.736,74.846,0.784,-19.974
2010-06-30,6.888,25.501,2.852,28.353,0.325,1.545,6.542,41.783,-84.332,0,1.21,1.21,0,-83.122,-0.448,5,4.552,131.586,54.076,-21.563,-2.81,34.255,-7.084,0.783,-18.312
2010-03-31,9.84900,25.58500,0.32900,25.91400,-0.55900,-0.96300,-10.63000,25.13300,37.23500,,-5.73500,-5.73500,,31.50000,19.22700,-60.00000,-40.77300,29.60000,29.60000,-21.10200,-5.84800,-38.12300,18.51000,0.34800,-17.88600
2009-12-31,9.78,25.206,-1.59,23.616,0.536,1.252,-4.197,29.199,-102.103,0,0.01,0.01,0,-102.093,-0.434,85.963,85.529,8.294,8.294,-16.281,-7.318,70.224,-2.67,0.389,-13.065
2009-09-30,6.878,24.41,0.856,25.266,-0.766,-4.765,5.008,37.152,-16.397,0,-2.521,-2.521,0,-18.918,-0.264,-9.137,-9.401,24.569,24.569,-22.001,-0.992,-7.825,10.409,0.316,-18.785
2009-06-30,10.718,24.316,0.557,24.873,0.48,0.174,6.356,41.947,-30.01,0,-0.029,-0.029,0,-30.039,-43.524,13.016,-30.508,-0.137,-0.137,-22.044,-0.805,-53.494,-41.586,0.32,-18.827
2009-03-31,11.84500,24.10100,-1.10400,22.99700,0.22300,3.31700,-2.85500,31.98700,-2.84000,,-0.07100,-0.07100,,-2.91100,-0.53500,31.81500,31.28000,0.06400,0.06400,-22.04400,-0.13600,9.16400,38.24000,0.30300,-18.82800
