,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-03-31,-10218.00000,877.00000,11831.00000,12708.00000,1856.00000,-397.00000,-6.00000,-3257.00000,-768.00000,-903.00000,,-169.00000,77.00000,-92.00000,-93.00000,-1088.00000,2729.00000,,2729.00000,4.00000,4.00000,-377.00000,-335.00000,2021.00000,165.00000,-377.00000
2019-12-31,262,864,1742,2606,-357,-540,-9,-463,2409,-1332,0,-174,-75,-249,-105,-1686,-19,0,-19,-61,-61,-344,-298,-722,49,-344
2019-09-30,1367,580,519,1099,337,-562,97,227,2787,-1045,-129,-197,17,-180,-341,-1695,372,0,372,-497,-497,-348,-340,-813,303,-348
2019-06-30,1367,895,262,1157,-679,744,-77,-198,2622,-1169,325,-595,56,-539,23,-1360,275,0,275,-499,-499,-352,-345,-921,341,-352
2019-03-31,259.00000,919.00000,43.00000,962.00000,-1018.00000,-4.00000,-20.00000,441.00000,1623.00000,-1217.00000,-325.00000,,2.00000,2.00000,20.00000,-1520.00000,573.00000,,573.00000,-883.00000,-883.00000,-354.00000,-256.00000,-920.00000,-817.00000,-354.00000
2018-12-31,1195,573,414,987,1986,750,0,489,2727,-861,-3369,-171,-16,-187,-358,-4775,110,0,110,-675,-675,-317,-340,-1222,-3310,-317
2018-09-30,941,571,56,627,-484,149,0,-420,1182,-844,-453,-104,1,-103,23,-1377,994,0,994,-397,-397,-207,-204,186,-9,-207
2018-06-30,1235,550,114,664,-321,-374,0,529,2386,-704,0,-77,15,-62,26,-740,-6,0,-6,-876,-876,-211,-206,-1299,347,-211
2018-03-31,235.00000,546.00000,,546.00000,96.00000,440.00000,,-919.00000,-137.00000,-748.00000,,-41.00000,,-41.00000,11.00000,-778.00000,4346.00000,,4346.00000,-1315.00000,-1315.00000,-219.00000,-255.00000,2557.00000,1642.00000,-219.00000
2017-12-31,2125,558,-1141,-583,-797,-57,0,1306,2745,-789,0,-13,-60,-73,81,-781,78,0,78,-731,-731,-195,-196,-1044,920,-195
2017-09-30,1004,533,139,672,-640,56,0,278,1906,-636,-29,-53,36,-17,77,-605,163,0,163,-406,-406,-202,-215,-660,641,-202
2017-06-30,574,536,-37,499,11,-157,0,-139,853,-620,0,-111,4,-107,68,-659,-6,0,-6,-454,-454,-186,-264,-910,-716,-186
2017-03-31,101.00000,551.00000,44.00000,595.00000,333.00000,264.00000,,382.00000,1108.00000,-608.00000,-220.00000,-566.00000,20.00000,-546.00000,21.00000,-1353.00000,2034.00000,,2034.00000,-262.00000,-262.00000,-190.00000,-59.00000,1523.00000,1278.00000,-190.00000
2016-12-31,289,518,103,621,-465,-141,0,142,1015,-732,0,-48,-20,-68,50,-750,-7,0,-7,260,260,-190,-154,-91,174,-190
2016-09-30,219,525,345,870,67,-315,0,-643,405,-707,0,-69,19,-50,36,-721,-506,0,-506,139,139,-190,-172,-729,-1045,-190
2016-06-30,783,514,-13,501,-601,160,0,1001,2267,-684,0,-105,1,-104,19,-769,-333,-188,-521,-50,934,-170,-295,-52,1446,-170
2016-03-31,-78.00000,505.00000,157.00000,662.00000,325.00000,226.00000,,-259.00000,330.00000,-668.00000,,-66.00000,,-66.00000,7.00000,-727.00000,-559.00000,188.00000,-371.00000,241.00000,241.00000,-169.00000,-123.00000,-422.00000,-819.00000,-169.00000
2015-12-31,168,420,550,970,361,-6,0,-338,820,-714,-1218,-106,-4,-110,29,-2013,672,0,672,-188,-188,-170,-38,276,-917,-170
2015-09-30,958,366,127,493,752,-16,0,-380,1069,-511,0,-72,0,-72,11,-572,-6,0,-6,-153,-153,-171,-4,-334,163,-171
2015-06-30,839,369,64,433,-512,-103,0,-267,994,-374,0,-107,3,-104,10,-468,-6,0,-6,-403,-403,-136,-178,-723,-197,-136
2015-03-31,903.00000,363.00000,9.00000,372.00000,691.00000,205.00000,,-43.00000,1190.00000,-378.00000,,-42.00000,1.00000,-41.00000,31.00000,-388.00000,107.00000,,107.00000,-188.00000,-188.00000,-136.00000,-1.00000,-218.00000,584.00000,-136.00000
2014-12-31,805,386,-7,379,1218,-55,0,-702,388,-520,10,-63,-3,-66,57,-519,374,0,374,-456,-456,-138,-9,-229,-360,-138
2014-09-30,679,322,-51,271,585,192,0,101,1078,-381,-2789,-177,0,-177,4,-3343,2627,0,2627,-297,-297,-141,-195,1994,-271,-141
2014-06-30,864,325,-88,237,-300,77,0,-240,878,-287,-42,-41,3,-38,46,-321,-20,0,-20,-455,-455,-122,-1,-598,-41,-122
2014-03-31,207.00000,320.00000,48.00000,368.00000,139.00000,-1000.00000,,150.00000,766.00000,-265.00000,,-123.00000,,-123.00000,28.00000,-360.00000,264.00000,,264.00000,-676.00000,-676.00000,-123.00000,3.00000,-532.00000,-126.00000,-123.00000
2013-12-31,631,332,-110,222,34,1025,0,495,1355,-469,0,-37,0,-37,1,-505,-5,0,-5,-441,-441,-126,-4,-576,274,-126
2013-09-30,173,299,28,327,565,-875,0,-71,407,-306,0,1,-28,-27,0,-333,-6,0,-6,-1025,-1025,-129,35,-1125,-1051,-129
2013-06-30,599,302,-44,258,-655,62,0,-1295,-436,-223,-22,-17,17,0,9,-236,-5,0,-5,-876,-876,-113,-2,-996,-1668,-113
2013-03-31,730.00000,287.00000,-20.00000,267.00000,-884.00000,-517.00000,,1090.00000,2079.00000,-192.00000,-1493.00000,-21.00000,11.00000,-10.00000,13.00000,-1682.00000,-5.00000,,-5.00000,-403.00000,-403.00000,-116.00000,4.00000,-520.00000,-123.00000,-116.00000
2012-12-31,759,283,151,434,491,440,0,868,2043,-402,0,77,-94,-17,0,-419,-5,0,-5,-39,-39,-116,9,-151,1473,-116
2012-09-30,1224,246,-235,11,-393,142,0,611,1833,-285,-27,-18,94,76,1,-235,-6,0,-6,22,22,-119,-3,-106,1492,-119
2012-06-30,814,236,365,601,1159,-665,0,-1196,269,-322,-163,-1,0,-1,-1,-487,-3,0,-3,5,5,-85,-9,-92,-310,-85
2012-03-31,596.00000,230.00000,257.00000,487.00000,-406.00000,-32.00000,,-770.00000,347.00000,-307.00000,,-7.00000,,-7.00000,3.00000,-311.00000,-3.00000,,-3.00000,-823.00000,-823.00000,-87.00000,3.00000,-910.00000,-874.00000,-87.00000
2011-12-31,-75,230,-123,107,-547,294,0,605,638,-338,0,-3,0,-3,1,-340,-3,0,-3,0,0,-89,-84,-176,122,-89
2011-09-30,1133,227,92,319,127,64,0,255,1719,-319,0,7,0,7,3,-309,-3,0,-3,1,1,-71,-2,-75,1335,-71
2011-06-30,802,218,-12,206,-286,-949,0,-954,37,-266,-74,-2,2765,2763,5,2428,-55,0,-55,0,0,0,-1007,-1062,1403,0
2011-03-31,529.00000,216.00000,5.00000,221.00000,-471.00000,336.00000,,164.00000,915.00000,-118.00000,,-5.00000,-361.00000,-366.00000,,-484.00000,-580.00000,,-580.00000,,,,250.00000,-330.00000,101.00000,0.00000
2010-12-31,230,218,-193,25,539,607,-127,1362,1927,450,0,-1,-448,-2140,7,-1683,-1148,0,100,0,0,0,-343,-243,1,0
2010-09-30,277,234,58,292,-283,-369,114,-581,-5,-277,0,-3,-5,-8,-5,-290,745,0,745,0,0,0,-487,258,-37,0
2010-06-30,-333,-181,135,-46,-256,-238,13,-1555,-2160,2211,0,4,453,285,-24,2472,403,0,401,0,0,0,-707,-306,6,0
2009-12-31,449,670,0,670,0,0,0,1108,2455,-2838,0,0,0,172,22,-2644,0,0,2,0,0,0,207,209,20,0
