,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2011-12-31,6624,678,-40,638,-3652,891,176,1185,-1400,5862,-498,-8627,3849,3849,-292,-5568,0,0,0,-834,-834,-1683,4,-2513,-2271,575,-1683
2011-09-30,5738.00000,726.00000,-654.00000,72.00000,4733.00000,-920.00000,-442.00000,-688.00000,2683.00000,8493.00000,-436.00000,-875.00000,-938.00000,-938.00000,-66.00000,-2315.00000,,,,-1598.00000,-1598.00000,-1341.00000,70.00000,-2869.00000,3271.00000,558.00000,-1341.00000
2011-06-30,5874,689,5032,5721,-4886,-303,293,-757,-5653,5942,-642,-2,-269,-269,-37,-950,0,0,0,-1076,-1076,-1350,3,-2423,2589,544,-1350
2011-03-31,5232,720,-55,665,3031,-170,-51,-35,2775,8672,-658,0,-6370,-6370,-111,-7139,2239,0,2239,557,557,-1349,-10,1437,2998,541,-1349
2010-12-31,6634,663,-261,402,-3270,380,216,-176,-2850,4186,-491,-69,-1457,-1457,447,-1570,0,-1000,-1000,-4392,-4392,-1363,4,-6751,-4138,553,-1363
2010-09-30,5410.00000,694.00000,-635.00000,59.00000,3674.00000,-468.00000,-400.00000,-81.00000,2725.00000,8194.00000,-564.00000,,-5120.00000,-5120.00000,727.00000,-4957.00000,3907.00000,814.00000,4721.00000,-4222.00000,-4222.00000,-1118.00000,-20.00000,-639.00000,2656.00000,528.00000,-1118.00000
2010-06-30,4518,718,2733,3451,-4144,-260,755,1284,-2365,5604,-758,0,-749,-749,-2612,-4119,487,-545,-58,-2927,-2927,-1130,17,-4098,-2650,482,-1130
2010-03-31,4006,694,-150,544,1947,77,122,697,2843,7393,-408,-143,-5236,-5236,-117,-5904,349,-349,0,-1601,-1601,-1139,14,-2726,-1267,481,-1139
2009-12-31,6662,615,-1368,-753,-2789,558,3,1288,-940,4969,-376,-63,970,970,-623,-92,473,-475,-2,-3138,-3138,-1152,15,-4277,599,485,-1152
2009-09-30,3574.00000,646.00000,764.00000,1410.00000,2748.00000,-419.00000,-36.00000,-1170.00000,1123.00000,6107.00000,-435.00000,-39.00000,-2575.00000,-2575.00000,1850.00000,-1199.00000,-128.00000,378.00000,250.00000,-1292.00000,-1292.00000,-1157.00000,9.00000,-2190.00000,2747.00000,443.00000,-1157.00000
2009-06-30,3045,681,2720,3401,-1820,255,-671,-369,-2605,3841,-867,-41,-7099,-7099,150,-7857,4240,-489,3751,121,121,-1158,-15,2699,-1209,416,-1158
2009-03-31,11524,1881,-636,1245,4035,0,0,-1608,2427,15196,-2252,-827,-3754,-3754,-1080,-7913,328,1667,1995,-8895,-8895,-3310,48,-10162,-3054,1292,-3310
