,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-12-31,59.348,31.781,7.305,39.086,0.561,-2.463,-60.955,-77.964,20.47,-40.777,-3.781,0,0,0,0,-44.558,0,99.216,99.216,-84.654,-84.654,-19.772,-0.061,-5.271,-29.359,3.142,-19.772
2015-09-30,51.36600,31.20400,3.78400,34.98800,97.92600,-1.81700,-59.86900,40.45600,126.81000,-35.88500,-4.40200,-8.27500,,,,-48.56200,,-51.59000,-51.59000,-67.84600,-67.84600,-20.20000,-2.44000,-142.07600,-63.82800,1.97000,-20.20000
2015-06-30,60.542,29.91,36.75,66.66,-107.972,3.294,162.034,68.444,191.303,-47.033,-3.754,8.135,0,0,0,-42.652,0,-24.75,-24.75,-8.345,-8.345,-20.227,0.184,-53.138,95.513,2.77,-20.227
2015-03-31,50.71,29.67,7.024,36.694,10.475,-1.25,-45.44,-31.815,55.589,-28.099,-2.834,0,0,0,0,-30.933,0,-1.364,-1.364,1.417,1.417,-20.222,-1.019,-21.188,3.468,2.759,-20.222
2014-12-31,53.881,29.968,-4.794,25.174,11.22,-0.427,-49.59,-45.305,33.75,-16.541,-3.977,0,0,0,0,-20.518,0,65.501,65.501,-51.011,-51.011,-17.919,0.127,-3.302,9.93,2.515,-17.919
2014-09-30,46.08800,29.44800,-4.47100,24.97700,64.93100,-2.20000,-60.29700,22.08300,93.14800,-39.42600,-3.45500,,,,,-42.88100,,-0.17000,-0.17000,-59.22900,-59.22900,-18.04200,-3.80100,-81.24200,-30.97500,2.06800,-18.04200
2014-06-30,52.527,28.254,24.319,52.573,-84.031,3.418,161.821,75.122,180.222,-20.782,-4.923,0,0,0,0,-25.705,0,-6.602,-6.602,-111.3,-111.3,-18.481,-0.001,-136.384,18.133,2.788,-18.481
2014-03-31,42.605,27.395,-3.114,24.281,-3.165,-3.7,-39.413,-36.765,30.121,-18.744,-4.385,-27.894,0,0,0,-51.023,0,-1.926,-1.926,-61.701,-61.701,-18.624,-0.104,-82.355,-103.257,2.762,-18.624
2013-12-31,48.362,26.266,0.79,27.056,16.205,-3.183,-44.981,-41.792,33.626,-29.347,-3.797,0,0,0,0,-33.144,0,-10.832,-10.832,1.014,1.014,-17.092,0.142,-26.768,-26.286,2.619,-17.092
2013-09-30,43.22100,25.85600,-3.34200,22.51400,78.48900,2.21300,-54.04000,31.95500,97.69000,-18.72500,-3.18300,,,,,-21.90800,,-2.79800,-2.79800,1.18100,1.18100,-17.05400,-3.22900,-21.90000,53.88200,1.92200,-17.05400
2013-06-30,38.634,25.711,13.649,39.36,-104.474,0.404,173.592,78.755,156.749,-31.213,0,0,0,0,0,-31.213,0,-121.856,-121.856,-40.725,-40.725,-17.202,0.101,-179.682,-54.146,2.494,-17.202
2013-03-31,45.995,26.173,5.844,32.017,2.542,-0.276,-54.503,-44.755,33.257,-23.327,0,0,0,0,0,-23.327,0,-5.988,-5.988,-3.597,-3.597,-11.187,0.039,-20.733,-10.803,2.012,-11.187
2012-12-31,40.506,24.239,2.308,26.547,7.715,1.089,-48.126,-49.734,17.319,-24.209,0,0,0,0,0,-24.209,0,-11.61,-11.61,-2.444,-2.444,-9.902,0.012,-23.944,-30.834,2.375,-9.902
2012-09-30,42.47500,24.21800,5.43700,29.65500,81.47800,-5.79900,-52.00600,29.71900,101.84900,-18.30900,-0.18600,,,,,-18.49500,,-5.72600,-5.72600,-0.88500,-0.88500,-9.91100,-0.45700,-16.97900,66.37500,1.73400,-9.91100
2012-06-30,40.383,24.154,10.526,34.68,-99.934,6.081,158.037,71.47,146.533,-26.904,0,0,0,0,0,-26.904,0,-10.965,-10.965,-31.271,-31.271,-9.964,0.113,-52.087,67.542,2.064,-9.964
2012-03-31,36.658,23.052,8.326,31.378,8.229,2.709,-54.481,-46.28,21.756,-17.671,-0.05,0,0,1,1,-16.721,0,-6.268,-6.268,5.913,5.913,-9.997,-0.114,-10.466,-5.431,1.872,-9.997
2011-12-31,38.524,23.719,3.551,27.27,8.048,-2.789,-54.41,-47.996,17.798,-13.798,0,0,0,-0.001,-0.001,-13.799,0,-11.707,-11.707,3.957,3.957,-9.093,-0.009,-16.852,-12.853,1.77,-9.093
2011-09-30,36.47500,23.69400,3.19100,26.88500,72.86200,-2.51300,-66.56900,15.10300,78.46300,-18.16900,-0.67000,,,0.00100,0.00100,-18.83800,,-6.34000,-6.34000,1.35600,1.35600,-9.07400,-0.63700,-14.69500,44.93000,1.24400,-9.07400
2011-06-30,36.574,22.897,17.386,40.283,-91.981,4.075,142.585,48.117,124.974,-15.544,0,0,0,0,0,-15.544,0,-92.933,-92.933,1.355,1.355,-9.067,-0.043,-100.688,8.742,1.285,-9.067
2011-03-31,33.081,22.575,5.424,27.999,11.298,0.729,-50.313,-31.751,29.329,-15.91,0,0,0,0.001,0.001,-15.909,0,-1.628,-1.628,5.168,5.168,-9.058,-0.39,-5.908,7.512,1.232,-9.058
2010-12-31,36.045,22.871,1.98,24.851,6.672,-0.608,-45.803,-50.43,10.466,-11.403,0,0,0,-0.001,-0.001,-11.404,0,-3.04,-3.04,12.718,12.718,-8.145,-0.49,1.043,0.105,1.273,-8.145
2010-09-30,31.77100,22.17100,1.48400,23.65500,74.95100,-4.86700,-51.52500,19.93700,75.36300,-16.18200,0.00000,,,0.00100,0.00100,-16.18100,,-131.85400,-131.85400,2.59100,2.59100,-8.12100,-0.55000,-137.93400,-78.75200,0.93300,-8.12100
2010-06-30,29.984,19.479,8.425,27.904,-88.82,5.563,145.191,68.979,126.867,-23.505,0,-300.789,0,0,0,-324.294,0,299.15,299.15,4.029,4.029,-8.109,-7.904,287.166,89.739,0.843,-8.109
2010-03-31,31.635,18.374,10.285,28.659,-0.273,-4.066,-41.344,-44.319,15.975,-16.793,0,0,0,0.001,0.001,-16.792,0,7.203,7.203,14.259,14.259,-8.039,-1.77,11.653,10.836,0.912,-8.039
2009-12-31,29.977,17.826,1.076,18.902,16.676,-1.831,-44.519,-38.68,10.199,-21.466,0,-125.864,0,0,0,-147.33,0,57.352,57.352,4.342,4.342,-7.17,-0.468,54.056,-83.075,0.856,-7.17
2009-09-30,26.27400,15.82900,1.02300,16.85200,70.87800,0.96400,-55.01100,22.53100,65.65700,-17.29900,0.00000,,,,,-17.29900,,-60.54500,-60.54500,10.52700,10.52700,-7.14300,-1.43000,-58.59100,-10.23300,0.64000,-7.14300
2009-06-30,27.806,15.888,5.303,21.191,-88.209,2.826,146.551,66.397,115.395,-16.737,0,0,0,0,0,-16.737,0,-1.305,-1.305,1.666,1.666,-7.076,-0.107,-6.822,91.836,0.703,-7.076
2009-03-31,75.296,48.259,4.954,53.213,109.423,-1.566,-122.639,-37.308,91.193,-39.467,0,-3.027,0,0.004,0.004,-42.49,0,-12.184,-12.184,-55.462,-55.462,-19.827,-0.38,-87.853,-39.15,1.569,-19.827
