,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-03-31,233.00000,165.00000,-89.00000,76.00000,,,,41.00000,41.00000,350.00000,-102.00000,6.00000,-2.00000,,-42.00000,-42.00000,-320.00000,-460.00000,-39.00000,,-39.00000,-86.00000,-86.00000,-10.00000,121.00000,-14.00000,-70.00000,-10.00000
2017-12-31,-1655,161,2391,2552,-83,143,44,-39,-23,874,39,66,-2,0,-72,-72,-248,-217,-308,-363,-671,-2,-2,-10,-241,-924,-285,-10
2017-09-30,163,11,271,282,0,0,0,217,217,662,644,0,4,0,36,36,-561,123,-108,-343,-451,0,0,-9,228,-232,657,-9
2017-06-30,-642,315,776,1091,0,0,0,-308,-308,141,-285,-2,-13,0,16,16,20,-264,400,0,400,0,0,-10,-219,171,213,-10
2017-03-31,-203.00000,322.00000,65.00000,387.00000,,,,-251.00000,-251.00000,-67.00000,-222.00000,2.00000,-3.00000,,-48.00000,-48.00000,-10.00000,-281.00000,16.00000,,16.00000,,,-9.00000,-160.00000,-153.00000,-359.00000,-9.00000
2016-12-31,-1055,-129,1230,1101,24,60,-59,169,121,167,272,0,18,0,-27,-27,-765,-502,-5971,5353,-618,0,0,-10,447,-181,-563,66
2016-09-30,393,380,18,398,0,0,0,139,139,930,-158,2,-1,0,-35,-35,407,215,5519,-5353,166,1,1,-9,-215,-57,541,-9
2016-06-30,-276,320,197,517,0,0,0,16,16,257,-258,3,-11,0,1,1,-62,-327,-27,0,-27,0,-226,-9,-4,-266,-301,-9
2016-03-31,47.00000,361.00000,105.00000,466.00000,,,,41.00000,41.00000,554.00000,-159.00000,-5.00000,-6.00000,,-13.00000,-13.00000,40.00000,-143.00000,-255.00000,,-255.00000,,,-48.00000,39.00000,-264.00000,141.00000,-48.00000
2015-12-31,-6358,328,5878,6206,113,-59,-180,264,109,-43,-114,36,0,0,-35,-35,-183,-296,-83,0,-83,-84,-84,-49,-190,-406,-498,152
2015-09-30,67,442,293,735,0,0,0,132,132,934,-306,5,-1,3,-9,-6,-64,-372,-904,662,-242,-167,-167,-50,4,-455,119,-50
2015-06-30,-9,429,14,443,0,0,0,-236,-236,198,-330,0,-29,-3,-308,-311,80,-590,475,-662,-187,-107,-107,-51,734,389,-18,-51
2015-03-31,-136.00000,434.00000,-50.00000,384.00000,,,,12.00000,12.00000,260.00000,-252.00000,0.00000,-1.00000,,-41.00000,-41.00000,24.00000,-270.00000,154.00000,,154.00000,-78.00000,-78.00000,-51.00000,15.00000,40.00000,48.00000,-51.00000
2014-12-31,97,484,122,606,-2,-245,-12,-22,-307,396,-184,-16,-104,0,-23,-23,382,55,-3720,3308,-412,-33,-33,-56,225,-276,163,-56
2014-09-30,182,426,517,943,0,0,0,-381,-381,744,-92,0,-1015,6,-71,-65,-33,-1205,3539,-3308,231,7,7,-49,718,907,472,-49
2014-06-30,-80,416,-349,67,0,0,0,-8,-8,-21,-270,0,-1599,-9,-23,-32,24,-1877,226,0,226,5,5,-50,37,218,-1706,-50
2014-03-31,-67.00000,362.00000,-92.00000,270.00000,,,,188.00000,188.00000,391.00000,-160.00000,,-218.00000,3.00000,-5.00000,-2.00000,504.00000,124.00000,691.00000,,691.00000,3.00000,3.00000,-41.00000,-237.00000,416.00000,933.00000,-41.00000
2013-12-31,-290,272,504,776,-224,11,275,13,-39,447,-406,5,-120,19,-1,18,6,-497,-763,868,105,2,2,-41,110,176,125,113
2013-09-30,138,275,326,601,0,0,0,162,162,901,-287,0,-335,-67,0,-67,33,-656,133,-52,81,5,5,-40,469,515,761,-40
2013-06-30,131,435,-34,401,0,0,0,-486,-486,46,-468,0,-21,13,-15,-2,-48,-539,736,-597,139,3,3,-42,56,156,-339,-42
2013-03-31,-331.00000,349.00000,-204.00000,145.00000,,,,62.00000,62.00000,-124.00000,-813.00000,,-18.00000,-13.00000,-10.00000,-23.00000,18.00000,-836.00000,736.00000,-219.00000,517.00000,-19.00000,-19.00000,-31.00000,113.00000,580.00000,-380.00000,-31.00000
2012-12-31,254,315,-374,-59,-131,-172,-132,100,-104,91,-922,-1,942,-66,-37,-103,151,67,1511,-1260,251,0,0,-22,91,320,477,28
2012-09-30,8,296,-80,216,0,0,0,249,249,473,-744,0,-40,0,-9,-9,19,-774,659,121,780,0,0,-23,7,764,461,-23
2012-06-30,259,310,-6,304,0,0,0,98,98,661,-954,0,0,0,-9,-9,-49,-1012,546,-121,425,0,0,-3,66,488,135,-3
2012-03-31,-206.00000,286.00000,-122.00000,164.00000,,,,-34.00000,-34.00000,-76.00000,-639.00000,,,,-7.00000,-7.00000,103.00000,-543.00000,381.00000,,381.00000,,,-2.00000,148.00000,527.00000,-91.00000,-2.00000
2011-12-31,-109,309,-119,190,-119,145,9,493,417,498,-962,2,-25,-123,-50,-173,272,-886,388,0,388,-52,-52,-2,32,366,-22,7
2011-09-30,-55,284,140,424,0,0,0,-10,-10,359,-502,-21,-284,-22,-24,-46,-249,-1102,295,0,295,-246,-246,-2,-112,-65,-812,-7
2011-06-30,621,297,-480,-183,0,0,0,-345,-345,93,-620,0,-68,-70,-3,-73,-70,-831,40,0,40,0,0,-3,-73,-36,-772,0
2011-03-31,-260.00000,272.00000,259.00000,531.00000,,,,-55.00000,-55.00000,216.00000,-219.00000,,,,-10.00000,-10.00000,1.00000,-228.00000,-75.00000,,-75.00000,-130.00000,-130.00000,-2.00000,-25.00000,-232.00000,-240.00000,
2010-12-31,-15,288,-94,194,138,91,-261,383,303,482,-203,8,-864,0,-31,-31,37,-1053,-1160,0,-1160,0,0,-2,1238,76,-496,0
2010-09-30,223,211,137,348,0,0,0,-35,-35,536,-160,-8,-1,0,-17,-17,1,-185,1041,0,1041,-130,-130,-2,13,922,1279,0
2010-06-30,210,225,84,309,0,0,0,-28,-28,491,-145,-9,-141,0,2,2,102,-191,972,429,1401,-50,-50,-3,-1287,61,355,0
2010-03-31,58.00000,220.00000,78.00000,298.00000,,,,-242.00000,-242.00000,114.00000,-155.00000,-25.00000,,,-11.00000,-11.00000,-3.00000,-194.00000,10.00000,-429.00000,-419.00000,2.00000,2.00000,-2.00000,11.00000,-408.00000,-491.00000,
2009-12-31,33,321,-62,259,88,-83,-176,657,534,826,-174,10,-71,14,-13,1,7,-227,-674,248,-426,-299,-299,-6,188,-543,54,0
2009-09-30,278,306,142,448,0,0,0,-168,-168,558,-186,-11,-11,0,-4,-4,-15,-227,23,-15,8,-249,-249,-6,-118,-365,-32,0
2009-06-30,432,289,-11,278,0,0,0,-127,-127,583,-139,-10,-345,0,274,274,-21,-241,1029,-233,796,50,50,-7,-90,749,1094,0
2009-03-31,198.00000,161.00000,269.00000,430.00000,,,,-489.00000,-489.00000,139.00000,-229.00000,-27.00000,,,-5.00000,-5.00000,2.00000,-259.00000,-209.00000,,-209.00000,,,-14.00000,39.00000,-184.00000,-306.00000,
