,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-09-30,183.7,65.8,3.3,69.1,-39.1,95.6,-86.2,46.9,17.2,270,-19.8,0,0,0,0,-19.8,-17.4,-17.4,-56.1,-56.1,-31.7,8.1,-97.1,154.4,10.8,-31.7
2018-06-30,173,66.3,0.3,66.6,-355.7,-95.3,416.6,-95.1,-129.5,110.1,-17.7,0,0,0,0,-17.7,9.9,9.9,-67.2,-67.2,-31.8,-117.9,-207,-120.3,11,-31.8
2018-03-31,127.00000,66.60000,-4.20000,62.40000,60.50000,-72.40000,-29.80000,74.50000,32.80000,222.20000,-15.90000,,,,,-15.90000,-3.70000,-3.70000,-109.20000,-109.20000,-32.00000,13.70000,-131.20000,76.80000,8.10000,-32.00000
2017-12-31,194.8,65.7,-106.3,-40.6,-16.1,100.5,91.3,8.7,184.4,338.6,-22.5,0,0,0,0,-22.5,-195.3001,-195.3001,-9.1,-9.1,-32.2,-34.5,-271.1,46.3,10.1,-32.2
2017-09-30,129.3,65.7,-4.2,61.5,35.3,-31.1,-171.6,39.5,-127.9,62.9,-21.8,0,0,0,0,-21.8,133.9001,133.9001,-172.9,-172.9,-24.4,42.5,-20.9,18.9,10,-24.4
2017-06-30,140.8,62.1,-8.1,54,-340.7,-16.5,322.2,-153.5,-188.5,6.3,-17.2,0,0,0,0,-17.2,12.2,12.2,-181,-181,-24.8,29.1,-164.5,-172.7,11.5,-24.8
2017-03-31,58.20000,67.40000,52.00000,119.40000,184.70000,-36.00000,-10.40000,54.00000,192.30000,369.90000,-19.60000,,,,,-19.60000,-4.00000,-4.00000,-171.00000,-171.00000,-25.50000,-161.70000,-362.20000,-12.00000,12.10000,-25.50000
2016-12-31,103.9,59.4,-7.5,51.9,-161,-3.4,83.6,29.7,-51.1,104.7,-22.1,0,0,0,-0.3,-22.4,-18.9999,-18.9999,-18.4,-18.4,-25.6,129.3,66.3,145.4,11.1,-25.6
2016-09-30,125.9,64.1,-12.3,51.8,57,34.4,-77.8,-5.1,8.5,186.2,-15.7,0,0,0,-2.1,-17.8,5.1999,5.1999,-129.7,-129.7,-17.4,-36.3,-178.2,-11.1,10,-17.4
2016-06-30,117.5,65.4,-15.4,50,-312.5,-30.8,128.3,-67.2,-282.2,-114.7,-14.7,0,0,0,0,-14.7,-7,-7,-102.5,-102.5,-17.7,141.1,13.9,-118.8,9.5,-17.7
2016-03-31,77.80000,65.60000,-16.40000,49.20000,237.60000,-68.20000,91.00000,40.40000,300.80000,427.80000,-11.00000,,,,,-11.00000,-7.20000,-7.20000,-116.80000,-116.80000,-18.00000,-64.60000,-206.60000,210.60000,8.60000,-18.00000
2015-12-31,89.3,64.1,-12,52.1,-164.2,23.3,-125.5,107.6,-158.8,-17.4,-46.2,0,0,0,0,-46.2,-6.7,-6.7,-47.3,-47.3,-18.3,75.7,3.4,-59.9,11.2,-18.3
2015-09-30,150.9,61.5,-57.3,4.2,-20.7,44.1,74.1,-56.8,40.7,195.8,-21,-263.8,0,0,0,-284.8,-18.4,-18.4,-100.9,-100.9,-11.4,-16.1,-146.8,-238.2,7.8,-11.4
2015-06-30,108.2,54.2,-17.9,36.3,-263.1,-79.2,158.9,-39.8,-223.2,-78.7,-12.9,0,0,0,0,-12.9,-3.8,-3.8,-91.2,-91.2,-11.5,86.1,-20.4,-111.7,7.5,-11.5
2015-03-31,54.70000,54.00000,3.70000,57.70000,105.40000,-19.70000,-7.00000,-13.30000,65.40000,177.80000,-10.00000,,,,-0.50000,-10.50000,-4.20000,-4.20000,0.50000,0.50000,-11.70000,-47.30000,-62.70000,102.90000,4.70000,-11.70000
2014-12-31,51.8,53.6,19.1,72.7,-91.4,85.9,-71.4,36.9,-40,84.5,-20.6,0,-86.8,-86.8,-1.4,-108.8,-3.9,-3.9,0.2,0.2,-11.7,27.1,11.7,-13.3,4.9,-11.7
2014-09-30,55.6,53.5,27,80.5,49.5,25.9,-31.3,-5.6,38.5,174.6,-13.4,0,0,0,-0.7,-14.1,-4,-4,0.3,0.3,-7.3,-18,-29,130.2,3.9,-7.3
2014-06-30,86.6,53.6,-15.1,38.5,-188.9,-61.1,124.9,-70.4,-195.5,-70.4,-11.7,0,0,0,0,-11.7,-48.1,-48.1,0.7,0.7,-7.3,57,2.3,-79.1,4.3,-7.3
2014-03-31,50.90000,53.60000,-13.40000,40.20000,113.20000,-6.50000,21.50000,27.00000,155.20000,246.30000,-9.30000,,,,-20.90000,-30.20000,-83.40000,-83.40000,0.10000,0.10000,-7.30000,-6.40000,-97.00000,118.60000,3.30000,-7.30000
2013-12-31,60,53.6,-15,38.6,-142.9,-28.3,-8.7,76.8,-103.1,-4.5,-16.6,0,0,0,0,-16.6,-165.4,-165.4,-0.1,-0.1,-7.3,31.9,-140.9,-162.1,2.3,-7.3
2013-09-30,-2.2,53.8,83.9,137.7,81,24.8,-99,21.4,28.2,163.7,-10.5,0,0,0,0,-10.5,-348.5,-348.5,424.7,424.7,0,-59.3,16.9,170.9,40.3,0
2013-06-30,46.7,54.6,3,57.6,-127.7,-20.1,129.6,-87,-105.2,-0.9,-11.2,0,0,0,0,-11.2,43.7,43.7,0,0,0,1.5,45.2,32.2,2.1,0
2013-03-31,28.30000,55.00000,-8.30000,46.70000,18.80000,-43.90000,124.20000,33.90000,133.00000,208.00000,-8.80000,,,,,-8.80000,-93.10000,-93.10000,-0.10000,-0.10000,,3.70000,-89.50000,109.20000,1.90000,
2012-12-31,33.3,53.9,19.8,73.7,20.3,25.1,-172.7,-4,-140.7,-49.7,-16,0,0,0,-0.3,-16.3,202.2,-106.3,0.4,-0.3,0,17.9,-88.7,-155.1,-18,0
2012-09-30,38,56.2,-9.6,46.6,-40.1,-25.2,2.2,40.9,-22.2,62.4,-9.7,0,0,0,0,-9.7,0,0,-0.1,-0.1,0,-19.1,-19.2,34.3,6.5,0
2012-06-30,30.6,-106.9,-10.2,-117.1,19.8,0.1,170.5,-36.9,311.8,90,30,0,0,0,10.3,40.3,-202.2,118,-0.3,0.1,0,-252.8,-134.7,-4.5,11.5,0
2011-12-31,46.3,-6.8,0,-6.8,0,0,0,0,-323.6,-209,-4.2,0,0,0,73.6,69.4,0,18.79,0,-0.4,0,236.3,254.7,114.7,0,0
2010-12-31,-29.2,227.4,0,227.4,0,0,0,0,165.3,423.7,-41.5,0,0,0,-83.9,-125.4,0,-338.99,0,0,0,-11.1,-350.1,-51.4,0,0
