,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,4687,2149,7837,9986,52114,34696,7034,67693,82919,0,-502,-83144,-83646,36000,-47646,9006,-1842,7164,0,0,-3154,85121,89131,126195,0,-3154
2020-03-31,2865.00000,2197.00000,7461.00000,9658.00000,-44330.00000,-167827.00000,35326.00000,-131811.00000,-120089.00000,,-10865.00000,-65801.00000,-76666.00000,-59167.00000,-135833.00000,5794.00000,61728.00000,67522.00000,-6517.00000,-3447.00000,-3188.00000,301418.00000,362305.00000,103903.00000,,-3188.00000
2019-12-31,8520,2139,3488,5627,15512,98592,-25513,68464,82811,0,8189,-4905,3284,-18842,-15558,-1744,-72065,-73809,-6751,-8121,-3287,22198,-63019,7034,0,-3287
2019-09-30,9080,2145,1597,3742,-7135,19521,-18444,4813,16015,0,10450,-85809,-75359,11434,-63925,2444,35415,37859,-6949,-5579,-2975,10232,39537,-11441,0,-2975
2019-06-30,9652,2046,1398,3444,-15115,11502,-20458,-25986,-13854,0,31298,-36286,-4988,-3889,-8877,-12360,-32371,-44731,-5210,-5210,-3048,40023,-12966,-34566,0,-3048
2019-03-31,9179.00000,2038.00000,2368.00000,4406.00000,8786.00000,-123064.00000,4491.00000,-99082.00000,-80880.00000,,22459.00000,-2772.00000,19687.00000,16614.00000,36301.00000,3135.00000,41807.00000,44942.00000,-5091.00000,-4166.00000,-3033.00000,31692.00000,69435.00000,23811.00000,,-3033.00000
2018-12-31,7066,2075,4130,6205,-3474,9360,-4495,-10656,1849,0,-103942,-29111,-133053,-26585,-159638,10143,6198,16341,-5928,-7583,-3120,12201,17839,-140304,0,-3120
2018-09-30,8380,1992,1409,3401,-1789,-1568,-11004,-258,13189,0,8850,-460,8390,-9198,-808,-5789,7146,1357,-4416,-2761,-2273,6230,2553,13917,0,-2273
2018-06-30,8316,1927,1829,3756,-2848,-5628,21270,25458,35685,0,21070,2711,23781,-17734,6047,2966,-2667,299,-4968,-4968,-2480,-39674,-46823,-9632,0,-2480
2018-03-31,8712.00000,1797.00000,1941.00000,3738.00000,-6719.00000,-37231.00000,-3121.00000,-47161.00000,-35109.00000,,-49179.00000,8814.00000,-40365.00000,-4656.00000,-45021.00000,-11971.00000,31214.00000,19243.00000,-4671.00000,-4671.00000,-2236.00000,48253.00000,60589.00000,-16492.00000,,-2236.00000
2017-12-31,4232,1632,4288,5920,-6779,36862,-21242,2457,12554,0,-13015,12850,-165,-19292,-19457,-7187,-12936,-20123,-4808,-4808,-2515,5683,-21763,-27852,0,-2515
2017-09-30,6732,1579,1918,3497,6559,-8275,-13915,-15258,-4895,0,33099,1244,34343,-11176,23167,-7408,4558,-2850,-4763,-4763,-2092,-1801,-11506,8630,0,-2092
2017-06-30,7029,1504,984,2488,-5907,-5260,-255,-10376,4073,0,-28016,21079,-6937,-15636,-22573,-2702,-3784,-6486,-3007,-3007,-2341,16140,4306,-11360,0,-2341
2017-03-31,6448.00000,1464.00000,2548.00000,4012.00000,-11099.00000,-17654.00000,4485.00000,-35811.00000,-22559.00000,,39380.00000,8050.00000,47430.00000,-318.00000,47112.00000,-9511.00000,21963.00000,12452.00000,-2832.00000,-2832.00000,-2045.00000,36030.00000,43605.00000,70732.00000,,-2045.00000
2016-12-31,6727,1446,5039,6485,11868,24075,-3070,32305,40599,0,58765,-25506,33259,-10359,22900,-6846,-4782,-11628,-2251,-2251,-2287,-17262,-33428,28571,0,-2287
2016-09-30,6286,1407,1968,3375,2420,8419,-21064,-8284,4192,0,-46029,5953,-40076,-19962,-60038,16925,1671,18596,-2295,-2295,-2069,43308,57540,1680,0,-2069
2016-06-30,6200,1336,1606,2942,-10260,-19522,14840,-11352,-1524,0,554,7131,7685,-25168,-17483,4884,4546,9430,-2840,-2840,-2174,16159,20575,1498,0,-2174
2016-03-31,5520.00000,1289.00000,3198.00000,4487.00000,-10754.00000,-32979.00000,12629.00000,-30980.00000,-21383.00000,,-30758.00000,9080.00000,-21678.00000,-12903.00000,-34581.00000,-842.00000,9111.00000,8269.00000,-1696.00000,-1696.00000,-1946.00000,48957.00000,53584.00000,-2278.00000,,-1946.00000
2015-12-31,5434,1273,3489,4762,9358,17739,-12482,4674,16167,0,41997,13573,55570,-28312,27258,-6497,-37839,-44336,-1219,-1219,-2195,3752,-43998,-768,0,-2195
2015-09-30,6804,1248,493,1741,17274,10359,-3987,19658,25124,0,17058,10271,27329,-25078,2251,4466,-24048,-19582,-1248,-129,-1944,-8429,-30084,-2837,0,-1944
2015-06-30,6290,1238,1458,2696,-4477,28664,-13246,7991,17296,0,113971,11752,125723,-24102,101621,8183,-27939,-19756,-1249,2133,-1964,-98179,-117766,1274,0,-1964
2015-03-31,5914.00000,1181.00000,1505.00000,2686.00000,1763.00000,5450.00000,9207.00000,9938.00000,14879.00000,,-25374.00000,10387.00000,-14987.00000,-9163.00000,-24150.00000,6212.00000,-7417.00000,-1205.00000,-1900.00000,-508.00000,-1770.00000,7820.00000,4337.00000,-5010.00000,,-1770.00000
2014-12-31,4931,1186,3788,4974,3122,5728,13622,19189,28746,-24,-71589,15543,-56046,-13936,-70006,8470,-1784,6686,-1510,-1511,-1912,40904,44167,2459,-1681,-1912
2014-09-30,5565,1147,644,1791,6011,-15778,-4098,-6257,-2449,43,13296,-11500,1796,469,2308,4929,-24552,-19623,-1489,110,-1718,19856,-1375,-2151,539,-1718
2014-06-30,5980,1218,912,2130,-3770,-18774,8516,-14566,-4371,-19,-5713,-7254,-12967,-16542,-29528,-5223,3734,-1489,-1375,1979,-1806,36434,35118,1202,524,-1806
2014-03-31,5269.00000,1208.00000,4270.00000,5478.00000,-5118.00000,4010.00000,632.00000,1795.00000,14667.00000,,-73572.00000,4606.00000,-68966.00000,556.00000,-68410.00000,5064.00000,42749.00000,47813.00000,-386.00000,3509.00000,-1554.00000,-9450.00000,40318.00000,-13450.00000,618.00000,-1554.00000
2013-12-31,5241,1246,6080,7326,-2200,5035,921,-19520,-6914,62,43085,2945,46030,-7492,38600,6276,-36587,-30311,-299,-299,-1782,9473,-22919,9107,-1734,-1782
2013-09-30,-380,1651,411,2062,15031,15933,-5426,23296,26383,-17,-43523,2187,-41336,-5503,-46856,-7132,-43327,-50459,-740,-1043,-1547,74184,21135,1450,507,-1547
2013-06-30,6496,1435,855,2290,-5314,39887,6358,62803,68520,-8,-88145,3252,-84893,-1889,-86790,3674,12352,16026,-1172,326,-1485,-12939,1928,-16310,586,-1485
2013-03-31,6529.00000,974.00000,2570.00000,3544.00000,-12219.00000,28255.00000,-3537.00000,10395.00000,19964.00000,-37.00000,-58054.00000,268.00000,-57786.00000,2368.00000,-55455.00000,20231.00000,11479.00000,31710.00000,-2578.00000,-1700.00000,-1242.00000,-588.00000,28180.00000,-8199.00000,641.00000,-1242.00000
2012-12-31,5692,1404,1451,2855,147,-2616,-416,-13370,-4511,-2,-31874,-3716,-35590,-14512,-50104,8638,-13469,-4831,1234,0,-1478,60395,54086,380,522,-1478
2012-09-30,5708,1294,1198,2492,4574,-31750,5750,-26778,-16659,0,-692,-4956,-5648,1889,-3759,2140,2320,4460,0,1234,-1223,24283,28754,8477,582,-1223
2012-06-30,4960,1217,1723,2940,1679,33462,-556,37000,41983,120,-29883,24753,-5130,-15590,-20600,-18794,5791,-13003,-1437,-1437,-1469,-14576,-30485,-10517,609,-1469
2012-03-31,4924.00000,1232.00000,578.00000,1810.00000,-5492.00000,-4475.00000,10073.00000,459.00000,4266.00000,-30.00000,-34967.00000,-11117.00000,-46084.00000,752.00000,-45362.00000,-2186.00000,41219.00000,39033.00000,-216.00000,-216.00000,-1024.00000,-2441.00000,35352.00000,-4219.00000,832.00000,-1024.00000
2011-12-31,3728,1288,4893,6181,10201,28246,-22715,18549,29414,65,56282,-28010,28272,-29422,-1085,-15668,-31637,-47305,-863,-863,-1269,24778,-24659,2836,580,-1269
2011-09-30,4262,1265,1180,2445,9329,-26737,588,2573,7793,51,6634,-18389,-11755,-12156,-23860,-6289,-14419,-20708,-4425,-4425,-1061,69234,43040,26300,538,-1061
2011-06-30,5431,1278,2593,3871,854,40385,1250,53086,64704,1,-84914,14290,-70624,-9374,-79997,4917,-31959,-27042,-3480,-3480,-1319,53838,21997,6997,727,-1319
2011-03-31,5555.00000,1274.00000,1683.00000,2957.00000,-10198.00000,-5451.00000,-5610.00000,-18863.00000,-5979.00000,-15.00000,-54084.00000,-14713.00000,-68797.00000,3002.00000,-65810.00000,-10194.00000,22129.00000,11935.00000,-95.00000,-95.00000,-246.00000,55734.00000,67328.00000,-4098.00000,830.00000,-246.00000
2010-12-31,4831,1280,3314,4594,-8272,-2305,-9681,-6316,1111,-264,21876,20478,42354,-8809,33281,-1291,-42118,-43409,-687,-687,-484,13936,-30644,3607,724,-484
2010-09-30,4418,1273,2673,3946,-1600,-87730,14546,-70335,-50590,-4640,-27731,-21097,-48828,515,-52953,-5041,75437,70396,-2177,-2529,-257,26141,93751,-8846,753,-257
2010-06-30,4795,1208,2669,3877,-4563,23932,-5081,21459,28333,-2,50944,31856,82800,4738,87536,-19761,-67837,-87598,-135,-135,-492,-26122,-114347,1384,833,-492
2010-03-31,3326.00000,1204.00000,7301.00000,8505.00000,17948.00000,-5979.00000,3182.00000,6914.00000,17394.00000,-4.00000,-30421.00000,623.00000,-29798.00000,15940.00000,-13862.00000,-17769.00000,42851.00000,25082.00000,,,-253.00000,-22806.00000,2023.00000,5216.00000,941.00000,-253.00000
2009-12-31,3278,1612,6455,8067,-4995,18407,-5881,1602,11913,-157,-28223,10914,-17309,9226,-8240,-16092,-46602,-62694,0,0,-489,64662,1479,5138,920,-489
2009-09-30,3588,997,8705,9702,4247,-25853,12887,-14386,7625,78,5068,-20360,-15292,16544,1330,-4180,-6402,-10582,0,0,-252,-2476,-13310,-4065,763,-252
2009-06-30,2721,1063,7498,8561,-2954,50653,-16308,37634,52503,73,17194,-9153,8041,24525,32639,4089,-8714,-4625,5756,-19244,-849,-62221,-86939,-1548,884,-849
2009-03-31,2141.00000,686.00000,7980.00000,8666.00000,8875.00000,90281.00000,-33003.00000,45056.00000,50756.00000,-91.00000,99100.00000,-126011.00000,-26911.00000,30628.00000,3626.00000,-934.00000,62305.00000,61371.00000,,,-1832.00000,-113848.00000,-54309.00000,-214.00000,788.00000,-1832.00000
