,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-06-30,-389,621,344,965,-68,457,0,-229,288,864,-250,-5,32,0,0,-18,-241,1147,1147,1040,1040,-44,2143,2766,210
2019-03-31,-668.00000,508.00000,196.00000,704.00000,-100.00000,-809.00000,,274.00000,-676.00000,-640.00000,-280.00000,,-1.00000,,,-25.00000,-306.00000,-677.00000,-677.00000,78.00000,78.00000,-54.00000,-653.00000,-1594.00000,208.00000
2018-12-31,210,535,291,826,189,88,0,-247,199,1235,-325,0,-11,0,0,-29,-365,-198,-198,76,76,10,-112,754,205
2018-09-30,254.333,549.093,236.199,785.292,-587.491,-55.444,0,276.07,351.4151,1391.04,-510.525,0,-1.396,0,0,-48.625,-560.546,-221.311,-221.311,94.929,94.929,42.1,-84.282,739.721,205.017
2018-06-30,-742.706,520.329,259.702,780.0309,70.633,-733.475,0,-95.884,-166.9891,-129.664,-609.813,0,-5.604,0,0,-67.4,-682.817,245.5971,245.5971,31.053,31.053,121.972,398.622,-436.47,197.344
2018-03-31,-784.62700,455.57800,256.09900,711.67710,-169.14200,-322.08100,,-152.18600,-325.42600,-398.37600,-655.66200,,,,,-72.97500,-728.63700,262.71390,262.71390,94.01800,94.01800,14.92800,371.66000,-745.25100,141.63900
2017-12-31,-771.229,499.99,284.143,784.133,80.643,239.97,0,-41.646,496.641,509.545,-786.874,0,-5.853,0,0,-118.915,-911.642,58.397,58.397,9.152,9.152,218.429,285.978,-111.855,134.588
2017-09-30,-671.163,393.832,226.537,620.369,-182.686,-25.268,0,-198.906,-249.768,-300.562,-1116.434,0,0,0,0,-128.293,-1244.727,2231.737,2231.737,69.07,69.07,-199.301,2101.506,564.017,112.653
2017-06-30,-401.427,424.829,257.519,682.348,-14.498,-269.188,0,-208.11,-481.093,-200.172,-959.068,0,0,0,0,-198.844,-1157.912,156.695,156.695,-106.587,-106.587,378.659,428.767,-913.024,116.042
2017-03-31,-397.18100,408.34900,181.80100,590.15000,91.54100,-124.51400,,-232.33800,-262.78000,-69.81100,-552.62400,,-109.14700,,,-219.94800,-881.71900,1021.17100,1021.17100,510.36500,510.36500,67.21300,1598.74900,658.86200,103.71700
2016-12-31,-219.469,351.768,-33.913,317.855,-106.055,-287.536,0,-206.116,-546.595,-448.209,-521.612,0,342.719,0,0,-80.513,-259.406,1184.164,1184.164,10.356,10.356,178.307,1372.827,645.16,87.713
2016-09-30,21.878,308.633,128.859,437.492,-109.084,872.6,0,-1283.816,-35.7209,423.649,-247.611,0,0,0,0,-20.395,-268.006,-361.546,-361.546,42.983,42.983,-2.307,-320.87,-162.044,89.543
2016-06-30,-293.188,204.315,79.725,284.04,157.901,-705.26,0,554.487,159.4839,150.336,-294.72,0,0,16.667,16.667,-41.801,-319.854,231.937,231.937,1759.374,1759.374,-14.727,1976.584,1804.512,67.311
2016-03-31,-282.26700,177.07300,126.61800,303.69100,-159.32700,-512.67100,,340.37600,-271.02900,-249.60500,-216.85900,,,,,-16.96000,-233.81900,663.63500,663.63500,52.83800,52.83800,-1.03800,715.43500,244.88100,89.65800
2015-12-31,-320.397,170.401,135.753,306.154,-32.106,722.018,0,-879.625,-15.606,-29.849,-411.222,0,0,0,0,-3.058,-414.28,212.92,212.92,12.585,12.585,-0.467,225.038,-229.128,55.64
2015-09-30,-229.858,128.03,90.935,218.965,15.541,-385.162,0,149.197,-192.447,-203.34,-392.403,0,0,0,0,-11.687,-404.09,120.137,120.137,785.155,785.155,-11.314,893.978,275.363,55.998
2015-06-30,-184.227,107.16,47.602,154.762,60.657,-399.011,0,194.535,-130.051,-159.516,-405.165,0,-12.26,0,0,-5.412,-422.837,198.984,198.984,23.653,23.653,-4.286,218.351,-359.403,43.335
2015-03-31,-154.18100,95.05300,82.51900,177.57200,2.17500,-307.20900,,102.35600,-155.18500,-131.79400,-426.06000,,,,,-6.28400,-432.34400,151.89600,151.89600,35.21800,35.21800,-0.95800,186.15600,-395.63700,43.02600
2014-12-31,-107.629,82.076,52.54,134.616,-74.486,-377.601,-253.895,177.737,-113.389,-86.402,-368.661,0,0,-0.01,-0.01,-3.56,-372.231,-388.366,-388.366,399.69,399.69,0.001,11.325,-482.833,44.516
2014-09-30,-74.709,88.504,52.894,141.398,-61.241,-214.531,68.184,112.903,-94.685,-27.996,-284.175,0,0,-5.563,-5.563,-1.905,-291.643,-217.324,-217.324,-352.35,-352.35,603.428,33.754,-286.364,39.158
2014-06-30,-61.902,78.324,47.161,125.485,-24.21,-259.538,107.454,130.329,-65.245,-1.662,-175.685,0,0,177.974,177.974,0.321,2.61,296.899,296.899,68.149,68.149,-83.556,281.492,281.002,35.784
2014-03-31,-49.80000,52.76100,39.26800,92.02900,-23.72100,-198.59400,78.25700,141.27200,16.49400,58.72300,-141.36400,,,-189.11100,-189.11100,1.29500,-329.18000,1997.45500,1997.45500,374.12600,374.12600,-555.02200,1816.55900,1548.01900,37.03800
2013-12-31,-16.264,41.384,11.431,52.815,-0.989,-102.144,-25.421,172.91,97.436,133.987,-89.434,0,0,0,0,-0.071,-89.505,-2.045,-2.045,13.088,13.088,-0.527,10.516,50.773,25.171
2013-09-30,-38.496,32.212,23.264,55.476,66.162,-229.17,33.796,194.911,85.056,102.036,-76.548,0,0,0,0,-0.954,-77.502,-123.064,-123.064,147.446,147.446,-0.167,24.215,49.059,20.984
2013-06-30,-30.502,29.338,28.283,57.621,-67.581,-147.467,-34.036,172.617,-62.417,-35.298,-40.515,0,0,0,0,13.341,-27.174,161.026,161.026,452.188,452.188,-16.207,597.007,531.64,19.714
2013-03-31,11.24800,17.85000,6.09800,23.94800,-19.29700,18.22000,25.66100,3.37300,28.88300,64.07900,-57.72700,,,,,2.49100,-55.23600,-14.21900,-14.21900,17.90300,17.90300,,3.68400,12.52700,14.86800
2012-12-31,-89.931,12.792,16.54,29.332,-17.678,-90.694,116.593,5.716,25.374,-35.225,-64.053,0,0,0,0,3.296,-60.757,-13.858,-13.858,228.303,228.303,0,214.445,116.197,14.416
2012-09-30,-110.806,7.522,14.392,21.914,1.858,-85.594,69.878,6.436,-12.134,-101.026,-62.398,0,0,0,0,-1.616,-64.014,32.492,32.492,7.687,7.687,0,40.179,-124.861,12.475
2012-06-30,-105.603,4.348,14.308,18.656,2.567,-12.838,10.744,20.28,22.683,-64.264,-58.003,0,0,25,25,17.071,-15.932,70.782,70.782,1.398,1.398,0,72.18,-8.016,12.543
2012-03-31,-89.87300,4.16300,13.39100,17.55400,-4.05000,-5.60000,-7.27100,24.99200,9.01900,-63.30000,-54.77400,,,0.00800,0.00800,-11.46100,-66.22700,83.83800,83.83800,8.99300,8.99300,,92.83100,-36.69600,10.71100
2011-12-31,-81.489,4.804,9.942,14.746,8.711,-2.807,-19.897,27.569,25.985,-40.758,-40.592,0,0,40,40,29.515,28.923,51.06,51.06,2.713,2.713,0,53.773,41.938,8.682
2011-09-30,-65.078,4.28,8.794,13.074,5.058,2.133,11.54,11.441,30.513,-21.491,-68.844,0,0,-64.952,-64.952,-44.374,-178.17,90.727,90.727,2.882,2.882,0,93.609,-106.052,7.885
2011-06-30,-58.903,4.318,7.753,12.071,-3.048,-6.001,20.29,15.017,24.344,-22.488,-54.314,0,0,0,0,31.192,-23.122,31.643,31.643,232.692,232.692,0,264.335,218.725,6.926
2011-03-31,-48.94100,3.51700,7.74100,11.25800,-13.55000,-6.96300,7.95800,7.15700,-5.61400,-43.29700,-20.47600,,,,,30.58700,10.11100,30.57700,30.57700,3.70600,3.70600,,34.28300,1.09700,5.92600
2010-12-31,-51.358,2.89,7.488,10.378,1.353,-5.644,-6.074,3.716,6.696,-34.284,-17.148,0,-6.5,0,0,15.098,-8.55,15.189,15.189,30.609,30.609,0.031,45.829,2.995,7.843
2010-09-30,-34.934,3.109,1.04,4.149,-1.597,-13.837,4.378,-4.116,-15.172,-45.957,-7.768,0,-58.71,0,0,-88.201,-154.679,11.06,11.06,239.003,239.003,-0.168,249.895,49.259,3.811
2010-06-30,-38.517,2.483,12.675,15.158,-0.535,-3.525,4.991,2.181,3.112,-20.247,-9.815,0,0,0,0,2.126,-7.689,15.421,15.421,0.222,0.222,-1.949,13.694,-14.242,6.115
2010-03-31,-29.51900,2.14100,5.86000,8.00100,-2.44300,-5.50700,-3.50700,5.64600,-5.81100,-27.32900,-5.47200,,,,,-3.90700,-9.37900,29.84300,29.84300,0.35800,0.35800,-1.57400,28.62700,-8.08100,3.38700
2009-12-31,-24.242,1.935,-3.1,-1.165,-1.934,4.032,-3.173,29.421,-9.115,-29.002,-6.195,0,0,0,0,0,-6.195,-25.193,-0.053,-0.118,0.37,-2.04,-1.723,-36.92,-0.449
2009-09-30,-4.615,1.948,0.826,2.774,3.16,4.731,0.894,-29.865,-21.648,-23.489,-2.256,0,0,0,0,-0.779,-3.035,-0.06,-0.06,0.053,82.431,0,82.371,55.847,0.206
2009-06-30,-26.883,3.057,2.274,5.331,-1.226,-8.763,2.279,0.444,-6.777,-28.329,-3.429,0,0,0,0,-1.581,-5.01,25.253,25.253,0.065,49.509,0,74.762,41.423,0.243
