,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,230.00000,152.00000,38.00000,190.00000,126.00000,-36.00000,,-108.00000,175.00000,591.00000,-44.00000,-2.00000,,,,1.00000,-45.00000,-768.00000,344.00000,-424.00000,,,-211.00000,79.00000,-556.00000,0.00000,14.00000,-211.00000
2018-12-31,266,140,140,280,34,94,0,14,-6,550,-74,0,29,-16,-16,0,-61,-81,-306,-387,0,0,-209,89,-507,17,14,-209
2018-09-30,149,163,-25,138,-71,121,-215,-42,197,485,-59,12,-18974,-1,-1,32,-18990,-420,1386,966,9000,9000,0,428,10394,-8162,1,0
2018-06-30,85,66,-2,64,22,-23,215,-51,160,311,-24,-12,0,-22,-22,4,-54,-60,8000,7940,0,0,-12,-23,7905,8162,9,-12
2018-03-31,89.00000,65.00000,-11.00000,54.00000,97.00000,-7.00000,,-8.00000,106.00000,267.00000,-20.00000,,,,,-6.00000,-26.00000,-203.00000,,-203.00000,,,-11.00000,-1.00000,-215.00000,27.00000,11.00000,-11.00000
2017-12-31,838,-29,-345,-374,-29,39,24,-32,-702,-283,-154,0,-1552,-259,-259,1,-1964,384,666,1050,-379,-379,-368,78,381,-1881,0,-368
2017-09-30,-127,111,99,210,53,-4,-24,93,793,911,-5,5,1547,251,251,-2,1796,-1105,-200,-1305,158,158,158,-79,-1068,1652,20,158
2017-06-30,188,39,89,128,-85,-19,5,77,-5,313,-25,-5,-2,1,1,5,-26,150,0,150,-147,-147,-107,26,-78,211,10,-107
2017-03-31,177.00000,44.00000,3.00000,47.00000,23.00000,-16.00000,19.00000,-177.00000,-131.00000,97.00000,-15.00000,,-1545.00000,-2.00000,-2.00000,-7.00000,-1569.00000,-3.00000,,-3.00000,-11.00000,-11.00000,-97.00000,-31.00000,-142.00000,-1611.00000,6.00000,-97.00000
2016-12-31,165,42,73,115,-9,22,-3,6,-32,256,-68,0,0,-1,-1,-1,-70,-394,1550,1156,-59,-59,-98,-15,984,1167,12,-98
2016-09-30,240,39,-34,5,60,10,-46,4,29,277,-41,0,2,-1,-1,0,-40,-2,400,398,-155,-155,-98,-5,140,375,33,-98
2016-06-30,260,39,-20,19,-75,-4,0,39,-48,231,-39,0,0,-1,-1,1,-39,-2,0,-2,-119,-119,-100,0,-221,-30,-11,-100
2016-03-31,182.00000,40.00000,20.00000,60.00000,-4.00000,-25.00000,81.00000,-152.00000,-47.00000,197.00000,-26.00000,,,-6.00000,-6.00000,-8.00000,-40.00000,-502.00000,,-502.00000,-172.00000,-172.00000,-90.00000,-31.00000,-795.00000,-636.00000,11.00000,-90.00000
2015-12-31,185,43,20,63,-3,-9,-34,65,23,291,-100,1,0,-1,-1,1,-99,-2,750,748,-115,-115,-91,-31,511,704,44,-91
2015-09-30,202,40,25,65,58,14,7,50,98,374,-28,0,0,-20,-20,0,-48,-1,0,-1,-147,-147,-92,1,-239,80,0,-92
2015-06-30,220,40,16,56,-57,10,-49,62,-24,248,-12,-1,0,0,0,6,-7,-1,0,-1,-113,-113,-93,0,-207,34,-9,-93
2015-03-31,157.00000,40.00000,24.00000,64.00000,-23.00000,-26.00000,67.00000,-180.00000,-103.00000,101.00000,-19.00000,,,-15.00000,-15.00000,-6.00000,-40.00000,-1.00000,,-1.00000,-116.00000,-116.00000,-79.00000,-6.00000,-202.00000,-144.00000,9.00000,-79.00000
2014-12-31,150,44,36,80,-14,-16,-20,58,-5,253,-66,0,-19,0,0,0,-85,-1,0,-1,-115,-115,-80,2,-194,-29,13,-80
2014-09-30,188,41,24,65,29,21,1,52,75,331,-32,0,0,0,0,0,-32,0,-70,-70,-16,-16,-80,1,-165,131,13,-80
2014-06-30,210,41,19,60,-21,13,16,44,43,309,-27,-1,0,0,0,-2,-30,0,-80,-80,-102,-102,-82,-1,-265,15,11,-82
2014-03-31,155.00000,44.00000,25.00000,69.00000,1.00000,-26.00000,32.00000,-121.00000,-76.00000,129.00000,-37.00000,,,,,-1.00000,-38.00000,,85.00000,85.00000,-126.00000,-126.00000,-75.00000,-7.00000,-123.00000,-33.00000,11.00000,-75.00000
2013-12-31,156,44,0,44,-37,-4,-5,65,31,250,-68,0,0,0,0,1,-67,-1,65,64,-135,-135,-77,0,-148,34,9,-77
2013-09-30,207,42,94,136,94,26,-33,-71,-22,321,-31,5,0,-5,-5,-3,-34,0,-68,-68,-136,-136,-77,0,-281,6,9,-77
2013-06-30,155,42,57,99,-49,-7,-19,3,-47,218,-33,-5,0,5,5,0,-33,-250,68,-182,-16,-16,-78,0,-276,-95,10,-78
2013-03-31,106.00000,41.00000,24.00000,65.00000,-30.00000,-18.00000,51.00000,-97.00000,-99.00000,77.00000,-46.00000,,-10.00000,-5.00000,-5.00000,,-61.00000,,,,-98.00000,-98.00000,-70.00000,-7.00000,-175.00000,-158.00000,9.00000,-70.00000
2012-12-31,170,42,42,84,-4,10,-21,-40,-57,200,-55,-7,0,7,7,0,-55,0,50,50,-137,-137,-71,-3,-161,-17,9,-71
2012-09-30,179,40,25,65,57,11,-38,66,88,323,-71,0,0,0,0,0,-71,0,0,0,-101,-101,-72,-1,-174,80,9,-72
2012-06-30,178,49,23,72,-55,7,25,35,30,284,-37,6,0,-7,-7,0,-38,0,0,0,-61,-61,-73,0,-134,111,9,-73
2012-03-31,102.00000,44.00000,36.00000,80.00000,39.00000,-11.00000,46.00000,-89.00000,-491.00000,-325.00000,-47.00000,-6.00000,,,,,-53.00000,,,,-79.00000,-79.00000,-68.00000,13.00000,-134.00000,-509.00000,8.00000,-68.00000
2011-12-31,166,45,-127,-82,-46,48,-2,-32,107,203,-89,-3,0,-2,-2,0,-94,0,100,100,-89,-89,-68,-3,-60,50,10,-68
2011-09-30,154,40,-125,-85,54,11,-7,46,244,324,-43,0,0,0,0,0,-43,0,0,0,-100,-100,-72,1,-171,101,7,-72
2011-06-30,172,40,-134,-94,-55,-11,-29,88,125,205,-49,0,0,0,0,0,-49,0,0,0,-215,-215,-55,6,-264,-107,9,-55
2011-03-31,114.00000,42.00000,-78.00000,-36.00000,-26.00000,-19.00000,29.00000,-120.00000,-26.00000,51.00000,-54.00000,,,,,,-54.00000,,500.00000,500.00000,-98.00000,-98.00000,-56.00000,-3.00000,343.00000,342.00000,8.00000,-56.00000
2010-12-31,112,44,98,142,-11,40,37,734,747,996,-74,0,0,0,0,0,-74,0,-573,-573,-202,-202,-58,0,-833,91,8,-58
2010-09-30,144,48,42,90,47,-14,0,-18,34,273,-56,0,0,-1,-1,4,-53,0,0,0,-348,-348,-60,-1,-409,-187,8,-60
2010-06-30,183,47,8,55,-48,0,0,3,37,279,-43,0,0,0,0,0,-43,0,0,0,-355,-355,-38,0,-393,-160,13,-38
2010-03-31,89.00000,52.00000,18.00000,70.00000,10.00000,-7.00000,,848.00000,825.00000,987.00000,-55.00000,,,,,,-55.00000,,-405.00000,-405.00000,-202.00000,-202.00000,-38.00000,,-645.00000,291.00000,,-38.00000
2009-12-31,114,59,124,183,5,14,0,2,-115,164,-94,7,0,-7,-7,0,-94,0,-70,-70,1,1,0,-2,-71,-2,19,0
2009-09-30,151,57,14,71,44,10,0,-12,108,330,-84,0,0,0,0,0,-84,0,-200,-200,0,0,0,-2,-202,47,0,0
2009-06-30,158,54,26,80,-35,3,0,-25,-48,193,-56,-2,0,0,0,0,-58,0,-125,-125,0,0,0,0,-125,16,0,0
2009-03-31,132.00000,54.00000,-42.00000,12.00000,-9.00000,-24.00000,,3.00000,33.00000,178.00000,-78.00000,-5.00000,,68.00000,68.00000,,-15.00000,,-155.00000,-155.00000,,,,-1.00000,-156.00000,5.00000,,
