,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-12-31,1.4,79.1,52.8,131.9,-1.1,63.3,-3.1,4.1,69.1,202.4,-49.7,0.5,0.5,-3.9,-0.1,-4,4.7,-48,0,-64.3,-64.3,5.4,5.4,-19.9,0,-78.8,76.5,5.9,-19.9
2018-09-30,27.5,84.9,-8.7,76.2,2.1,-14,16.6,-22,21.9,125.6,-47,-0.2,0,-0.1,0,-0.1,1.8,-45.5,-8.9,-63,-71.9,8.9,8.9,-19.4,0,-82.4,-6.2,5.3,-19.4
2018-06-30,-1121,1172.1,114.7,1286.8,-64.5,-4.6,-2.6,-35.6,-48.9,116.9,-44.5,-2,-123.8,0,54.1,54.1,1.9,-114.3,0,195.1,195.1,-244.6,-244.6,-19.9,0,-69.4,-77.8,0.5,-19.9
2018-03-31,81.10000,83.90000,-33.80000,50.10000,87.50000,-64.70000,-3.90000,-3.50000,-76.10000,55.10000,-32.80000,-3.30000,-6.70000,,,,-2.40000,-45.20000,-0.10000,-7.80000,-7.90000,8.30000,8.30000,-19.80000,,-19.40000,-3.50000,9.30000,-19.80000
2017-12-31,-650.2,640.7,240.5,881.2,-5.8,4.4,35.1,-20.9,-2.1,228.9,-40.4,0,-10,-0.2,0,-0.2,0,-50.6,-0.3,8.8,8.5,-220.6,-220.6,-20.1,0,-232.2,-49.4,7.2,-20.1
2017-09-30,90.5,81.1,12.2,93.3,-59.5,-17.7,-0.4,0.8,-19.5,164.3,-33.6,-0.8,-10.7,0,0,0,1.2,-43.9,-9.6,0,-9.6,7.6,7.6,-20.1,0,-22.1,101.6,18.9,-20.1
2017-06-30,-1050.3,1171.3,67.3,1238.6,-44.3,-11.3,-13.9,-25.4,-62.1,126.2,-33.4,-1.1,-116.1,-2.2,0,-2.2,2,-150.8,-1.3,0.1,-1.2,-57.6,-57.6,-20.1,0,-78.9,-94.9,11.1,-20.1
2017-03-31,59.70000,76.80000,7.10000,83.90000,46.20000,-38.30000,23.40000,-25.00000,-61.10000,82.50000,-29.50000,-4.80000,-9.10000,-0.10000,,-0.10000,2.40000,-41.10000,-2.40000,1.30000,-1.10000,-48.50000,-48.50000,-18.00000,,-67.60000,-20.60000,10.80000,-18.00000
2016-12-31,107.9,75.7,18.3,94,17.8,24.5,8.6,-16.7,20.5,222.4,-45.9,0,0.1,-6.8,0,-6.8,6,-46.6,5.6,3.6,9.2,-105,-105,-17.9,1,-112.7,53.2,11.9,-17.9
2016-09-30,92.3,77.7,-29.7,48,-10.1,-3.8,-15.3,-4.6,12.6,152.9,-30.7,-1.1,-337.8,0,0,0,-10.1,-379.7,385.1,-44.1,341,-88.3,-88.3,-18.1,2.5,237.1,19.1,12,-18.1
2016-06-30,105.9,76.4,-4.8,71.6,-15.7,36.1,12.7,12.8,9.9,187.4,-23,0,0,0,0,0,4.9,-18.1,0,-1.5,-1.5,-158.2,-158.2,-18.5,0.4,-177.8,-11.5,12.6,-18.5
2016-03-31,125.30000,46.40000,-84.80000,-38.40000,-67.10000,8.60000,1.20000,-12.30000,-86.20000,0.70000,-20.40000,,524.30000,,,,0.50000,504.40000,-47.60000,-2.10000,-49.70000,-421.40000,-421.40000,-10.10000,8.40000,-472.80000,38.50000,4.80000,-10.10000
2015-12-31,58.6,36.5,-4.8,31.7,27,22,-2.4,-0.3,36.1,126.4,-20.2,0,-50.7,0,47.7,47.7,-44.9,-68.1,-5.5,-3.1,-8.6,8.3,8.3,-10.1,1.5,-8.9,48.2,6.1,-10.1
2015-09-30,84.5,34.9,1.8,36.7,12.1,6,6.3,-1,38.6,159.8,-18.2,0,0,0,0,0,54.4,36.2,-8.9,-32.5,-41.4,-5.1,-5.1,-10.3,1.3,-55.5,139.9,7.7,-10.3
2015-06-30,44,31.5,51.2,82.7,-29.8,11.5,-0.3,14.5,18.9,145.6,-17.1,0.2,-3.3,0,0,0,5.7,-14.5,-0.1,-126.7,-126.8,-9.5,-9.5,-10.1,8.4,-138,-4.1,6.9,-10.1
2015-03-31,64.00000,31.30000,25.80000,57.10000,-10.20000,-7.40000,5.20000,-2.30000,-55.50000,65.60000,-16.10000,-0.20000,,,,,7.80000,-8.50000,-100.10000,160.10000,60.00000,-70.90000,-70.90000,-9.50000,-80.10000,-100.50000,-51.00000,4.90000,-9.50000
2014-12-31,84.7,30.7,28.1,58.8,38.1,26.7,8.1,1.6,49.2,192.7,-26.6,-4.9,-1.5,0,0,0,-29.3,-62.3,0,-2.1,-2.1,-62.1,-62.1,-9.4,1.7,-71.9,53.9,5.5,-9.4
2014-09-30,75.266,33.897,29.637,63.534,0.605,16.727,-8.713,-6.16,8.655,147.455,-23.846,0.016,1.409,-0.065,0,-0.065,1.432,-21.054,-9.529,-61.713,-71.242,-10.25,-10.25,-9.447,0.084,-90.855,30.725,6.542,-9.447
2014-06-30,90.014,34.022,8.566,42.588,-8.585,-7.247,2.566,8.562,23.078,155.68,-23.4,-0.011,-2.009,0.009,0,0.009,-1.093,-26.504,-0.197,-102.973,-103.17,-5.604,-5.604,-9.474,0.28,-117.968,11.106,7.572,-9.474
2014-03-31,72.92000,35.08100,-8.90300,26.17800,-22.92000,-15.18000,8.04700,-6.00200,-34.53300,64.56500,-25.15400,-1.30500,,-1.14400,,-1.14400,-1.23900,-28.84200,-75.17400,64.88600,-10.28800,-36.24600,-36.24600,-8.97900,0.03600,-55.47700,-19.13100,5.78600,-8.97900
2013-12-31,76.071,32.813,39.386,72.199,32.955,19.884,-11.601,4.976,11.264,159.534,-26.892,-0.051,-62.261,0,0,0,-9.105,-98.309,-0.093,48.511,48.418,-27.069,-27.069,-8.905,-49.494,-37.05,24.374,7.073,-8.905
2013-09-30,80.865,32.318,-25.8,6.518,6.869,-4.584,-13.956,0.715,39.015,126.398,-26.466,-0.086,0,0,0,0,0.849,-25.703,-76.707,-31.661,-108.368,7.034,7.034,-8.967,1.087,-109.214,-6.369,6.004,-8.967
2013-06-30,88.691,34.122,-1.419,32.703,-34.687,-18.62,-0.215,17.877,-25.612,95.782,-21.128,-0.758,0,0,0,0,-41.579,-63.465,0,24.317,24.317,-44.643,-44.643,-9.019,0.306,-29.039,0.824,6.589,-9.019
2013-03-31,72.57300,33.64700,14.83300,48.48000,-37.63700,-22.08000,-10.92800,15.43200,-84.96700,36.08600,-22.81400,-0.20500,-3.93900,,,,-45.76500,-72.72300,,16.13300,16.13300,13.57800,13.57800,-7.90900,-8.19900,13.60300,-23.92900,5.43400,-7.90900
2012-12-31,127.928,33.697,-62.252,-28.555,29.352,17.537,24.4,3.119,68.247,167.62,-26.727,-3.133,-4.861,0,0,0,0,-34.721,0,-113.444,-113.444,9.355,9.355,-7.864,1.929,-110.024,24.057,4.939,-7.864
2012-09-30,54.292,31.785,11.29,43.075,-0.482,-7.295,-10.237,-5.794,1.303,98.67,-21.785,-0.008,0,0,0,0,0,-21.793,0,-80.287,-80.287,4.765,4.765,-7.855,5.206,-78.171,2.865,6.219,-7.855
2012-06-30,82.041,33.997,-7.973,26.024,-15.864,-13.028,-12.848,4.297,-24.623,83.442,-24.045,-0.042,0,0,0,0,-14.221,-38.308,0.6,-46.336,-45.736,-2.388,-2.388,-7.859,0.949,-55.034,-14.136,6.807,-7.859
2012-03-31,54.22800,36.76500,11.32900,48.09400,-25.59700,-34.00600,11.52800,-23.65300,-82.36900,19.95300,-18.47600,-0.14600,,,,,-1.57700,-20.19900,-0.60000,11.15500,10.55500,-16.38600,-16.38600,-7.84700,1.29800,-12.38000,-9.78200,4.22200,-7.84700
2011-12-31,41.393,29.17,-31.867,-2.697,28.474,24.112,6.148,3.108,99.941,138.637,-25.824,-2.731,10.403,0.006,0,0.006,-23.113,-41.259,-340.496,269.796,-70.7,5.982,5.982,-7.12,-7.731,-79.569,-4.738,5.288,-7.12
2011-09-30,61.2,26.793,-25.713,1.08,13.352,5.759,0.539,-1.872,26.043,88.323,-19.702,-0.005,-1777.832,0,0,0,-2.462,-1800.001,1159.227,0.59,1159.817,2.3,2.3,-7.2,-35.283,1119.634,-589.844,5.343,-7.2
2011-06-30,75.39,19.516,6.557,26.073,-11.651,6.359,-1.44,0.712,20.318,121.781,-13.441,-0.078,-14.505,0,0,0,0,-28.024,-13.298,-3.58,-16.878,6.001,6.001,-7.181,-1.642,-19.7,96.446,5.648,-7.181
2011-03-31,69.46300,17.57900,4.14600,21.72500,-28.70600,-14.72700,5.56900,-4.25100,-46.46000,44.72800,-11.72200,-0.25400,-5.58200,,,,,-17.55800,49.14900,3.40300,52.55200,-51.50800,-51.50800,-7.13100,-11.89700,-17.98400,35.22600,4.66800,-7.13100
2010-12-31,67.984,16.221,18.447,34.668,21.883,11.49,4.555,-6.862,18.751,121.403,-11.617,-1.315,-13.559,0,0,0,-68.063,-94.554,3.159,0.71,3.869,-12.201,-12.201,-6.025,-1.756,-16.113,5.795,4.034,-6.025
2010-09-30,63.814,15.91,14.31,30.22,11.719,-11.688,-14.993,11.509,11.556,105.59,-10.439,-0.036,-13.688,0,0,0,-18.569,-42.732,113.423,-5.13,108.293,-30.818,-30.818,-7.311,0.118,70.282,193.896,4.531,-7.311
2010-06-30,73.346,16.42,5.935,22.355,-12.957,5.361,3.408,-3.528,20.7,113.924,-10.701,-0.148,-0.622,0,0,0,0,-11.471,-2.727,-3.113,-5.84,-116.765,-116.765,-8.332,2.768,-128.169,-64.67,5.015,-8.332
2010-03-31,62.19100,17.78900,-0.05700,17.73200,-15.53000,-14.47200,9.19500,-5.72900,-45.85600,36.54400,-7.91700,-0.10700,-7.68700,,,,,-15.71100,12.61900,-2.12400,10.49500,-34.02000,-34.02000,-7.40900,1.89800,-29.03600,-45.33100,5.22300,-7.40900
2009-12-31,76.05,15.83,-19.152,-3.322,6.224,17.04,4.752,7.749,41.086,117.125,-9.482,0.114,0,0.003,0,0.003,0,-9.365,84.838,-5.983,78.855,-53.51,-53.51,-7.453,0.584,18.476,116.98,1.498,-7.453
2009-09-30,67.853,16.398,9.413,25.811,11.292,8.379,1.558,-3.876,38.567,130.005,-17.18,1.13,0,0.005,0,0.005,0,-16.045,-2.01,-37.824,-39.834,-7.874,-7.874,-7.464,0.918,-54.254,81.497,5.055,-7.464
2009-06-30,70.579,16.576,9.652,26.228,-14.713,20.966,-8.624,2.916,9.093,104.72,-9.793,-1.258,-2.412,0.156,0,0.156,0,-13.307,-110.533,35.297,-75.236,-0.624,-0.624,-7.459,1.411,-81.908,25.572,4.934,-7.459
2009-03-31,59.93000,16.37100,2.77500,19.14600,-19.74500,-18.67500,-2.63300,1.20800,-68.53200,10.63900,-14.16600,,-0.57400,0.05800,,0.05800,,-14.68200,55.39300,1.04500,56.43800,-3.30400,-3.30400,-7.46000,0.59200,46.26600,22.30800,4.78900,-7.46000
