,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,897.3,58.8,-46.8,12,121.9,-162.6,-31.3,34.1,943.4,-129.9,0,0,1583.3,1583.3,0,1453.4,0,1500,-4112.8,-4112.8,0,-2612.8,-216,103.5
2020-03-31,624.60000,56.10000,198.30000,254.40000,-169.00000,-70.80000,144.00000,-181.00000,698.00000,-170.10000,,,-273.10000,-273.10000,,-443.20000,,,335.60000,335.60000,,335.60000,590.40000,105.80000
2019-12-31,792,54.3,-29.6,24.7,-59.2,-108.3,-131.9,-29.3,787.4,-139,0,0,-69.7,-69.7,0,-208.7,0,0,-345.7,-345.7,0,-345.7,233,133.5
2019-09-30,669.6,52.9,134.9,187.8,-217,-59,28.6,-300.1,557.3,-121.7,0,0,-85.3,-85.3,0,-207,0,0,-11,-11,0,-11,339.3,117.1
2019-06-30,193.1,52.1,125.7,177.8,-156.4,-109.6,27.6,-182.6,188.3,-94.6,0,0,-741.4001,-741.4001,0,-836,0,0,-15.3,-15.3,0,-15.3,-663,105.8
2019-03-31,461.10000,51.00000,73.40000,124.40000,-91.10000,-58.60000,135.40000,311.50000,897.00000,-74.30000,,,-701.79990,-701.79990,,-776.10000,,,119.90000,119.90000,,119.90000,240.80000,107.90000
2018-12-31,820.4,42.8,115,157.8,-7.8,-106.3,-14.2,-249.4,728.8,-85.5,0,0,-180.4,-180.4,0,-265.9,0,0,-83,-83,0,-83,379.9,126.7
2018-09-30,594.6,35.4,65.7,101.1,-163.7,-99.5,-92.5,-242.8,452.9,-106.2,0,0,-170.5001,-170.5001,-10,-286.7,0,0,3.7,3.7,0,3.7,169.9,111.5
2018-06-30,551.4,33.6,47,80.6,-95.3,-93.3,-39.1,-237.4,394.6,-112,0,0,-372.9999,-372.9999,0,-485,0,0,-11.2,-11.2,0,-11.2,-101.6,106.8
2018-03-31,478.00000,36.40000,71.80000,108.20000,30.40000,-88.80000,14.30000,32.60000,618.80000,-79.40000,,,-346.00000,-346.00000,,-425.40000,,,13.40000,13.40000,,13.40000,206.80000,82.40000
2017-12-31,173.508,34.54,573.682,608.222,-2.871,-78.555,-139.075,-214.7931,566.937,-107.637,0,0,-228.127,-228.127,0,-335.764,0.025,0.025,-210.56,-210.56,0,-210.535,20.638,127.156
2017-09-30,388.317,37.719,80.977,118.696,-126.902,-84.101,0.498,-92.181,414.832,-59.653,0,0,-299.231,-299.231,0,-358.884,0,0,-8.196,-8.196,0,-8.196,47.752,125.097
2017-06-30,387.744,35.126,138.184,173.31,-94.999,-81.8,-79.898,-591.624,-30.57,-54.849,0,0,-115.56,-115.56,0,-170.409,-7.064,-7.064,140.583,140.583,0,133.519,-67.46,121.258
2017-03-31,248.93100,38.11500,96.75700,134.87200,-137.92800,-69.74400,-7.92500,-27.90200,355.90100,-50.46100,,,-89.68200,-89.68200,,-140.14300,44.13900,44.13900,16.67300,16.67300,,60.81200,276.57000,133.78900
2016-12-31,253.093,28.855,16.321,45.176,32.279,-50.094,-36.633,92.114,390.383,-150.414,0,0,-120.838,-120.838,0,-271.252,-31.182,-31.182,-460.606,-460.606,0,-491.788,-372.657,154.58
2016-09-30,264.804,27.839,109.495,137.334,108.099,-26.818,194.097,248.891,651.029,-118.556,0,0,-287.297,-287.297,0,-405.853,4.445,4.445,24.23,24.23,0,28.675,273.851,131.379
2016-06-30,196.218,25.029,52.662,77.691,113.25,-10.625,-7.529,125.59,399.499,-138.836,0,0,-187.174,-187.174,0,-326.01,-11.526,-11.526,-19.669,-19.669,0,-31.195,42.294,131.691
2016-03-31,181.38500,22.97700,66.42200,89.39900,-397.42800,-62.26300,130.46500,-225.79500,44.98900,-104.09400,,,60.40900,60.40900,,-43.68500,-2.33700,-2.33700,-203.85500,-203.85500,,-206.19200,-204.88800,142.25000
2015-12-31,154.994,22.91,120.387,143.297,-28.478,-45.571,-81.424,-16.4679,281.823,-177.779,0,0,54.479,54.479,0,-123.3,-594.332,-594.332,490.558,490.558,99.766,-4.008,154.515,158.392
2015-09-30,210.398,20.674,97.637,118.311,-44.19,-20.663,593.683,564.144,892.853,-146.099,0,0,-137.072,-137.072,0,-283.171,-2.381,-2.381,-400.101,-400.101,56.833,-345.649,264.033,102.641
2015-06-30,194.643,15.298,96.653,111.951,-89.007,-40.157,-18.82,-48.763,257.831,-239.893,0,0,-131.756,-131.756,0,-371.649,17.258,17.258,-99.717,-99.717,78.924,-3.535,-117.353,94.257
2015-03-31,76.02100,16.02700,75.31100,91.33800,-329.74600,-5.43400,35.97700,-269.08600,-101.72700,-114.16200,,,-15.31900,-15.31900,,-129.48100,-134.47900,-134.47900,55.08100,55.08100,169.79400,90.39600,-140.81200,103.75900
2014-12-31,90.095,14.135,132.214,146.349,-88.569,-6.03,-28.346,-38.269,198.175,-117.542,0,0,174.187,174.187,0,56.645,-454.3509,-454.3509,96.564,96.564,105.132,-252.655,2.165,113.018
2014-09-30,83.375,14.005,64.054,78.059,-31.134,-13.622,-12.043,2.887,164.321,-79.769,0,0,-43.299,-43.299,0,-123.068,-0.276,-0.276,-93.129,-93.129,98.571,5.166,46.419,68.119
2014-06-30,96.351,13.016,70.076,83.092,177.305,-21.745,-29.55,156.969,336.412,-70.873,0,0,-47.25,-47.25,0,-118.123,-61.397,-61.397,-136.93,-136.93,118.315,-80.012,138.277,64.828
2014-03-31,68.30500,11.53000,79.70100,91.23100,-92.52900,-15.55000,16.20900,-106.00900,53.52700,-64.82200,,,-171.40900,-171.40900,,-236.23100,-0.26200,-0.26200,-8.04400,-8.04400,117.26000,108.95400,-73.75000,75.78500
2013-12-31,86.182,11.292,65.19,76.482,105.337,-11.214,-16.848,119.065,281.729,-68.976,0,0,-40.972,-40.972,0,-109.948,-0.399,-0.399,-13.054,-13.054,114.069,100.616,272.397,72.16
2013-09-30,141.306,10.803,39.5,50.303,-144.66,-5.598,-8.198,-99.154,92.455,-31.691,0,0,-182.761,-182.761,0,-214.452,-0.628,-0.628,-85.803,-85.803,89.964,3.533,-118.464,45.744
2013-06-30,87.376,9.702,114.123,123.825,-88.367,-13.563,15.406,-83.037,128.164,-34.453,0,0,151.083,151.083,0,116.63,-0.348,-0.348,-48.716,-48.716,5.583,-43.481,201.313,44.443
2013-03-31,98.87400,9.40700,105.51000,114.91700,-117.78200,-17.58100,-24.28500,-127.54300,86.24800,-21.20300,,,-126.48200,-126.48200,,-147.68500,-0.64900,-0.64900,9.87900,9.87900,2.29300,11.52300,-49.91400,53.03000
2012-12-31,470.407,9.778,-283.055,-273.277,-90.162,-28.932,33.401,-103.945,93.185,-15.162,0,0,106.265,106.265,0,91.103,-0.602,-0.602,-76.716,-76.716,4.308,-73.01,111.278,30.772
2012-09-30,191.468,9.329,28.933,38.262,-165.891,0,-62.663,-232.112,-2.382,-10.248,0,0,-38.506,-38.506,0,-48.754,-0.587,-0.587,-1.222,-1.222,0,-1.809,-52.945,20.535
2012-06-30,76.743,9.417,33.816,43.233,-197.033,0,-21.399,-198.353,-78.377,-12.872,0,0,-126.779,-126.779,0.463,-139.188,-0.514,-0.514,-4.563,-4.563,0,-5.077,-222.642,19.606
2012-03-31,11.65100,8.41600,31.28100,39.69700,-135.31200,,-15.78700,-138.38900,-87.04100,-11.05500,,,27.28400,27.28400,-0.46300,15.76600,-0.50000,-0.50000,-17.25000,-17.25000,,-17.75000,-89.02500,23.24400
2011-12-31,-53.443,7.926,25.227,33.153,-26.051,-14.094,-4.644,-30.027,-50.317,-11.289,0,0,-23.304,-23.304,0.685,-33.908,272.95,272.95,88.49,88.49,0,361.44,277.215,15.533
2011-09-30,-62.365,8.276,14.653,22.929,6.071,0,-10.047,-7.299,-46.735,-8.898,0,0,7.999,7.999,-0.004,-0.903,-0.306,-0.306,0.027,0.027,0,-0.279,-47.917,13.364
2011-06-30,-62.505,7.902,12.646,20.548,3.179,0,-20.275,7.907,-34.05,-14.864,0,0,158.512,158.512,-0.713,142.935,-0.398,-0.398,10.449,10.449,0,10.051,118.936,12.396
2011-03-31,-43.44700,6.97800,15.38300,22.36100,-4.31700,,1.24900,10.50600,-10.58000,-22.16600,,,42.48100,42.48100,0.03200,20.34700,-0.30600,-0.30600,13.34300,13.34300,,13.03700,22.80400,14.80100
2010-12-31,-14.597,6.086,15.019,21.105,-0.799,0,-26.167,-47.359,-40.851,-32.262,0,0,-318.219,-318.219,-4.141,-354.622,-14.031,-14.031,196.79,196.79,0,182.759,-212.714,39.897
2010-09-30,-33.875,4.894,9.794,14.688,12.909,0,157.886,180.688,161.501,-22.103,0,0,72.275,72.275,0,50.172,13.677,13.677,-12.064,-12.064,0,1.613,213.286,0
2010-06-30,-25.474,4.524,9.786,14.31,-23.338,0,17.19,-0.686,-11.85,-22.581,0,0,28.201,28.201,-1.8,3.82,-0.119,-0.119,2.838,2.838,0,2.719,-5.311,-8.834
2010-03-31,-30.52200,4.18300,9.37800,13.56100,-6.29000,,1.03000,7.38300,-9.57800,-22.74300,,,-113.65800,-113.65800,,-136.40100,46.98900,46.98900,9.22600,9.22600,,56.21500,-89.76400,8.83400
2009-12-31,-36.489,4.935,10.951,15.886,2.06,0,-20.184,-23.507,-44.11,-22.316,0,0,0.852,0.852,0,-21.464,18.356,18.356,3.972,3.972,0,22.328,-43.246,8.657
2009-09-30,-1.015,3.59,7.452,11.042,-7.72,0,-17.044,-19.849,-9.822,-22.331,0,0,8.86,8.86,0,-13.471,-0.773,-0.773,2.921,2.921,0,2.148,-21.145,7.508
2009-06-30,-14.938,2.998,7.44,10.438,-11.837,0,10.712,3.877,-0.623,-30.754,0,0,103.029,103.029,0.05,72.325,0,0,0.667,0.667,0,0.667,72.369,7.44
2009-03-31,-15.38800,2.72400,7.65400,10.37800,-12.99700,,-5.41700,-10.37100,-15.38100,-21.91700,,,-17.62100,-17.62100,,-39.53800,5.18200,5.18200,1.03800,1.03800,,6.22000,-48.69900,7.65400
