,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-12-31,196,111,234,345,-434,0,923,460,1001,-52,0,-767,-405,-1172,24,-1200,25,0,25,-26,308,-109,0,224,19,-109
2018-09-30,432,114,28,142,-25,0,-15,-2,572,-11,0,-256,-288,-544,0,-555,25,0,25,5,5,-90,-4,-64,-45,-90
2018-06-30,582,137,-162,-25,117,0,118,1,558,-20,1115,-1864,777,-1087,27,35,-1129,322,-807,4,4,-90,-57,-950,-81,-90
2018-03-31,597.00000,143.00000,271.00000,414.00000,19.00000,,-440.00000,-299.00000,712.00000,-39.00000,,-797.00000,625.00000,-172.00000,-31.00000,-242.00000,122.00000,-324.00000,-202.00000,1.00000,1.00000,-90.00000,-386.00000,-677.00000,48.00000,-90.00000
2017-12-31,-3703,84,3278,3362,-978,0,998,1003,662,-121,-1645,163,1635,1798,11,43,-114,-1,-115,-47,-47,-83,-76,-321,86,-83
2017-09-30,234,122,40,162,18,0,192,234,630,-37,0,872,-860,12,16,-9,88,-1,87,-319,-319,-85,-341,-658,-7,-85
2017-06-30,-40,120,852,972,32,0,-79,-263,669,-51,222,-120,-329,-449,10,-268,-185,412,227,-321,-321,-86,-256,-436,0,-86
2017-03-31,378.00000,107.00000,131.00000,238.00000,-7.00000,,-640.00000,-391.00000,225.00000,-41.00000,,-1373.00000,222.00000,-1151.00000,-16.00000,-1208.00000,1615.00000,-423.00000,1192.00000,-351.00000,-351.00000,-87.00000,-318.00000,436.00000,-227.00000,-87.00000
2016-12-31,-81,142,259,401,-77,0,668,341,661,-41,0,-1390,1610,220,-175,4,-49,-3,-52,-281,-281,-81,-160,-574,-177,-81
2016-09-30,438,171,121,292,287,0,-428,-141,589,-46,-175,137,679,816,9,604,-174,-8,-182,-350,-350,-83,-220,-835,349,-83
2016-06-30,216,103,-156,-53,9,0,246,255,418,-53,0,-531,706,175,25,147,72,-1,71,-350,-350,-85,-203,-567,-18,-85
2016-03-31,323.00000,115.00000,222.00000,337.00000,53.00000,,-315.00000,-262.00000,398.00000,-84.00000,,160.00000,106.00000,266.00000,12.00000,194.00000,64.00000,-5.00000,59.00000,-340.00000,-340.00000,-85.00000,-199.00000,-565.00000,31.00000,-85.00000
2015-12-31,421,83,-31,52,15,0,-95,283,756,-113,0,1362,-1351,11,-16,-118,6,-2,4,-448,-448,-87,-307,-838,-264,-87
2015-09-30,381,154,120,274,197,0,39,236,891,-92,0,88,130,218,9,135,2,-18,-16,-278,-278,-76,-468,-838,172,-76
2015-06-30,413,114,29,143,-73,0,179,106,662,-44,0,78,138,216,1,173,-308,-11,-319,-207,-207,-75,-248,-849,-7,-75
2015-03-31,467.00000,134.00000,185.00000,319.00000,37.00000,,-376.00000,-339.00000,447.00000,-58.00000,,1370.00000,-994.00000,376.00000,-23.00000,295.00000,34.00000,-2.00000,32.00000,-275.00000,-275.00000,-78.00000,-298.00000,-619.00000,101.00000,-78.00000
2014-12-31,382,173,550,723,307,840,-1261,-114,991,-64,0,0,-135,-135,-24,-223,0,0,0,-282,-282,-69,-449,-800,-41,-69
2014-09-30,388,329,-587,-258,-535,928,-138,255,385,-43,0,-263,499,236,-3,190,-299,193,-106,-834,-834,-79,-617,-1636,-1072,-79
2014-06-30,-467,33,1256,1289,272,-1369,436,-661,161,19,963,-1480,2040,560,-9,1533,152,-200,-48,-380,-380,-67,-860,-1355,227,-67
2014-03-31,495.00000,106.00000,106.00000,212.00000,-66.00000,-399.00000,107.00000,-358.00000,349.00000,-33.00000,,-61.00000,283.00000,222.00000,7.00000,196.00000,-53.00000,-6.00000,-59.00000,-270.00000,-270.00000,-67.00000,-289.00000,-685.00000,-143.00000,-67.00000
2013-12-31,314,-901,1101,200,99,-75,-204,-180,334,-64,330,-781,2552,1771,20,2057,-714,1,-713,-222,-222,-68,-1363,-2366,6,-68
2013-09-30,293,1345,-1291,54,54,-35,129,148,495,0,0,291,-91,200,-31,169,-509,-27,-536,-240,-240,-47,-260,-1083,-318,-47
2013-06-30,-190,60,518,578,-970,691,113,-166,222,0,0,-1009,2149,1140,72,1212,-1024,-22,-1046,-108,-108,-53,-312,-1519,-245,-43
2013-03-31,-241.00000,1056.00000,-259.00000,797.00000,-153.00000,-84.00000,-133.00000,-370.00000,186.00000,,485.00000,-391.00000,209.00000,-182.00000,4.00000,307.00000,-546.00000,-29.00000,-575.00000,-43.00000,-43.00000,-55.00000,-179.00000,-852.00000,-436.00000,-44.00000
2012-12-31,-46,1899,-1267,632,166,96,-379,-117,469,-66,58,328,-1054,-726,39,-695,403,-29,374,4,4,-53,-336,-11,-284,-43
2012-09-30,13,283,600,883,-209,163,126,80,976,0,0,-777,533,-244,-67,-311,25,-64,-39,9,9,-54,-242,-326,367,-43
2012-06-30,-101,293,-1011,-718,-77,-569,1561,915,96,0,0,1201,-1375,-174,-10,-184,1550,-56,1494,-401,-401,-55,-696,342,279,-45
2012-03-31,96.00000,-20.00000,992.00000,972.00000,-488.00000,1184.00000,-624.00000,72.00000,1140.00000,,,-2017.00000,623.00000,-1394.00000,27.00000,-1367.00000,,-4.00000,-4.00000,-52.00000,-52.00000,-55.00000,-122.00000,-233.00000,-522.00000,-44.00000
2011-12-31,118,138,361,499,241,-350,142,33,650,0,0,-1229,806,-423,137,-286,-405,-35,-440,-42,-42,-56,168,-370,-8,-46
2011-09-30,60,-118,399,281,-111,-228,658,319,660,0,0,1903,-1972,-69,-20,-89,0,-19,-19,4,4,-54,149,80,691,-43
2011-06-30,33,848,-809,39,-382,110,690,418,490,0,0,165,-1178,-1013,-48,-1061,0,-14,-14,4,4,-55,197,132,-419,-45
2011-03-31,501.00000,578.00000,-553.00000,25.00000,10.00000,-23.00000,-39.00000,-52.00000,474.00000,,278.00000,-465.00000,487.00000,22.00000,-46.00000,254.00000,,,,-2.00000,-2.00000,-30.00000,-419.00000,-451.00000,255.00000,-19.00000
2010-12-31,575,99,414,513,572,-520,-76,-24,1064,0,111,-842,669,-173,-86,-148,0,-2,-2,8,8,-33,-533,-560,355,-23
2010-09-30,666,-89,451,362,-16,250,-217,17,1045,0,0,-80,-1659,-1739,-147,-1886,0,-68,-68,3,3,-33,-330,-428,-1291,-22
2010-06-30,76,-76,409,333,369,-233,167,303,712,0,130,836,461,1297,74,1501,-275,-382,-657,6,6,-20,-644,-1315,919,-20
2010-03-31,319.00000,795.00000,-415.00000,380.00000,-135.00000,-109.00000,33.00000,-211.00000,488.00000,,,-252.00000,435.00000,183.00000,-84.00000,99.00000,1022.00000,-302.00000,720.00000,1608.00000,-1236.00000,-84.00000,-52.00000,-652.00000,-63.00000,-20.00000
2009-12-31,557,-2096,2532,436,252,-671,-345,-764,229,0,-14,2508,866,3374,-2662,698,0,-57,-57,-1,-1,-62,-1049,-1169,-275,-20
2009-09-30,-220,788,606,1394,226,-211,-430,-415,759,0,0,-1069,850,-219,-45,-264,0,-6,-6,887,887,-37,-1490,-646,-141,-14
2009-06-30,-15,796,62,858,493,7,-367,133,976,0,7,-1444,-1092,-2536,-17,-2546,0,-357,-357,25,3425,-16,-840,2212,707,-16
2009-03-31,-1209.00000,2428.00000,-1158.00000,1270.00000,-355.00000,-396.00000,1700.00000,949.00000,1010.00000,,,-556.00000,-277.00000,-833.00000,-178.00000,-1011.00000,-24.00000,-29.00000,-53.00000,-7.00000,-7.00000,-107.00000,293.00000,126.00000,40.00000,-99.00000
