,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,-772.57600,88.78600,514.10700,602.89300,126.05900,-307.43000,46.44900,-242.78500,-139.72700,-309.41000,-50.86200,-38.19000,,,,,-89.05200,738.75310,738.75310,2.85900,2.85900,-55.40500,686.20700,292.09600,23.25800
2020-03-31,-589.681,48.628,494.47,543.098,27.596,-59.701,-192.651,-317.538,-320.129,-366.712,-31.498,-37.343,0,0,0,0,-68.841,600,600,1.649,1.649,-2.697,598.952,172.16,10.465
2019-12-31,-107.443,-140.633,-54.866,-195.499,187.585,-123.364,67.336,9.018,200.474,-102.468,105.767,0,0,0,0,1.273,107.04,137.817,137.817,-5.797,-5.797,6.672,138.692,138.455,-38.048
2019-09-30,102.315,46.785,53.947,100.732,-112.469,61.062,-125.01,-26.274,-213.286,-10.239,-28.721,0,0,0,0,-0.276,-28.997,0,0,1.559,1.559,-1.01,0.549,-38.341,12.413
2019-06-30,5.12800,93.84800,0.91900,94.76700,-75.11600,62.30200,57.67400,17.25600,12.81200,112.70700,-77.04600,,,,,-0.99700,-78.04300,-137.81700,-137.81700,4.23800,4.23800,-5.66200,-139.24100,-100.11400,25.63500
2019-03-31,22.477,46.527,0.607,47.134,-87.042,156.88,-178.428,43.624,-159.4,-89.789,-35.911,0,0,0,0,0,-35.911,-136.25,-136.25,2.232,2.232,-7.617,-141.635,-267.904,12.493
2018-12-31,50.52,-135.219,193.938,58.719,23.846,30.39,37.353,-205.57,-228.056,-118.817,110.154,0,0,39.208,39.208,4.861,154.223,115,115,-10.739,-10.739,2.448,106.709,141.595,-32.445
2018-09-30,75.268,43.821,34.056,77.877,-140.742,128.04,-197.517,-47.968,-180.335,-27.19,-25.832,0,0,-0.001,-0.001,-2.325,-28.158,23.5,23.5,1.826,1.826,-0.765,24.561,-27.78,11.772
2018-06-30,-125.78800,91.39800,-227.99400,-136.59600,116.89600,-158.43000,160.16400,253.53800,408.39100,146.00700,-84.32200,,,-39.20700,-39.20700,-2.53600,-126.06500,-138.50000,-138.50000,8.91300,8.91300,-1.68300,-131.27000,-113.81500,20.67300
2018-03-31,-30.244,46.161,-256.325,-210.164,53.703,16.697,-66.894,265.664,262.432,22.024,-55.93,0,0,0,0,0,-55.93,3.25,3.25,2.318,2.318,-1.769,3.799,-27.95,8.137
