,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,745.00000,205.00000,30.00000,235.00000,49.00000,-210.00000,-167.00000,-1496.00000,-1824.00000,-795.00000,-181.00000,,,,,-6.00000,-187.00000,1010.00000,1010.00000,-133.00000,-133.00000,-268.00000,88.00000,697.00000,-290.00000,40.00000,-268.00000
2018-12-31,909,221,93,314,-55,263,127,1059,1394,2067,-243,-60,0,0,0,386,83,-696,-696,-1236,-1236,-274,15,-2191,-47,30,-274
2018-09-30,851,215,-8,207,128,-312,0,-324,-508,790,-168,0,0,0,0,95,-73,-1118,-1118,-97,-97,-275,-71,-1561,-852,39,-275
2018-06-30,786,218,32,250,494,-306,34,-432,-210,787,-175,-10039,0,0,0,75,-10139,7303,7303,-169,-169,-276,28,6886,-2470,42,-276
2018-03-31,799.00000,109.00000,33.00000,142.00000,-150.00000,-236.00000,-358.00000,-757.00000,-1501.00000,-496.00000,-104.00000,,,,,-1.00000,-105.00000,2494.00000,2494.00000,-267.00000,-267.00000,-250.00000,-25.00000,1952.00000,1349.00000,29.00000,-250.00000
2017-12-31,636,115,276,391,-221,-239,490,1141,948,1994,-155,-35,0,0,0,-13,-203,-898,-898,-386,-386,-251,17,-1518,261,30,-251
2017-09-30,764,106,103,209,317,71,85,-813,-117,872,-120,-275,0,0,0,5,-390,984,984,-271,-271,-252,-66,395,866,41,-252
2017-06-30,749,109,77,186,-207,-16,154,-335,-606,477,-91,-89,0,0,0,70,-110,-1,-1,-547,-547,-253,131,-670,-312,29,-253
2017-03-31,763.00000,111.00000,68.00000,179.00000,-84.00000,2.00000,-72.00000,-509.00000,-461.00000,533.00000,-62.00000,,,,,-23.00000,-85.00000,,,-354.00000,-354.00000,-230.00000,-22.00000,-606.00000,-166.00000,23.00000,-230.00000
2016-12-31,570,113,65,178,-143,-171,262,423,385,791,-148,-2,0,0,0,41,-109,0,0,-190,-190,-233,-218,-641,31,19,-233
2016-09-30,647,109,247,356,59,-122,148,-483,-412,499,-110,-56,0,0,0,69,-97,492,492,-325,-325,-231,76,12,404,25,-231
2016-06-30,714,115,52,167,172,137,-22,-632,-598,393,-69,0,0,0,0,2,-67,0,0,-163,-163,-232,89,-306,-8,24,-232
2016-03-31,641.00000,116.00000,22.00000,138.00000,-210.00000,-221.00000,179.00000,-346.00000,-345.00000,480.00000,-65.00000,,,,,-53.00000,-118.00000,,,-1026.00000,-1026.00000,-215.00000,7.00000,-1234.00000,-878.00000,27.00000,-215.00000
2015-12-31,835,121,139,260,378,170,-423,-895,-770,337,-209,-5,0,0,0,-4,-218,0,0,-476,-476,-218,0,-694,-587,14,-218
2015-09-30,733,117,80,197,-201,120,112,-195,-164,837,-170,0,0,0,0,37,-133,0,0,-1122,-1122,-223,-4,-1349,-660,13,-223
2015-06-30,752,119,90,209,67,34,12,-165,-303,688,-92,0,0,0,0,147,55,0,0,-834,-834,-226,-55,-1115,-380,31,-226
2015-03-31,716.00000,124.00000,2.00000,126.00000,388.00000,-183.00000,210.00000,-757.00000,-91.00000,745.00000,-98.00000,,,500.00000,500.00000,94.00000,496.00000,-500.00000,-500.00000,-533.00000,-533.00000,-206.00000,30.00000,-1209.00000,24.00000,40.00000,-206.00000
2014-12-31,701,120,178,298,141,-44,-335,-630,-1016,30,-184,0,0,0,0,-92,-276,0,0,-193,-193,-204,-84,-481,-717,34,-204
2014-09-30,696,124,46,170,293,19,-96,1478,1842,2504,-175,0,0,-500,-500,-6,-681,0,0,-366,-366,-207,12,-561,1264,30,-207
2014-06-30,541,127,148,275,-223,-257,299,327,-4,872,-75,0,0,0,0,7,-68,0,0,-1095,-1095,-213,22,-1286,-455,37,-213
2014-03-31,595.00000,125.00000,32.00000,157.00000,119.00000,-21.00000,-29.00000,-432.00000,-213.00000,422.00000,-87.00000,,,,,10.00000,-77.00000,,,-1181.00000,-1181.00000,-198.00000,32.00000,-1347.00000,-1005.00000,27.00000,-198.00000
2013-12-31,495,133,219,352,-42,12,-203,675,362,1558,-169,0,14,-36,-22,40,-151,0,0,55,55,-197,-23,-165,1236,30,-197
2013-09-30,651,127,31,158,-79,-51,9,42,-49,466,-102,0,0,0,0,51,-51,0,0,61,61,-196,30,-105,308,29,-196
2013-06-30,640,123,61,184,-45,-66,-44,40,-282,583,-90,0,0,3,3,2,-85,0,0,-285,-285,-198,4,-479,12,30,-198
2013-03-31,571.00000,142.00000,30.00000,172.00000,-57.00000,-95.00000,34.00000,-368.00000,-269.00000,504.00000,-75.00000,,,-3.00000,-3.00000,2.00000,-76.00000,,,12.00000,12.00000,,12.00000,24.00000,449.00000,31.00000,
2012-12-31,-2130,2427,-241,2186,86,-150,-45,659,550,699,-150,426,110,-326,-216,-34,26,-18,-18,25,25,-360,-17,-370,422,10,-360
2012-09-30,600,154,83,237,249,-24,-26,-63,69,704,-121,-250,0,100,100,109,-162,0,0,0,0,-180,-26,-206,334,35,-180
2012-06-30,634,150,33,183,123,-202,45,208,53,789,-75,-176,0,91,91,-82,-242,0,0,-483,-483,-184,27,-640,-92,34,-184
2012-03-31,564.00000,154.00000,17.00000,171.00000,-233.00000,-114.00000,-387.00000,98.00000,-448.00000,414.00000,-90.00000,,,-191.00000,-191.00000,17.00000,-264.00000,,,2.00000,2.00000,-169.00000,1.00000,-166.00000,-17.00000,35.00000,-169.00000
2011-12-31,603,268,-19,249,-254,160,188,1169,1263,2022,-185,-417,235,-55,180,-95,-517,-200,-200,-7,-7,-169,1,-375,1109,32,-169
2011-09-30,652,147,73,220,242,-122,-68,-667,-615,137,-121,-1143,0,85,85,-27,-1206,947,947,-317,-317,-171,-4,455,-617,32,-171
2011-06-30,653,145,54,199,4,-70,123,87,-71,751,-91,0,0,-178,-178,156,-113,0,0,-770,-770,-176,-17,-963,-327,32,-176
2011-03-31,618.00000,143.00000,36.00000,179.00000,-389.00000,-154.00000,-226.00000,64.00000,-490.00000,328.00000,-61.00000,,,-136.00000,-136.00000,59.00000,-138.00000,,,-176.00000,-176.00000,-157.00000,15.00000,-318.00000,-129.00000,32.00000,-157.00000
2010-12-31,729,145,22,167,26,-172,165,464,483,1419,-151,0,126,-79,47,-43,-147,0,0,-341,-341,-160,-3,-504,770,30,-160
2010-09-30,650,141,64,205,-329,-12,175,-6,-172,880,-96,4,0,278,278,-1,185,-700,-700,-213,-213,-161,0,-1074,-10,30,-161
2010-06-30,648,140,50,190,202,18,140,-202,-76,477,-63,-237,0,66,66,70,-164,0,0,-322,-322,-163,0,-485,-172,29,-163
2010-03-31,597.00000,143.00000,24.00000,167.00000,-51.00000,143.00000,-114.00000,-845.00000,-633.00000,210.00000,-60.00000,,,-276.00000,-276.00000,54.00000,-282.00000,,,-32.00000,-32.00000,-147.00000,16.00000,-163.00000,-238.00000,29.00000,-147.00000
2009-12-31,614,144,67,211,173,-16,54,263,474,1498,-134,-6,0,-355,-355,24,-471,0,0,-26,-26,-147,3,-170,854,30,-147
2009-09-30,572,139,136,275,-175,59,-128,134,-110,594,-81,-640,0,152,152,-65,-634,-51,-51,38,38,-147,-2,-162,-205,29,-147
2009-06-30,618,140,79,219,143,-51,-169,-91,-360,609,-89,3,0,-107,-107,191,-2,33,33,3,3,-147,-5,-116,488,30,-147
2009-03-31,590.00000,139.00000,70.00000,209.00000,-292.00000,-64.00000,151.00000,-579.00000,-592.00000,154.00000,-81.00000,-168.00000,,,,-36.00000,-285.00000,-139.00000,-139.00000,-82.00000,-82.00000,-136.00000,-1.00000,-358.00000,-495.00000,28.00000,-136.00000
