,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,38.366,23.251,35.89,59.141,-1.481,-4.731,7.191,6.926,-24.032,73.475,-19.248,0,0,123.762,0,123.762,0.036,104.55,-0.934,-0.934,-1.745,-1.745,0,0,-2.679,177.701,9.223,0
2020-03-31,36.76600,24.09900,2.40700,26.50600,34.49200,-10.42900,6.05400,-9.11900,-6.49100,56.78100,-17.66200,,,-122.17100,,-122.17100,0.07900,-139.75400,-0.92800,-0.92800,-18.21400,-18.21400,,-1.65000,-20.79200,-110.64300,8.43000,
2019-12-31,-4.303,60.857,33.308,94.165,17.338,22.927,-2.12,7.318,40.077,129.939,-25.683,0,0,-3.049,0,-3.049,-0.006,-28.738,-0.924,-0.924,-9.119,-9.119,0,0,-10.043,99.866,7.792,0
2019-09-30,57.127,25.045,21.281,46.326,13.494,-10.243,-7.692,2.471,-11.65,91.803,-20.988,0,0,15.975,0,15.975,0.034,-4.979,-0.92,-0.92,-21.961,-21.961,0,0,-22.881,50.141,8.54,0
2019-06-30,72.521,24.684,19.072,43.756,-43.909,-21.07,-2.4,7.332,-58.153,58.124,-53.397,0,0,-29.903,0,-29.903,0.194,-83.106,-0.916,-0.916,3.833,3.833,0,0,2.917,-18.827,8.893,0
2019-03-31,54.91600,22.80200,27.63900,50.44100,22.85300,-19.71900,1.95500,1.28400,-61.70200,43.65500,-32.80700,,-15.11500,24.75500,,24.75500,0.01500,-23.15200,-0.91100,-0.91100,-6.14900,-6.14900,,,-7.06000,7.44600,8.13800,
2018-12-31,75.466,21.377,4.793,26.17,7.244,-13.389,-0.107,-2.137,11.414,113.05,-26.717,0,-104.692,-14.83,0,-14.83,0.108,-146.131,-0.908,-0.908,-64.071,-64.071,0,0.461,-64.518,-103.248,6.584,0
2018-09-30,100.752,20.167,12.588,32.755,-16.567,-31.037,-10.846,-2.934,-61.807,71.7,-36.725,0,-0.001,-151.94,0,-151.94,0.119,-188.547,-0.902,-0.902,-59.378,-59.378,0,0.378,-59.902,-169.186,7.719,0
2018-06-30,121.617,19.504,17.533,37.037,-17.433,-41.27,8.393,0.143,-49.756,108.898,-56.972,0,-4.422,-127.596,0,-127.596,0.112,-188.878,-0.899,-0.899,-23.475,-23.475,0,0,-24.374,-152.331,7.309,0
2018-03-31,106.33400,19.22300,21.14300,40.36600,7.94200,-49.74400,1.13400,-2.13400,-47.04700,99.65300,-38.90300,,,-0.61600,,-0.61600,0.07600,-39.44300,-0.89500,-0.89500,-16.95800,-16.95800,,,-17.85300,59.22300,6.41500,
2017-12-31,52.956,18.152,23.72,41.872,-6.809,-31.383,-1.114,1.635,13.717,108.545,-26.869,0,-9.889,-40.875,0,-40.875,0.144,-77.489,-0.891,-0.891,-7.718,-7.718,0,0,-8.609,29.633,6.032,0
2017-09-30,115.597,16.702,30.537,47.239,17.218,-13.877,1.509,1.208,0.912,163.748,-55.436,0,-39.287,112.802,-156.171,-43.369,0.072,-138.02,27.309,27.309,3.345,3.345,0,0,30.654,72.156,5.93,0
2017-06-30,104.103,15.21,21.707,36.917,-50.833,-3.412,3.474,1.204,-58.738,82.282,-6.572,0,-11.307,-113.441,156.171,42.73,-0.521,24.33,-17.463,-17.463,-4.021,-4.021,0,-0.197,-21.681,110.333,5.708,0
2017-03-31,74.93200,14.50400,22.86500,37.36900,-22.80100,-22.40800,-1.56000,-3.97200,-61.48100,50.82000,-21.77600,,,42.19700,,42.19700,-0.04700,20.37400,-0.79700,-0.79700,-2.93900,-2.93900,,,-3.73600,73.92300,5.35100,
2016-12-31,75.129,13.829,16.722,30.551,-0.591,-10.812,9.409,-0.16,-3.829,101.851,-26.557,0,-1.265,-80.134,0,-80.134,0.452,-107.504,-0.797,-0.797,1.534,1.534,0,0,0.737,-21.703,5.635,0
2016-09-30,69.227,13.993,19.434,33.427,-13.738,-8.146,-1.375,-3.257,-15.113,87.541,-29.148,0,0,-0.075,0,-0.075,-0.056,-29.279,-0.797,-0.797,-2.876,-2.876,0,0,-3.673,58.272,5.663,0
2016-06-30,67.032,12.259,8.039,20.298,-5.255,-15.303,-1.692,-0.474,-43.923,43.407,-45.848,0,-46.527,-0.592,0,-0.592,0.026,-92.941,23.259,23.259,8.579,8.579,0,-3.594,28.244,-26.406,5.477,0
2016-03-31,49.32800,11.39400,16.12200,27.51600,8.14000,-19.36500,-6.74900,-0.17800,-11.94700,64.89700,-24.83100,,,-19.89900,,-19.89900,0.04600,-44.68400,-0.50900,-0.50900,,,,2.64400,2.13500,31.16000,4.95900,
2015-12-31,60.678,11.336,20.219,31.555,0.968,-18.393,5.287,-0.209,-23.362,68.871,-19.427,0,0,-106.747,0,-106.747,0.03,-126.144,-0.566,-0.566,3.643,3.643,0,-5.822,-2.745,-68.688,5.114,0
2015-09-30,62.759,10.903,10.15,21.053,11.744,-18.961,0.097,0.022,9.389,93.201,-18.061,0,0,0,0,0,-0.023,-18.084,-1.997,-1.997,0.915,0.915,0,0.157,-0.925,79.712,5.013,0
2015-06-30,61.244,10.433,8.807,19.24,-19.863,-19.313,5.653,2.713,-31.082,49.402,-18.571,0,0,0,0,0,0.026,-18.545,-10.405,-10.405,5.165,5.165,0,0.892,-4.348,30.034,4.735,0
2015-03-31,57.34600,9.74300,7.66400,17.40700,-11.88500,-13.89800,-1.23100,-0.67300,-22.74500,52.00800,-13.89600,,-4.95800,0.00000,,,0.06000,-18.79400,-2.70500,-2.70500,4.40900,4.40900,,4.77300,6.47700,19.32400,4.12700,
2014-12-31,56.431,9.203,14.465,23.668,-10.592,-12.026,1.938,-5.553,-24.081,56.018,-15.862,0,0,0,0,0,0.021,-15.841,-0.223,-0.223,3.828,3.828,0,3.283,6.888,34.632,4.105,0
2014-09-30,55.2,9.321,8.07,17.391,-17.206,-15.232,4.008,-0.234,-25.379,47.212,-26.778,-2,0,0,0,0,0.024,-28.754,-0.583,-0.583,0.351,0.351,0,0.27,0.038,4.086,3.895,0
2014-06-30,48.283,8.986,6.727,15.713,-16.347,-11.132,-3.2,5.167,-30.512,33.484,-34.19,0,0,0,0,0,0.01,-34.18,0.103,0.103,2.768,2.768,0,0.861,3.732,2.823,3.905,0
2014-03-31,40.53100,8.10200,3.44300,11.54500,-4.37300,-3.85600,0.51600,-4.73100,-8.68500,43.39100,-11.33700,,,,,,0.03200,-11.30500,-1.30500,-1.30500,0.61100,0.61100,,1.56500,0.87100,31.83300,3.26700,
2013-12-31,36.595,8.11,5.923,14.033,16.951,-6.65,2.982,3.108,7.778,58.406,-22.552,0,0,0,0.495,0.495,-0.585,-22.642,1.414,1.414,7.275,7.275,0,2.036,10.725,50.421,3.116,0
2013-09-30,42.338,8.529,10.702,19.231,-5.73,-19.891,-4.516,-5.585,-24.882,36.687,-14.034,0,0,0,0,0,0.035,-13.999,-0.608,-0.608,-2.177,-2.177,0,4.482,1.697,28.871,3.132,0
2013-06-30,41.72,7.668,1.255,8.923,-12.962,-16.83,4.444,0.709,-15.03,35.613,-16.44,0,0,0,0,0,0.032,-16.408,-8.648,-8.648,1.457,1.457,0,0.892,-6.299,13.769,2.94,0
2013-03-31,35.12700,7.21700,8.60000,15.81700,-8.25000,-6.98400,-1.93600,-2.21200,-62.28300,-11.33900,-17.65700,,-5.55500,,,,0.37500,-22.83700,5.84200,5.84200,0.72000,0.72000,,1.46400,8.02600,-28.33800,2.53200,
2012-12-31,34.912,6.976,5.283,12.259,13.808,-5.925,2.205,6.306,11.6,58.771,-16.469,0,0,-0.001,0,-0.001,-0.615,-17.085,-2.741,-2.741,5.445,5.445,-33.353,-3.466,-34.115,11.484,2.207,-33.353
2012-09-30,42.435,6.81,13.11,19.92,-23.213,-6.902,-0.014,-4.814,-24.305,38.05,-15.749,0,-11.596,9.765,0,9.765,-0.274,-17.854,0.413,0.413,-0.059,-0.059,0,4.801,5.155,26.991,2.159,0
2012-06-30,39.849,6.143,2.875,9.018,-1.098,-6.121,1.482,0.004,2.583,51.45,-22.187,0,0,8.686,0,8.686,-0.188,-13.689,-6.553,-6.553,-0.995,-0.995,0,-53.104,-60.652,-31.493,2.201,0
2012-03-31,30.54800,6.21500,9.36200,15.57700,-12.20300,-4.02700,0.70200,-2.39500,-19.12000,27.00500,-13.77900,,,7.00100,,7.00100,0.14900,-6.62900,2.33400,2.33400,169.01700,169.01700,,0.34800,171.69900,196.83700,1.99800,
2011-12-31,31.855,5.78,11.448,17.228,2.533,-3.878,-3.49,-7.055,-17.727,31.356,-18.257,0,-0.3,-25.451,0,-25.451,-0.08,-44.088,-0.928,-0.928,-4.491,-4.491,0,5.791,0.372,-16.352,1.868,0
2011-09-30,34.269,6.227,-7.603,-1.376,-9.293,-17.068,0.587,9.065,-3.89,29.003,-11.964,0,0,0,0,0,0.077,-11.887,0.071,0.071,0.502,0.502,0,1.252,1.825,8.39,1.879,0
2011-06-30,31.507,6.297,6.997,13.294,-14.842,-21.473,1.759,-3.095,-27.963,16.838,-13.199,0,0,0,0,0,-0.037,-13.236,0.216,0.216,-0.895,-0.895,0,23.123,22.444,27.578,1.694,0
2011-03-31,23.37800,5.65800,12.06500,17.72300,-2.08600,-13.72000,3.12900,-7.71800,-30.94700,10.15400,-9.58700,,-0.45000,,,,0.14900,-9.88800,-0.74800,-0.74800,4.88400,4.88400,,3.10800,7.24400,12.75800,2.60700,
2010-12-31,27.268,5.747,6.938,12.685,-3.203,-9.013,-0.059,-11.181,-5.928,34.025,-14.173,0,0,0,0,0,-0.248,-14.421,1.891,1.891,-6.714,-6.714,0,38.455,33.632,51.23,0.718,0
2010-09-30,13.315,5.584,7.514,13.098,-11.365,-8.49,-0.721,-1.36,-20.444,5.969,-5.5,0,0,0,0,0,0.054,-5.446,-2.325,-2.325,5.448,5.448,0,-0.1,3.023,5.975,0.915,0
2010-06-30,10.345,5.288,0.855,6.143,-11.843,-6.166,4.59,0.353,-0.926,15.562,-3.748,0,-3.36,0,0,0,-0.064,-7.172,-0.986,-0.986,1.055,1.055,0,0,0.069,6.248,0.793,0
2010-03-31,3.42400,5.22600,-0.03700,5.18900,-0.89700,-3.34900,-0.39900,0.03800,-0.73700,7.87600,-4.95300,,-0.74800,,,,0.18100,-5.52000,0.82900,0.82900,0.21100,0.21100,,,1.04000,1.48700,0.77000,
2009-12-31,3.157,5.148,6.248,11.396,-1.461,2.756,0.983,0.943,2.16,16.713,-0.918,0,0,0,0,0,-0.199,-1.117,-9.742,-9.742,-2.121,-2.121,0,3.428,-8.435,6.611,0.775,0
2009-09-30,2.266,4.981,0.903,5.884,2.533,1.158,-1.146,-0.662,5.742,13.892,-1.854,0,0,0,0,0,0.112,-1.742,-16.506,-16.506,1.644,1.644,0,-0.061,-14.923,-1.759,0.787,0
2009-06-30,-1.165,4.663,0.982,5.645,-2.084,0.827,0.821,2.024,1.81,6.29,-3.04,0,0,0,0,0,-0.076,-3.116,1.223,1.223,0.34,0.34,0,-0.053,1.51,6.467,0.57,0
2009-03-31,1.02600,4.38000,1.67100,6.05100,10.28100,0.85900,-1.15600,-1.62600,10.43300,17.51000,-4.68600,,,,,,0.02200,-4.66400,9.88600,9.88600,0.13700,0.13700,,-0.45500,9.56800,20.31800,0.63500,
