,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-03-31,166.04900,5.03600,15.22000,20.25600,-4.58500,-98.19300,17.45300,8.75300,-101.60700,78.02800,-2.91800,,2.48200,2.48200,-0.43600,,,,-316.43800,-316.43800,,-316.43800,-238.84600,9.50900
2017-12-31,124.619,5.58,-20.98,-15.4,-0.384,130.36,-12.252,-3.129,110.275,234.708,-4.416,0,-2.981,-2.981,-7.397,0,0,0,-181.687,-181.687,0,-181.687,45.624,11.884
2017-09-30,162.102,5.593,-5.3151,0.2779,1.71,-11.608,-3.399,-6.566,-1.741,157.438,-5.694,0,2.427,2.427,-3.267,0,0,0,-58.414,-58.414,0,-58.414,95.757,11.211
2017-06-30,147.877,5.795,-18.293,-12.498,-2.341,-132.517,17.331,9.448,-73.542,69.946,-4.328,0,3.076,3.076,-1.252,0,0,0,-31.258,-31.258,0,-31.258,37.436,10.878
2017-03-31,102.92300,5.69900,162.18200,167.88100,0.66700,-140.33400,26.11700,8.42400,-142.67600,108.26200,-4.98400,,1.70700,1.70700,-3.27700,,,,-10.28200,-10.28200,,-10.28200,94.70300,10.58900
2016-12-31,150.891,5.678,-66.7852,-61.1071,-5.866,224.63,-22.461,0.494,195.593,290.551,-5.557,0,2.51,2.51,-3.047,0,0,0,-159.44,-159.44,0.067,-159.373,128.131,11.139
2016-09-30,117.392,5.657,-4.4479,1.2091,4.493,-69.116,2.951,-2.434,-39.727,89.865,-4.485,0,1.827,1.827,-2.658,0,0,0,-189.206,-189.206,-0.067,-189.273,-102.066,11.081
2016-06-30,91.676,5.487,-71.681,-66.194,-3.384,13.931,15.194,-27.987,34.493,52.565,-6.095,0,2.803,2.803,-3.292,0,0,0,-3.761,-3.761,0,-3.761,45.512,10.829
2016-03-31,65.30300,5.44700,146.68100,152.12800,-4.02200,-254.63900,15.58700,-2.35300,-246.80900,-39.99300,-5.23200,,3.87900,3.87900,-1.35300,,,,-64.83800,-64.83800,-0.15000,-64.98800,-106.33400,10.54900
2015-12-31,134.004,5.352,-29.5281,-24.1761,-1.539,154.951,-21.107,-23.574,85.2,211.12,-4.602,0,4.193,4.193,-0.409,0,0,0,-158.392,-158.392,-14.465,-172.857,37.854,14.217
2015-09-30,116.47,5.441,14.897,20.338,6.96,-75.917,-6.311,-12.562,-75.416,55.991,-4.745,0,3.063,3.063,-1.682,0,0,0,-168.998,-168.998,4.566,-164.432,-110.123,13.571
2015-06-30,93.395,5.46,-105.987,-100.527,-7.171,-129.625,12.418,-0.947,-26.822,-38.806,-3.492,0,4.025,4.025,0.533,0,0,0,1.444,1.444,1.901,3.345,-34.928,12.904
2015-03-31,39.05800,5.28100,61.64900,66.93000,0.22300,-84.21200,19.21000,-0.47800,-97.23900,-1.60300,-4.75500,,5.29100,5.29100,0.53600,,-0.06400,-0.06400,-19.47300,-19.47300,7.69800,-11.83900,-12.90600,13.39900
2014-12-31,99.451,5.031,12.982,18.013,1.222,144.728,-16.491,-14.98,96.138,226.41,-3.953,0,2.859,2.859,-1.094,0,-0.597,-0.597,-147.594,-147.594,2.001,-146.19,79.126,18.353
2014-09-30,90.152,4.657,1061.977,1066.634,3.794,-59.955,35.492,-1142.781,-1179.021,-24.781,-6.256,0,0.428,0.428,-5.828,0,-0.597,-0.597,-56.942,-56.942,0.736,-56.803,-87.412,18.233
2014-06-30,68.178,4.216,-1105.19,-1100.974,-5.268,-109.773,23.957,1107.531,1032.34,-1.294,-15.151,0,2.986,2.986,-12.165,0,-0.895,-0.895,-311.337,-311.337,0.073,-312.159,-325.618,15.938
2014-03-31,23.84900,3.71000,96.09000,99.80000,-0.28100,-102.72900,-37.22500,-7.33600,-129.49200,-15.78600,-5.29100,,5.29600,5.29600,0.00500,,-1.32700,-1.32700,24.48200,24.48200,5.69600,28.85100,13.07000,10.70300
2013-12-31,97.811,4.016,-70.5709,-66.5549,3.649,178.815,-1.274,-17.635,142.35,182.057,-4.721,0,-11.203,-11.203,-15.924,0,2.637,2.637,-112.2891,-112.2891,-4.425,-114.077,52.056,3.911
2013-09-30,82.935,3.527,47.021,50.548,1.686,24.865,114.395,-10.195,46.572,178.679,-5.857,0,4.011,4.011,-1.846,0,-1.207,-1.207,-139.937,-139.937,0.084,-141.06,35.773,11.733
2013-06-30,50.69,3.076,461.471,464.547,-0.38,-96.689,0,-521.454,-524.965,-12.421,-4.492,0,1.791,1.791,-2.701,0,-1.093,-1.093,-293.72,-293.72,0.628,-294.185,-309.307,10.589
2013-03-31,35.04100,2.77200,-466.36900,-463.59700,-5.21500,-159.85200,,509.25000,357.34400,-78.09300,-3.33900,,-10.66700,-10.66700,-14.00600,,-2.18800,-2.18800,5.41200,5.41200,23.09900,26.32300,-65.77600,8.06300
2012-12-31,60.627,2.278,1536.2941,1538.5721,1.447,64.757,71.932,-1594.468,-1516.466,85.934,-2.032,-14.257,-1.054,-1.054,-17.343,-21.91,3.513,-18.397,17.205,17.205,7.56,6.368,74.959,14.705
2012-09-30,53,2.092,-1538.892,-1536.8,-0.26,1.82,0,1563.296,1592.907,106.059,-4.278,0,1.325,1.325,-2.953,598.962,-0.28,598.682,-213.457,-213.457,-3.046,382.179,485.285,16.963
2012-06-30,46.838,1.925,508.34,510.265,-3.793,-64.692,-32.015,-545.935,-575.888,-18.447,-2.996,0,0.972,0.972,-2.024,0,-1.437,-1.437,36.179,36.179,3.833,38.575,18.104,16.733
2012-03-31,20.12300,1.80500,-378.81200,-377.00700,0.78800,-99.63500,32.01500,523.16500,456.33300,90.83800,-2.74000,,2.44900,2.44900,-0.29100,,-3.06100,-3.06100,6.00300,6.00300,0.87600,3.81800,94.36500,16.44000
2011-12-31,32.392,1.724,-18.451,-16.727,0.374,48.888,30.603,-42.385,-3.518,6.044,-2.646,0,1.148,1.148,-1.498,0,-0.755,-0.755,-21.682,-21.682,1.563,-20.874,-16.328,16.507
2011-09-30,43.409,1.712,848.875,850.587,0.578,-44.857,-33.58,-803.155,-869.116,20.642,-1.102,0,2.162,2.162,1.06,0,-90.529,-90.529,-364.328,-364.328,-0.119,-454.976,-433.274,16.261
2011-06-30,38.445,1.638,-474.888,-473.25,-0.588,-42.135,0,399.258,412.671,-16.19,-6.329,0,-58.637,-58.637,-64.966,0,13.232,13.232,-225.555,-225.555,3.58,-208.743,-289.899,16.125
2011-03-31,15.17400,1.59800,-344.84500,-343.24700,0.10100,-61.42300,,403.89700,315.53900,-9.03300,-0.84200,,4.38000,4.38000,3.53800,,-15.03300,-15.03300,29.26200,29.26200,17.81100,32.04000,26.54500,15.58000
2010-12-31,58.698,1.715,-547.436,-545.721,3.431,131.495,-53.866,605.461,654.085,140.987,-2.486,0,26.193,26.193,23.707,0,-9.399,-9.399,-19.287,-19.287,1.899,-26.787,137.907,12.386
2010-09-30,43.944,1.82,-1360.763,-1358.943,4.27,-138.295,19.256,1408.858,1292.122,-19.293,-1.146,0,150,150,148.854,0,28.056,28.056,-195.753,-195.753,3.097,-164.6,-35.039,19.924
2010-06-30,71.276,1.847,-166.315,-164.468,-6.418,79.208,-19.256,10.524,131.811,51.857,-1.89,0,-51,-51,-52.89,-133.37,22.675,-110.695,-166.333,-166.333,26.651,-250.377,-251.41,15.148
2010-03-31,32.08700,1.88100,-72.67600,-70.79500,0.24900,-81.19100,,-10.52400,-68.06400,-118.16300,-0.76600,,93.53500,93.53500,92.76900,,43.83900,43.83900,41.78600,41.78600,31.91100,117.53600,92.14200,5.67800
2009-12-31,60.639,2.017,-503.484,-501.467,1.129,60.121,79.913,583.292,636.172,123.706,-1.289,0,61.871,61.871,60.582,0,-63.391,-63.391,5.79,5.79,7.792,-49.809,134.479,11.454
2009-09-30,72.127,2.719,-1410.525,-1407.806,0.023,-18.269,0.828,1422.083,1461.36,140.329,-0.786,0,376.956,376.956,376.17,-2,-21.508,-23.508,27.203,27.203,12.209,15.904,532.403,11.446
2009-06-30,41.426,2.396,346.029,348.425,-0.653,-90.041,1.837,-373.527,-412.634,-23.62,-0.052,0,50,50,49.948,-27.95,21.55,-6.4,14.077,14.077,6.494,14.171,40.499,11.634
2009-03-31,17.98800,2.58100,-427.11700,-424.53600,3.18300,30.04100,,373.52700,388.58900,1.22700,0.04500,,-708.36200,-708.36200,-708.31700,,30.79000,30.79000,31.47300,31.47300,39.95300,102.21600,-604.87400,11.76800
