,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-08-31,173.5,37.5,-5.8,31.7,0,0,0,-51.1,-51.1,154.1,-52.7,0,0,2.5,-50.2,-187,18.3,-168.6999,12.6,12.6,-68.4,-6.6,-231.1,-129.6,5.5,-68.4
2018-05-31,123.3,37.5,13,50.5,0,0,0,81.6,81.6,255.4,-28.6,0,0,0.6,-28,-62.3,-55.8,-118.1,-10.6,-10.6,-68.3,-3.8,-200.8,23,11.8,-68.3
2018-02-28,422.60000,36.60000,-294.70000,-258.10000,,,,-185.00000,-185.00000,-20.50000,-31.30000,,-4.20000,0.30000,-35.20000,-313.40000,423.60000,110.20000,0.10000,0.10000,-68.20000,-2.90000,39.20000,-7.20000,4.30000,-68.20000
2017-11-30,175.7,56.5,45,101.5,-13,44.6,98.2,105.3,235.1,512.3,-74,0,0,0.8,-73.2,-256.8,-91.3,-348.1,0.1,0.1,-61.6,-1.1,-410.7,20.7,5.5,-61.6
2017-08-31,108.2,31.5,-0.5,31,0,0,0,-13.4,-13.4,125.8,-42.2,0,-4203.4,0.3,-4245.3,3977.3,-307.3,3670,557.4,557.4,-58.6,-26.7,4142.1,36.1,4,-58.6
2017-05-31,100,29.8,8,37.8,0,0,0,-4.9,-4.9,132.9,-37.5,0,0,0.4,-37.1,-1.1,16.2,15.1,-37.3,-37.3,-58.5,-4.9,-85.6,4.3,10.3,-58.5
2017-02-28,93.50000,28.30000,2.70000,31.00000,,,,-80.20000,-80.20000,44.30000,-28.70000,,-124.00000,,-152.70000,-2.50000,247.80000,245.30000,-74.50000,-74.50000,-58.90000,-1.70000,110.20000,7.30000,4.10000,-58.90000
2016-11-30,157.4,26.4,-23,3.4,-21,-39,47,187.9,174.9,335.7,-65.1,0,-4.4,4.2,-65.3,6,-168.2,-162.2,-62.9,-62.9,-54.2,0,-279.3,-15.8,5.8,-54.2
2016-08-31,127.7,29.3,2.4,31.7,0,0,0,-49.7,-49.7,109.7,-33.7,0,1.9,1.4,-30.4,-0.2,46.1,45.9,-67.6,-67.6,-54.3,0,-76,2.7,4,-54.3
2016-05-31,93.8,26.6,13.7,40.3,0,0,0,0,0,134.1,-31.1,0,-118.1,0,-149.2,-0.1,123,122.9,-35.4,-35.4,-54.7,-2.8,30,19.7,12.8,-54.7
2016-02-29,93.40000,26.40000,2.50000,28.90000,,,,-43.70000,-43.70000,78.60000,-22.20000,,,,-22.20000,-201.70000,250.80000,49.10000,-40.00000,-40.00000,-54.60000,-0.70000,-46.20000,-0.80000,3.00000,-54.60000
2015-11-30,149.2,27.2,29.6,56.8,15.6,-18,40.4,29.4,67.4,273.4,-58.3,0,0,0,-58.3,246.3,-341.5,-95.2,-61.2,-61.2,-51.2,-5.3,-212.9,4.2,1.7,-51.2
2015-08-31,97.6,26.2,3.5,29.7,0,0,0,3.4,3.4,130.7,-27.1,0,-99.4,0,-126.5,-0.6,65.9,65.3,9.5,9.5,-51.2,0,23.6,18.9,3.1,-51.2
2015-05-31,84.3,27.6,16.3,43.9,0,0,0,-38.2,-38.2,90,-27.1,0,-111.5,0,-138.6,-0.1,107.3,107.2,-2.1,-2.1,-51.2,0,53.9,7.7,10.2,-51.2
2015-02-28,70.50000,24.90000,-2.50000,22.40000,,,,3.00000,3.00000,95.90000,-15.50000,,,,-15.50000,-0.20000,40.90000,40.70000,-53.60000,-53.60000,-51.30000,,-64.20000,4.50000,3.70000,-51.30000
2014-11-30,148,24.6,9.6,34.2,-16.4,-54.4,-6.7,123.1,45.6,227.8,-54.4,0,0,0,-54.4,-0.2,-82,-82.2,-53.4,-53.4,-47.7,0,-183.3,-16.5,3.1,-47.7
2014-08-31,122.9,24.6,-5.6,19,0,0,0,-48.2,-48.2,93.7,-30.5,0,0,0,-30.5,-0.2,45.4,45.2,-49,-49,-48,0,-51.8,12.4,3,-48
2014-05-31,84.5,26.7,11.7,38.4,0,0,0,-17.5,-17.5,105.4,-28.7,0,0,0,-28.7,-0.8,25.9,25.1,-62.2,-62.2,-48.1,0,-85.2,-8,9.5,-48.1
2014-02-28,82.50000,26.80000,1.50000,28.30000,,,,-34.10000,-34.10000,76.70000,-18.00000,,,,-18.00000,-0.40000,68.40000,68.00000,-48.00000,-48.00000,-48.60000,,-28.60000,26.40000,2.60000,-48.60000
2013-11-30,130,29.1,22.2,51.3,-29.2,-59.9,12.1,133.5,56.5,237.8,-45.4,0,-12.3,0,-57.7,-250.2,103.7,-146.5,-73.4,-73.4,-44.9,0,-264.8,-83.8,2.6,-44.9
2013-08-31,104.4,25.2,-0.5,24.7,0,0,0,-34.4,-34.4,94.7,-19.3,0,-13.3,0,-32.6,245.9,-190.7,55.2,3,3,-44.9,0,13.3,74.7,3.6,-44.9
2013-05-31,78.6,25.5,4.5,30,0,0,0,-7.5,-7.5,101.1,-22.2,0,-115.9,0,-138.1,-0.5,98.1,97.6,-12.6,-12.6,-45,0,40,3.5,9.7,-45
2013-02-28,76.00000,26.20000,-0.80000,25.40000,,,,-69.80000,-69.80000,31.60000,-10.50000,,-0.80000,,-11.30000,-0.40000,60.80000,60.40000,-49.70000,-49.70000,-45.10000,,-34.40000,-10.40000,2.80000,-45.10000
2012-11-30,148.5,26,27.3,53.3,-38.8,1.2,8.2,26.3,-3.1,198.7,-47.5,0,0,0,-47.5,0.7,-88.7,-88,-18.2,-18.2,-41.1,0,-147.3,6.8,8.3,-41.1
2012-08-31,104.4,26.2,0.6,26.8,0,0,0,-19.3,-19.3,111.9,-26.6,0,0,0,-26.6,-0.4,-13.2,-13.6,-21.9,-21.9,-41.2,0,-76.7,10.8,3.2,-41.2
2012-05-31,80.4,24.8,13,37.8,0,0,0,3.7,3.7,121.9,-20,0,0,0,-20,0,-38.9,-38.9,-11.1,-11.1,-41,0,-91,7,6.1,-41
2012-02-29,74.50000,25.80000,-1.50000,24.30000,,,,-76.30000,-76.30000,22.50000,-14.90000,,,,-14.90000,-4.20000,64.20000,60.00000,-27.90000,-27.90000,-41.40000,,-9.30000,0.50000,2.60000,-41.40000
2011-11-30,131.8,25.1,39.5,64.6,-8.6,-111.3,49.3,128.5,57.9,254.3,-38,0,-402.2,0,-440.2,-0.6,217,216.4,12.4,12.4,-37.1,0,191.7,1.7,2.6,-37.1
2011-08-31,92,24.7,-1,23.7,0,0,0,-66.3,-66.3,49.4,-25,0,-39.2,0,-64.2,149.4,-108.2,41.2,14.4,14.4,-37.1,0,18.5,4.3,2.8,-37.1
2011-05-31,73.6,24.8,8.6,33.4,0,0,0,-47.6,-47.6,59.4,-18.9,0,0,0,-18.9,2.1,14.3,16.4,-24.9,-24.9,-37.1,0,-45.6,7.3,5.5,-37.1
2011-02-28,76.80000,23.70000,-4.50000,19.20000,,,,-119.10000,-119.10000,-23.10000,-14.20000,,,,-14.20000,,93.60000,93.60000,-33.20000,-33.20000,-37.20000,,23.20000,-10.20000,2.10000,-37.20000
2010-11-30,133.7,25,16,41,-38.2,-26.8,10.5,122.1,67.6,242.3,-36.4,0,-46.9,0,-83.3,-0.1,-97.2,-97.3,-16.6,-16.6,-34.5,0,-148.4,27.2,2.2,-34.5
2010-08-31,102.3,24.2,-3.3,20.9,0,0,0,-43.2,-43.2,80,-14.2,0,0,0,-14.2,-0.1,-30.5,-30.6,-15.6,-15.6,-34.7,0,-80.9,0.5,2.2,-34.7
2010-05-31,66.3,22.8,5.6,28.4,0,0,0,-24.4,-24.4,70.3,-23.4,0,0,0,-23.4,-14.1,-0.8,-14.9,9.3,9.3,-34.6,0,-40.2,1.2,5.5,-34.6
2010-02-28,67.90000,23.10000,-3.50000,19.60000,,,,-92.60000,-92.60000,-5.10000,-8.80000,,,,-8.80000,-0.10000,28.90000,28.80000,14.00000,14.00000,-34.40000,,8.40000,-17.60000,2.00000,-34.40000
2009-11-30,116.3,24.7,21.5,46.2,45.8,15.6,3.4,-6.6,58.2,220.7,-28.5,0,0,0,-28.5,-0.2,-172.6,-172.8,22.1,22.1,-31.4,0,-182.1,11.6,2.2,-31.4
2009-08-31,75.1,22.5,0.2,22.7,0,0,0,0.6,0.6,98.4,-17.1,0,0,0,-17.1,-0.1,-46.4,-46.5,6.5,6.5,-31.4,0,-71.4,15,2.7,-31.4
2009-05-31,50.7,27.1,9.6,36.7,0,0,0,22.6,22.6,110,-20.8,0,0,0,-20.8,-50,-24.4,-74.4,3,3,-31.4,0,-102.8,-10.5,5.1,-31.4
2009-02-28,57.70000,20.00000,0.30000,20.30000,,,,-91.30000,-91.30000,-13.30000,-15.40000,,,,-15.40000,-0.10000,41.60000,41.50000,4.20000,4.20000,-31.20000,,14.50000,-15.50000,2.70000,-31.20000
