,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-09-30,218.956,49.877,-172.434,-122.557,-59.739,-9.605,21.51,12.499,108.898,-39.499,0,-29.37,-1.051,-1.051,-0.96,-70.88,141.6261,0,141.6261,-1175.293,-1175.293,0,-0.835,-1034.502,-16.233,9.523,0
2015-06-30,49.565,50.034,-3.155,46.879,17.779,-9.869,-20.465,9.68,106.124,-54.76,0,-37.936,-1.784,-1.784,2.66,-91.82,95.586,-4.248,91.338,-172.001,-172.001,0,-2.497,-83.16,-70.107,9.714,0
2015-03-31,58.18500,47.96400,5.05200,53.01600,119.87300,-3.12200,-77.53500,68.42700,179.62800,-57.22200,,-34.73300,-0.80900,-0.80900,0.53600,-92.22800,43.11300,-0.92200,42.19100,-181.92400,-181.92400,,-2.50200,-142.23500,-54.98100,9.47100,
2014-12-31,70.975,47.237,91.405,138.642,374.751,5.723,-295.444,45.164,254.781,-54.664,0,-100.807,-0.259,-0.259,7.871,-147.859,-5.499,5.056,-0.443,-48.383,-48.383,0,-10.792,-59.618,46.356,10.2,0
2014-09-30,100.015,45.883,38.316,84.199,-216.792,1.058,-60.202,-133.866,50.348,-64.636,0,-81.828,0.176,0.176,-0.614,-146.902,57.941,0,57.941,0.2,0.2,0,-1.815,56.326,-44.789,7.397,0
2014-06-30,85.444,40.698,-12.513,28.185,-96.479,-4.858,42.059,-110.483,3.146,-44.543,0,-3.215,-3.044,-3.044,2.011,-48.791,-0.38,0,-0.38,-44.544,-44.544,0,0.115,-44.809,-84.392,9.554,0
2014-03-31,58.64800,42.63900,28.25600,70.89500,-61.48000,-1.92300,-75.67400,-190.07600,-60.53300,-68.92500,,-76.36800,,,0.25900,-145.03400,-10.29300,,-10.29300,0.42400,0.42400,,-0.37700,-10.24600,-215.43700,10.29800,
2013-12-31,171.317,37.092,-151.722,-114.63,27.875,3.486,35.626,68.771,125.458,-2.524,0,-159.101,197.362,197.362,2.3,38.037,-0.306,0,-0.306,0.156,0.156,0,-8.128,-8.278,179.624,6.634,0
2013-09-30,98.409,38.465,-7.427,31.038,-126.633,5.396,-20.018,-46.255,83.192,-46.566,0,-123.759,-1.707,-1.707,37.476,-134.556,-0.227,0,-0.227,0.049,0.049,0,-2.274,-2.452,-53.96,7.669,0
2013-06-30,74.726,35.325,15.795,51.12,-1.684,-3.393,26.903,-8.07,117.776,-101.974,0,0,-0.925,-0.925,-13.326,-116.225,0,0,0,0.326,0.326,0,-1.29,-0.964,-3.506,12.042,0
2013-03-31,76.85700,34.89400,8.64200,43.53600,30.84300,0.49700,-59.96700,-76.26100,44.13200,-56.09300,,-0.97700,-8.54500,-8.54500,,-65.61500,,,,0.49700,0.49700,,-5.45400,-4.95700,-28.08200,8.03600,
2012-12-31,102.009,37.838,9.137,46.975,-32.274,5.114,57.799,26.24,175.224,-57.416,0,0,0,0,0,-57.416,-125.009,0,-125.009,0.812,0.812,0,-4.679,-128.876,266.492,5.87,0
2012-09-30,100.856,38.708,5.631,44.339,-272.38,-1.137,-48.716,-187.734,-42.539,-69.802,0,0,0,0,-1.541,-71.343,85.986,0,85.986,0.649,0.649,0,-6.799,79.836,-44.659,6.634,0
2012-06-30,69.797,36.375,8.195,44.57,1.42,19.256,-65.986,-6.732,107.635,-38.61,0,-26.823,-48.844,-48.844,0,-114.277,38.967,0,38.967,0.445,0.445,0,-6.615,32.797,-4.499,7.597,0
2012-03-31,49.99400,35.82800,9.65800,45.48600,-38.59100,3.20200,-88.03700,-168.96100,-73.48100,-31.25500,,-41.90400,-4.90600,-4.90600,,-78.06500,,,,0.47900,0.47900,,0.42000,0.89900,-137.98200,5.88900,
2011-12-31,70.808,28.673,-31.035,-2.362,-18.366,7.864,-40.576,42.877,111.323,-29.754,0,-25.727,0,0,0,-55.481,-0.034,0,-0.034,0.312,0.312,0,-5.467,-5.189,57.511,3.27,0
2011-09-30,55.6,34.836,17.931,52.767,-196.598,-11.15,37.312,-67.582,40.785,-38.28,0,-53.933,0,0,-4.455,-96.668,-1.152,0,-1.152,-55.021,-55.021,0,-4.308,-60.481,-122.544,4.716,0
2011-06-30,34.313,33.26,5.337,38.597,-45.435,-9.15,15.591,-16.752,56.158,-50.814,0,0,-35,-35,0,-85.814,0.046,0,0.046,-94.478,-94.478,0,-0.955,-95.387,-122.637,5.953,0
2011-03-31,-16.30500,31.63000,15.69000,47.32000,-9.84900,-1.14500,-7.04800,-35.20300,-4.18800,-34.29500,,,,,,-34.29500,-0.19700,,-0.19700,0.50700,0.50700,,2.01400,2.32400,-36.20200,5.54100,
2010-12-31,34.434,27.493,-0.664,26.829,76.662,-3.663,143.817,177.627,238.89,-26.879,0,-130.251,0,0,0,-157.13,1.142,0,1.142,0.078,0.078,0,-2.204,-0.984,97.974,3.175,0
2010-09-30,63.7,37.284,29.954,67.238,-113.914,-5.693,-125.891,-185.645,-54.707,-24.527,0,0,0,0,0,-24.527,-0.041,0,-0.041,0.036,0.036,0,-0.017,-0.022,-78.571,5.703,0
2010-06-30,33.323,30.737,6.133,36.87,2.972,-7.583,-92.425,-40.444,29.749,-25.396,0,0,0,0,0,-25.396,-143.812,0,-143.812,0.23,0.23,0,0.018,-143.564,-140.006,5.76,0
2010-03-31,24.10000,31.51100,16.33700,47.84800,16.79700,0.34800,9.29100,-68.32200,3.62600,-42.86700,,,,,,-42.86700,-3.29400,,-3.29400,0.19000,0.19000,,1.96900,-1.13500,-39.80500,6.00200,
2009-12-31,44.445,46.576,8.045,54.621,116.912,13.081,-39.626,-0.757,98.309,-39.843,0,50.382,0,0,0,10.539,3.173,0,3.173,0.329,0.329,0,0.084,3.586,115.591,5.24,0
2009-09-30,63.956,22.855,35.116,57.971,75.205,-3.391,-36.99,-13.968,107.959,-33.937,0,-14.148,0,0,0,-48.085,-0.006,0,-0.006,0.504,0.504,0,0.115,0.613,59.682,4.969,0
2009-06-30,33.644,21.049,7.62,28.669,-47.087,-2.18,21.214,-2.885,59.428,-42.697,0,0,0,0,0,-42.697,-1.953,0,-1.953,0.023,0.023,0,-0.076,-2.006,15.547,4.964,0
2009-03-31,21.49000,22.26800,13.02800,35.29600,108.04000,0.02600,1.61200,54.41600,111.20200,-39.43900,,,,,,-39.43900,0.80100,,0.80100,0.11900,0.11900,,-1.63200,-0.71200,70.90800,4.70200,
