,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,9,829,108,937,78,34,-27,85,1031,-242,558,-584,-584,30,-238,-199,-8,-207,-566,-566,-52,-825,-27,94
2020-03-31,377.00000,844.00000,-363.00000,481.00000,200.00000,-88.00000,-82.00000,30.00000,888.00000,-246.00000,-110.00000,584.00000,584.00000,36.00000,264.00000,-208.00000,7.00000,-201.00000,-922.00000,-922.00000,-11.00000,-1134.00000,1.00000,108.00000
2019-12-31,241,800,172,972,-158,121,2,-35,1178,-290,933,-41,-41,27,629,-817,0,-817,-250,-250,89,-978,967,108
2019-09-30,225,582,35,617,91,145,-40,196,1038,-221,-16029,-1,-1,78,-16173,7928,0,7928,-26,-26,-134,7768,-7371,87
2019-06-30,223,191,-157,34,54,-2,-103,-51,206,-112,8,-3,-3,7,-100,7969,0,7969,22,22,-108,7883,7989,15
2019-03-31,225.00000,205.00000,17.00000,222.00000,6.00000,-26.00000,-54.00000,-74.00000,373.00000,-98.00000,56.00000,,,6.00000,-36.00000,-93.00000,,-93.00000,-151.00000,-151.00000,-56.00000,-300.00000,37.00000,19.00000
2018-12-31,286,150,42,192,-79,116,104,93,571,-97,-712,-3,-3,6,-806,663,0,663,-677,-677,-9,-23,-258,19
2018-09-30,227,136,56,192,-18,-17,-62,-49,368,-94,419,-417,-417,-1,-93,467,0,467,-414,-414,-3,50,325,18
2018-06-30,251,136,16,152,-78,-21,-65,-164,241,-92,0,-1,-1,-2,-95,201,0,201,-381,-381,7,-173,-34,17
2018-03-31,423.00000,134.00000,-136.00000,-2.00000,67.00000,38.00000,-154.00000,-49.00000,372.00000,-77.00000,,418.00000,418.00000,-10.00000,331.00000,-297.00000,,-297.00000,-399.00000,-399.00000,,-696.00000,57.00000,19.00000
2017-12-31,546,114,-269,-155,-98,63,108,73,468,-79,-3,0,0,0,-82,-211,0,-211,-194,-194,0,-405,0,15
2017-09-30,232,111,50,161,-36,31,-61,-66,324,-72,-305,-10,-10,6,-381,368,0,368,-285,-285,0,83,26,15
2017-06-30,221,111,20,131,17,-40,-50,-123,228,-60,19,0,0,1,-40,93,0,93,-290,-290,0,-197,-9,17
2017-03-31,247.00000,108.00000,18.00000,126.00000,42.00000,,-2.00000,90.00000,463.00000,-76.00000,-78.00000,,,,-154.00000,75.00000,,75.00000,-376.00000,-376.00000,,-301.00000,8.00000,16.00000
2016-12-31,215,115,33,148,-73,61,38,26,389,-67,0,0,0,-1,-68,-68,0,-68,-261,-261,5,-324,-3,14
2016-09-30,214,104,8,112,-18,74,-27,29,355,-78,0,-1,-1,1,-78,73,0,73,-319,-319,9,-237,40,15
2016-06-30,212,102,-2,100,-7,-76,-51,-134,178,-73,0,0,0,2,-71,102,0,102,-257,-257,28,-127,-20,17
2016-03-31,289.00000,100.00000,18.00000,118.00000,10.00000,113.00000,-21.00000,102.00000,509.00000,-72.00000,-265.00000,,,,-337.00000,156.00000,,156.00000,-329.00000,-329.00000,9.00000,-164.00000,8.00000,22.00000
2015-12-31,189,105,34,139,-18,13,69,64,391,-67,0,-4,-4,7,-64,80,0,80,-445,-445,4,-361,-34,14
2015-09-30,218,106,26,132,-37,97,-54,6,355,-89,0,0,0,-4,-93,-3,0,-3,-479,-479,-1,-483,-221,15
2015-06-30,127,104,61,165,19,-9,-49,-39,254,-113,0,0,0,0,-113,288,0,288,-224,-224,29,93,234,18
2015-03-31,178.00000,102.00000,21.00000,123.00000,34.00000,47.00000,-36.00000,45.00000,346.00000,-90.00000,,,,,-90.00000,49.00000,,49.00000,-303.00000,-303.00000,,-254.00000,2.00000,18.00000
2014-12-31,181,104,23,127,-50,21,68,39,347,-67,0,0,0,0,-67,-49,0,-49,-349,-349,3,-395,-115,12
2014-09-30,239,101,1,102,-17,101,-34,50,391,-75,0,7,7,-2,-70,0,0,0,-244,-244,4,-240,80,10
2014-06-30,166,99,26,125,26,2,-42,-14,277,-80,0,0,0,1,-79,0,0,0,-179,-179,3,-176,22,12
2014-03-31,168.00000,100.00000,3.00000,103.00000,-1.00000,44.00000,-22.00000,21.00000,292.00000,-70.00000,,,,,-70.00000,,,,-323.00000,-323.00000,8.00000,-315.00000,-93.00000,15.00000
2013-12-31,221,102,-65,37,-40,0,91,100,358,-65,0,2,2,-1,-64,-83,0,-83,-111,-111,-18,-212,79,9
2013-09-30,159,101,24,125,-20,40,-8,0,284,-61,-14,2,2,-1,-74,-21,0,-21,-188,-188,5,-204,1,11
2013-06-30,151,103,-2,101,-14,-40,-27,-77,175,-52,0,0,0,116,64,-96,0,-96,-176,-176,3,-269,-36,12
2013-03-31,117.00000,97.00000,27.00000,124.00000,27.00000,,-42.00000,-19.00000,222.00000,-58.00000,-16.00000,,,,-74.00000,-138.00000,,-138.00000,-54.00000,-54.00000,4.00000,-188.00000,-2.00000,14.00000
2012-12-31,179,88,25,113,-36,16,12,-8,284,-48,0,1,1,32,-15,-221,0,-221,-38,-38,4,-255,51,9
2012-09-30,139,89,-90,-1,-37,-16,-11,24,162,-44,0,21,21,-1,-24,30,0,30,-156,-156,-6,-132,5,10
2012-06-30,161,86,2,88,43,9,-67,-103,146,-43,0,6,6,-2,-39,18,0,18,-136,-136,3,-115,-9,11
2012-03-31,132.00000,87.00000,6.00000,93.00000,18.00000,-9.00000,0.00000,9.00000,234.00000,-58.00000,,,,,-58.00000,,,,-208.00000,-208.00000,4.00000,-204.00000,-26.00000,14.00000
2011-12-31,143,86,6,92,-89,67,51,29,264,-46,0,0,0,0,-46,-121,0,-121,-39,-39,1,-159,56,10
2011-09-30,127,86,69,155,-22,14,-11,-19,263,-42,-462,-4,-4,46,-462,-157,0,-157,-38,-38,0,-195,-394,8
2011-06-30,90,88,64,152,-20,-59,-28,-107,135,-46,0,0,0,2,-44,241,0,241,-163,-163,-4,74,158,9
2011-03-31,112.00000,85.00000,9.00000,94.00000,48.00000,57.00000,-28.00000,77.00000,283.00000,-56.00000,-49.00000,,,-6.00000,-111.00000,,,,-220.00000,-220.00000,2.00000,-218.00000,-46.00000,12.00000
2010-12-31,116,87,92,179,-29,22,42,9,304,-46,0,14,14,58,26,-378,0,-378,-138,-138,0,-516,-180,10
2010-09-30,132,85,18,103,-41,21,8,-12,223,-45,-1,0,0,-18,-64,268,0,268,-37,-37,-13,218,405,9
2010-06-30,127,83,14,97,19,-43,-18,-53,171,-42,-8,0,0,7,-43,-76,0,-76,-126,-126,0,-202,-78,10
2010-03-31,121.00000,84.00000,7.00000,91.00000,39.00000,,-2.00000,48.00000,260.00000,-42.00000,,,,7.00000,-35.00000,-126.00000,,-126.00000,-50.00000,-50.00000,5.00000,-171.00000,53.00000,10.00000
2009-12-31,118,85,30,115,-36,-71,30,-22,211,-47,0,0,0,12,-35,-141,0,-141,-32,-32,0,-173,85,8
2009-09-30,115,84,56,140,0,0,-14,-11,244,-53,0,0,0,-67,-120,-106,0,-106,-52,-52,-1,-159,-28,8
2009-06-30,140,83,-18,65,80,-52,-24,-41,164,-53,0,0,0,2,-51,-127,0,-127,-31,-31,1,-157,-1,9
2009-03-31,103.00000,81.00000,16.00000,97.00000,,52.00000,-8.00000,31.00000,231.00000,-45.00000,,,,3.00000,-42.00000,-101.00000,,-101.00000,-15.00000,-15.00000,4.00000,-112.00000,77.00000,11.00000
