,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-12-31,225,64,-7,57,-62,-11,55,70,352,-36,0,0,0,0,0,-36,-193,-193,3,3,-81,-2,-273,38,32,-81
2018-09-30,213,65,9,74,34,-3,-88,-170,117,-31,0,0,0,0,0,-31,216,216,-185,-185,-82,-18,-69,17,38,-82
2018-06-30,-486,-192,352,160,94,36,68,96,-230,79,2,0,0,0,0,81,-185,-185,166,166,205,10,196,41,-50,205
2018-03-31,486.00000,192.00000,-352.00000,-160.00000,-94.00000,-36.00000,-68.00000,-96.00000,230.00000,-79.00000,-2.00000,,,,,-81.00000,185.00000,185.00000,-166.00000,-166.00000,-205.00000,-10.00000,-196.00000,-41.00000,50.00000,-205.00000
2017-12-31,131,65,-21,44,40,1,-39,103,278,-20,0,0,0,0,-2,-22,-80,-80,-71,-71,-68,-1,-220,34,13,-68
2017-09-30,159,65,-23,42,-54,-24,-65,-106,95,-23,0,0,0,0,0,-23,-35,-35,-61,-61,-69,-9,-174,-96,11,-69
2017-06-30,-422,-239,-34,-273,-14,26,75,206,-489,-296,0,0,0,0,25,-271,313,313,410,410,199,20,942,185,-33,199
2017-03-31,422.00000,239.00000,34.00000,273.00000,14.00000,-26.00000,-75.00000,-206.00000,489.00000,296.00000,,,,,-25.00000,271.00000,-313.00000,-313.00000,-410.00000,-410.00000,-199.00000,-20.00000,-942.00000,-185.00000,33.00000,-199.00000
2016-12-31,177,81,-53,28,164,-52,-115,47,252,-28,0,0,0,0,0,-28,-85,-85,12,12,-66,-1,-140,77,11,-66
2016-09-30,160,86,-77,9,-39,2,-62,-126,43,-21,0,0,0,0,-25,-46,-30,-30,-85,-85,-68,-18,-201,-203,11,-68
2016-06-30,-164,-262,-164,-426,-102,22,58,83,-507,82,0,0,19,19,11,112,392,392,-36,-36,189,15,560,179,-29,189
2016-03-31,164.00000,262.00000,164.00000,426.00000,102.00000,-22.00000,-58.00000,-83.00000,507.00000,-82.00000,,,-19.00000,-19.00000,-11.00000,-112.00000,-392.00000,-392.00000,36.00000,36.00000,-189.00000,-15.00000,-560.00000,-179.00000,29.00000,-189.00000
2015-12-31,-152,86,254,340,138,17,-21,135,323,-25,0,0,0,0,0,-25,-54,-54,14,14,-63,0,-103,191,9,-63
2015-09-30,148,94,-57,37,82,-108,3,-121,64,-24,0,0,0,0,0,-24,-132,-132,19,19,-64,-15,-192,-161,10,-64
2015-06-30,-390,-164,-26,-190,87,17,16,185,-395,102,-7,0,0,0,0,95,32,32,116,116,149,39,336,73,-26,149
2015-03-31,390.00000,164.00000,26.00000,190.00000,-87.00000,-17.00000,-16.00000,-185.00000,395.00000,-102.00000,7.00000,,,,,-95.00000,-32.00000,-32.00000,-116.00000,-116.00000,-149.00000,-39.00000,-336.00000,-73.00000,26.00000,-149.00000
2014-12-31,139,53,10,63,22,-1,-26,-60,142,-38,0,0,0,0,0,-38,22,22,-40,-40,-49,-2,-69,21,9,-49
2014-09-30,125,51,7,58,-38,-30,22,-103,80,-41,7,0,0,0,0,-34,-6,-6,-82,-82,-50,-12,-150,-112,8,-50
2014-06-30,-403,-148.6,-56.9,-205.5,75.8,5.3,16.4,154.5,-454,139.7,-27,0,0,0,0,116,76.8,76.8,88.2,88.2,135.5,0,300.5,-28.6,-28.5,135.5
2014-03-31,403.00000,148.60000,56.90000,205.50000,-75.80000,-5.30000,-16.40000,-154.50000,454.00000,-139.70000,27.00000,,,,,-116.00000,-76.80000,-76.80000,-88.20000,-88.20000,-135.50000,,-300.50000,28.60000,28.50000,-135.50000
2013-12-31,136.1,50.4,6.4,56.8,-23.5,-32.4,-39.2,-86,106.9,-51.6,0,0,0,0,0,-51.6,5,5,-12.9,-12.9,-45.1,0,-53,-2.8,10.1,-45.1
2013-09-30,125.7,50,40,90,20.8,12.4,-9.8,-43.1,172.6,-33.4,27,0,0,0,0,-6.4,-64.5,-64.5,-44.1,-44.1,-45.3,0,-153.9,16.2,8.4,-45.3
2013-06-30,-53.1,-164.3,-363.8,-528.1,-88,31.7,-87.5,68,-513.2,131.5,-147.4,0.8,-11.9,-11.1,0,-27,123.8,123.8,189.9,189.9,124.6,0,438.3,-103,-25.6,124.6
2013-03-31,53.10000,164.30000,363.80000,528.10000,88.00000,-31.70000,87.50000,-68.00000,513.20000,-131.50000,147.40000,-0.80000,11.90000,11.10000,,27.00000,-123.80000,-123.80000,-189.90000,-189.90000,-124.60000,,-438.30000,103.00000,25.60000,-124.60000
2012-12-31,44.8,55.4,94.3,149.7,-20.8,33.7,44.1,-35.5,159,-39,0,0,4,4,0,-35,-48.2,-48.2,-32.4,-32.4,-42.1,0,-122.7,1.3,9,-42.1
2012-09-30,-86,54.8,232.6,287.4,78.4,-43.6,-8.1,-80.9,120.5,-43.7,0,-0.8,7.9,7.1,0,-36.6,-70.8,-70.8,-3.4,-3.4,-41.9,0,-116.1,-29.2,6,-41.9
2012-06-30,100.7,-194,-530.8,-724.8,78.6,18.7,-27.1,140.9,-483.2,175.3,14,1,0,1,0,190.3,-165.2,-165.2,425.7,425.7,102.2,0,362.7,67.9,-26.4,102.2
2012-03-31,-100.70000,194.00000,530.80000,724.80000,-78.60000,-18.70000,27.10000,-140.90000,483.20000,-175.30000,-14.00000,-1.00000,,-1.00000,,-190.30000,165.20000,165.20000,-425.70000,-425.70000,-102.20000,,-362.70000,-67.90000,26.40000,-102.20000
2011-12-31,132.3,66,4.1,70.1,62.2,-10.7,49.1,-3.1,199.3,-40.6,-14,0,0,0,0,-54.6,-18.9,-18.9,-13.7,-13.7,-31.9,0,-64.5,81.6,7.3,-31.9
2011-09-30,121.1,63.3,9.1,72.4,-83.9,32.2,-4.7,-114.8,78.7,-81.9,0,0,0,0,0,-81.9,380.1,380.1,-403.3,-403.3,-32.6,0,-55.8,-61.5,9.3,-32.6
2011-06-30,-454.2,-148.5,-54,-202.5,19.6,44.6,-19.3,99.9,-556.8,196.2,548.4,10,0,10,0,754.6,-855.1,-855.1,136.8,136.8,95.7,0,-622.6,-429.9,-36.5,95.7
2011-03-31,454.20000,148.50000,54.00000,202.50000,-19.60000,-44.60000,19.30000,-99.90000,556.80000,-196.20000,-548.40000,-10.00000,,-10.00000,,-754.60000,855.10000,855.10000,-136.80000,-136.80000,-95.70000,,622.60000,429.90000,36.50000,-95.70000
2010-12-31,151.1,49.4,18.6,68,-6.1,18.8,2,-124.7,94.4,-66.8,0,0,0,0,0,-66.8,444.6,444.6,-42.3,-42.3,-31.8,0,370.5,399.4,10.1,-31.8
2010-09-30,163.9,46.8,17.3,64.1,68.2,-20.3,-1.8,66.9,294.9,-41.4,-518,-10,0,-10,0,-569.4,244.1,244.1,-52.9,-52.9,-32.2,0,159,-113.8,16,-32.2
2010-06-30,-410.2,-121,-28.2,-149.2,-119.7,46.9,-43.8,-75.9,-635.3,136.2,40.2,0,0,0,0,176.4,106.6,106.6,143.6,143.6,86.4,0,336.6,-124.5,-28.8,86.4
2010-03-31,410.20000,121.00000,28.20000,149.20000,119.70000,-46.90000,43.80000,75.90000,635.30000,-136.20000,-40.20000,0.00000,,,,-176.40000,-106.60000,-106.60000,-143.60000,-143.60000,-86.40000,,-336.60000,124.50000,28.80000,-86.40000
2009-12-31,139.5,38.7,4.8,43.5,68.4,-42.2,39,3.9,186.9,-21.8,-34.7,0,0,0,0,-56.5,19.7,19.7,-44.3,-44.3,-28.8,0,-53.4,79.1,10.1,-28.8
2009-09-30,104.5,42.1,17.5,59.6,29.2,-29.8,31.9,-29.6,134.5,-20.6,1,0,0,0,0,-19.6,-81.1,-81.1,-55.2,-55.2,-29,0,-165.3,-50.1,11.1,-29
2009-06-30,-194.3,-127.5,-173.4,-300.9,30,48,-57.1,90.7,-404.5,96.9,9.1,-2.5,0,-2.5,0,103.5,2,2,124.6,124.6,80.1,0,206.7,-82,-27.5,80.1
2009-03-31,194.30000,127.50000,173.40000,300.90000,-30.00000,-48.00000,57.10000,-90.70000,404.50000,-96.90000,-9.10000,2.50000,,2.50000,,-103.50000,-2.00000,-2.00000,-124.60000,-124.60000,-80.10000,,-206.70000,82.00000,27.50000,-80.10000
