,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-04-30,2245.00000,607.00000,20.00000,627.00000,-534.00000,-633.00000,133.00000,2834.00000,5737.00000,-586.00000,,,,8.00000,-578.00000,4933.00000,-974.00000,3959.00000,-773.00000,-773.00000,-1611.00000,-125.00000,1450.00000,6563.00000,88.00000,-1611.00000
2020-01-31,2481,595,149,744,128,1195,11,-451,2894,-808,0,0,0,35,-773,1992,279,2271,-2961,-2961,-1481,-20,-2191,-60,54,-1481
2019-10-31,2769,594,107,701,40,-978,-20,-1205,2250,-635,0,0,0,4,-631,-16,695,679,-1262,-1262,-1486,-4,-2073,-354,58,-1486
2019-07-31,3479,560,106,666,53,776,-60,-303,3830,-560,0,0,0,-1,-561,389,-372,17,-1128,-1128,-1492,-18,-2621,665,53,-1492
2019-04-30,2513.00000,547.00000,91.00000,638.00000,-391.00000,-1586.00000,268.00000,1471.00000,4713.00000,-675.00000,,,,-13.00000,-688.00000,-15.00000,-967.00000,-982.00000,-1334.00000,-1334.00000,-1499.00000,-98.00000,-3913.00000,104.00000,86.00000,-1499.00000
2019-01-31,2344,549,415,964,229,797,147,-194,3129,-752,-21,0,0,50,-723,3449,-59,3390,-4349,-4349,-1156,-252,-2367,14,78,-1156
2018-10-31,2867,541,116,657,-4,-686,-143,-1276,2129,-615,0,0,0,-3,-618,-1164,1398,234,-2382,-2382,-1175,-43,-3366,-1726,60,-1175
2018-07-31,3506,530,-51,479,127,332,-78,-60,3926,-527,0,0,0,0,-527,-18,-350,-368,-1889,-1889,-1184,27,-3414,-109,60,-1184
2018-04-30,2404.00000,532.00000,75.00000,607.00000,-319.00000,-1687.00000,-103.00000,970.00000,3981.00000,-548.00000,,,,,-548.00000,-10.00000,-1209.00000,-1219.00000,-1107.00000,-1107.00000,-1189.00000,115.00000,-3400.00000,4.00000,84.00000,-1189.00000
2018-01-31,1779,529,227,756,234,692,-262,-665,2290,-534,-114,0,0,-4,-652,-9,1435,1426,-1835,-1835,-1038,-170,-1617,46,59,-1038
2017-10-31,2165,518,69,587,1,-588,17,-873,1879,-493,8,0,0,0,-485,484,125,609,-2126,-2126,-1044,-43,-2604,-1281,66,-1044
2017-07-31,2672,510,53,563,49,863,77,63,3298,-378,-268,0,0,0,-646,1984,0,1984,-2526,-2526,-1061,35,-1568,1265,67,-1061
2017-04-30,2014.00000,505.00000,16.00000,521.00000,-145.00000,-1051.00000,286.00000,2029.00000,4564.00000,-445.00000,,,,,-445.00000,-11.00000,-710.00000,-721.00000,-1258.00000,-1258.00000,-1069.00000,-33.00000,-3081.00000,1027.00000,81.00000,-1069.00000
2017-01-31,1744,499,82,581,-30,684,-37,-461,1864,-468,0,0,0,0,-468,-11,710,699,-2263,-2263,-837,-45,-2446,-1051,68,-837
2016-10-31,1969,496,21,517,-17,-958,60,-1444,1042,-441,0,0,0,0,-441,1959,0,1959,-2079,-2079,-849,-34,-1003,-429,66,-849
2016-07-31,2441,492,53,545,-34,824,-25,255,3241,-353,0,0,0,0,-353,-11,0,-11,-1192,-1192,-856,-24,-2083,761,61,-856
2016-04-30,1803.00000,486.00000,-6.00000,480.00000,-57.00000,-1319.00000,57.00000,1353.00000,3636.00000,-321.00000,,,,,-321.00000,-23.00000,-350.00000,-373.00000,-1128.00000,-1128.00000,-862.00000,25.00000,-2338.00000,1041.00000,72.00000,-862.00000
2016-01-31,1471,479,230,709,39,630,-7,-173,2007,-401,140,-144,-144,0,-405,-10,350,340,-1878,-1878,-744,-82,-2364,-824,67,-744
2015-10-31,1725,469,-12,457,12,-348,13,-750,1432,-362,-1806,144,144,0,-2024,1489,0,1489,-1943,-1943,-754,-75,-1283,-1896,55,-754
2015-07-31,2234,461,-72,389,115,370,-50,-93,2530,-380,144,0,0,0,-236,2483,0,2483,-1873,-1873,-764,15,-139,2109,53,-764
2015-04-30,1579.00000,454.00000,-31.00000,423.00000,-347.00000,-1198.00000,115.00000,1402.00000,3404.00000,-317.00000,,,,,-317.00000,-10.00000,-290.00000,-300.00000,-1078.00000,-1078.00000,-769.00000,146.00000,-2001.00000,1104.00000,69.00000,-769.00000
2015-01-31,1379,441,74,515,140,851,-48,101,1995,-415,-200,111,111,0,-504,-9,290,281,-1348,-1348,-618,-175,-1860,-458,51,-618
2014-10-31,1537,449,-74,375,18,-386,-24,-950,962,-364,-112,212,212,0,-264,-9,0,-9,-2048,-2048,-627,-31,-2715,-2035,55,-627
2014-07-31,2050,449,-70,379,194,683,-77,288,2717,-335,112,0,0,0,-223,1972,0,1972,-2171,-2171,-639,48,-790,1705,52,-639
2014-04-30,1379.00000,447.00000,131.00000,578.00000,-433.00000,-1272.00000,-8.00000,611.00000,2568.00000,-280.00000,,,,,-280.00000,-12.00000,,-12.00000,-1181.00000,-1181.00000,-646.00000,133.00000,-1706.00000,582.00000,67.00000,-646.00000
2014-01-31,1013,440,57,497,204,228,50,137,1647,-371,-191,0,0,0,-562,-1264,0,-1264,-2023,-2023,-544,-141,-3972,-2924,59,-544
2013-10-31,1351,440,102,542,-66,-264,49,-630,1263,-347,-2,0,0,0,-349,3220,0,3220,-2086,-2086,-556,-50,528,1434,53,-556
2013-07-31,1795,442,62,504,106,684,-113,-278,2021,-320,0,0,0,0,-320,-9,0,-9,-2064,-2064,-566,20,-2619,-918,51,-566
2013-04-30,1226.00000,435.00000,-24.00000,411.00000,-259.00000,-1103.00000,49.00000,1060.00000,2697.00000,-263.00000,-13.00000,,,,-276.00000,1986.00000,,1986.00000,-2132.00000,-2132.00000,-577.00000,134.00000,-589.00000,1843.00000,65.00000,-577.00000
2013-01-31,1021,427,104,531,245,246,-85,39,1591,-396,-49,0,0,0,-445,-9,0,-9,-567,-567,-431,-192,-1199,-60,60,-431
2012-10-31,947,424,233,657,-133,-16,218,-481,1123,-330,-76,0,0,0,-406,-7,0,-7,-556,-556,-432,11,-984,-256,51,-432
2012-07-31,1532,423,42,465,-1,624,8,-226,1771,-315,-45,0,0,0,-360,-9,0,-9,-1358,-1358,-436,35,-1768,-381,49,-436
2012-04-30,1035.00000,410.00000,43.00000,453.00000,-254.00000,-1204.00000,-99.00000,1002.00000,2490.00000,-221.00000,,,,,-221.00000,-7.00000,,-7.00000,-719.00000,-719.00000,-444.00000,87.00000,-1083.00000,1204.00000,58.00000,-444.00000
2012-01-31,774,417,192,609,139,371,152,-423,960,-381,-65,0,0,0,-446,-7,0,-7,-199,-199,-445,-100,-751,-247,58,-445
2011-10-31,934,416,81,497,-71,-50,100,-227,1204,-342,101,0,0,0,-241,-7,0,-7,-797,-797,-389,-64,-1257,-317,49,-389
2011-07-31,1363,425,44,469,122,925,-63,557,2389,-258,0,0,0,0,-258,-7,0,-7,-901,-901,-395,-73,-1376,745,48,-395
2011-04-30,812.00000,424.00000,68.00000,492.00000,-360.00000,-990.00000,-10.00000,794.00000,2098.00000,-184.00000,,,,,-184.00000,987.00000,,987.00000,-1267.00000,-1267.00000,-403.00000,19.00000,-664.00000,1261.00000,60.00000,-403.00000
2011-01-31,587,426,231,657,217,390,-124,-645,599,-388,0,0,0,0,-388,-6,0,-6,-586,-586,-385,-108,-1085,-880,53,-385
2010-10-31,834,426,53,479,-73,-219,46,-690,623,-261,0,0,0,0,-261,-8,0,-8,-761,-761,-391,-176,-1336,-970,49,-391
2010-07-31,1192,428,33,461,121,701,-85,-329,1324,-223,0,0,0,0,-223,-12,0,-12,-660,-660,-394,-71,-1137,-41,48,-394
2010-04-30,725.00000,438.00000,1.00000,439.00000,-367.00000,-1227.00000,49.00000,875.00000,2039.00000,-140.00000,,,,,-140.00000,-5.00000,,-5.00000,-497.00000,-497.00000,-399.00000,8.00000,-893.00000,1015.00000,64.00000,-399.00000
2010-01-31,342,442,108,550,216,653,-151,-431,461,-381,0,11,11,0,-370,-759,0,-759,-79,-79,-381,-185,-1404,-1298,41,-381
2009-10-31,689,453,29,482,29,-34,224,165,1336,-174,0,3,3,0,-171,-1004,0,-1004,-95,-95,-382,-89,-1570,-388,51,-382
2009-07-31,1116,458,40,498,69,740,-45,-13,1601,-131,0,0,0,0,-131,-7,0,-7,32,32,-381,-216,-572,893,55,-381
2009-04-30,514.00000,453.00000,-40.00000,413.00000,-337.00000,-734.00000,6.00000,800.00000,1727.00000,-102.00000,,19.00000,19.00000,,-83.00000,-4.00000,,-4.00000,2.00000,2.00000,-381.00000,426.00000,43.00000,1695.00000,54.00000,-381.00000
2009-01-31,2260,1902,637,2539,121,743,249,729,5528,-1700,0,-29,-29,0,-1729,-313,-1732,-2045,14,14,-1521,-128,-3680,74,176,-1521
