,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-09-30,-41.05,34.377,40.917,75.294,-4.837,-7.084,8.605,-8.861,25,-18.094,0,-99.813,-23.107,-23.107,0,-141.014,0,0,25.587,25.587,0.079,25.666,-94.189,41.49
2014-06-30,-50.363,30.425,37.927,68.352,-2.071,-1.099,14.215,26.167,42.059,-16.437,0,0,-40.591,-40.591,0,-57.028,0,0,6.597,6.597,-0.323,6.274,-8.645,37.604
2014-03-31,-43.31100,27.98200,28.28900,56.27100,-0.02700,12.07500,20.03000,10.75000,24.21700,-10.96800,,,-64.66000,-64.66000,-0.05500,-75.68300,,,22.21400,22.21400,0.94000,23.15400,-28.38300,29.22900
2013-12-31,-24.232,22.19,20.784,42.974,-22.518,0.156,22.418,18.203,36.267,-16.262,0,0,-293.382,-293.382,-0.003,-309.647,562.941,562.941,92.651,92.651,-135.974,519.618,245.209,20.856
2013-09-30,-14.713,15.649,18.605,34.254,8.903,-0.283,-4.874,0.856,20.72,-16.824,0,-13.33,-6.571,-6.571,-0.011,-36.736,0,0,16.003,16.003,-0.754,15.249,0.861,17.851
2013-06-30,-21.405,13.108,14.108,27.216,-12.953,1.346,5.241,3.593,9.736,-11.82,0,0,-33.418,-33.418,-0.163,-45.401,0,0,10.362,10.362,0.72,11.082,-24.549,14.828
2013-03-31,-13.35800,10.82500,10.19500,21.02000,-2.93800,-1.47100,20.14800,6.78000,15.02300,-10.41500,,,-0.59600,-0.59600,,-11.01100,,,21.46800,21.46800,1.15300,22.62100,25.79300,12.04600
2012-12-31,-9.931,9.854,4.372,14.226,-22.276,4.993,6.096,9.526,16.671,-9.91,0,0,-57.031,-57.031,0.037,-66.904,0,0,0.524,0.524,51.722,52.246,2.013,9.349
2012-09-30,-13.053,8.385,11.181,19.566,-8.342,-1.069,9.746,2.564,9.077,-11.93,0,0,-117.202,-117.202,0,-129.133,0,0,171.179,171.179,0.276,171.455,51.494,8.213
2012-06-30,-8.724,5.925,6.986,12.911,-4.781,-0.47,7.088,2.752,6.939,-11.668,0,0,-7.55,-7.55,0,-19.218,0,0,-1.086,-1.086,-0.703,-1.789,-14.658,6.457
2012-03-31,-5.64000,4.38900,2.95800,7.34700,2.05800,1.43300,9.83600,14.37200,16.07900,-8.55800,,,-15.34500,-15.34500,0.00800,-23.89400,,,18.96700,18.96700,0.96000,19.92700,12.05200,3.91800
2011-12-31,-5.148,-5.736,-4.263,-9.999,7.768,-1.866,-22.957,-21.294,-36.441,9.193,0,0,0,0,-0.15,9.043,0,0,-2.766,-2.766,-0.021,-2.787,-30.579,-4.224
2011-09-30,0.121,2.385,2.391,4.776,-0.637,0.767,4.287,4.787,9.684,-2.517,0,0,0,0,0,-2.517,0,0,1.782,1.782,0,1.782,9.183,2.391
2011-06-30,5.027,3.351,1.872,5.223,-7.131,1.099,18.67,16.507,26.757,-6.676,0,0,0,0,0.15,-6.526,0,0,0.984,0.984,0.021,1.005,21.396,1.833
2011-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,-23.8,1.93,0,1.93,0,0,0,13.05,-7.69,-1.26,0,0,0,0,0.64,-0.6,0,51.24,0,-24.27,0,26.97,18.6,0
2009-06-30,-5.9,0.62,0,0.62,0,0,0,5.25,0.16,-0.32,0,0,0,0,-0.52,-0.85,0,0,0,3.7,0,3.7,3.01,0
