,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-09-30,20.00000,64.20000,80.10000,144.30000,-38.10000,-116.70000,37.10000,-26.80000,-158.60000,5.70000,-71.90000,,,-1.70000,-1.70000,,-73.60000,-0.20000,,-0.20000,-266.90000,-266.90000,-96.80000,-13.50000,-377.40000,-447.10000,17.10000,-96.80000
2019-06-30,148.9,78.4,32.6,111,-25.2,18.4,3.7,-9.3,-70.3,189.6,-90,0,-4.1,-2.4,-2.4,0,-96.5,-0.1,0,-0.1,-96.3,-96.3,-97.9,-3.4,-197.7,-106.1,19.4,-97.9
2019-03-31,117.4,63.5,41.1,104.6,85.1,-81,-56.1,-100.1,-218.5,3.5,-67.8,0,-1.7,-2.7,-2.7,0,-72.2,-0.3,0,-0.3,0.8,0.8,-97.9,-2.4,-99.8,-161.7,22.3,-97.9
2018-12-31,254.8,65.3,30.9,96.2,-59.7,108.6,-10.8,68.1,267.4,618.4,-61.2,0,-22,-99.3,-99.3,0,-182.5,-0.1,0,-0.1,4.6,4.6,-97.7,-0.6,-93.8,332.3,21.1,-97.7
2018-09-30,122.30000,61.00000,48.80000,109.80000,25.50000,-150.70000,23.40000,-83.70000,-251.20000,-19.10000,-55.20000,,-15.70000,-152.10000,-152.10000,,-223.00000,-0.20000,,-0.20000,26.20000,26.20000,-97.20000,-23.10000,-94.30000,-338.70000,22.00000,-97.20000
2018-06-30,211.7,71.7,22,93.7,-84.2,18.4,59.4,88.1,105.6,411,-80.8,0,-2.6,-0.3,-0.3,0,-83.7,-0.8,0,-0.8,5.8,5.8,-97,-0.3,-92.3,211.7,20.4,-97
2018-03-31,140.3,62.3,89.7,152,64.6,-0.5,-44.7,-111.3,-136.8,155.5,-60.1,0,-53,20.5,20.5,0,-92.6,-1100,0,-1100,99.6,99.6,-96.1,-1.9,-1098.4,-1033.3,22.4,-96.1
2017-12-31,63.2,60.8,-30.1,30.7,-17.6,168.5,-68.2,307.6,440.9,534.8,-77.6,0,0,310.7,310.7,0,233.1,0,0,0,16.8,16.8,-95.9,-3.3,-82.4,691.7,18.5,-95.9
2017-09-30,-17.70000,65.50000,88.10000,153.60000,31.60000,-156.00000,-23.80000,-45.80000,-239.70000,-103.80000,-48.90000,,-2320.20000,147.50000,147.50000,,-2221.60000,1100.00000,,1100.00000,43.50000,43.50000,-95.10000,-26.00000,1022.40000,-1299.60000,20.00000,-95.10000
2017-06-30,151.7,64.1,3.9,68,-65.3,11.1,60.3,46.4,104.1,323.8,-91,6.3,0,115.2,115.2,0,30.5,997.2,0,997.2,29.7,29.7,-94.8,-12.4,919.7,1278.4,18.5,-94.8
2017-03-31,122.2,48.5,75.3,123.8,71,-4.2,-24.3,-34.2,-44.1,201.9,-70.4,-0.3,0,33.4,33.4,0,-37.3,0,0,0,14,14,-94.7,-2.5,-83.2,84.8,18.9,-94.7
2016-12-31,199.7,47.9,40.5,88.4,-35.7,59.2,-19.6,9.2,78.1,366.2,71.9,2.6,0,-30.3,-30.3,0,44.2,0,0,0,6,6,-94.5,-1.1,-89.6,309.7,20.2,-94.5
2016-09-30,117.40000,52.30000,26.80000,79.10000,0.60000,-86.10000,-8.00000,-26.80000,-234.60000,-38.10000,-67.60000,-6.80000,,630.00000,630.00000,,555.60000,-285.00000,,-285.00000,20.70000,20.70000,-94.00000,-19.10000,-377.40000,141.00000,16.00000,-94.00000
2016-06-30,81.5,54,-49,5,18.9,19.6,0.6,55.4,162.9,249.4,-120,-0.6,-47.8,33.3,33.3,0,-135.1,-7.5,0,-7.5,30.6,30.6,-93.8,-9.6,-80.3,37.4,21.1,-93.8
2016-03-31,112.5,49.5,32.3,81.8,40.7,-17.8,26.6,-55.7,4.9,199.2,-100.9,-8.3,-31.5,11.5,11.5,0,-129.2,-3.8,0,-3.8,-6.2,-6.2,-93.7,8,-95.7,-22.2,21.2,-93.7
2015-12-31,170.1,52.7,15.1,67.8,-58.6,134.4,-68.6,41.3,64.1,302,-106,0,-35.2,-184.1,-184.1,0,-325.3,-3.7,0,-3.7,1.8,1.8,-93.7,-2.6,-98.2,-122.2,21.6,-93.7
2015-09-30,96.40000,54.40000,51.80000,106.20000,-29.30000,-95.50000,-7.00000,2.20000,-194.60000,8.00000,-69.50000,,-51.40000,-99.50000,-99.50000,,-220.40000,,,,2.90000,2.90000,-93.30000,-20.30000,-110.70000,-325.80000,22.90000,-93.30000
2015-06-30,11.7,54.6,51.8,106.4,10.3,-2.2,49.5,-29.9,68.5,186.6,-74.8,1.1,-561.3,40.3,40.3,0,-594.7,0,0,0,19.5,19.5,-93.2,-6.3,-80,-490.2,21.9,-93.2
2015-03-31,88.1,47.4,37.7,85.1,32.1,-17.3,4.2,-18.6,-6,167.2,-44.9,-11.6,-32.6,84,84,0,-5.1,896.7,-20,876.7,4.6,4.6,-93,-4.3,784,945.7,22.7,-93
2014-12-31,183.5,46.5,25.2,71.7,-28,141.4,-10.9,30.4,189.5,444.7,-39.2,0,-35.9,56,56,0,-19.1,0,-150,-150,3.4,3.4,-93,-3.6,-243.2,175.4,22.4,-93
2014-09-30,119.10000,43.30000,59.50000,102.80000,-14.10000,-92.70000,21.60000,30.00000,-83.00000,138.90000,-40.40000,,-28.90000,75.30000,75.30000,,6.00000,-0.50000,30.00000,29.50000,9.00000,9.00000,-92.60000,-17.40000,-71.50000,69.00000,21.90000,-92.60000
2014-06-30,75.2,51.3,76.4,127.7,0.2,-8.6,43.6,-15.6,113.2,316.1,-62,0,-26.1,54.3,54.3,0,-33.8,0,-70,-70,3.1,3.1,-92.8,4.8,-154.9,128.4,26.3,-92.8
2014-03-31,190.8,45.2,39.5,84.7,31.4,-34.5,-25.8,-11.8,-170.7,104.8,-50.9,0,-21.6,-78.4,-78.4,0,-150.9,0,210,210,-171.5,-171.5,-93.9,-1.7,-57.1,-104.7,25.8,-93.9
2013-12-31,297.4,47.9,31,78.9,-54.7,83.8,-28.1,-8.2,24.1,400.4,-60.8,0,-23.1,-207.7,-207.7,0,-291.6,-0.5,0,-0.5,-157.4,-157.4,-94.8,-1.9,-254.6,-146.4,25.5,-94.8
2013-09-30,217.90000,45.00000,30.20000,75.20000,-0.60000,-104.80000,-19.90000,-22.90000,-129.00000,164.10000,-45.90000,,-20.20000,-165.30000,-165.30000,,-231.40000,,,,-150.50000,-150.50000,-95.00000,-36.00000,-281.50000,-348.20000,17.50000,-95.00000
2013-06-30,221.323,47.334,25.738,73.072,-3.658,-29.233,45.027,9.084,80.198,374.593,-81.469,0,-93.863,-20.618,-20.618,0,-195.95,-21.547,0,-21.547,20.868,20.868,0.024,9.007,8.352,186.456,31.291,0.024
2013-03-31,238.932,39.834,35.002,74.836,42.631,-35.642,-13.904,13.664,-104.373,209.395,-42.832,0,-7.893,-55.37,-55.37,0,-106.095,-0.103,0,-0.103,5.006,5.006,-84.271,-1.109,-80.477,17.702,30.183,-84.271
2012-12-31,352.764,39.728,23.494,63.222,-48.896,97.798,22.241,11.567,211.852,627.838,-60.809,0,0,-105.912,-105.912,0,-166.721,-0.554,0,-0.554,-193.777,-193.777,-169.687,4.728,-359.29,97.902,30.493,-169.687
2012-09-30,221.38100,36.10400,29.36600,65.47000,-4.27700,-71.52300,-22.96400,-7.81500,-84.67700,202.17400,-56.29000,,-45.44400,,,,-101.73400,-0.09600,,-0.09600,-151.69700,-151.69700,-85.76600,-20.12600,-257.68500,-156.46000,28.53300,-85.76600
2012-06-30,251.43,34.176,38.437,72.613,-0.321,-7.405,47.171,-72.114,-41.221,282.822,-72.733,0,0,-13.901,-13.901,0,-86.634,-0.094,0,-0.094,-160.833,-160.833,-64.698,14.355,-211.27,-12.455,28.425,-64.698
2012-03-31,225.002,33.651,-29.335,4.316,44.575,-48.23,-27.698,12.331,-126.521,102.797,-41.391,0,-45.64,-3.418,-3.418,0,-90.449,-0.516,0,-0.516,-119.107,-119.107,-65.014,23.497,-161.14,-155.925,27.494,-65.014
2011-12-31,347.495,33.028,11.723,44.751,-60.003,85.972,-7.625,1.517,218.858,611.104,-39.29,0,0,-4.563,-4.563,0,-43.853,-0.094,0,-0.094,-267.208,-267.208,-65.311,5.649,-326.964,239.876,26.986,-65.311
2011-09-30,214.98300,32.05400,47.00900,79.06300,-10.81600,-102.01700,24.64600,17.87300,-69.08000,224.96600,-30.89500,,-7.59500,,,,-38.49000,-0.09100,,-0.09100,32.21900,32.21900,-65.25300,-9.38200,-42.50700,145.93700,24.60600,-65.25300
2011-06-30,202.481,31.257,42.793,74.05,-7.756,-32.827,25.043,-41.357,-55.885,220.646,-56.766,0,-1.629,71.162,71.162,0,12.767,-0.09,0,-0.09,-303.439,-303.439,-44.229,-0.699,-348.457,-112.958,24.463,-44.229
2011-03-31,186.015,30.37,18.59,48.96,45.953,-31.21,-10.583,-27.684,-7.566,227.409,-41.78,0,-4.002,82.182,82.182,0,36.4,-0.094,-27.119,-27.213,-165.342,-165.342,-44.829,2.262,-235.122,28.508,24.044,-44.829
2010-12-31,303.428,31.228,-3.855,27.373,-46.279,96.998,-2.783,7.353,76.959,407.76,-26.118,0,-3.152,-65.008,-65.008,0,-94.278,-0.476,27.119,26.643,-169.039,-169.039,-44.283,35.428,-151.251,162.861,24.981,-44.283
2010-09-30,188.87600,32.25100,31.66600,63.91700,-23.74900,-97.68100,-1.93500,32.93500,-75.33700,177.45600,-23.08000,,-0.77600,9.33600,9.33600,,-14.52000,-0.08600,,-0.08600,-98.02300,-98.02300,-44.77400,2.58700,-140.29600,24.90100,22.34200,-44.77400
2010-06-30,195.527,32.733,14.89,47.623,13.309,-55.601,-7.622,38.181,-61.625,181.525,-29.496,0,0,104.95,104.95,0,75.454,-0.085,0,-0.085,-343.667,-343.667,-22.869,0.028,-366.593,-106.308,22.478,-22.869
2010-03-31,157.636,32.578,3.754,36.332,60.625,-37.821,-8.79,8.88,11.148,205.116,-14.721,0,0,-204.878,-204.878,0,-219.599,-0.09,0,-0.09,-360.439,-360.439,-23.729,0.28,-383.978,-400.399,20.054,-23.729
2009-12-31,240.95,28.053,-3.52,24.533,-74.828,65.875,28.337,18.76,98.214,363.697,-16.865,0,-1.2,0,0,0,-18.065,-0.057,0,-0.057,-231.586,-231.586,-23.883,18.632,-236.894,108.497,19.92,-23.883
2009-09-30,140.82700,33.38000,10.40400,43.78400,5.23800,-6.33100,-10.90600,-1.70400,55.92800,240.53900,-20.03400,,,,,,-20.03400,-0.44700,-7.49600,-7.94300,-1.01000,-1.01000,-23.84300,0.36200,-32.43400,194.31800,18.96800,-23.84300
2009-06-30,145.793,31.191,41.989,73.18,21.118,37.685,33.563,14.708,51.223,270.196,-25.569,0,-9.893,0,0,0,-35.462,7.496,-1.896,5.6,4.503,4.503,0,-0.871,9.232,249.095,17.886,0
2009-03-31,477.576,91.823,51.144,142.967,-17.809,-33.615,-70.58,16.658,-81.587,538.956,-214.76,0,-14.507,0,0,0,-229.267,-0.285,1.896,1.611,-450.926,-450.926,0,0,-449.315,-147.638,49.656,0
