,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-04-30,180.7,96.8,60.7,157.5,-146.2,-7.7,21.8,264.3,244.4,582.6,-124.2,0,2147.5,-3551.1999,-1403.6999,1.6,-1526.3,0,0,41.1,41.1,0,30.5,71.6,-871.1,59.8,0
2012-01-31,119.6,87.1,78.8,165.9,-59.8,9.5,-56,77.4,-16.3,269.2,-91.3,0,0,-61.6001,-61.6001,-2,-154.9,0,0,49.1,49.1,0,-2.5,46.6,151.9,76.7,0
2011-10-31,165.6,79.9,17,96.9,-29.4,-25.1,22.8,64.2,107.7,370.2,-93.3,0,0,-205.4,-205.4,0.3,-298.4,0,0,-394.7,-394.7,0,53.9,-340.8,-274.2,63,0
2011-07-31,139.50000,82.20000,24.10000,106.30000,145.00000,6.80000,22.80000,68.50000,-5.20000,240.60000,-98.30000,-480.00000,,245.80000,245.80000,1.70000,-330.80000,,,-153.40000,-153.40000,,32.40000,-121.00000,-214.10000,58.10000,
2011-04-30,160.6,56.2,52.1,108.3,-185.2,-14.4,41,189.1,189.9,458.8,-72.9,-61.6,0,417,417,-0.3,282.2,0,0,12.2,12.2,0,63,75.2,837.9,48.2,0
2011-01-31,186.4,54.3,41.6,95.9,-98.9,-12.2,16.3,111.4,72.1,354.4,-66.3,0,0,-240.7,-240.7,0.8,-306.2,0,0,75.9,75.9,0,24.1,100,148.3,45,0
2010-10-31,175.4,54.6,15.9,70.5,-70.2,6,15.8,32.8,109.9,355.8,-43.3,0,0,-300.8999,-300.8999,-0.1,-344.3,0,0,96.2,96.2,0,39.6,135.8,159.1,37.7,0
2010-07-31,150.70000,53.60000,54.90000,108.50000,91.60000,25.00000,-34.40000,57.50000,-81.90000,177.30000,-40.20000,-74.90000,,-293.90000,-293.90000,0.10000,-408.90000,,,139.90000,139.90000,,,139.90000,-93.00000,44.30000,
2010-04-30,145.2,53,36.1,89.1,-13.4,-41.2,43.1,139.4,240.3,474.6,-38.4,0,0,-768.9,-768.9,4.1,-803.2,0,0,40.4,40.4,0,21.8,62.2,-270.8,37.7,0
2010-01-31,107.9,53.3,18.3,71.6,-139.6,-11.2,16.5,62.5,15.4,194.9,-49.7,0,0,11,11,0.5,-38.2,0,0,96.6,96.6,0,-0.4,96.2,247,36.7,0
2009-10-31,95.6,54.4,25.1,79.5,14.5,0.7,-2.4,-5.1,92.2,267.3,-22.8,0,0,-336,-336,4,-354.8,0,0,26.8,26.8,0,1.4,28.2,-55.6,33.2,0
2009-07-31,51.70000,56.10000,69.20000,125.30000,117.20000,-0.40000,-14.50000,-10.20000,-138.80000,38.20000,-24.70000,,,233.60000,233.60000,-0.40000,208.50000,,,33.30000,33.30000,,,33.30000,290.20000,52.20000,
2009-04-30,68.447,52.897,9.605,62.502,-101.567,21.059,15.156,-47.583,64.616,195.565,-134.699,0,0,-292.69,-292.69,1.518,-425.871,-199.2,-26.6,12.504,12.504,0,32.536,18.44,-214.021,42.203,0
2009-01-31,-3.847,158.603,73.095,231.698,230.267,-11.959,-42.156,276.683,465.784,693.635,-154.901,0,0,175.89,175.89,-598.418,-577.429,1265,1092.4,-163.504,-163.504,0,-250.736,678.16,771.721,98.597,0
