,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-09-30,23.117,236.67,-12.559,224.111,11.105,56.923,304.321,-32.383,19.575,-1166.636,-1147.061,-78.374,-1257.818,-116.6099,-116.6099,65.651,65.651,-251.25,1260.741,958.532,4.699,4.869,-251.25
2015-06-30,150.286,243.608,-2.883,240.725,-14.01,-18.303,373.555,-22.258,57.225,-74.5211,-17.2961,-48.663,-88.217,-107.0941,-107.0941,66.84,66.84,-263.826,-41.355,-345.435,-59.693,4.885,-263.826
2015-03-31,120.75900,240.33100,-8.13700,232.19400,20.40700,-11.04300,344.16900,-21.17100,,-906.19790,-906.19790,18.83900,-908.53000,615.28910,615.28910,285.32700,285.32700,-257.27500,-13.79600,629.54500,64.87700,6.30700,-257.27500
2014-12-31,107.597,237.499,0.177,237.676,1.746,-6.08,334.873,-31.219,-96.689,-232.061,-328.75,-458.901,-818.87,447.6089,447.6089,242.107,242.107,-236.748,23.068,476.036,-9.247,4.202,-236.748
2014-09-30,109.564,198.652,-8.404,190.248,-2.053,17.216,324.27,-20.709,21.689,-852.114,-830.425,0.397,-850.737,724.9221,724.9221,0,0,-214.914,-9.929,500.079,-22.04,5.381,-214.914
2014-06-30,138.566,186.605,-13.079,173.526,0.588,-4.229,311.281,-19.392,0,-85.149,-85.149,-62.542,-167.083,110.003,110.003,0,0,-214.839,-11.565,-116.401,26.844,5.367,-214.839
2014-03-31,121.27400,186.52800,-4.81400,181.71400,12.99400,-21.64300,284.42100,-16.13400,,-180.71600,-180.71600,-21.50000,-218.35000,113.98100,113.98100,,,-214.87500,-0.76300,-101.65700,-35.02500,6.04400,-214.87500
2013-12-31,108.439,192.553,3.226,195.7789,19.624,59.255,359.326,-30.98,0,-71.836,-71.836,-1.843,-104.659,-22.7011,-22.7011,35.341,35.341,-214.914,-12.225,-214.499,40.144,5.643,-214.914
2013-09-30,118.599,180.262,-5.47,174.7921,-0.408,32.089,327.741,-18.175,0,-1070.243,-1070.243,53.907,-1034.511,881.715,881.715,23.618,23.618,-197.706,-8.636,698.991,-7.749,4.21,-197.706
2013-06-30,114.533,186.224,-5.027,181.197,-13.171,-19.314,277.383,-12.664,5.493,-214.407,-208.914,18.515,-203.063,46.8491,46.8491,77.334,77.334,-197.692,3.96,-69.549,4.731,5.138,-197.692
2013-03-31,113.09800,178.30400,-3.94900,174.35500,0.07100,-60.05300,230.30500,-19.79500,,-44.92500,-44.92500,124.19300,59.47300,-94.83810,-94.83810,5.05000,5.05000,-196.85100,-13.30800,-299.94700,-10.21800,5.66200,-196.85100
2012-12-31,86.126,188.9781,-11.616,177.3621,6.925,16.067,283.497,-27.16,37.5,-500.672,-463.172,-465.451,-955.783,888.017,888.017,0,0,-184.394,-21.961,681.662,9.378,4.255,-184.394
2012-09-30,111.821,182.345,-19.424,162.9209,-4.32,-26.713,248.511,-18.458,0,-189.21,-189.21,-31.187,-238.855,179.3641,179.3641,0,0,-184.4,1.067,-3.969,5.727,5.443,-184.4
2012-06-30,73.736,187.023,-28.444,158.579,-10.607,-19.409,215.847,-13.793,0,-898.904,-898.904,-22.042,-934.739,548.8079,548.8079,342.469,342.469,-183.833,11.064,718.508,-0.421,6.252,-183.833
2012-03-31,90.09200,149.36800,-10.47000,138.89800,21.72700,12.92200,244.96100,-10.01900,,8.34700,8.34700,-38.64000,-40.31200,-13.86900,-13.86900,,,-180.36500,-3.05300,-197.28700,7.41700,4.83400,-180.36500
2011-12-31,192.497,153.728,-0.405,153.323,-0.858,-21.925,329.296,-21.815,0,-181.261,-181.261,48.561,-154.515,-4.5799,-4.5799,-0.079,-0.079,-164.435,-17.414,-186.508,-11.675,5.75,-164.435
2011-09-30,101.984,146.551,20.011,166.562,-1.936,-12.26,257.601,-15.109,0,-65.262,-65.262,-17.947,-98.318,30.5259,30.5259,0,0,-157.021,-1.81,-128.305,30.78,5.228,-157.021
2011-06-30,19.734,80.499,-9.501,70.998,-19.645,-35.492,55.531,-5.717,0,-264.464,-264.464,-506.106,-776.287,814.623,814.623,0,0,-108.211,-0.861,705.551,-15.197,4.352,-108.211
2011-03-31,49.04600,53.60400,18.02400,71.62800,13.71300,9.69700,130.76900,-7.83200,23.05000,,23.05000,16.46300,31.68100,-348.43900,-348.43900,299.92600,299.92600,-93.73800,-0.20500,-142.45600,20.08700,4.01600,-93.73800
2010-12-31,78.702,56.253,-15.491,40.762,-13.68,-17.923,101.503,-6.599,0,-2.718,-2.718,-24.127,-33.444,-1.677,-1.677,0,0,-84.164,5.708,-80.133,-11.978,3.95,-84.164
2010-09-30,58.894,52.651,1.263,53.914,13.212,25.364,138.402,-4.516,0,-213.674,-213.674,-28.849,-247.039,200.058,200.058,0,0,-84.092,-1.45,114.516,5.996,4.039,-84.092
2010-06-30,58.965,51.004,2.039,53.043,-20.493,-19.561,92.156,-2.783,0,11.22,11.22,0.131,8.568,-118.673,-118.673,0,0,-83.948,-2.143,-204.764,-104.935,3.057,-83.948
2010-03-31,53.16800,53.14200,0.39900,53.54100,14.02700,8.79900,115.56100,-4.29500,,-11.10600,-11.10600,-14.60400,-30.00500,21.47800,21.47800,,,-83.88100,1.33200,-61.07100,25.33200,3.03200,-83.88100
2009-12-31,54.778,57.529,-0.545,56.984,-14.744,-12.68,98.904,-3.882,0,-16.247,-16.247,-9.042,-29.171,51.421,51.421,0,0,-80.313,-4.338,-33.23,36.508,2.667,-80.313
2009-09-30,50.43,50.708,-0.013,50.695,12.826,26.835,128.055,-3.156,0,-3.182,-3.182,0.207,-6.131,-11.956,-11.956,0,0,-80.271,-5.597,-97.824,24.366,3.078,-80.271
2009-06-30,89.183,48.944,-33.072,15.872,-25.431,-23.3,81.586,-0.158,0,-10.971,-10.971,6.051,-5.078,-339.627,-339.627,299.201,299.201,-80.269,-5.351,-126.046,-49.283,3.078,-80.269
2009-03-31,74.96900,48.65800,-27.59200,21.06600,21.87800,17.36400,113.55600,-3.87000,,48.22700,48.22700,-5.72300,38.63400,-152.20200,-152.20200,,,-73.54600,-7.33200,-233.08000,-81.00600,3.05900,-73.54600
