,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-09-30,117.00000,229.00000,40.00000,269.00000,-359.00000,-381.00000,1296.00000,795.00000,1181.00000,-66.00000,-6139.00000,64.00000,-3.00000,61.00000,,-6144.00000,-402.00000,-6.00000,-408.00000,-150.00000,-150.00000,-150.00000,-36.00000,-744.00000,-5698.00000,17.00000,-150.00000
2017-06-30,278,192,302,494,-558,337,339,-48,724,-94,-17,-194,329,135,0,24,4921,-22,4899,0,0,-142,3,4760,5511,23,-142
2017-03-31,382,186,47,233,39,284,-1338,-813,-198,-80,-102,0,-10,-10,0,-192,0,-8,-8,0,0,-142,22,-128,-513,26,-142
2016-12-31,324,166,58,224,160,-996,1284,6,554,-113,-1,-34,21,-13,0,-127,-59,8,-51,-350,-350,-144,9,-536,-120,24,-144
2016-09-30,310.00000,173.00000,33.00000,206.00000,-306.00000,-298.00000,279.00000,-412.00000,104.00000,-100.00000,-9.00000,34.00000,-35.00000,-1.00000,,-110.00000,-1.00000,25.00000,24.00000,-250.00000,-250.00000,-149.00000,25.00000,-350.00000,-355.00000,23.00000,-149.00000
2016-06-30,335,176,142,318,-145,278,-24,-12,641,-181,-218,-200,200,0,0,-399,-1,-8,-9,-351,-351,-126,7,-479,-242,29,-126
2016-03-31,386,159,40,199,-328,108,408,334,919,-109,-99,0,-2,-2,0,-210,-1,-5,-6,-300,-300,-127,-5,-438,274,26,-127
2015-12-31,326,169,48,217,-45,-1070,2006,920,1463,-92,-1885,-25,9,-16,0,-1993,0,3,3,0,0,-128,15,-110,-650,26,-128
2015-09-30,384.00000,137.00000,46.00000,183.00000,-348.00000,-495.00000,425.00000,-619.00000,-52.00000,-83.00000,-1399.00000,25.00000,-21.00000,4.00000,,-1478.00000,-4.00000,36.00000,32.00000,,,-131.00000,-13.00000,-112.00000,-1642.00000,30.00000,-131.00000
2015-06-30,295,115,264,379,-152,71,291,194,868,-108,-237,0,-118,-118,0,-463,1490,-3,1487,-350,-350,-114,5,1028,1433,30,-114
2015-03-31,365,116,42,158,-427,287,219,135,658,-56,-233,0,3,3,0,-286,-1,9,8,0,0,-113,35,-70,302,27,-113
2014-12-31,289,112,84,196,0,-1336,1595,468,953,-47,28,-16,16,0,0,-19,-38,-58,-96,-326,-326,-114,14,-522,412,28,-114
2014-09-30,266.00000,108.00000,32.00000,140.00000,-291.00000,199.00000,-157.00000,-345.00000,61.00000,-36.00000,-61.00000,16.00000,,16.00000,,-81.00000,,40.00000,40.00000,-360.00000,-360.00000,-119.00000,63.00000,-376.00000,-396.00000,25.00000,-119.00000
2014-06-30,234,115,66,181,-548,-208,1196,301,716,-111,-351,0,-102,-102,0,-564,-1,49,48,-503,-503,-103,230,-328,-176,24,-103
2014-03-31,315,110,-5,105,53,450,-304,400,820,-48,-118,0,20,20,0,-146,0,-8,-8,-259,-259,-104,-3,-374,300,24,-104
2013-12-31,278,117,46,163,25,-1198,764,-404,37,-64,-25,0,0,0,0,-89,-1,53,52,64,64,-103,27,40,-12,24,-103
2013-09-30,339.00000,117.00000,37.00000,154.00000,1395.00000,1098.00000,-1852.00000,458.00000,951.00000,-26.00000,-25.00000,,,,,-51.00000,,20.00000,20.00000,25.00000,25.00000,-105.00000,12.00000,-48.00000,852.00000,24.00000,-105.00000
2013-06-30,-586,122,891,1013,135,-27,212,-127,300,-92,-20,0,-6,-6,0,-118,-299,10,-289,-192,-192,-95,-10,-586,-404,25,-95
2013-03-31,345,99,53,152,-147,193,183,492,989,-41,-2093,0,-6,-6,0,-2140,1286,-28,1258,37,37,-93,-1,1201,50,22,-93
2012-12-31,304,88,34,122,299,-329,-433,-556,-130,-36,-26,0,48,48,0,-14,-2,27,25,5,5,-81,10,-41,-185,22,-81
2012-09-30,271.00000,88.00000,27.00000,115.00000,-71.00000,-207.00000,464.00000,182.00000,568.00000,-26.00000,-100.00000,,23.00000,23.00000,,-103.00000,-4.00000,-10.00000,-14.00000,-179.00000,-179.00000,-84.00000,-22.00000,-299.00000,166.00000,24.00000,-84.00000
2012-06-30,237,86,178,264,181,375,-893,-608,-107,-102,-31,0,22,22,0,-111,290,5,295,-131,-131,-74,-7,83,-135,22,-74
2012-03-31,333,83,-10,73,-477,683,94,487,893,-57,-136,0,11,11,0,-182,-44,4,-40,12,12,-74,3,-99,612,21,-74
2011-12-31,262,78,26,104,236,-1392,708,-480,-114,-56,0,0,14,14,0,-42,-1,9,8,-7,-7,-75,17,-57,-213,22,-75
2011-09-30,237.00000,78.00000,22.00000,100.00000,-69.00000,-161.00000,410.00000,167.00000,504.00000,-45.00000,-7.00000,,10.00000,10.00000,,-42.00000,,-5.00000,-5.00000,-282.00000,-282.00000,-77.00000,-17.00000,-381.00000,81.00000,20.00000,-77.00000
2011-06-30,202.7,73.8,148.1,221.9,121.9,383.1,-630.4,-304.4,120.2,-104.9,-5,0,9.7,9.7,0,-100.2,-0.4,4.5,4.1,26.8,26.8,-68.1,-15.3,-52.5,-32.5,19.6,-68.1
2011-03-31,246.1,97.5,43.1,140.6,-470.4,552.2,223.6,527.3,914,-59.8,0,0,-14.6,-14.6,0,-74.4,-218.7,41.5,-177.2,25.1,25.1,-67.9,-5.8,-225.8,613.8,18,-67.9
2010-12-31,215.4,73.2,27.7,100.9,163.8,-868.5,729.7,-172.5,143.8,-61.4,-1735.1,0,-141,-141,0,-1937.5,485.5,0,485.5,2.5,2.5,-67.7,9.2,429.5,-1364.2,21,-67.7
2010-09-30,294.80000,68.50000,-49.90000,18.60000,-272.30000,-731.80000,1033.10000,-96.40000,217.00000,-61.90000,-559.90000,,705.90000,705.90000,,84.10000,-0.40000,,-0.40000,-261.40000,-261.40000,-70.30000,-12.10000,-344.20000,-43.10000,21.40000,-70.30000
2010-06-30,223.3,59.6,103.6,163.2,386.4,858.1,-1271.7,-62.4,324.1,-124,145.2,0,0.3,0.3,-0.1,21.4,-0.4,0,-0.4,-164.5,-164.5,-62.8,-1,-228.7,116.8,21,-62.8
2010-03-31,222.4,68.6,33.1,101.7,-634.6,746.1,223.5,555.2,879.3,-60.4,12.8,0,135.7,135.7,0,88.1,-0.3,0,-0.3,-3.4,-3.4,-63,-8.7,-75.4,892,36.9,-63
2009-12-31,234.5,59.5,7.7,67.2,985.3,-1099.1,496.1,222.9,524.6,-43.4,0,0,135,135,0,91.6,-350.5,0,-350.5,-52.2,-52.2,-63,11.5,-454.2,162,20.1,-63
2009-09-30,-38.20000,66.30000,218.60000,284.90000,-716.10000,-28.10000,1003.10000,159.30000,406.00000,-32.20000,-32.00000,,,,-9.90000,-74.10000,-1200.80000,,-1200.80000,30.10000,30.10000,-64.20000,1266.20000,31.30000,363.20000,22.00000,-64.20000
2009-06-30,273.2,57,-37.3,19.7001,268.8,912.5,-866.5,302.1,595,-242.2,26.1,0,0,0,-57.8,-273.9,-18.8,0,-18.8,0.5,0.5,-50.3,-2.7,-71.3,249.8,27.3,-50.3
2009-03-31,878.4,168.8,441.2,610,-982.4,-1343.7,1634.6,-659.5001,828.9,-179,-18.5,0,0,0,-71.5,-269,-282.6,0,-282.6,38.7,38.7,-150.1,-2.9,-396.9,163,82.6,-150.1
