,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-03-31,383.00000,720.00000,352.00000,1072.00000,39.00000,-17.00000,122.00000,73.00000,1528.00000,-1009.00000,,18.00000,18.00000,-46.00000,-1037.00000,-114.00000,-200.00000,-314.00000,,,-120.00000,21.00000,-413.00000,84.00000,,-120.00000
2012-12-31,322,229,704,933,165,-18,61,-50,1205,-578,-227,15,15,-618,-1408,1963,-1639,324,0,0,-120,11,215,13,0,-120
2012-09-30,450,362,273,635,-539,12,-94,-15,1070,-1353,-806,21,21,108,-2030,0,1289,1289,0,0,-120,6,1175,219,0,-120
2012-06-30,393,581,269,850,189,-25,25,-474,769,-1154,0,6,6,-47,-1195,-58,550,492,0,0,-119,-6,367,-61,0,-119
2012-03-31,417.00000,836.00000,-151.00000,685.00000,-296.00000,7.00000,-53.00000,-129.00000,973.00000,-809.00000,,15.00000,15.00000,-12.00000,-806.00000,-53.00000,,-53.00000,,,-121.00000,17.00000,-157.00000,20.00000,,-121.00000
2011-12-31,549,547,-74,473,-193,-14,91,12,1034,-416,-4470,18,18,-188,-5056,-34,0,-34,0,0,-105,26,-113,-4140,0,-105
2011-09-30,405,517,47,564,124,1,-3,111,1080,-721,0,5,5,-22,-738,0,0,0,-300,-300,-106,3,-403,-78,0,-106
2011-06-30,996,564,-19,545,236,17,13,277,1818,-599,0,28,28,-469,-1040,-34,0,-34,0,0,-178,-1569,-1781,-1005,0,-178
2011-03-31,996.00000,635.00000,598.00000,1233.00000,-158.00000,29.00000,131.00000,363.00000,2592.00000,-732.00000,,8.00000,8.00000,-109.00000,-833.00000,-2809.00000,,-2809.00000,,,-178.00000,2989.00000,2.00000,1765.00000,,-178.00000
2010-12-31,706,680,1616,2296,-285,-36,107,-120,2882,-819,0,23,23,431,-365,-33,0,-33,0,0,-178,2,-209,2308,0,-178
2010-09-30,696,91,-160,-69,-111,6,-54,234,861,-843,0,0,0,-271,-1114,0,0,0,0,0,-176,0,-176,-419,0,-176
2010-06-30,709,636,-507,129,180,194,-17,440,1278,-500,0,28,28,-660,-1132,-618,0,-618,0,0,-178,-2,-798,-656,0,-178
2010-03-31,457.00000,649.00000,-394.00000,255.00000,-193.00000,-235.00000,117.00000,137.00000,849.00000,-6.00000,,7.00000,7.00000,-11.00000,-10.00000,-2.00000,,-2.00000,,,-172.00000,2.00000,-172.00000,661.00000,,-172.00000
2009-12-31,355,-36,1231,1195,1053,80,110,410,1960,1639,0,59,59,-2770,-1072,-25,0,-25,4,4,-169,-12,-202,687,0,-169
2009-09-30,413,627,434,1061,-449,-190,-256,-203,1271,-1371,0,-35,-35,146,-1260,-3,0,-3,0,0,-170,0,-173,-126,0,-170
2009-06-30,413,683,76,759,-992,-12,108,26,1198,-1239,0,12,12,-121,-1348,-37,0,-37,0,0,-170,-1,-208,-373,0,-170
2009-03-31,282.00000,660.00000,85.00000,745.00000,200.00000,18.00000,67.00000,-188.00000,839.00000,-1566.00000,,23.00000,23.00000,-15.00000,-1558.00000,1488.00000,,1488.00000,,,-170.00000,-11.00000,1307.00000,584.00000,,-170.00000
