,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,172,40,55,95,329,112,-1316,312,-563,-288,-26,-5,-1435,-1435,536,-930,493,493,-483,-483,-51,-4652,-4693,-5856,23,-51
2020-03-31,169,63,214,277,-668,-81,2749,-36,1964,2397,-35,0,-860,-860,-693,-1588,-2,-8,310,310,-52,7047,7297,8003,31,-52
2019-12-31,268.00000,38.00000,46.00000,84.00000,465.00000,56.00000,188.00000,-524.00000,185.00000,546.00000,-36.00000,,-108.00000,-108.00000,-358.00000,-502.00000,-1.00000,5.00000,6.00000,6.00000,-51.00000,694.00000,654.00000,719.00000,43.00000,-51.00000
2019-09-30,265,31,28,59,-679,191,69,753,334,678,-36,0,-150,-150,-325,-511,-1,-51,-150,-150,-48,112,-137,19,24,-48
2019-06-30,259,35,-5,30,92,-112,-212,-182,-414,-121,-43,-5,-19,-19,-409,-476,-1,49,-85,-85,-48,495,411,-167,23,-48
2019-03-31,261,31,-47,-16,143,-124,-846,350,-477,-205,-32,0,-74,-74,-271,-377,-302,-302,-21,-21,-48,-56,-427,-985,28,-48
2018-12-31,249.00000,29.00000,181.00000,210.00000,444.00000,-58.00000,-242.00000,-378.00000,-234.00000,225.00000,-27.00000,,-140.00000,-140.00000,-366.00000,-533.00000,299.00000,299.00000,-457.00000,-457.00000,-47.00000,1731.00000,1526.00000,1163.00000,37.00000,-47.00000
2018-09-30,263,45,116,161,-347,-157,184,578,258,660,-38,0,-45,-45,-895,-978,-301,-1,-29,-29,-44,452,378,74,24,-44
2018-06-30,232,43,13,56,-17,266,-954,27,-678,-382,-26,-91,-118,-118,-448,-683,298,-2,9,9,-36,759,730,-352,19,-36
2018-03-31,243,9,67,76,-127,-296,303,-23,-143,184,-34,91,-195,-195,-603,-741,-301,-631,41,41,-39,-39,-668,-1248,18,-39
2017-12-31,119.00000,23.00000,43.00000,66.00000,,-53.00000,467.00000,-183.00000,231.00000,422.00000,-36.00000,-159.00000,-226.00000,-226.00000,-653.00000,-1074.00000,299.00000,19.00000,-20.00000,-20.00000,-32.00000,1013.00000,980.00000,321.00000,38.00000,-32.00000
2017-09-30,193.254,2.319,-179.84,-177.521,14.688,313.271,678.686,-2492.336,-1485.6909,-1453.087,-37.285,0,-179.604,-179.604,-487.256,-704.145,-202.028,407.972,3.996,3.996,-31.678,1382.456,1762.746,-354.027,32.581,-31.678
2017-06-30,183.424,16.698,-22.661,-5.963,-87.154,-275.882,-261.348,723.313,98.9289,292.836,-29.663,0,-296.975,-296.975,-460.525,-787.163,607.319,557.319,4.078,4.078,-32.295,-67.796,461.306,-20.847,21.035,-32.295
2017-03-31,112.755,12.227,154.963,167.19,-65.421,-199.865,64.204,147.406,-53.676,227.952,-44.681,0,-550.141,-550.141,-195.1301,-789.952,-351.153,-509.553,16.841,16.841,-31.772,1190.654,666.17,108.051,22.812,-31.772
2016-12-31,146.56700,9.75600,80.53800,90.29400,83.88700,346.47600,-481.54200,621.61700,570.43800,807.29900,-78.37100,,-313.28000,-313.28000,-703.08890,-1094.74000,98.86200,307.26200,-1.91500,-1.91500,-31.25500,900.68600,1174.77800,877.82300,32.57200,-31.25500
2016-09-30,171.67,11.693,-108.715,-97.022,-609.952,123.822,48.418,-159.871,-597.583,-532.885,-35.215,-175.283,-273.843,-273.843,-377.826,-862.167,791.101,553.301,42.33,42.33,-28.438,485.779,1052.972,-327.605,17.751,-28.438
2016-06-30,125.504,3.88,-16.323,-12.443,136.374,-22.079,-787.066,567.841,-104.93,17.066,-28.338,0,21.72,21.72,-462.639,-469.257,-251.106,-13.306,-33.566,-33.566,-28.845,1029.916,954.199,498.271,18.042,-28.845
2016-03-31,125.847,11.304,12.766,24.07,-383.372,-257.625,680.257,-499.348,-460.088,-305.472,-25.599,0,-23.332,-23.332,-687.903,-736.834,-1.09,-1.09,-130.182,-130.182,-29.046,71.848,-88.47,-1116.602,20.335,-29.046
2015-12-31,106.32900,20.49600,53.35400,73.85000,246.99800,144.34000,58.39100,-378.25100,71.47800,247.97300,-32.58100,,-80.72400,-80.72400,-736.34000,-849.64500,23.90900,-91.09100,2.24700,2.24700,-27.10600,737.72800,621.77800,-4.61800,22.40000,-27.10600
2015-09-30,129.186,17.364,5.414,22.778,-126.661,-11.298,665.955,-229.82,298.176,433.908,-22.446,-33.349,-74.881,-74.881,-1111.529,-1242.205,318.792,4.794,-50.581,-50.581,-26.028,892.563,820.748,18.925,14.136,-26.028
2015-06-30,133.195,-4.244,24.392,20.148,-249.062,39.151,74.902,59.99,-75.019,84.1,-22.022,17.526,127.071,127.071,208.666,331.241,-315.728,-53.33,-9.646,-9.646,-27.71,-275.922,-366.608,41.944,16.843,-27.71
2015-03-31,113.463,3.028,-1.195,1.833,259.882,-125.381,148.771,-271.796,11.476,141.037,-16.585,0,5.557,5.557,-489.18,-500.208,48.957,115.557,15.284,15.284,-25.779,181.314,286.376,-109.248,17.844,-25.779
2014-12-31,126.29600,9.62300,21.21600,30.83900,,169.11500,-96.97100,8.49800,80.64200,239.64900,-13.05800,,-0.13600,-0.13600,-752.24400,-765.43800,-10.97400,-60.67400,4.36500,4.36500,-23.62600,1069.46200,989.52700,450.32200,22.66500,-23.62600
2014-09-30,136.366,14.934,13.32,28.254,-224.24,-82.803,1984.873,-1807.0151,-129.185,56.667,-16.045,-46.737,83.988,83.988,-550.542,-529.336,24.141,94.765,4.243,4.243,-22.66,-239.624,-163.276,-646.694,17.647,-22.66
2014-06-30,122.689,11.892,7.215,19.107,-15.465,153.906,-182.172,216.535,172.8038,317.827,-12.784,46.737,11.141,11.141,-450.053,-404.959,468.793,468.793,5.491,5.491,-22.682,-151.305,300.297,203.881,14.546,-22.682
2014-03-31,104.56,4.588,-14.98,-10.392,80.143,-143.025,9.694,56.028,2.8402,116.577,-18.629,-2.007,65.439,65.439,-701.978,-657.175,-1.207,-1.207,9.902,9.902,-22.48,404.989,391.204,-160.076,16.54,-22.48
2013-12-31,116.63300,9.94500,15.76300,25.70800,,232.06200,-1812.39500,1463.19300,-117.14010,16.51600,-12.69100,,35.30300,35.30300,-527.90600,-505.29400,-17.21000,-17.21000,5.57000,5.57000,-20.28000,727.65600,695.73600,205.33600,20.87600,-20.28000
2013-09-30,117.458,17.377,-21.095,-3.718,58.417,-123.948,657.918,-463.359,129.028,246.628,-7.122,6.45,21.97,21.97,-396.948,-375.65,-89.629,-10.553,4.305,4.305,-19.591,164.101,138.262,11.071,13.394,-19.591
2013-06-30,83.862,5.882,13.994,19.876,29.745,150.408,-217.514,152.819,115.458,237.169,-18.824,0,262.474,262.474,-28.695,214.955,-101.483,-101.483,4.513,4.513,-19.545,79.574,-36.941,411.396,14.78,-19.545
2013-03-31,79.96,-49.448,55.394,5.946,0,111.69,-91.755,-174.547,-154.612,-61.981,-27.998,0,-25.014,-25.014,-55.643,-108.655,47.096,47.096,16.33,16.33,-19.489,115.811,159.748,-13.558,15.905,-19.489
2012-12-31,85.87400,11.91700,29.79000,41.70700,,-36.08900,958.95800,-815.91600,106.95300,237.98900,-18.93500,-6.45000,29.83200,29.83200,-387.07100,-382.62400,-8.49400,-8.49400,18.57800,18.57800,-17.96800,362.24700,354.36300,207.68700,17.78300,-17.96800
2012-09-30,83.325,-0.874,31.775,30.901,309.878,94.041,84.289,-426.932,61.276,175.502,-23.943,23.01,-57.317,-57.317,-164.364,-222.614,-17.7801,-17.7801,10.024,10.024,-18.127,322.021,296.138,250.985,13.955,-18.127
2012-06-30,76.35,10.229,34.449,44.678,-165.831,-270.68,-167.311,628.201,24.379,146.717,-22.39,-1096.961,-42.347,-42.347,-294.31,-1456.008,-219.949,-219.949,6.596,6.596,-17.777,394.694,163.564,-1146.823,11.434,-17.777
2012-03-31,68.869,-1.951,12.293,10.342,65.497,64.627,-58.509,-59.628,11.987,89.061,-17.535,0.33,-119.342,-119.342,-471.738,-608.285,935.926,935.926,369.549,369.549,-16.479,188.508,1477.504,958.904,12.93,-16.479
2011-12-31,67.32500,8.57900,5.64400,14.22300,-65.49700,-13.60400,141.53100,-164.79600,-102.36600,-19.99100,-13.64700,,59.30900,59.30900,-489.97000,-444.30800,-15.44700,-15.44700,-14.41200,-14.41200,-16.39900,-11.67300,-57.93100,-522.74100,17.41000,-16.39900
2011-09-30,68.927,8.764,1.276,10.04,244.615,96.283,-383.015,451.453,409.336,468.286,-9.03,0,-226.537,-226.537,-160.654,-396.221,-0.831,-0.831,-9.373,-9.373,-13.744,795.515,771.567,841.007,8.009,-13.744
2011-06-30,46.786,0.439,49.348,49.787,-87.369,-63.978,-7.64,-1.742,-160.729,-42.822,-12.196,-6.354,51.748,51.748,-138.675,-105.477,235.787,235.787,3.359,3.359,-16.478,249.962,472.63,343.52,5.928,-16.478
2011-03-31,80.917,9.043,16.55,25.593,-80.689,-18.497,323.875,-411.588,-186.899,-79.472,-6.474,0,67.909,67.909,62.122,123.557,-30.807,-30.807,18.522,18.522,-16.481,32.295,3.529,50.285,11.209,-16.481
2010-12-31,81.72300,9.09000,7.82700,16.91700,-76.55700,-112.00400,66.78000,1237.82400,1116.04300,1212.44900,-9.50000,,25.09700,25.09700,-37.59900,-22.00200,-2539.65400,-2539.65400,11.76400,11.76400,-16.38700,-382.83300,-2927.11000,-1738.35600,15.83200,-16.38700
2010-09-30,69.065,8.409,37.106,45.515,-165.564,53.038,133.469,-1160.847,-1139.904,-1039.797,-4.308,0,2.81,2.81,-49.831,-51.329,2491.407,2491.407,4.044,4.044,-13.809,683.689,3165.331,2077.043,9.803,-13.809
2010-06-30,60.687,4.762,32.717,37.479,410.698,124.369,-127.5,-459.259,-51.692,70.646,-4.735,0,25.415,25.415,104.634,125.314,5.481,5.481,5.436,5.436,-13.804,-255.828,-258.715,-62.79,7.861,-13.804
2010-03-31,55.628,-0.731,22.439,21.708,-433.135,-123.843,151.925,413.99,8.937,86.273,-7.417,0,40.046,40.046,69.533,102.162,-1.72,-1.72,4.913,4.913,-14.71,-267.096,-278.613,-89.599,11.28,-14.71
2009-12-31,42.90300,12.11800,25.03400,37.15200,330.02900,-96.29900,-619.49800,167.19800,-218.57000,-138.51500,-5.82700,,2018.14200,2018.14200,177.75900,2190.07400,-938.23800,-938.23800,1.98700,1.98700,-13.68600,-2390.24400,-3340.18100,-1287.50000,12.90100,-13.68600
2009-09-30,42.969,7.041,8.914,15.955,-222.675,-106.231,-2622.492,2837.314,-114.0841,-30.142,-6.543,0,-1687.422,-1687.422,514.186,-1179.779,1184.002,1184.002,4.861,4.861,-13.676,1791.898,2967.085,1766.739,12.248,-13.676
2009-06-30,42.595,-0.398,26.634,26.236,-278.244,95.807,445.336,-100.996,161.903,230.734,-5.886,0,395.932,395.932,464.799,854.845,-128.18,-128.18,1.468,1.468,-13.586,-716.86,-857.158,222.154,7.14,-13.586
2009-03-31,67.186,16.057,122.32,138.377,836.612,-181.692,85.619,-772.535,-31.996,173.567,-23.11,0,-96.366,-96.366,-581.674,-701.15,-1950.139,-1950.139,14.354,14.354,-26.878,-389.08,-2351.743,-2890.301,12.358,-26.878
