,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2015-09-30,0,0,0,0,0,0,0,0,1300,-659,0,-2054,2069,15,98,-546,149,149,-265,-265,-7,-123,631,0
2015-06-30,0,0,0,0,0,0,0,0,1752,-1082,0,828,-892,-64,18,-1128,-924,-924,-250,-250,-6,-1180,-556,0
2015-03-31,0.00000,,,,,,,,1825.00000,-193.00000,,-633.00000,762.00000,129.00000,19.00000,-45.00000,-220.00000,-220.00000,-195.00000,-195.00000,-15.00000,-430.00000,1350.00000,
2014-12-31,1132,1679,418,2097,209,-251,-553,-595,-98,-639,0,-710,724,14,-76,-701,-293,-293,-32,-32,-66,-391,-1190,0
2014-09-30,0,0,0,0,0,0,0,0,574,-362,0,-783,786,3,61,-298,-330,-330,-220,-220,-33,-583,-307,0
2014-06-30,0,0,0,0,0,0,0,0,1464,-581,0,-1841,1478,-363,39,-905,-85,-85,0,0,-59,-144,415,0
2014-03-31,0.00000,,,,,,,,694.00000,-329.00000,,-235.00000,124.00000,-111.00000,13.00000,-427.00000,-490.00000,-490.00000,,,12.00000,-478.00000,-211.00000,
2013-12-31,571,1739,-411,1328,-142,-265,-48,-455,-334,-678,0,-98,0,-98,53,-723,348,348,29,29,-35,342,-715,0
2013-09-30,0,0,0,0,0,0,0,0,237,-530,0,19,0,19,45,-466,46,46,0,0,-25,21,-208,0
2013-06-30,0,0,0,0,0,0,0,0,1148,-438,0,36,0,36,0,-402,-129,-129,0,0,-12,-141,605,0
2013-03-31,0.00000,,,,,,,,393.00000,-366.00000,,-77.00000,,-77.00000,12.00000,-431.00000,-1161.00000,-1161.00000,,,-33.00000,-1194.00000,-1232.00000,
2012-12-31,-723,1911,-814,1097,-21,285,297,561,90,-952,0,-223,0,-223,23,-1152,765,765,17,17,-79,703,-359,0
2012-09-30,0,0,0,0,0,0,0,0,-238,-407,0,74,0,74,103,-230,-487,-487,0,0,-2,-489,-957,0
2012-06-30,0,0,0,0,0,0,0,0,959,-262,0,52,0,52,-3,-213,-258,-258,0,0,-8,-266,480,0
2012-03-31,0.00000,,,,,,,,124.00000,-212.00000,,-148.00000,,-148.00000,-2.00000,-362.00000,-416.00000,-416.00000,,,14.00000,-402.00000,-640.00000,
2011-12-31,-138,488,-293,195,430,176,-398,208,265,-314,0,-144,0,-144,-59,-517,-483,-483,26,26,-29,-486,-738,17
2011-09-30,653,317,225,542,-130,-201,-479,-810,385,-107,0,-311,0,-311,-35,-453,-471,-471,0,0,4,-467,-535,0
2011-06-30,538,310,-107,203,-8,104,-84,12,753,-130,0,-336,0,-336,-43,-509,-890,-890,0,0,0,-890,-646,0
2011-03-31,-213.00000,344.00000,76.00000,420.00000,-379.00000,98.00000,1079.00000,798.00000,1005.00000,-166.00000,,-107.00000,,-107.00000,-47.00000,-320.00000,-621.00000,-621.00000,,,32.00000,-589.00000,96.00000,
2010-12-31,-325,585,-103,482,262,168,-321,-51,106,-181,3698,-84,0,-84,39,3472,-686,-686,18,18,221,-447,3131,14
2010-09-30,387,236,38,274,29,-36,-279,-216,445,-88,0,0,0,0,31,-57,-363,-363,0,0,7,-356,32,0
2010-06-30,273,231,-434,-203,-98,123,729,804,874,-52,0,0,0,0,33,-19,550,550,0,0,-15,535,1390,0
2010-03-31,-82.00000,221.00000,529.00000,750.00000,-226.00000,,,-186.00000,482.00000,-47.00000,,,,,-29.00000,-76.00000,78.00000,78.00000,,,-10.00000,68.00000,474.00000,
2009-12-31,-240,713,752,1465,149,94,-1380,-1137,88,-222,0,0,0,0,194,-28,364,364,130,130,-37,457,517,21
2009-09-30,-57,220,3,223,8,0,-118,-110,56,12,0,0,0,0,-55,-43,-77,-77,27,27,-4,-54,-41,0
2009-06-30,28,222,-335,-113,-52,0,533,481,396,-78,0,0,0,0,4,-74,-212,-212,0,0,-1,-213,109,0
2009-03-31,-382.00000,233.00000,-58.00000,175.00000,,,633.00000,633.00000,426.00000,48.00000,,,,,17.00000,65.00000,-152.00000,-152.00000,63.00000,63.00000,16.00000,-73.00000,418.00000,
