,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-03-31,1124.00000,514.00000,792.00000,1306.00000,-30.00000,-50.00000,809.00000,729.00000,3159.00000,-129.00000,,,294.00000,294.00000,3221.00000,3386.00000,-10590.00000,-10590.00000,,,-187.00000,4123.00000,-6654.00000,-109.00000,84.00000,-174.00000
2013-12-31,875,418,1035,1453,127,9,-919,-783,1545,-196,-204,0,351,351,-5987,-6036,8732,8732,-688,-688,-186,-2794,5064,573,68,-172
2013-09-30,1118,495,904,1399,95,-48,951,998,3515,-172,0,0,752,752,4791,5371,-4375,-4375,-209,-209,-190,-3047,-7821,1065,60,-177
2013-06-30,1227,811,524,1335,-124,14,102,-8,2554,-214,0,0,-372,-372,-1184,-1770,-826,-826,49,49,-189,-1911,-2877,-2093,58,-176
2013-03-31,1134.00000,341.00000,776.00000,1117.00000,419.00000,-140.00000,-160.00000,119.00000,2370.00000,-236.00000,,,-324.00000,-324.00000,6716.00000,6156.00000,-12139.00000,-12139.00000,10.00000,10.00000,-43.00000,-666.00000,-12838.00000,-4312.00000,54.00000,-30.00000
2012-12-31,823,605,1183,1788,-45,51,-2112,-2106,505,-201,0,0,-2672,-2672,-3883,-6756,11770,11770,39,39,-44,-425,11340,5089,46,-29
2012-09-30,1390,586,808,1394,876,-94,1422,2204,4988,-97,0,0,-5726,-5726,-1856,-7679,2476,2476,28,881,-29,-647,2681,-10,37,-29
2012-06-30,-9,451,1684,2135,-378,78,368,68,2194,-106,-31343,0,5645,5645,-1339,-27143,2858,2858,41,41,-29,-2598,272,-24677,53,-29
2012-03-31,1505.00000,220.00000,95.00000,315.00000,-13.00000,-82.00000,112.00000,17.00000,1837.00000,-156.00000,13740.00000,,8169.00000,8169.00000,1011.00000,22764.00000,-6798.00000,-6798.00000,3162.00000,3162.00000,-24.00000,3877.00000,217.00000,24818.00000,63.00000,-24.00000
2011-12-31,411,170,924,1094,40,65,-58,47,1539,-46,0,0,-537,-537,-7442,-8025,5262,5262,9,9,-22,717,5966,-520,54,-22
2011-09-30,865,110,394,504,-163,-68,404,173,1555,-110,0,0,1156,1156,-1418,-372,-3667,-3667,25,25,-23,2197,-1468,-285,18,-23
2011-06-30,945,132,365,497,35,58,957,1050,2492,-92,0,0,2339,2339,-4568,-2321,-2175,-2175,28,28,-23,671,-1499,-1328,42,-23
2011-03-31,1032.00000,167.00000,617.00000,784.00000,156.00000,-77.00000,-26.00000,53.00000,1869.00000,-67.00000,-1444.00000,,-139.00000,-139.00000,1194.00000,-456.00000,-1897.00000,-1897.00000,-7.00000,-7.00000,-23.00000,3236.00000,1309.00000,2722.00000,75.00000,-23.00000
2010-12-31,701,95,1259,1354,-76,24,-1881,-1933,122,-115,0,0,-1977,-1977,605,-1487,-1310,-1310,5,5,-22,2999,1672,307,32,-22
2010-09-30,817,106,856,962,104,-79,1405,1430,3209,-75,0,0,-532,-532,85,-522,-4809,-4809,7,7,-23,1881,-2944,-257,30,-23
2010-06-30,812,169,559,728,56,21,1170,1247,2787,-76,0,0,-713,-713,1120,331,-4949,-4949,10,10,-23,-455,-5417,-2299,40,-23
2010-03-31,720.00000,147.00000,1175.00000,1322.00000,-161.00000,13.00000,130.00000,-18.00000,2024.00000,-74.00000,,57.00000,877.00000,934.00000,5281.00000,6141.00000,-11276.00000,-11276.00000,-11.00000,-11.00000,-23.00000,1958.00000,-9352.00000,-1187.00000,47.00000,-23.00000
2009-12-31,479,98,727,825,-149,-74,-1880,-2103,-799,-29,0,0,-1196,-1196,5468,4243,-163,-163,-9,-9,-23,1310,1115,4559,44,-23
2009-09-30,393,204,1101,1305,219,-77,-1815,-1673,25,-36,0,0,779,779,2991,3734,-2165,-2165,6,6,-23,-2222,-4404,-645,44,-23
2009-06-30,223.062,229.722,896.837,1126.559,-166.965,3.629,190.1481,26.8121,1376.433,-70.782,-0.166,0,-1013.341,-1013.341,2507.009,1422.72,729.82,729.82,1514.324,-2040.676,-79.657,-4391.622,-5782.135,-2982.982,33.285,-19.591
2009-03-31,-108.06200,151.27800,1313.16300,1464.44100,22.96500,-19.62900,119.85190,123.18790,1479.56700,-107.21800,778.16600,,-3445.65900,-3445.65900,4536.99100,1762.28000,-1725.82000,-1725.82000,4.67600,4.67600,-193.34300,-1064.37800,-2978.86500,262.98200,24.71500,-148.40900
