,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-12-31,80.512,51.833,7,58.833,16.168,-8.418,5.294,3.451,43.209,180.677,-63.839,-0.054,-4.677,0.927,-3.75,-3.228,-70.871,-45.2751,-45.2751,7.517,7.517,-1.286,-39.044,73.326,13.842
2019-09-30,73.552,51.758,-9.123,42.635,12.047,-10.416,6.286,28.089,38.107,155.847,-35.163,-23.266,-2.911,0,-2.911,-0.053,-61.393,-136.4149,-136.4149,2.972,2.972,0,-133.443,-35.866,14.025
2019-06-30,44.309,49.146,11.631,60.777,-13.411,-0.045,7.95,-3.412,20.775,129.553,-24.781,-491.392,-12.334,0,-12.334,0.082,-528.425,479.517,479.517,1.898,1.898,-7.908,473.507,74.28,16.505
2019-03-31,55.68800,45.35800,10.10500,55.46300,-23.12700,-2.52000,10.24500,-25.39600,-95.91200,14.85900,-16.73100,-0.98900,-2.41900,0.01500,-2.40400,-0.68900,-20.81300,-70.54700,-70.54700,4.07200,4.07200,-2.60800,-69.08300,-69.01200,12.89900
2018-12-31,60.198,41.581,18.953,60.534,9.122,-2.998,-7.41,-10.578,13.664,139.973,-68.676,-2.257,-4.59,5.254,0.664,-0.687,-70.956,-5.3708,-5.3708,7.374,7.374,-1.44,0.563,55.442,11.438
2018-09-30,60.902,43.592,2.272,45.864,-10.943,-2.896,7.286,5.451,7.403,117.244,-22.439,-1.261,-9.438,0.189,-9.249,-0.062,-33.011,-152.9652,-152.9652,5.909,5.909,-0.023,-147.079,-53.489,11.82
2018-06-30,54.379,43.396,-4.346,39.05,-15.595,-3.943,-11.532,29.91,27.414,123.872,-21.213,-801.134,-5.829,1.81,-4.019,-0.006,-826.372,728.8572,728.8572,4.036,4.036,-13.382,719.511,4.965,13.547
2018-03-31,53.24500,33.21000,3.33100,36.54100,-3.78000,-3.50100,-1.07600,5.68100,-33.66700,60.05100,-27.72600,-20.21600,-5.26800,28.59600,23.32800,-0.05000,-24.66400,-16.49610,-16.49610,6.49200,6.49200,-4.93200,-14.93600,24.06900,10.54100
2017-12-31,-29.067,33.484,27.895,61.379,-5.567,-8.338,6.194,87.121,93.624,124.236,-28.503,-2.538,-4.082,2.524,-1.558,-0.228,-32.827,-55.576,-55.576,3.774,3.774,-1.208,-53.01,40.178,11.101
2017-09-30,52.955,33.465,1.159,34.624,-16.116,-1.754,0.668,-10.929,-27.964,59.485,-22.011,-22.474,-12.159,3.125,-9.034,-0.266,-53.785,33.746,33.746,-30.948,-30.948,-3.2,-0.402,7.133,11.526
2017-06-30,54.602,31.799,6.052,37.851,-5.534,-5.153,-0.57,-1.126,7.301,100.324,-15.997,0,-23.278,0.344,-22.934,-0.039,-38.97,-68.333,-68.333,-12.408,-12.408,0.001,-80.74,-14.807,11.89
2017-03-31,46.95900,32.41100,21.08300,53.49400,-21.06200,-2.59300,-6.25800,-6.70600,-67.01800,34.02900,-15.92000,72.46200,-6.69800,3.13500,-3.56300,0.01700,52.99600,-45.41600,-45.41600,-28.45700,-28.45700,-0.45100,-74.32400,13.93300,9.48600
2016-12-31,45.227,35.542,9.691,45.233,-9.52,0.331,4.892,25.812,22.65,118.647,-25.679,-50.875,-40.248,41.895,1.647,-0.096,-75.003,-11.768,-11.768,1.513,1.513,-13.671,-23.926,11.775,10.995
2016-09-30,38.033,34.108,11.836,45.944,-15.624,-2.667,-2.539,-10.979,-19.403,72.296,-9.568,-18.835,0,15.794,15.794,-0.284,-12.893,-106.968,-106.968,1.792,1.792,-0.391,-105.567,-48.79,10.6
2016-06-30,35.557,32.353,-2.276,30.077,-11.357,1.396,10.371,8.664,20.856,80.112,-11.791,-578.454,0,-9.342,-9.342,1.253,-598.334,506.752,506.752,7.258,7.258,-3.467,510.543,-2.412,12.106
2016-03-31,37.54900,24.65500,22.48900,47.14400,-16.27900,-3.08100,9.35200,-11.56400,-37.59700,45.84400,-8.25000,-0.31800,,-0.69500,-0.69500,2.82100,-6.44200,0.01400,0.01400,0.36700,0.36700,-0.67500,-0.29400,39.35800,9.94100
2015-12-31,32.361,23.581,16.571,40.152,19.467,3.834,2.068,34.811,46.073,120.938,-28.244,-35.677,0,-12.739,-12.739,-1.977,-78.637,12.453,12.453,2.733,2.733,-11.004,4.182,43.379,9.773
2015-09-30,37.867,24.212,3.147,27.359,-11.856,1.192,-2.646,2.996,22.865,88.289,-10.452,-201.294,0,2.065,2.065,-2.81,-212.491,69.8,69.8,18.642,18.642,-36.155,52.287,-76.775,10.476
2015-06-30,49.245,24.297,-6.388,17.909,-6.272,-2.093,-1.286,-0.926,19.398,86.354,-13.908,-9.787,0,-2.382,-2.382,1.882,-24.195,-23.22,-23.22,-40.854,-40.854,-1.587,-65.661,-1.112,10.199
2015-03-31,31.61400,22.79100,16.96700,39.75800,-18.30200,0.43100,3.03800,-4.65400,-60.12000,11.25200,-10.64800,-0.89300,,-1.43600,-1.43600,0.68400,-12.29300,16.15000,16.15000,-58.63200,-58.63200,44.41600,1.93400,-8.10400,9.67400
2014-12-31,27.672,26.437,12.763,39.2,12.873,1.617,6.378,16.917,32.413,99.849,-27.018,-51.116,0,-3.441,-3.441,0.774,-80.801,-11.105,-11.105,73.655,73.655,-45.432,17.118,29.276,7.903
2014-09-30,32.352,26.513,3.499,30.012,-9.8,-2.071,-6.183,6.382,6.544,66.845,-9.402,0,0,-5.291,-5.291,0.002,-14.691,-24.027,-24.027,-20.376,-20.376,10.487,-33.916,13.735,8.251
2014-06-30,35.816,24.735,-1.011,23.724,-10.937,-0.208,-1.906,-7.415,-3.082,56.975,-9.315,-183.151,0,-1.277,-1.277,-2.244,-195.987,162.753,162.753,-115.638,-115.638,37.241,84.356,-52.838,8.222
2014-03-31,32.35800,20.48500,15.26900,35.75400,-20.22400,-2.29400,6.31000,-8.03800,-39.64900,28.46300,-11.19000,,,4.36100,4.36100,0.31800,-6.51100,-23.23700,-23.23700,14.02900,14.02900,3.06400,-6.14400,13.92300,6.65900
2013-12-31,19.444,29.737,0.797,30.534,3.171,-3.016,0.608,8.687,14.853,62.495,-13.835,-5,0,-1.078,-1.078,0.199,-19.714,22.937,22.937,-74.229,-74.229,35.385,-15.907,25.473,6.311
2013-09-30,31.223,27.345,5.072,32.417,3.787,2.327,-8.831,-5.972,1.787,67.607,-9.096,0,0,-5.299,-5.299,0.049,-14.346,3.438,3.438,-101.155,-101.155,58.804,-38.913,16.933,6.047
2013-06-30,27.713,24.548,5.302,29.85,-12.216,-3.804,6.181,0.254,-8.071,48.966,-9.794,-0.077,0,-1.347,-1.347,0.013,-11.205,-15.776,-15.776,20.681,20.681,-27.812,-22.907,13.099,6.28
2013-03-31,25.77100,24.56700,12.88300,37.45000,-14.23400,2.92200,-5.03800,-9.81400,-33.92600,29.97700,-6.42900,-24.14100,,1.74200,1.74200,0.04600,-28.78200,-22.09900,-22.09900,-11.22900,-11.22900,26.81800,-6.51000,-9.26300,5.90400
2012-12-31,18.528,25.144,17.031,42.175,11.665,2.968,3.486,-0.322,5.598,64.327,-13.739,0.041,0,-6.116,-6.116,0.04,-19.774,-6.615,-6.615,-30.263,-30.263,18.764,-18.114,26.461,6.027
2012-09-30,22.202,25.024,-0.504,24.52,-2.541,-0.977,-7.36,-1.312,10.135,61.035,-10.242,-16.902,0,-0.511,-0.511,1.017,-26.638,-21.378,-21.378,-3.113,-3.113,-3.046,-27.537,7.148,5.242
2012-06-30,30.589,24.382,4.128,28.51,-5.509,-4.518,2.804,-0.149,-3.512,57.367,-9.441,0,0,3.385,3.385,0.756,-5.3,-19.672,-19.672,-18.282,-18.282,3.119,-34.835,15.045,5.32
2012-03-31,26.54700,24.34700,10.92900,35.27600,-19.88100,3.31200,-2.18700,-5.23200,-38.08100,25.27700,-14.11200,,,9.86100,9.86100,0.97300,-3.27800,-18.56600,-18.56600,-12.53100,-12.53100,0.46200,-30.63500,-7.87400,5.26600
2011-12-31,27.228,25.762,4.052,29.814,16.136,-3.324,1.749,-1.319,20.762,71.897,-27.471,0,0,-0.952,-0.952,3.827,-24.596,-23.764,-23.764,-48.759,-48.759,16.514,-56.009,-12.315,4.787
2011-09-30,18.893,27.546,1.394,28.94,5.751,5.528,0.856,-4.117,1.543,48.248,-8.222,0,0,3.42,3.42,0.632,-4.17,-47.314,-47.314,-56.64,-56.64,-2.186,-106.14,-64.611,5.571
2011-06-30,32.424,26.337,6.474,32.811,2.948,-2.774,-2.567,-2.03,-0.651,65.304,-6.661,0,0,10.476,10.476,0.842,4.657,-72.02,-72.02,-3.931,-3.931,-4.425,-80.376,-12.914,5.429
2011-03-31,31.43200,25.59500,13.28600,38.88100,-17.16600,4.33600,2.17000,-11.41200,-49.43800,21.39300,-6.78900,,,-5.89300,-5.89300,0.14600,-12.53600,140.84100,140.84100,-174.46500,-174.46500,4.36300,-29.26100,-20.41500,5.91900
2010-12-31,-347.978,332.778,58.828,391.606,16.961,0.185,-3.256,10.24,25.865,67.467,-16.007,0,0,4,4,0.378,-11.629,-15.215,-15.215,1.268,1.268,-0.408,-14.355,41.727,4.243
2010-09-30,-25.234,32.036,7.653,39.689,7.729,-2.039,2.932,-6.92,2.289,16.827,-9.128,0,0,2.784,2.784,0.233,-6.111,275.32,275.32,-350.338,-350.338,-15.318,-90.336,-81.644,6.667
2010-06-30,14.095,30.032,7.609,37.641,-2.225,0.078,-4.3,-7.11,5.485,56.006,-8.432,0,0,-5.346,-5.346,0.257,-13.521,-40.611,-40.611,-0.07,-0.07,0.729,-39.952,-3.122,7.76
2010-03-31,17.00000,23.58000,8.48400,32.06400,-28.10500,3.76500,4.69500,-8.14400,-26.08300,27.93600,-9.29300,,,43.42600,43.42600,0.08200,34.21500,-21.65700,-21.65700,-2.89500,-2.89500,1.30000,-23.25200,39.62500,6.85600
2009-12-31,17.087,34.052,17.394,51.446,15.453,-2.74,-5.187,8.46,4.338,60.299,-16.326,0.246,0,-44.978,-44.978,-0.871,-61.929,-8.627,-8.627,0.692,0.692,-0.37,-8.305,-9.624,5.52
2009-09-30,36.991,24.838,1.21,26.048,2.06,-2.414,-1.004,-9.689,-20.608,47.98,-18.465,-32.432,0,50.803,50.803,1.968,1.874,-28.183,-28.183,-0.606,-0.606,0.547,-28.242,37.392,5.999
2009-06-30,33.655,22.9,9.493,32.393,9.182,3.175,-2.26,-13.963,0.534,70.183,-20.437,-51.161,0,-16.583,-16.583,1.457,-86.724,9.345,9.345,-15.593,-15.593,0.047,-6.201,-15.427,6.464
2009-03-31,24.86900,21.97000,13.78700,35.75700,-5.61300,-2.39700,-2.89800,-2.42900,-27.83900,37.11500,-24.62500,,,-37.74900,-37.74900,0.06900,-62.30500,-8.66500,-8.66500,-29.57100,-29.57100,0.00700,-38.22900,-73.35900,5.66900
