,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-11-30,501.549,81.234,123.258,204.492,-213.634,23.211,286.168,127.179,833.22,-37.684,0,62.1991,-4.149,58.0501,0,20.366,1.328,0,1.328,-299.331,-299.331,-21.506,-319.509,531.522,119.744
2017-08-31,419.569,82.319,116.435,198.754,-105.814,12.422,146.931,86.113,704.436,-54.238,0,21.215,-3.791,17.424,0,-36.814,-0.416,0,-0.416,-195.148,-195.148,-22.735,-218.299,457.6,120.369
2017-05-31,374.39,81.635,107.796,189.431,-51.975,-113.635,40.269,81.006,644.827,-55.297,0,-30.079,-2.171,-32.25,0,-87.547,-0.644,0,-0.644,-298.957,-298.957,-14.831,-314.432,248.054,116.049
2017-02-28,398.44600,80.80900,157.71900,238.52800,184.25000,32.81600,30.07400,93.39600,730.37000,-30.90300,-459.62600,169.32000,-17.67300,151.64700,,-338.88200,-0.26800,,-0.26800,-148.21300,-148.21300,-183.01400,-331.49500,57.58100,98.31000
2016-11-30,399.613,81.86,62.512,144.372,-103.383,4.58,232.094,151.616,695.601,-48.633,0,-97.8909,3.426,-94.465,0,-143.098,-0.022,0,-0.022,-294.126,-294.126,-6.321,-300.469,243.643,86.915
2016-08-31,270.788,84.014,73.114,157.128,-65.655,7.862,133.047,89.969,517.885,-55.213,0,-247.601,-3.774,-251.375,0,-306.588,-0.065,0,-0.065,-312.462,-312.462,-12.43,-324.957,-118.707,84.503
2016-05-31,244.074,84.461,32.971,117.432,-65.652,2.878,50.144,127.209,488.715,-53.759,-48.427,-148.797,-0.522,-149.3189,0,-251.505,-0.021,0,-0.021,-218.259,-218.259,37.392,-180.888,55.683,85.569
2016-02-29,254.30700,81.20000,134.98400,216.18400,74.27400,-21.60100,38.53400,27.03600,497.52700,-46.20000,,-160.85600,-51.78600,-212.64200,,-258.84200,,,,-104.45600,-104.45600,-179.93600,-284.39200,-45.86400,92.31000
2015-11-30,222.705,86.359,-30.12,56.239,-79.398,23.484,196.017,175.571,454.515,-6.897,0,-277.5661,-1.524,-279.0901,0,-285.987,0,0,0,-115.489,-115.489,0.339,-115.15,47.268,81.023
2015-08-31,174.465,87.55,66.014,153.564,-91.371,13.149,80.574,32.459,360.488,-48.984,-20.025,-394.9439,-1.138,-396.0819,0,-465.091,0,0,0,-16.41,-16.41,-2.3,-18.71,-126.855,85.976
2015-05-31,147.493,85.929,54.602,140.531,29.209,-15.131,41.377,183.46,471.484,-35.73,-5.637,3.541,-1.083,2.458,0,-38.909,0,0,0,-185.151,-185.151,-0.951,-186.102,243.263,84.652
2015-02-28,84.88800,79.63500,78.14400,157.77900,62.05800,1.36800,-4.86800,-59.65200,183.01500,-35.54600,-800.34200,152.40200,-14.88500,137.51700,,-698.37100,989.28000,-602.18900,387.09100,-143.68000,-143.68000,-124.13600,119.27500,-404.51600,84.20800
2014-11-30,88.136,78.147,67.712,145.8591,-64.045,14.516,143.442,165.758,399.753,-36.775,-29.802,-8.4741,-2.908,-11.3821,0,-77.959,0,-3.253,-3.253,-111,-111,10.9,-103.353,214.071,84.89
2014-08-31,44.686,80.154,71.152,151.306,2.636,-1.067,105.263,72.528,268.52,-54.966,0,-110.3459,-5.082,-115.4279,0,-170.394,0,-3.372,-3.372,-20.302,-20.302,13.88,-9.794,86.309,83.013
2014-05-31,88.527,77.653,90.85,168.503,-21.155,-9.65,67.099,110.506,367.536,-27.198,0,-117.967,-2.767,-120.734,0,-147.932,0,-3.626,-3.626,-230.661,-230.661,98.36,-135.927,83.104,83.01
2014-02-28,47.04600,77.63600,79.70300,157.33900,90.49200,2.41200,8.71600,47.28800,251.67300,-29.39300,,-61.74600,-3.28300,-65.02900,,-94.42200,,-4.43300,-4.43300,-10.19600,-10.19600,-243.58000,-258.20900,-100.64000,82.78800
2013-11-30,65.32,81.35,76.397,157.747,-78.366,-8.974,52.897,91.915,314.982,-10.861,-0.214,11.1399,-0.08,11.0599,0,-0.015,0,-6.041,-6.041,-328.046,-328.046,33.557,-300.53,15.471,84.897
2013-08-31,83.002,82.175,101.167,183.342,-35.824,12.669,40.867,-50.819,215.525,-46.798,-608.019,262.478,-4.896,257.582,0,-397.235,9.804,-19.838,-10.034,-230.531,-230.531,-6.806,-247.371,-427.325,81.024
2013-05-31,76.546,80.95,105.961,186.911,16.328,-19.04,8.026,35.691,299.148,-46.249,0,-275.455,-12.735,-288.19,0,-334.439,-9.804,2.507,-7.297,68.205,68.205,-83.55,-22.642,-59.972,78.87
2013-02-28,65.11700,76.75200,94.30700,171.05900,131.51100,22.47700,44.06700,85.85500,322.03100,-60.19000,-96.35600,-245.77500,-43.79300,-289.56800,,-446.11400,25.70300,-2.50700,23.19600,-11.43400,-11.43400,-0.35700,11.40500,-118.67000,84.19600
2012-11-30,222.333,78.621,89.533,168.154,-50.569,-8.687,81.414,83.172,473.659,-81.789,0,-33.2499,-14.436,-47.6859,0,-129.475,0,-2.985,-2.985,-14.934,-14.934,-62.5,-80.419,262.672,75.853
2012-08-31,201.357,74.11,92.359,166.469,-38.923,-10.984,-17.119,-104.486,263.34,-77.432,0.05,-37.426,-4.412,-41.838,0,-119.22,3.152,-2.316,0.836,60.948,60.948,1.172,62.956,211.142,79.669
2012-05-31,223.876,77.174,52.268,129.442,-18.063,-0.661,25.938,94.9,448.218,-60.767,-0.061,-106.627,19.195,-87.432,0,-148.26,0,-2.29,-2.29,-149.129,-149.129,2.684,-148.735,149.975,71.398
2012-02-29,185.20900,69.86100,122.47100,192.33200,152.72100,-42.54200,1.65900,-63.17800,314.36300,-51.08800,-353.18400,-32.41800,-1.01700,-33.43500,,-437.70700,,-2.26400,-2.26400,-66.63400,-66.63400,0.37300,-68.52500,-188.23700,71.58200
2011-11-30,173.719,73.29,91.392,164.682,-72.743,19.856,46.399,158.352,496.753,-74.897,-151.925,18.826,-51.684,-32.858,0,-259.68,0,-2.243,-2.243,1.191,1.191,0.853,-0.199,220.288,75.134
2011-08-31,195.101,64.009,95.144,159.153,7.71,4.246,12.84,-29.126,325.128,-65.475,-70.549,-161.1629,-3.059,-164.2219,0.124,-300.122,0,-4.179,-4.179,-93.82,-93.82,0.318,-97.681,-58.263,65.118
2011-05-31,229.436,66.62,75.006,141.626,-36.637,5.791,25.765,18.269,389.331,-37.501,0,-61.166,-3.808,-64.974,0,-102.475,0,-1.455,-1.455,-373.283,-373.283,8.778,-365.96,-72.681,74.859
2011-02-28,234.59100,66.28600,101.01000,167.29600,20.60500,2.31000,11.00500,-69.78500,332.10200,-32.42100,-36.57200,-23.37400,-2.63400,-26.00800,-0.12400,-95.12500,,-2.16900,-2.16900,-84.34900,-84.34900,,-86.51800,150.26500,70.99200
2010-11-30,268.85,76.097,32.215,108.312,-59.554,-7.653,-22.42,-66.541,310.621,-55.427,-193.281,34.3258,13.576,47.9018,-2.198,-203.004,0,-2.15,-2.15,-190.37,-190.37,6.258,-186.262,-64.258,56.841
2010-08-31,230.065,73.154,45.797,118.951,-46.723,6.192,13.427,-57.593,291.423,-6.889,0,-258.7888,-1.011,-259.7998,0.021,-266.668,0,-1.511,-1.511,-354.42,-354.42,1.687,-354.244,-323.457,49.668
2010-05-31,148.611,74.906,51.458,126.364,-87.6,6.085,31.612,-23.885,251.09,-49.628,0,-417.8601,-13.251,-431.1111,-0.164,-480.903,1493.439,-1493.439,0,-215.764,-215.764,0.907,-214.857,-451.836,60.097
2010-02-28,127.15400,68.58100,-61.25700,7.32400,59.60100,-14.71600,46.76600,125.38300,259.86100,-25.54700,,-180.48500,-5.02800,-185.51300,2.34100,-208.71900,,493.38100,493.38100,49.80400,49.80400,-3.08400,540.10100,589.95500,64.48000
2009-11-30,-32.043,85.037,-91.652,-6.615,172.287,-6.177,18.135,292.499,253.841,-34.933,-1582.669,517.679,8.535,526.214,-0.5,-1091.888,636.103,0,636.103,57.347,57.347,11.896,705.346,-132.657,41.35
2009-08-31,136.045,63.921,222.703,286.624,-201.354,6.158,7.332,-185.988,236.681,-58.431,0,7.572,-5.306,2.266,0.271,-55.894,0,0,0,-276.6,-276.6,0,-276.6,-94.636,39.654
2009-05-31,126.071,64.725,35.487,100.212,36.87,0.842,-6.62,35.246,261.529,-10.312,0,-204.965,-5.475,-210.44,3,-217.752,0,0,0,20.215,20.215,0,20.215,77.855,40.959
2009-02-28,156.43500,68.74000,97.97200,166.71200,164.48400,-14.42400,-42.17500,42.59600,365.74300,-15.91600,,-106.44500,-9.20100,-115.64600,,-131.56200,,,,28.59100,28.59100,0.08400,28.67500,262.47500,45.61800
