,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,229.7,75.9,30.8,106.7,109.2,22.7,-73.4,117.1,442.6,-25.2,0,0,0,0,11.5,-13.8,-285.6001,0,-285.6001,-3.4,-3.4,-61.8,0.4,-350.4,74.5,13.2,-61.8
2020-03-31,166.8,73.9,41,114.9,-195.9,132.3,-57.9,-121.5,144.1,-30.5,0,-69.5,0,0,3.4,-96.7,230.4001,0,230.4001,-45.7,-45.7,-62,-1.5,121.1,168.1,17.3,-62
2019-12-31,10.1,78.1,40.1,118.2,-10.6,35.5,-55.4,-30.5,97.9,-22.7,0,-221.5,0,0,-0.8,-244.9,86.8,0,86.8,3.1,3.1,-61.8,-5.8,22.4,-124.3,18.5,-61.8
2019-09-30,55.90000,71.40000,8.30000,79.70000,63.80000,-190.50000,-95.30000,-222.00000,-86.40000,-20.30000,,-48.10000,,,-17.90000,-86.30000,297.50000,,297.50000,18.50000,18.50000,-55.40000,-2.50000,258.10000,85.10000,11.80000,-55.40000
2019-06-30,183.3,65.2,-9.3,55.9,139.1,0,-13,170.3,399.1,-26.2,0,-354.7,0,0,-3.5,-384.4,295.7,0,295.7,-270,-270,-56.1,-3.7,-34.3,-19,11.6,-56.1
2019-03-31,172.2,64.5,58.2,122.7,-185,0,-50.4,-132.1,135.8,-16.1,0,0,0,0,-1,-17.1,-20,0,-20,4.5,4.5,-56.1,-5.3,-76.9,42.3,17.4,-56.1
2018-12-31,49.9,65.6,2.1,67.7,12,0,7.3,60.2,177.6,-14.8,0,0,0,0,-1,-15.7,50,0,50,-107.7,-107.7,-56.5,-1.9,-116.1,45.2,18.7,-56.5
2018-09-30,76.70000,64.70000,3.90000,68.60000,-1.00000,,-40.60000,-240.90000,-95.50000,-15.50000,,,,,-0.80000,-16.30000,90.00000,,90.00000,6.50000,6.50000,-42.50000,0.10000,54.20000,-59.30000,10.70000,-42.50000
2018-06-30,206.8,56.4,22.1,78.5,102.7,0,-56,133.5,418.8,-27.2,0,-45.3,0,0,0.9,-71.7,-150,0,-150,-233.4,-233.4,-42.8,-3.5,-429.7,-88.2,15.9,-42.8
2018-03-31,109.1,53.5,-9.3,44.2,-139.3,0,48.5,-20.5,133,-18.2,-40,-32.8,0,0,-1.2,-92.2,-20,0,-20,6.9,6.9,-42.6,0,-55.6,-14.4,14.5,-42.6
2017-12-31,62.1,52.2,8.4,60.6,50.1,165.5,42.3,110.4,235.1,-16.5,0,-26.5,0,0,-1.3,-44.2,-70,0,-70,1.9,1.9,-42.5,0,-110.7,77.7,16.2,-42.5
2017-09-30,49.90000,49.90000,3.40000,53.30000,-32.10000,-165.50000,3.20000,-194.40000,-93.30000,-36.00000,,-3.70000,,,-1.50000,-41.20000,190.00000,,190.00000,-0.50000,-0.50000,-37.90000,-5.50000,146.10000,17.70000,8.50000,-37.90000
2017-06-30,187.1,48.6,-0.3,48.3,70.2,-42.5,-68.6,118.3,353.8,-44.2,0,-0.6,4.5,4.5,-6,-46.3,-165,0,-165,-114.7,-114.7,-38.6,11.6,-306.8,1.5,11.4,-38.6
2017-03-31,75.9,46.4,-10.2,36.2,-143.9,44.4,78.6,55.5,167.6,-37.5,0,-19.7,-1.5,-1.5,-0.9,-59.6,60,0,60,-100,-100,-39.6,4.5,-75.1,33.8,11.9,-39.6
2016-12-31,30.1,47.4,12.6,60,-15.1,6,-17.4,-8.2,81.9,-17.2,0,-26.4,-1.4,-1.4,0,-45,80,0,80,-68.6,-68.6,-38.5,1.1,-25.9,8.3,14,-38.5
2016-09-30,33.70000,39.80000,-19.90000,19.90000,44.40000,-7.90000,-59.00000,-141.00000,-87.40000,-14.80000,-90.00000,-402.00000,-1.60000,-1.60000,,-508.40000,110.00000,,110.00000,1.40000,1.40000,-35.50000,20.20000,96.10000,-500.30000,8.80000,-35.50000
2016-06-30,170.1,38.3,13.1,51.4,50.7,-0.6,-62.3,71.3,276.6,-32.4,13,-37.6,3.3,3.3,-4.9,-58.7,202.9,0,202.9,-19,-19,-35.2,-1.3,147.5,373.3,8.6,-35.2
2016-03-31,63.6,28.2,-0.1,28.1,-92.7,20.8,47.1,29.4,118.5,-14.4,-4.8,-2.1,-1.5,-1.5,-3.4,-26.2,65,0,65,-76.4,-76.4,-35.6,5.6,-41.4,49.4,12.3,-35.6
2015-12-31,40.3,27.5,4.1,31.6,0,-10.5,-27.4,-10,67.2,-13.8,-5.3,-13.3,-1.5,-1.5,0,-33.9,20,0,20,0.3,0.3,-35.4,3.9,-11.2,18.8,13.2,-35.4
2015-09-30,33.50000,27.00000,-1.20000,25.80000,36.70000,-3.50000,-20.00000,-82.80000,-24.60000,-14.90000,-2.90000,,-0.30000,-0.30000,,-18.10000,45.00000,,45.00000,0.10000,0.10000,-32.00000,0.60000,13.70000,-37.80000,9.00000,-32.00000
2015-06-30,165.9,26.9,18.9,45.8,53.4,0.4,-65,63.1,274.8,-43.1,7.7,-138,-2,-2,0,-175.4,60,0,60,-133.9,-133.9,-32.2,19.1,-87,14,8.7,-32.2
2015-03-31,54,26.6,-17.8,8.8,-117.7,23.5,60.5,19,85.8,-9,-5.8,-33.3,-2,-2,0,-50.1,105,0,105,-110.2,-110.2,-32.5,10.8,-26.9,-4,10.3,-32.5
2014-12-31,34.7,25.5,-0.4,25.1,-5,-14.9,-12.1,-10.1,53.7,-7.9,-0.5,-31.6,-1.7,-1.7,0,-41.7,0,0,0,4.2,4.2,-32.4,5.4,-22.8,-17.2,11.2,-32.4
2014-09-30,32.50000,25.30000,-2.00000,23.30000,65.10000,-7.10000,20.80000,-39.50000,17.10000,-6.00000,-1.40000,,-1.80000,-1.80000,,-9.20000,,,,0.30000,0.30000,-25.20000,3.30000,-21.60000,-16.30000,8.40000,-25.20000
2014-06-30,140.2,25.6,-1.8,23.8,0.3,-8.5,-55.8,40.2,200.3,-7.5,-2.2,0.2,0,0,0,-9.5,0,0,0,-79.4,-79.4,-25.2,15.1,-89.5,103.2,9.6,-25.2
2014-03-31,50.8,25.4,-6.8,18.6,-90.7,28.1,56.1,22,96.5,-9.1,-3.8,-59.4,0,0,0,-72.3,0,0,0,0.9,0.9,-25,5,-19.1,4.1,10.3,-25
2013-12-31,27.6,23.4,4.6,28,34.8,-14.2,-3.1,36.9,96.3,-13.2,-4.3,0,0,0,0,-17.5,0,0,0,0.3,0.3,-25,1.7,-23,57.2,9.9,-25
2013-09-30,44.40000,23.00000,4.20000,27.20000,74.70000,-32.20000,-1.70000,-74.70000,-5.40000,-10.50000,-2.80000,-37.70000,,,,-51.00000,-0.50000,,-0.50000,-2.00000,-2.00000,-21.50000,-3.30000,-27.30000,-82.90000,4.80000,-21.50000
2013-06-30,134.6,22.5,18.9,41.4,-32.6,13.1,-49.5,17.6,198.6,-8.5,-6.8,0,0,0,-1.1,-16.4,0,0,0,-80.9,-80.9,-21.6,5,-97.5,83.8,6,-21.6
2013-03-31,43.4,22.6,14.6,37.2,-107.4,32.7,-2.2,-83.8,-1.2,-13.2,-3.4,0,0,0,0,-16.6,0,0,0,-36.2,-36.2,-21.9,0.6,-57.5,-76.9,8.2,-21.9
2012-12-31,15.8,23.8,4.4,28.2,15.4,8.8,-2.4,45.8,89.1,-10.1,-0.8,0,0,0,0,-10.9,0,0,0,-8.8,-8.8,-22,-0.5,-31.3,47.3,8.4,-22
2012-09-30,18.30000,24.50000,-1.30000,23.20000,51.40000,-13.30000,-12.40000,-62.20000,-15.60000,-6.40000,-1.70000,,,,,-8.10000,,,,-66.30000,-66.30000,-20.30000,-0.30000,-86.90000,-108.70000,4.50000,-20.30000
2012-06-30,83.4,23.5,50,73.5,12.7,-4.4,-61.9,23.9,186.7,-11,-3.3,0,0,0,6.5,-7.8,-40,0,-40,-9.3,-9.3,-19.9,1,-68.2,101.7,6.7,-19.9
2012-03-31,16.7,25.1,28,53.1,-92.1,18.3,17.1,-52.7,15.8,-9.2,-1.6,-0.1,2.1,2.1,0,-8.8,-30,0,-30,2.5,2.5,-0.1,0.6,-27,-19.4,7.8,-0.1
2011-12-31,6.8,22.7,7.5,30.2,31.2,-0.2,-21.6,28.3,64.8,-9.5,-5.5,0.4,0,0,0,-14.6,-20,0,-20,1.3,1.3,-39.6,-2.1,-60.4,-14.6,8.3,-39.6
2011-09-30,16.70000,20.70000,1.00000,21.70000,82.90000,-26.10000,-5.60000,-14.00000,23.30000,-4.10000,-2.50000,-72.70000,,,,-79.30000,490.00000,-400.00000,90.00000,-2.50000,-2.50000,-18.50000,-2.10000,66.90000,11.30000,5.50000,-18.50000
2011-06-30,116.2,21,24.8,45.8,-12,9.1,-45.2,-2.2,152,-8.6,-8.7,-0.2,0,0,0,-17.5,0,-40,-40,2,2,-18.4,2.3,-54.1,90.2,6.8,-18.4
2011-03-31,29.7,19.2,5.1,24.3,-94.8,20,20.3,-42.8,12,-7,-6.7,-197.6,0,0,0,-211.3,0,240,240,-63.8,-63.8,-18.7,0.9,158.4,-36.5,8.3,-18.7
2010-12-31,10.4,16.5,7.9,24.4,2.5,1.1,2.8,16.6,51.4,-7.3,-1.9,-18.3,0,0,0,-27.5,0,0,0,-1.2,-1.2,-18.9,0.7,-19.4,7.1,8.7,-18.9
2010-09-30,13.30000,15.60000,5.10000,20.70000,64.50000,-21.70000,-19.10000,-60.10000,-24.50000,-6.30000,-0.80000,-77.40000,,,,-84.50000,,,,-111.30000,-111.30000,-18.80000,-0.10000,-130.20000,-231.90000,6.20000,-18.80000
2010-06-30,105.1,14.5,41,55.5,2.8,-5.2,-10,22.4,179.3,-20.2,-3.9,-23.9,0,0,0,-48,0,0,0,-109.2,-109.2,-19,-2.7,-130.9,234.7,6.3,-19
2010-03-31,24.9,14.3,14.7,29,-40.9,20.8,6.9,6.1,62,-9.5,-5.3,-5.5,0,0,0,-20.3,0,-0.6,-0.6,1.5,1.5,-18.8,2.2,-15.7,30.8,7.7,-18.8
2009-12-31,33.6,14.5,6.8,21.3,-6.8,-7.5,14.7,31.9,88.9,-9.4,-1.1,-5.8,0,0,0,-16.3,0,0.6,0.6,-46.2,-46.2,-19,0.6,-64,8.2,7.5,-19
2009-09-30,26.40000,13.70000,3.10000,16.80000,72.70000,1.80000,-10.70000,-14.00000,29.90000,-3.60000,-0.10000,,,,,-3.70000,,,,-57.80000,-57.80000,-9.80000,0.10000,-67.50000,-34.50000,5.80000,-9.80000
2009-06-30,116.9,13.6,12.9,26.5,-35.8,-0.1,-9.2,-1.2,146.4,-13.4,-1.1,-45.9,0,0,0,-60.4,0,0,0,-14.1,-14.1,-9.8,0.3,-23.6,67.6,7,-9.8
2009-03-31,106.4,40.1,12,52.1,67.5,-13.9,-12.2,-22.7,130.8,-13.4,-2,-14.9,0,0,0,-30.3,-114.4,0,-114.4,-14.4,-14.4,-28.1,0.1,-156.8,51.1,21.6,-28.1
